JoinField,JoinField_alt,Donna Miller,Eric France,Robert Peters,Willie Preston,"Jesse Louis Jackson, Jr.",Yumeka Brown,"Patrick J. ""PJK"" Keating",Toni C. Brown,Sidney Moore,Adal Regis,Total Voters
COOK:9500023,COOK:Thornton Precinct 23,90,0,30,7,59,19,3,1,0,0,209
COOK:9500024,COOK:Thornton Precinct 24,110,4,79,2,34,20,12,2,3,2,268
COOK:9500025,COOK:Thornton Precinct 25,80,1,66,4,38,24,10,2,2,2,229
COOK:9500026,COOK:Thornton Precinct 26,60,1,16,2,51,12,1,2,2,1,148
COOK:9500027,COOK:Thornton Precinct 27,181,2,14,9,108,27,3,2,5,1,352
COOK:9500028,COOK:Thornton Precinct 28,46,0,5,1,38,7,2,1,0,0,100
COOK:9500029,COOK:Thornton Precinct 29,76,0,12,6,98,13,1,4,1,0,211
COOK:9500032,COOK:Thornton Precinct 32,44,0,9,4,48,6,1,1,3,1,117
COOK:9500033,COOK:Thornton Precinct 33,92,1,5,2,67,11,1,1,3,1,184
COOK:9500034,COOK:Thornton Precinct 34,133,2,17,21,80,32,1,1,5,0,292
COOK:9500035,COOK:Thornton Precinct 35,137,1,20,7,130,25,1,6,6,2,335
COOK:9500036,COOK:Thornton Precinct 36,43,0,10,12,52,7,0,0,0,2,126
COOK:9500037,COOK:Thornton Precinct 37,102,3,13,4,64,18,1,2,4,1,212
COOK:9500038,COOK:Thornton Precinct 38,92,3,17,3,110,24,0,3,0,4,256
COOK:9500039,COOK:Thornton Precinct 39,72,2,16,5,149,24,0,3,9,0,280
COOK:9500040,COOK:Thornton Precinct 40,60,0,3,15,38,10,1,3,1,1,132
COOK:9500041,COOK:Thornton Precinct 41,55,2,15,2,43,10,0,0,1,4,132
COOK:9500042,COOK:Thornton Precinct 42,159,5,19,14,146,31,3,4,5,2,388
COOK:9500043,COOK:Thornton Precinct 43,101,1,31,10,62,29,4,3,1,1,243
COOK:9500044,COOK:Thornton Precinct 44,46,0,5,4,37,5,1,3,2,0,103
COOK:9500045,COOK:Thornton Precinct 45,121,3,6,29,90,32,1,3,10,3,298
COOK:9500046,COOK:Thornton Precinct 46,122,1,12,5,130,36,1,6,0,1,314
COOK:9500047,COOK:Thornton Precinct 47,61,0,31,0,43,22,3,1,5,2,168
COOK:9500048,COOK:Thornton Precinct 48,105,1,11,12,104,25,1,3,1,1,264
COOK:9500049,COOK:Thornton Precinct 49,33,0,7,2,46,2,0,0,1,0,91
COOK:9500050,COOK:Thornton Precinct 50,117,3,26,10,77,48,3,3,1,2,290
COOK:9500051,COOK:Thornton Precinct 51,54,0,20,4,36,11,1,1,3,3,133
COOK:9500052,COOK:Thornton Precinct 52,69,0,12,1,73,24,0,2,1,0,182
COOK:9500053,COOK:Thornton Precinct 53,144,3,33,8,82,14,8,4,2,2,300
COOK:9500054,COOK:Thornton Precinct 54,188,2,18,12,116,20,2,3,6,0,367
COOK:9500055,COOK:Thornton Precinct 55,67,0,8,12,53,14,2,1,2,2,161
COOK:9500056,COOK:Thornton Precinct 56,87,2,9,7,68,15,1,1,3,1,194
COOK:9500057,COOK:Thornton Precinct 57,148,0,29,4,86,33,3,2,7,0,312
COOK:9500058,COOK:Thornton Precinct 58,114,3,15,5,91,31,1,1,5,2,268
COOK:9500059,COOK:Thornton Precinct 59,37,0,12,0,42,15,1,2,0,0,109
