FOR COMPTROLLER ( 1),,,,,,,,,,,,,,,,,,,,,,
,,KARINA VILLA,,,,,STEPHANIE A. KIFOWIT,,,,,HOLLY KIM,,,,,MARGARET CROKE,,,,,
Precinct,Registered Voters,Early,Vote by Mail,Polling,Provisional,Total Votes,Early,Vote by Mail,Polling,Provisional,Total Votes,Early,Vote by Mail,Polling,Provisional,Total Votes,Early,Vote by Mail,Polling,Provisional,Total Votes,Total
Bloomingdale 048,795,32,15,15,0,62,2,1,4,0,7,8,4,10,0,22,2,6,10,0,18,109
Bloomingdale 049,658,7,6,17,0,30,0,0,2,0,2,1,3,7,0,11,5,2,8,0,15,58
Bloomingdale 050,956,18,9,29,0,56,2,1,4,0,7,1,4,14,0,19,10,9,14,0,33,115
Bloomingdale 051,1175,16,20,33,0,69,3,14,11,0,28,11,13,16,0,40,6,9,37,0,52,189
Bloomingdale 052,1132,12,15,33,0,60,6,12,15,0,33,14,14,22,0,50,6,16,26,0,48,191
Bloomingdale 053,839,5,7,25,0,37,1,4,9,0,14,8,5,8,0,21,2,12,20,0,34,106
Bloomingdale 054,1187,49,27,35,0,111,7,3,15,0,25,13,16,21,0,50,15,10,18,0,43,229
Bloomingdale 055,815,1,13,20,0,34,0,3,7,0,10,4,7,13,0,24,1,5,8,0,14,82
Bloomingdale 056,1042,23,25,30,0,78,4,5,5,0,14,8,9,13,0,30,1,12,27,0,40,162
Bloomingdale 057,705,12,9,34,0,55,1,3,4,0,8,2,3,6,0,11,6,4,14,0,24,98
Bloomingdale 058,1358,25,5,41,0,71,1,3,8,0,12,3,14,16,0,33,14,5,17,0,36,152
Bloomingdale 059,925,48,15,30,0,93,8,0,3,0,11,6,19,7,0,32,8,13,16,0,37,173
Bloomingdale 060,1095,22,16,28,0,66,6,3,4,0,13,3,10,13,0,26,11,8,17,0,36,141
Bloomingdale 061,1056,12,28,39,0,79,3,2,19,0,24,10,7,17,0,34,3,13,45,0,61,198
Bloomingdale 062,1047,12,19,37,0,68,3,6,7,0,16,7,10,21,0,38,1,9,26,0,36,158
Bloomingdale 063,1053,10,11,33,0,54,0,8,12,0,20,5,11,15,0,31,4,8,33,0,45,150
Bloomingdale 064,1395,19,15,45,0,79,4,2,7,0,13,7,17,17,0,41,5,24,22,0,51,184
Bloomingdale 065,1265,17,10,28,0,55,4,1,3,0,8,10,10,13,0,33,7,7,15,0,29,125
Bloomingdale 066,1091,4,12,32,0,48,4,4,1,0,9,8,10,7,0,25,8,9,12,0,29,111
Bloomingdale 067,686,3,13,7,0,23,0,12,9,0,21,2,9,16,0,27,4,13,29,0,46,117
