FOR UNITED STATES SENATOR ( 1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,CASEY CHLEBEK,,,,,DON TRACY,,,,,R. CARY CAPPARELLI,,,,,PAMELA DENISE LONG,,,,,"JIMMY LEE TILLMAN, II",,,,,JEANNIE EVANS,,,,,
Precinct,Registered Voters,Early,Vote by Mail,Polling,Provisional,Total Votes,Early,Vote by Mail,Polling,Provisional,Total Votes,Early,Vote by Mail,Polling,Provisional,Total Votes,Early,Vote by Mail,Polling,Provisional,Total Votes,Early,Vote by Mail,Polling,Provisional,Total Votes,Early,Vote by Mail,Polling,Provisional,Total Votes,Total
Bloomingdale 002,1093,1,1,5,0,7,2,2,7,0,11,2,3,2,0,7,1,2,1,0,4,2,0,0,0,2,4,1,18,0,23,54
Bloomingdale 003,1086,2,3,14,0,19,4,10,13,0,27,6,2,6,0,14,2,2,3,0,7,0,1,9,0,10,2,6,10,0,18,95
Bloomingdale 004,774,1,4,1,0,6,4,0,13,0,17,2,0,8,0,10,1,0,2,0,3,0,0,0,0,0,5,5,7,0,17,53
Bloomingdale 005,820,2,2,6,0,10,2,3,8,0,13,4,2,3,0,9,0,0,4,0,4,0,0,1,0,1,4,2,9,0,15,52
Bloomingdale 006,1067,2,3,16,0,21,2,0,11,0,13,3,3,6,0,12,4,0,6,0,10,1,0,2,0,3,7,1,21,0,29,88
Bloomingdale 007,754,4,1,2,0,7,4,0,4,0,8,4,0,0,0,4,1,0,1,0,2,1,0,1,0,2,3,0,4,0,7,30
Bloomingdale 008,787,0,1,2,0,3,0,0,2,0,2,0,0,3,0,3,1,0,0,0,1,0,0,1,0,1,0,1,6,0,7,17
Bloomingdale 009,1018,2,1,6,0,9,4,7,17,0,28,1,1,7,0,9,1,0,4,0,5,1,0,0,0,1,5,2,16,0,23,75
Bloomingdale 010,983,2,6,10,0,18,3,7,17,0,27,0,4,7,0,11,2,1,3,0,6,4,0,1,0,5,4,7,11,0,22,89
Bloomingdale 011,1186,2,2,12,0,16,6,5,18,0,29,9,2,7,0,18,1,3,2,0,6,2,0,4,0,6,6,6,19,0,31,106
Bloomingdale 012,974,2,0,4,0,6,2,1,8,0,11,5,2,4,0,11,0,0,2,0,2,1,0,1,0,2,8,4,14,0,26,58
Bloomingdale 013,1015,1,2,17,0,20,1,9,9,0,19,2,0,10,0,12,6,1,3,0,10,1,2,1,0,4,10,2,23,0,35,100
Bloomingdale 014,1053,0,1,3,0,4,6,1,9,0,16,4,2,4,0,10,2,1,6,0,9,0,0,1,0,1,3,1,13,0,17,57
Bloomingdale 015,1058,7,0,14,1,22,1,3,11,0,15,1,0,10,0,11,0,3,0,0,3,1,0,2,0,3,4,1,10,0,15,69
Bloomingdale 016,991,2,2,5,0,9,4,3,3,0,10,3,5,8,0,16,1,0,5,0,6,0,1,1,0,2,0,3,10,0,13,56
Bloomingdale 017,1146,0,3,17,0,20,2,4,19,0,25,2,3,8,0,13,2,3,5,0,10,1,0,4,0,5,8,4,20,0,32,105
Bloomingdale 018,1149,5,4,10,0,19,8,9,22,0,39,3,3,18,0,24,2,1,3,0,6,1,2,3,0,6,5,1,34,0,40,134
Bloomingdale 019,930,1,0,3,0,4,6,0,14,0,20,7,0,14,0,21,3,1,3,0,7,1,0,0,0,1,3,3,14,0,20,73
Bloomingdale 020,1077,2,0,9,0,11,12,5,17,0,34,11,0,27,0,38,3,0,9,0,12,1,2,3,0,6,2,1,35,0,38,139
Bloomingdale 021,975,2,1,5,0,8,8,7,7,0,22,7,3,7,0,17,2,0,2,0,4,0,0,4,0,4,7,2,12,0,21,76
Bloomingdale 022,1009,0,1,7,0,8,3,3,7,0,13,0,0,3,0,3,0,2,3,0,5,0,0,3,0,3,1,9,15,0,25,57
Bloomingdale 023,1192,3,2,14,0,19,8,6,21,0,35,2,3,8,0,13,0,0,3,0,3,1,0,2,0,3,8,7,15,0,30,103
Bloomingdale 024,1089,3,2,8,0,13,4,7,13,1,25,9,3,15,0,27,2,0,1,0,3,1,0,4,0,5,7,3,14,0,24,97
Bloomingdale 025,1089,1,6,10,0,17,10,13,14,0,37,4,6,32,0,42,2,2,8,0,12,1,1,3,0,5,4,4,23,0,31,144
