FOR UNITED STATES SENATOR ( 1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,CASEY CHLEBEK,,,,,DON TRACY,,,,,R. CARY CAPPARELLI,,,,,PAMELA DENISE LONG,,,,,"JIMMY LEE TILLMAN, II",,,,,JEANNIE EVANS,,,,,
Precinct,Registered Voters,Early,Vote by Mail,Polling,Provisional,Total Votes,Early,Vote by Mail,Polling,Provisional,Total Votes,Early,Vote by Mail,Polling,Provisional,Total Votes,Early,Vote by Mail,Polling,Provisional,Total Votes,Early,Vote by Mail,Polling,Provisional,Total Votes,Early,Vote by Mail,Polling,Provisional,Total Votes,Total
Milton 044,1079,1,2,0,0,3,12,12,17,0,41,3,4,5,0,12,0,2,1,0,3,2,0,0,0,2,6,6,13,0,25,86
Milton 045,1296,3,3,1,0,7,9,11,8,0,28,3,1,7,0,11,3,4,1,0,8,2,0,2,0,4,11,6,17,0,34,92
Milton 046,923,1,0,1,0,2,4,2,10,0,16,1,1,1,0,3,0,0,0,0,0,1,0,0,0,1,0,1,3,0,4,26
Milton 047,1013,0,0,3,0,3,15,6,25,0,46,4,1,4,0,9,1,1,3,0,5,1,1,4,0,6,15,4,14,0,33,102
Milton 048,963,0,0,3,0,3,8,6,26,0,40,1,1,2,0,4,2,3,2,0,7,0,0,3,0,3,3,7,25,0,35,92
Milton 049,443,1,0,1,0,2,5,8,13,0,26,2,1,4,0,7,1,0,1,0,2,0,1,1,0,2,2,2,2,0,6,45
Milton 050,765,1,1,3,0,5,4,3,26,0,33,1,0,2,0,3,3,0,3,0,6,1,0,2,0,3,4,1,31,0,36,86
Milton 051,1120,3,0,3,0,6,10,3,23,0,36,2,2,2,0,6,3,1,5,0,9,1,0,1,0,2,7,2,20,0,29,88
Milton 052,1116,0,2,0,0,2,9,4,12,0,25,4,0,1,0,5,0,1,4,0,5,0,1,0,0,1,6,3,9,0,18,56
Milton 053,755,0,2,5,0,7,2,4,5,0,11,0,0,3,0,3,2,1,2,0,5,0,1,0,0,1,4,0,6,0,10,37
Milton 054,1314,1,2,3,0,6,9,8,43,0,60,4,1,3,0,8,0,1,3,0,4,0,0,3,0,3,9,3,8,0,20,101
Milton 055,1157,1,1,2,0,4,4,6,22,0,32,2,2,4,0,8,1,2,4,0,7,0,0,2,0,2,7,3,19,0,29,82
Milton 056,1120,4,3,2,0,9,8,3,10,0,21,1,0,4,0,5,0,0,1,0,1,0,1,0,0,1,4,4,18,0,26,63
Milton 057,1048,2,0,5,0,7,7,3,17,0,27,2,1,3,0,6,2,0,1,0,3,1,0,3,0,4,7,4,19,0,30,77
Milton 058,1001,0,0,8,0,8,9,14,26,0,49,1,1,6,0,8,2,1,2,0,5,0,0,3,0,3,13,8,18,0,39,112
Milton 059,1086,2,0,2,0,4,14,8,39,0,61,0,2,8,0,10,0,2,9,0,11,0,1,3,0,4,3,4,32,0,39,129
Milton 060,1194,1,1,4,0,6,16,15,36,0,67,1,3,5,0,9,0,2,4,0,6,0,0,1,0,1,12,6,32,0,50,139
Milton 061,1020,0,0,9,0,9,6,3,14,1,24,3,0,5,0,8,0,3,6,0,9,4,1,0,0,5,9,3,23,0,35,90
Milton 062,1222,7,4,8,0,19,16,1,17,0,34,4,2,4,0,10,5,1,2,0,8,0,1,1,0,2,11,3,12,0,26,99
Milton 063,681,1,0,4,0,5,13,9,17,0,39,2,1,2,0,5,0,3,0,0,3,0,0,1,0,1,10,1,11,0,22,75
Milton 064,1196,7,2,3,0,12,9,18,21,0,48,3,0,7,0,10,4,0,1,0,5,1,0,3,0,4,9,5,16,0,30,109
Milton 065,920,1,1,5,0,7,7,6,17,0,30,1,0,2,0,3,3,3,5,0,11,0,2,1,0,3,3,2,9,0,14,68
Milton 066,1046,7,3,4,0,14,10,5,27,0,42,7,2,7,0,16,3,1,5,0,9,0,1,0,0,1,10,3,12,0,25,107
Milton 067,898,1,1,3,0,5,8,2,15,0,25,5,2,10,0,17,0,1,3,0,4,1,0,1,0,2,1,2,19,0,22,75
Milton 068,985,0,0,5,0,5,3,10,22,0,35,1,0,3,0,4,2,2,5,0,9,0,1,0,0,1,2,7,28,0,37,91
Milton 069,1119,0,0,2,0,2,20,16,43,0,79,2,2,3,0,7,1,2,1,0,4,0,0,1,0,1,10,6,27,0,43,136
Milton 070,1191,1,2,6,0,9,30,9,44,0,83,1,1,5,0,7,2,2,4,0,8,2,1,0,0,3,15,15,37,0,67,177
Milton 071,1097,3,1,1,0,5,22,9,8,0,39,4,1,6,0,11,0,1,0,0,1,2,0,3,0,5,10,3,21,0,34,95
Milton 072,1268,0,1,3,0,4,6,6,11,0,23,4,0,3,0,7,5,0,2,0,7,2,2,0,0,4,5,3,17,0,25,70
Milton 073,896,1,0,1,0,2,5,1,16,0,22,0,1,2,0,3,0,1,2,0,3,0,0,0,0,0,8,0,19,0,27,57
Milton 074,898,1,1,8,0,10,6,7,14,0,27,1,3,5,0,9,1,0,5,0,6,0,2,1,0,3,10,3,14,0,27,82
Milton 075,886,1,0,8,0,9,4,4,18,0,26,0,2,6,0,8,3,1,1,0,5,1,0,3,0,4,2,3,12,0,17,69
Milton 076,1297,3,2,8,0,13,8,3,35,0,46,2,1,10,0,13,3,1,8,0,12,0,1,5,0,6,8,4,24,0,36,126
Milton 077,1148,2,0,4,0,6,6,13,15,0,34,3,0,4,0,7,2,5,3,0,10,0,0,4,0,4,4,6,13,0,23,84
Milton 078,812,2,0,7,0,9,10,12,20,0,42,0,1,1,0,2,1,1,1,0,3,0,0,1,0,1,5,3,11,0,19,76
Milton 079,970,4,0,6,0,10,9,7,22,0,38,0,4,4,0,8,4,3,2,0,9,0,0,0,0,0,5,4,18,0,27,92
Milton 080,974,0,2,4,0,6,8,5,15,0,28,2,2,4,0,8,1,3,5,0,9,0,1,1,0,2,5,6,25,0,36,89
Milton 081,936,4,1,3,0,8,9,4,16,0,29,2,2,5,0,9,1,0,0,0,1,1,0,3,0,4,8,4,21,0,33,84
Naperville 001,1339,0,3,5,0,8,9,5,12,0,26,0,2,4,0,6,0,1,3,0,4,0,0,4,0,4,7,0,14,0,21,69
Naperville 002,1138,3,1,1,0,5,3,5,10,0,18,1,0,3,0,4,2,1,4,0,7,1,0,1,0,2,1,4,7,0,12,48
Naperville 003,1411,0,4,2,0,6,11,13,13,0,37,4,5,1,0,10,2,7,2,0,11,1,3,0,0,4,7,21,18,0,46,114
Naperville 004,958,0,4,2,0,6,3,5,9,0,17,0,2,2,0,4,0,1,2,0,3,1,0,1,0,2,8,4,6,0,18,50
Naperville 005,1036,2,2,3,0,7,1,10,14,0,25,1,1,3,0,5,1,0,2,0,3,0,0,0,0,0,0,5,7,0,12,52
Naperville 006,1277,0,1,0,0,1,4,0,10,0,14,1,0,2,0,3,0,0,2,0,2,0,1,1,0,2,0,3,7,0,10,32
Naperville 007,1029,0,0,2,0,2,6,4,9,0,19,0,0,3,0,3,0,3,4,0,7,0,0,2,0,2,4,2,12,0,18,51
Naperville 008,1011,0,0,0,0,0,3,2,1,0,6,0,0,1,0,1,0,1,2,0,3,1,0,0,0,1,0,0,1,0,1,12
Naperville 009,1115,1,3,8,0,12,4,6,17,0,27,2,0,7,0,9,0,1,4,0,5,2,1,0,0,3,6,0,11,0,17,73
Naperville 010,1164,0,3,8,0,11,8,3,11,0,22,0,2,5,0,7,0,2,1,0,3,0,0,2,0,2,2,0,14,0,16,61
Naperville 011,1078,2,0,4,0,6,8,5,12,0,25,2,1,6,0,9,1,1,4,0,6,1,0,4,0,5,5,4,13,0,22,73
Naperville 012,1116,0,0,3,0,3,13,3,15,0,31,1,0,2,0,3,2,3,2,0,7,1,0,1,0,2,4,0,14,0,18,64
Naperville 013,1223,0,3,12,0,15,4,6,32,0,42,3,1,4,0,8,2,0,9,0,11,0,1,4,0,5,7,3,23,0,33,114
Naperville 014,1253,2,1,6,0,9,13,5,16,0,34,1,3,2,0,6,1,1,7,0,9,3,0,1,0,4,8,7,17,0,32,94
Naperville 015,1014,0,1,5,0,6,15,7,21,0,43,2,1,7,0,10,3,6,1,0,10,2,0,1,0,3,5,7,19,0,31,103
Naperville 016,1287,1,4,6,0,11,8,8,19,0,35,1,3,5,0,9,5,3,4,0,12,0,0,0,0,0,5,2,12,0,19,86
Naperville 017,1411,0,5,5,0,10,6,7,17,0,30,2,1,4,0,7,2,2,3,0,7,1,1,2,0,4,5,1,17,0,23,81
Naperville 018,1214,0,2,6,0,8,7,0,13,1,21,3,2,3,0,8,3,2,2,0,7,0,0,1,0,1,2,5,10,0,17,62
Naperville 019,1015,0,2,1,0,3,3,4,10,0,17,0,2,4,0,6,0,1,3,0,4,0,0,2,0,2,2,2,12,0,16,48
Naperville 020,1044,3,0,1,0,4,0,6,12,0,18,0,0,1,0,1,0,1,4,0,5,0,0,2,0,2,0,6,8,0,14,44
Naperville 021,1300,2,1,0,0,3,11,10,21,0,42,0,0,2,0,2,4,1,4,0,9,1,0,0,0,1,4,3,9,0,16,73
Naperville 022,1025,0,1,6,0,7,15,6,24,0,45,2,1,5,0,8,4,2,3,0,9,2,0,0,0,2,9,5,14,0,28,99
Naperville 023,1023,2,4,5,0,11,14,18,17,0,49,1,5,3,0,9,4,0,4,0,8,1,0,0,0,1,10,7,14,0,31,109
Naperville 024,1185,0,3,4,0,7,2,2,13,0,17,0,2,7,0,9,1,0,6,0,7,0,0,0,0,0,0,2,4,0,6,46
Naperville 025,1343,0,1,2,0,3,3,0,21,0,24,0,0,7,0,7,2,2,2,0,6,2,1,0,0,3,1,1,9,0,11,54
Naperville 026,857,0,0,0,0,0,1,0,2,0,3,0,2,0,0,2,3,0,3,0,6,0,0,1,0,1,2,2,6,0,10,22
Naperville 027,1018,2,0,0,0,2,4,1,3,0,8,1,0,2,0,3,2,0,0,0,2,0,0,0,0,0,2,3,3,0,8,23
Naperville 028,1330,2,3,2,0,7,3,5,6,0,14,1,0,0,0,1,1,0,1,0,2,0,0,1,0,1,1,1,4,0,6,31
Naperville 029,1102,1,0,4,0,5,8,4,9,0,21,2,1,2,0,5,1,1,4,0,6,1,2,0,0,3,4,0,8,0,12,52
Naperville 030,1150,2,0,7,0,9,17,4,20,0,41,4,1,7,0,12,2,0,4,0,6,0,1,2,0,3,7,1,15,0,23,94
Naperville 031,1243,6,5,3,0,14,14,6,22,0,42,4,4,5,0,13,5,8,5,0,18,2,1,2,0,5,11,2,16,0,29,121
Naperville 032,937,0,0,0,0,0,1,1,11,0,13,0,0,1,0,1,1,0,0,0,1,0,1,1,0,2,0,2,7,0,9,26
Naperville 033,1029,3,2,5,0,10,1,1,6,0,8,2,2,2,0,6,1,0,2,0,3,0,0,0,0,0,4,2,9,0,15,42
Naperville 034,1050,3,1,7,0,11,13,8,21,0,42,1,1,3,0,5,5,0,5,0,10,0,0,2,0,2,7,1,12,0,20,90
Naperville 035,1241,0,4,5,0,9,5,8,12,0,25,2,0,4,0,6,2,1,4,0,7,1,0,0,0,1,2,3,13,0,18,66
Naperville 036,739,2,0,0,0,2,2,4,6,0,12,1,0,0,0,1,3,2,2,0,7,0,0,1,0,1,1,0,1,0,2,25
Naperville 037,1207,1,4,2,0,7,3,3,21,0,27,2,3,7,0,12,3,4,2,0,9,0,1,5,0,6,1,3,19,0,23,84
Naperville 038,1358,1,0,3,0,4,3,4,12,0,19,2,1,0,0,3,1,0,2,0,3,0,0,3,0,3,1,0,5,0,6,38
Naperville 039,1229,0,1,3,0,4,4,1,10,0,15,0,0,9,0,9,0,0,3,0,3,0,0,3,0,3,2,3,9,0,14,48
Naperville 040,731,3,0,0,0,3,2,0,4,0,6,0,0,0,0,0,0,0,2,0,2,0,0,1,0,1,4,0,2,0,6,18
Naperville 041,1099,0,1,3,0,4,2,4,14,0,20,1,0,3,0,4,2,0,8,0,10,0,0,0,0,0,2,1,9,0,12,50
Naperville 042,1090,1,1,3,0,5,7,2,16,0,25,2,1,3,0,6,1,0,2,0,3,0,1,0,0,1,2,3,12,0,17,57
Naperville 043,1086,2,2,1,0,5,11,8,15,0,34,5,0,3,0,8,3,0,5,0,8,1,0,1,0,2,7,4,6,0,17,74
Naperville 044,990,1,4,2,0,7,17,6,9,0,32,5,1,2,0,8,7,1,3,0,11,1,0,2,0,3,8,9,16,0,33,94
Naperville 045,961,1,1,9,0,11,15,12,28,0,55,5,0,1,0,6,5,3,6,0,14,1,1,3,0,5,5,7,19,0,31,122
Naperville 046,1297,0,3,6,0,9,17,4,33,0,54,1,2,4,0,7,5,4,6,0,15,1,0,3,0,4,13,1,17,0,31,120
Naperville 047,1263,0,1,4,0,5,0,1,13,0,14,2,1,1,0,4,1,0,7,0,8,0,0,2,0,2,1,2,8,0,11,44
Naperville 048,1169,1,1,4,0,6,0,1,14,0,15,0,2,5,0,7,0,0,4,0,4,0,1,0,0,1,1,1,4,0,6,39
Naperville 049,1565,1,0,8,0,9,6,2,11,0,19,0,0,2,0,2,2,0,3,0,5,1,1,2,0,4,2,4,7,0,13,52
Naperville 050,1331,0,0,3,0,3,3,1,4,0,8,0,0,3,0,3,0,0,3,0,3,0,0,1,0,1,0,0,5,0,5,23
Naperville 051,1380,1,0,0,0,1,4,0,10,0,14,0,0,4,0,4,0,0,6,0,6,1,0,1,0,2,3,0,17,0,20,47
Naperville 052,1315,0,1,4,0,5,6,0,12,0,18,0,0,8,0,8,0,3,3,0,6,0,0,1,0,1,2,4,16,0,22,60
Naperville 053,1049,1,2,2,0,5,4,2,9,1,16,2,0,4,0,6,0,0,3,0,3,1,0,3,0,4,5,2,10,0,17,51
Naperville 054,1037,0,1,1,0,2,0,2,6,0,8,0,0,0,0,0,2,5,0,0,7,0,1,0,0,1,3,0,10,0,13,31
Naperville 055,1333,1,4,10,0,15,5,9,17,0,31,1,1,2,0,4,1,1,6,0,8,0,0,2,0,2,7,4,22,0,33,93
Naperville 056,1315,3,0,6,0,9,5,7,19,0,31,2,0,3,0,5,0,3,8,0,11,4,0,4,0,8,4,6,10,0,20,84
Naperville 057,960,4,2,1,0,7,1,2,20,0,23,0,0,9,0,9,2,4,4,0,10,0,0,1,0,1,2,9,19,0,30,80
Naperville 058,905,1,2,4,0,7,4,9,20,0,33,0,0,3,0,3,0,2,12,0,14,0,0,0,0,0,2,4,17,0,23,80
Wayne 001,1352,13,1,6,0,20,15,3,24,0,42,5,1,6,0,12,3,0,5,0,8,3,0,1,0,4,15,2,16,0,33,119
Wayne 002,1107,6,0,5,0,11,18,5,14,0,37,5,0,7,0,12,2,4,2,0,8,0,0,4,0,4,12,4,28,0,44,116
Wayne 003,1036,1,0,9,0,10,4,1,12,0,17,7,0,3,0,10,4,0,0,0,4,1,0,5,0,6,16,4,14,0,34,81
Wayne 004,1074,8,3,2,0,13,5,3,12,0,20,5,1,2,0,8,5,1,2,0,8,3,1,0,0,4,9,0,8,0,17,70
Wayne 005,746,0,0,1,0,1,3,1,4,0,8,3,3,3,0,9,0,2,4,0,6,0,0,5,0,5,3,0,8,0,11,40
Wayne 006,852,8,3,5,0,16,8,2,9,0,19,2,1,4,0,7,2,1,0,0,3,1,0,3,0,4,11,2,8,0,21,70
Wayne 007,1310,9,2,12,0,23,5,4,13,0,22,7,0,6,0,13,3,0,3,0,6,0,0,7,0,7,10,0,16,0,26,97
Wayne 008,917,1,0,3,0,4,10,5,8,0,23,4,1,3,0,8,9,0,3,0,12,1,0,1,0,2,3,0,8,0,11,60
Wayne 009,1036,3,1,8,0,12,2,2,6,0,10,4,2,3,0,9,3,0,4,0,7,1,0,1,0,2,9,5,9,0,23,63
Wayne 010,1091,4,0,7,0,11,3,2,13,0,18,4,0,6,0,10,3,1,3,0,7,0,0,2,0,2,6,2,14,0,22,70
Wayne 011,1082,4,0,3,0,7,5,4,2,0,11,3,1,1,0,5,3,1,2,0,6,0,0,1,0,1,1,1,4,0,6,36
Wayne 012,1255,3,3,8,0,14,9,3,14,0,26,9,1,8,0,18,0,2,2,0,4,0,0,0,0,0,4,1,8,0,13,75
Wayne 013,965,4,2,2,0,8,11,3,10,0,24,3,3,3,0,9,4,2,5,0,11,1,0,1,0,2,6,3,11,0,20,74
Wayne 014,1133,4,1,12,0,17,9,3,12,0,24,4,0,5,0,9,4,0,1,0,5,4,0,0,0,4,9,3,17,0,29,88
Wayne 015,1171,4,1,4,0,9,8,3,13,0,24,6,0,12,0,18,1,1,4,0,6,1,0,0,0,1,2,2,10,0,14,72
Wayne 016,897,2,3,9,0,14,8,2,11,0,21,3,1,7,0,11,1,2,0,0,3,1,0,2,0,3,5,2,9,0,16,68
Wayne 017,1228,5,4,9,0,18,8,5,13,0,26,1,1,14,0,16,7,2,4,0,13,0,0,2,0,2,4,1,12,0,17,92
Wayne 018,705,0,0,2,0,2,1,1,4,0,6,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,2,1,3,0,6,15
Wayne 019,1137,5,4,8,0,17,5,10,17,0,32,0,3,10,0,13,2,3,3,0,8,0,0,5,0,5,6,4,23,0,33,108
Wayne 020,1340,5,1,11,0,17,2,14,22,0,38,4,0,11,0,15,3,2,7,0,12,0,0,1,0,1,5,10,26,0,41,124
Wayne 021,1154,4,3,6,0,13,5,8,9,0,22,7,2,9,0,18,3,3,1,0,7,0,2,4,0,6,12,8,9,0,29,95
Wayne 022,952,2,0,5,0,7,2,6,8,0,16,5,1,4,0,10,2,1,5,0,8,0,0,3,0,3,1,2,15,0,18,62
Wayne 023,1077,4,6,10,0,20,2,2,20,0,24,0,6,3,0,9,1,2,6,0,9,2,0,1,0,3,7,2,11,0,20,85
Wayne 024,945,0,0,4,0,4,2,2,13,0,17,0,1,3,0,4,0,0,3,0,3,0,0,2,0,2,0,0,7,0,7,37
Wayne 025,1003,2,1,3,0,6,7,1,4,0,12,1,0,3,0,4,0,0,6,0,6,0,0,1,0,1,1,6,7,0,14,43
Wayne 026,1128,5,0,4,0,9,2,14,16,0,32,3,5,5,0,13,0,0,6,0,6,0,2,0,0,2,3,4,9,0,16,78
Wayne 027,1046,4,2,15,0,21,6,7,36,0,49,1,2,15,0,18,1,4,2,0,7,1,0,4,0,5,7,6,34,0,47,147
Wayne 028,1099,0,2,8,0,10,13,8,18,0,39,4,1,5,0,10,0,0,5,0,5,0,2,4,0,6,3,3,10,0,16,86
Wayne 029,940,3,2,1,0,6,7,0,8,0,15,2,0,8,0,10,0,0,5,0,5,2,0,0,0,2,5,2,10,0,17,55
Wayne 030,1194,3,2,7,0,12,3,3,18,0,24,3,1,7,0,11,0,0,7,0,7,0,0,2,0,2,4,1,25,0,30,86
Wayne 031,1079,2,2,6,0,10,3,3,18,0,24,2,2,7,0,11,3,0,2,0,5,0,0,3,0,3,7,2,21,0,30,83
Wayne 032,1028,1,1,7,0,9,8,1,36,0,45,3,0,4,0,7,0,1,7,0,8,0,0,1,0,1,5,2,11,0,18,88
Wayne 033,1246,5,0,11,0,16,13,7,13,0,33,3,1,5,0,9,6,9,7,0,22,2,0,4,0,6,14,4,18,0,36,122
Wayne 034,838,1,0,4,0,5,6,7,19,0,32,1,1,6,0,8,1,0,3,0,4,0,1,2,0,3,4,3,22,0,29,81
Wayne 035,702,2,2,1,0,5,7,1,14,0,22,1,0,5,0,6,2,1,7,0,10,0,0,0,0,0,4,3,16,0,23,66
Wayne 036,1123,1,3,6,0,10,12,5,18,0,35,2,0,4,0,6,1,2,6,0,9,2,0,6,0,8,9,2,23,0,34,102
Wayne 037,1117,0,1,6,0,7,5,3,10,0,18,0,1,6,0,7,0,0,2,0,2,1,0,3,0,4,4,0,14,0,18,56
Wayne 038,1309,0,2,2,0,4,5,10,18,0,33,1,5,6,0,12,0,2,5,0,7,1,1,3,0,5,2,6,17,0,25,86
Wayne 039,1425,4,2,4,0,10,8,10,30,0,48,1,3,12,0,16,0,3,4,0,7,2,0,3,0,5,2,1,12,0,15,101
Wayne 040,1001,4,1,2,0,7,6,9,19,0,34,2,6,6,0,14,4,1,4,0,9,0,4,8,0,12,8,3,20,0,31,107
Wayne 041,1093,1,0,13,0,14,7,6,51,0,64,5,0,4,0,9,0,1,7,0,8,0,1,3,0,4,8,7,27,0,42,141
Wayne 042,917,1,4,9,0,14,3,2,7,0,12,0,3,10,0,13,0,1,5,0,6,0,0,2,0,2,10,4,14,0,28,75
Wayne 043,971,0,3,4,0,7,13,6,25,0,44,0,1,3,0,4,0,1,7,0,8,0,1,2,0,3,4,1,14,0,19,85
Winfield 001,1187,1,3,5,0,9,4,3,24,0,31,1,0,5,0,6,0,5,4,0,9,2,1,1,0,4,1,2,16,0,19,78
Winfield 002,1101,1,3,3,1,8,11,5,28,0,44,4,2,7,0,13,0,2,4,0,6,0,2,9,0,11,3,10,22,0,35,117
Winfield 003,1129,5,3,2,0,10,17,6,30,0,53,2,0,6,0,8,3,4,5,0,12,1,0,1,0,2,11,4,33,0,48,133
Winfield 004,1197,1,2,3,0,6,13,7,37,0,57,2,2,7,0,11,2,0,5,0,7,1,0,4,0,5,10,6,21,0,37,123
Winfield 005,1361,1,4,8,0,13,10,6,13,0,29,0,0,4,0,4,1,1,2,0,4,3,1,4,0,8,5,3,23,0,31,89
Winfield 006,1117,1,2,3,0,6,5,2,23,0,30,0,3,9,0,12,0,0,10,0,10,1,0,2,0,3,5,3,39,0,47,108
Winfield 007,982,1,2,7,0,10,15,5,27,0,47,2,2,5,0,9,1,4,3,0,8,4,0,0,0,4,4,14,19,0,37,115
Winfield 008,1079,0,2,12,0,14,4,9,28,0,41,0,1,4,0,5,0,0,2,0,2,0,0,1,0,1,10,2,39,0,51,114
Winfield 009,1286,3,1,5,0,9,4,2,15,0,21,4,2,4,0,10,3,3,0,0,6,2,2,1,0,5,7,2,18,0,27,78
Winfield 010,1213,0,0,3,0,3,2,0,6,0,8,0,0,4,0,4,0,2,3,0,5,0,0,1,0,1,1,0,8,0,9,30
Winfield 011,875,1,2,6,0,9,6,2,12,0,20,0,1,2,0,3,0,0,6,0,6,0,0,3,0,3,8,2,11,0,21,62
Winfield 012,1103,1,0,6,0,7,2,0,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,4,0,4,16
Winfield 013,1444,3,0,7,0,10,1,3,16,0,20,1,1,3,0,5,3,0,4,0,7,2,2,5,0,9,9,3,12,0,24,75
Winfield 014,963,4,8,4,0,16,14,9,30,0,53,1,1,4,0,6,3,5,6,0,14,0,1,2,0,3,7,9,20,0,36,128
Winfield 015,1204,2,2,6,0,10,12,5,29,0,46,0,2,6,0,8,5,0,3,0,8,3,0,2,0,5,14,2,29,0,45,122
Winfield 016,1160,7,2,2,0,11,16,14,20,0,50,4,1,3,0,8,4,2,3,0,9,0,1,4,0,5,15,8,21,0,44,127
Winfield 017,1052,2,2,6,0,10,8,8,14,0,30,5,0,4,0,9,5,2,7,0,14,1,0,2,0,3,3,3,25,0,31,97
Winfield 018,1133,1,1,2,0,4,6,9,7,0,22,6,1,1,0,8,2,1,4,0,7,0,0,1,0,1,9,0,18,0,27,69
Winfield 019,918,2,3,2,0,7,16,7,30,0,53,1,2,4,0,7,0,2,4,0,6,0,0,5,0,5,7,3,22,0,32,110
Winfield 020,850,0,0,6,0,6,5,2,4,0,11,0,1,3,0,4,0,1,2,0,3,0,0,0,0,0,2,2,8,0,12,36
Winfield 021,940,1,1,2,0,4,6,4,7,0,17,1,0,4,0,5,1,3,1,0,5,3,1,2,0,6,5,0,8,0,13,50
Winfield 022,1358,0,2,7,0,9,2,3,19,0,24,1,1,5,0,7,0,3,2,0,5,0,1,2,0,3,1,0,7,0,8,56
Winfield 023,937,1,1,3,0,5,2,5,10,0,17,1,0,4,0,5,3,1,2,0,6,3,0,0,0,3,4,0,11,0,15,51
Winfield 024,1130,1,0,0,0,1,11,3,15,0,29,2,0,1,0,3,1,2,3,0,6,0,0,1,0,1,2,2,16,0,20,60
Winfield 025,840,0,0,6,0,6,6,1,16,0,23,1,0,2,0,3,4,0,4,0,8,2,1,3,0,6,4,5,21,0,30,76
Winfield 026,874,3,1,3,0,7,2,4,18,0,24,0,0,1,0,1,0,3,8,0,11,0,0,2,0,2,7,4,23,0,34,79
Winfield 027,962,1,2,0,0,3,7,4,14,0,25,0,1,2,0,3,1,1,4,0,6,0,0,4,0,4,0,3,20,0,23,64
York 001,1114,0,1,4,0,5,0,1,13,0,14,1,0,5,0,6,3,0,2,0,5,1,0,3,0,4,3,2,18,0,23,57
York 002,992,0,2,5,0,7,3,3,19,0,25,0,4,7,0,11,6,0,4,0,10,2,0,1,0,3,1,3,18,0,22,78
York 003,991,3,0,14,0,17,6,0,26,0,32,1,1,12,0,14,1,2,3,0,6,0,0,3,0,3,6,0,31,0,37,109
York 004,1188,4,0,17,0,21,1,2,31,0,34,5,2,8,0,15,5,4,3,0,12,0,2,3,0,5,11,6,21,0,38,125
York 005,581,2,1,0,0,3,2,3,3,0,8,1,0,2,0,3,0,1,1,0,2,0,0,3,0,3,2,0,10,0,12,31
York 006,1018,0,0,10,0,10,8,3,14,0,25,1,0,5,0,6,1,3,4,0,8,1,0,5,0,6,6,0,17,0,23,78
York 007,1096,1,0,8,0,9,4,5,13,0,22,3,1,4,0,8,0,1,1,0,2,0,1,1,0,2,3,1,7,0,11,54
York 008,860,0,0,1,0,1,3,0,15,0,18,1,0,3,0,4,2,2,3,0,7,0,0,0,0,0,2,2,5,0,9,39
York 009,1085,0,0,1,0,1,7,4,14,0,25,3,0,4,0,7,2,3,2,0,7,0,0,1,0,1,13,1,10,0,24,65
York 010,1295,2,1,3,0,6,11,3,9,0,23,6,5,4,0,15,1,3,2,0,6,0,0,3,0,3,7,4,18,0,29,82
York 011,1195,0,2,3,0,5,12,5,8,0,25,4,0,1,0,5,4,0,1,0,5,1,0,4,0,5,8,3,8,0,19,64
York 012,1136,2,1,2,0,5,6,4,15,0,25,7,2,1,0,10,2,3,1,0,6,0,0,2,0,2,5,3,12,0,20,68
York 013,1249,0,4,13,0,17,1,5,22,0,28,2,1,8,0,11,0,4,3,0,7,0,1,3,0,4,3,3,22,0,28,95
York 014,1015,3,0,1,0,4,12,6,20,0,38,2,1,5,0,8,4,1,2,0,7,2,0,2,0,4,5,0,13,0,18,79
York 015,1099,3,2,5,0,10,8,0,8,0,16,5,1,3,0,9,1,0,2,0,3,0,0,2,0,2,11,1,12,0,24,64
York 016,1095,4,3,10,0,17,10,2,15,0,27,1,1,9,0,11,2,3,1,0,6,0,0,2,0,2,5,5,17,0,27,90
York 017,1219,4,2,8,0,14,9,7,15,0,31,4,1,2,0,7,2,1,2,0,5,4,1,1,0,6,6,6,19,0,31,94
York 018,1228,3,1,2,0,6,7,5,23,0,35,5,6,7,0,18,1,2,6,0,9,1,1,1,0,3,12,6,17,0,35,106
York 019,1244,2,4,5,0,11,11,12,22,0,45,3,3,6,0,12,0,0,2,0,2,1,0,3,0,4,5,3,26,0,34,108
York 020,1241,3,0,3,0,6,12,3,22,0,37,3,1,7,0,11,2,0,2,0,4,0,0,0,0,0,9,0,12,0,21,79
York 021,945,0,1,5,0,6,2,5,7,0,14,1,2,5,0,8,2,0,2,0,4,0,1,3,0,4,5,3,14,0,22,58
York 022,1133,1,3,6,0,10,6,6,17,0,29,1,1,5,0,7,1,3,3,0,7,0,0,3,0,3,4,3,14,0,21,77
York 023,1380,3,2,5,0,10,5,5,18,0,28,4,4,8,0,16,0,5,7,0,12,1,0,2,0,3,3,9,20,0,32,101
York 024,1191,5,1,3,0,9,5,6,19,0,30,4,0,17,0,21,1,1,9,0,11,0,0,4,0,4,4,3,15,0,22,97
York 025,1192,3,2,7,0,12,9,6,21,0,36,6,2,5,0,13,7,1,3,0,11,2,1,0,0,3,8,4,12,0,24,99
York 026,930,4,0,4,0,8,6,6,11,0,23,5,0,2,0,7,4,0,5,0,9,0,2,3,0,5,4,0,15,0,19,71
