FOR UNITED STATES SENATOR ( 1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,KEVIN RYAN,,,,,ROBIN KELLY,,,,,JULIANA STRATTON,,,,,RAJA KRISHNAMOORTHI,,,,,STEVE BOTSFORD JR.,,,,,BRYAN MAXWELL,,,,,JONATHAN DEAN,,,,,SEAN BROWN,,,,,AWISI A. BUSTOS,,,,,CHRISTOPHER SWANN,,,,,Adam Delgado,,,,,
Precinct,Registered Voters,Early,Vote by Mail,Polling,Provisional,Total Votes,Early,Vote by Mail,Polling,Provisional,Total Votes,Early,Vote by Mail,Polling,Provisional,Total Votes,Early,Vote by Mail,Polling,Provisional,Total Votes,Early,Vote by Mail,Polling,Provisional,Total Votes,Early,Vote by Mail,Polling,Provisional,Total Votes,Early,Vote by Mail,Polling,Provisional,Total Votes,Early,Vote by Mail,Polling,Provisional,Total Votes,Early,Vote by Mail,Polling,Provisional,Total Votes,Early,Vote by Mail,Polling,Provisional,Total Votes,Early,Vote by Mail,Polling,Provisional,Total Votes,Total
Downers Grove 069,1245,3,6,2,0,11,7,16,9,0,32,16,25,39,0,80,13,29,25,0,67,0,0,0,0,0,1,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2,0,2,0,0,1,0,1,198
Downers Grove 070,901,2,4,4,0,10,9,0,2,0,11,20,12,27,0,59,25,12,24,0,61,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,144
Downers Grove 071,971,0,0,5,0,5,5,1,8,0,14,23,7,35,0,65,26,17,21,0,64,1,0,1,0,2,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,154
Downers Grove 072,1068,0,1,2,0,3,5,4,7,0,16,15,17,41,0,73,21,18,29,0,68,0,1,0,0,1,0,2,0,0,2,0,1,0,0,1,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,167
Downers Grove 073,1190,1,2,7,0,10,3,4,16,0,23,8,13,32,0,53,5,16,19,0,40,0,0,0,0,0,0,2,1,0,3,0,0,0,0,0,0,0,0,0,0,1,0,2,0,3,0,0,1,0,1,0,0,0,0,0,133
Downers Grove 074,1004,2,0,3,0,5,6,10,18,0,34,7,21,30,0,58,14,35,28,0,77,0,0,0,0,0,0,1,1,0,2,0,0,0,0,0,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,178
Downers Grove 075,907,0,0,0,0,0,1,7,10,0,18,7,3,21,0,31,13,20,17,0,50,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,102
Downers Grove 076,1175,2,1,5,0,8,6,3,4,0,13,21,9,29,0,59,11,22,19,0,52,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,134
Downers Grove 077,1133,0,2,5,0,7,4,6,14,0,24,17,36,22,0,75,16,26,32,0,74,0,0,0,0,0,0,0,2,0,2,0,0,3,0,3,1,4,0,0,5,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,192
Downers Grove 078,1279,2,4,3,0,9,6,12,14,0,32,12,13,38,0,63,26,25,41,0,92,0,0,1,0,1,0,1,2,0,3,0,0,0,0,0,1,0,2,0,3,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,205
Downers Grove 079,961,1,0,4,0,5,7,2,6,0,15,16,26,24,0,66,26,27,16,1,70,0,2,0,0,2,1,2,1,0,4,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,165
Downers Grove 080,1087,2,5,5,0,12,1,6,18,0,25,9,27,22,0,58,21,29,28,1,79,0,2,0,0,2,2,0,0,0,2,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,180
Downers Grove 081,822,0,0,2,0,2,2,4,10,0,16,5,8,22,0,35,9,17,18,0,44,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,0,0,2,0,2,1,0,1,0,2,0,0,1,0,1,0,0,0,0,0,104
Downers Grove 082,988,1,1,1,0,3,5,8,14,0,27,11,15,36,0,62,20,21,31,0,72,0,0,0,0,0,1,0,1,0,2,0,0,2,0,2,1,0,2,0,3,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,173
Downers Grove 083,1290,0,1,4,0,5,6,3,17,0,26,8,25,28,0,61,6,31,39,0,76,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,172
Downers Grove 084,994,3,3,2,0,8,3,2,12,0,17,6,4,21,0,31,18,19,37,0,74,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,133
Downers Grove 085,1266,1,2,2,0,5,5,8,12,0,25,15,23,46,0,84,24,49,40,0,113,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,232
Downers Grove 086,1206,1,2,8,0,11,6,6,7,0,19,16,13,26,0,55,19,30,24,0,73,0,0,0,0,0,0,1,1,0,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,2,0,0,0,0,0,163
Downers Grove 087,1165,2,3,7,0,12,17,8,17,0,42,15,13,32,2,62,20,34,31,1,86,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,205
Downers Grove 088,775,0,3,9,0,12,10,4,13,0,27,5,9,16,0,30,10,13,22,0,45,0,0,0,0,0,1,1,1,0,3,1,0,0,0,1,1,0,0,0,1,0,1,0,0,1,2,0,0,0,2,0,0,0,0,0,122
Downers Grove 089,1151,1,4,10,0,15,4,3,12,0,19,18,21,47,0,86,13,18,29,0,60,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,183
Downers Grove 090,1157,0,13,5,0,18,4,14,9,0,27,8,17,30,0,55,17,41,34,0,92,0,0,1,0,1,0,2,0,0,2,0,0,0,0,0,0,1,0,0,1,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,198
Downers Grove 091,924,1,0,1,0,2,2,8,18,0,28,15,16,23,0,54,17,28,16,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,1,0,1,0,0,0,0,0,148
Downers Grove 092,963,2,2,2,0,6,1,2,8,0,11,10,17,47,0,74,10,26,30,0,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,158
Downers Grove 093,1173,1,1,1,0,3,10,3,39,0,52,8,17,21,0,46,8,11,42,0,61,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,164
Downers Grove 094,1235,1,1,3,0,5,5,6,5,0,16,14,17,35,0,66,29,38,42,0,109,0,0,0,0,0,0,1,0,0,1,1,0,1,0,2,0,0,0,0,0,0,2,0,0,2,1,0,3,0,4,0,0,0,0,0,205
Downers Grove 095,845,1,0,2,0,3,4,12,16,0,32,11,13,21,0,45,20,15,22,0,57,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,144
Downers Grove 096,1056,2,2,1,0,5,5,4,18,0,27,6,10,27,0,43,5,15,22,0,42,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,120
Downers Grove 097,982,0,1,1,0,2,4,0,3,0,7,9,23,22,0,54,20,30,33,0,83,0,3,0,0,3,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150
Downers Grove 098,1136,2,2,1,0,5,4,6,9,0,19,9,8,18,0,35,15,19,26,0,60,0,0,2,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,123
Downers Grove 099,1136,3,3,2,0,8,5,2,9,0,16,8,10,40,0,58,8,14,15,0,37,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,3,0,4,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,126
Downers Grove 100,1031,0,1,2,0,3,9,9,28,0,46,5,8,18,0,31,3,26,24,0,53,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,134
Downers Grove 101,1189,1,0,2,0,3,6,7,19,0,32,6,13,31,0,50,10,26,26,0,62,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,1,0,0,0,1,0,0,2,0,2,0,0,0,0,0,152
Downers Grove 102,1182,0,0,5,0,5,2,4,7,0,13,8,17,15,0,40,2,21,28,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,111
Downers Grove 103,887,2,2,4,0,8,1,6,11,0,18,8,13,27,0,48,6,7,11,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,1,0,3,0,0,0,0,0,102
Lisle 001,1145,0,0,2,0,2,5,11,15,0,31,26,20,40,0,86,26,33,20,0,79,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,2,0,2,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,204
Lisle 002,986,0,7,0,0,7,12,7,11,0,30,20,13,35,0,68,10,11,24,0,45,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,153
Lisle 003,1160,5,3,6,0,14,8,5,14,0,27,24,18,35,0,77,15,14,24,0,53,0,0,0,0,0,0,1,1,0,2,0,0,1,0,1,1,1,1,0,3,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,178
Lisle 004,1172,2,3,6,0,11,8,14,10,0,32,33,32,49,0,114,29,27,32,0,88,0,2,0,0,2,0,0,1,0,1,0,0,1,0,1,0,0,2,0,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,252
Lisle 005,1216,3,4,4,0,11,10,17,14,0,41,15,34,37,0,86,25,35,16,0,76,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,218
Lisle 006,1316,3,5,10,0,18,6,5,14,0,25,20,25,63,0,108,14,19,23,0,56,3,0,0,0,3,2,0,1,0,3,1,0,1,0,2,2,0,1,0,3,0,0,0,1,1,0,2,1,0,3,0,0,0,0,0,222
Lisle 007,1161,3,3,10,0,16,3,8,16,0,27,20,11,29,0,60,13,16,23,0,52,0,0,0,0,0,1,1,1,0,3,0,0,0,0,0,1,0,0,0,1,0,1,2,0,3,0,1,0,0,1,0,0,0,0,0,163
Lisle 008,1161,2,2,10,0,14,6,6,21,0,33,14,25,50,0,89,16,18,33,0,67,0,1,1,0,2,1,1,2,0,4,0,0,0,0,0,0,0,1,0,1,0,3,2,0,5,0,0,2,0,2,0,0,0,0,0,217
Lisle 009,1249,0,4,5,0,9,10,7,11,0,28,37,17,49,0,103,35,29,25,0,89,0,2,0,0,2,0,0,2,0,2,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,235
Lisle 010,1279,9,9,4,0,22,14,10,4,0,28,35,28,33,0,96,23,39,44,0,106,0,0,0,0,0,1,2,2,0,5,0,2,1,0,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,262
Lisle 011,1014,4,4,5,0,13,6,2,11,0,19,23,14,48,0,85,28,20,35,0,83,0,0,1,0,1,1,0,0,0,1,1,0,2,0,3,0,0,0,0,0,1,0,0,0,1,0,2,1,0,3,0,0,0,0,0,209
Lisle 012,1273,2,2,3,0,7,27,20,20,0,67,32,30,46,0,108,40,21,41,0,102,0,0,0,0,0,0,1,0,0,1,0,0,2,0,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,288
Lisle 013,1002,3,2,2,0,7,9,8,9,0,26,22,24,39,0,85,19,13,14,0,46,0,0,0,0,0,0,1,1,0,2,0,0,1,0,1,1,1,0,0,2,0,1,0,0,1,2,0,1,0,3,0,0,0,0,0,173
Lisle 014,851,1,1,2,0,4,6,2,14,0,22,8,11,22,0,41,17,27,20,0,64,0,0,0,0,0,0,2,1,0,3,0,0,0,0,0,0,1,1,0,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,137
Lisle 015,887,1,2,3,0,6,6,5,13,0,24,5,18,37,0,60,12,14,22,0,48,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2,0,0,3,1,0,1,0,2,0,0,0,0,0,144
Lisle 016,1191,2,3,8,0,13,8,5,19,0,32,22,30,41,0,93,22,51,39,2,114,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,254
Lisle 017,981,11,10,8,0,29,8,3,12,0,23,35,14,37,0,86,25,22,17,0,64,1,0,0,0,1,0,3,3,0,6,0,0,2,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,212
Lisle 018,1123,11,8,6,0,25,6,6,9,0,21,27,38,31,0,96,19,38,26,0,83,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,3,0,2,0,5,0,0,2,0,2,1,0,1,0,2,0,0,0,0,0,236
Lisle 019,1037,5,0,6,0,11,11,10,18,0,39,25,22,31,0,78,31,34,21,0,86,0,0,1,0,1,1,0,2,0,3,1,0,0,0,1,0,1,0,0,1,1,1,2,0,4,0,1,1,0,2,0,0,0,0,0,226
Lisle 020,1229,0,2,10,0,12,5,10,13,0,28,37,44,75,0,156,23,15,36,0,74,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,273
Lisle 021,1113,4,6,7,0,17,4,8,17,0,29,14,27,52,0,93,18,37,36,0,91,0,0,0,0,0,0,1,0,0,1,0,0,2,0,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,234
Lisle 022,910,4,3,6,0,13,5,6,12,0,23,13,17,65,0,95,10,23,24,0,57,1,0,0,0,1,0,0,1,0,1,0,0,1,0,1,0,1,1,0,2,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,195
Lisle 023,1283,3,3,4,0,10,3,12,22,0,37,12,16,49,0,77,13,23,22,0,58,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,1,2,0,3,1,0,1,0,2,0,0,0,0,0,189
Lisle 024,798,2,1,4,0,7,6,2,4,0,12,15,13,27,0,55,13,17,13,0,43,0,0,0,0,0,1,0,1,0,2,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121
Lisle 025,1135,1,5,3,0,9,5,8,9,0,22,22,27,39,0,88,18,17,19,0,54,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,2,0,0,0,2,0,1,0,0,1,2,0,1,0,3,0,0,0,0,0,180
Lisle 026,1143,2,2,4,0,8,7,2,15,0,24,29,21,40,0,90,49,45,45,0,139,1,0,0,0,1,0,2,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,265
Lisle 027,1172,9,6,11,0,26,11,7,19,0,37,33,30,54,0,117,35,35,34,0,104,0,0,0,0,0,0,1,2,0,3,2,1,0,0,3,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,292
Lisle 028,1277,2,8,3,0,13,6,9,17,0,32,17,21,63,0,101,16,19,25,0,60,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,1,0,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,211
Lisle 029,840,1,3,0,0,4,6,6,8,0,20,1,10,22,0,33,7,8,24,0,39,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98
Lisle 030,1121,2,9,7,0,18,7,9,20,0,36,22,34,66,0,122,19,24,45,0,88,0,0,0,0,0,0,2,0,0,2,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,268
Lisle 031,1071,2,0,4,0,6,17,24,30,0,71,16,36,37,0,89,20,23,39,0,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,3,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,252
Lisle 032,1156,6,18,11,0,35,9,10,11,0,30,23,18,41,0,82,22,28,24,0,74,0,0,0,0,0,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,1,0,0,0,1,0,0,0,0,0,226
Lisle 033,902,7,10,21,0,38,6,5,11,0,22,8,21,41,0,70,12,26,26,0,64,0,0,0,0,0,0,3,0,0,3,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,198
Lisle 034,1208,2,3,6,0,11,9,14,22,0,45,18,30,35,0,83,24,37,18,0,79,1,0,0,0,1,2,0,0,0,2,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,225
Lisle 035,1050,1,2,1,0,4,7,4,20,0,31,25,42,48,0,115,25,34,38,0,97,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,249
Lisle 036,1057,1,0,1,0,2,8,6,4,0,18,16,15,49,0,80,15,39,39,0,93,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,1,0,0,1,0,0,0,0,0,198
Lisle 037,1274,4,2,3,0,9,7,5,14,0,26,36,45,58,0,139,22,28,42,0,92,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,270
Lisle 038,831,0,2,3,0,5,5,2,5,0,12,13,19,38,0,70,19,17,25,0,61,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,151
Lisle 039,927,7,2,8,0,17,7,12,14,0,33,14,14,46,0,74,12,32,20,0,64,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,192
Lisle 040,1293,0,3,8,0,11,19,8,19,0,46,20,29,55,0,104,21,31,32,0,84,0,0,0,0,0,1,0,3,0,4,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,250
Lisle 041,1224,0,5,5,0,10,11,11,15,0,37,25,29,45,0,99,27,21,40,0,88,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,237
Lisle 042,1128,1,4,2,0,7,7,10,12,0,29,17,23,47,0,87,22,27,24,0,73,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,201
Lisle 043,938,4,0,2,0,6,0,5,8,0,13,12,16,36,0,64,9,25,24,0,58,0,0,0,0,0,0,1,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,146
Lisle 044,1010,7,6,2,0,15,6,5,8,0,19,15,28,41,0,84,18,25,19,0,62,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,181
Lisle 045,1132,1,6,3,0,10,11,4,16,0,31,6,24,47,0,77,26,31,31,0,88,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,210
Lisle 046,674,1,0,3,0,4,2,0,6,0,8,8,14,22,0,44,6,12,10,0,28,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,2,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,88
Lisle 047,847,2,2,6,0,10,4,4,8,0,16,25,22,51,0,98,18,21,31,0,70,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,200
Lisle 048,707,0,1,5,0,6,4,3,15,0,22,5,20,40,0,65,12,16,42,0,70,0,0,0,0,0,0,0,1,0,1,0,0,2,0,2,0,0,0,0,0,0,0,2,0,2,0,1,0,0,1,0,0,0,0,0,169
Lisle 049,1083,2,1,3,0,6,3,0,19,0,22,15,23,45,0,83,25,12,33,0,70,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,184
Lisle 050,926,2,0,0,0,2,6,5,18,0,29,11,19,37,0,67,14,21,43,0,78,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,180
Lisle 051,931,0,1,6,0,7,5,8,12,0,25,9,21,26,2,58,12,20,19,0,51,0,0,1,0,1,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,146
Lisle 052,1173,0,2,4,0,6,3,7,14,0,24,19,18,36,0,73,14,30,40,0,84,0,0,0,0,0,0,3,1,0,4,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,192
Lisle 053,1158,2,4,4,0,10,4,10,15,0,29,22,23,40,0,85,17,32,23,1,73,1,0,1,0,2,0,1,1,0,2,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,2,0,2,0,0,0,0,0,205
Lisle 054,1139,4,2,2,0,8,5,6,9,0,20,28,29,51,0,108,23,25,36,0,84,0,1,1,0,2,0,0,1,0,1,0,0,1,0,1,1,0,1,0,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,227
Lisle 055,1176,2,1,7,0,10,5,4,21,0,30,25,33,81,0,139,25,22,29,0,76,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,260
Lisle 056,862,0,2,1,0,3,10,5,16,0,31,8,7,35,0,50,15,19,17,0,51,0,1,0,0,1,0,0,1,0,1,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,141
Lisle 057,1158,4,2,11,0,17,6,8,13,0,27,22,30,58,0,110,23,36,46,0,105,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,262
Lisle 058,1057,1,2,3,0,6,3,4,9,0,16,11,16,41,0,68,20,26,30,0,76,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,170
Lisle 059,1340,2,5,2,0,9,7,7,9,0,23,13,14,56,0,83,26,36,32,0,94,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,213
Lisle 060,1069,1,1,7,0,9,5,2,15,0,22,11,10,40,0,61,7,6,21,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,130
Lisle 061,807,3,7,3,0,13,4,3,4,0,11,10,10,21,0,41,20,22,28,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,137
Lisle 062,967,1,7,4,0,12,4,7,17,0,28,11,14,62,0,87,4,25,22,0,51,0,2,1,0,3,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,183
Lisle 063,1335,0,0,8,0,8,8,3,22,0,33,18,19,84,0,121,18,28,72,0,118,0,2,0,0,2,0,0,1,0,1,0,0,0,0,0,0,0,2,0,2,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,287
Lisle 064,1046,0,1,7,0,8,10,12,11,0,33,13,34,51,0,98,12,21,48,0,81,0,1,1,0,2,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,1,0,1,0,0,2,0,2,0,0,0,0,0,227
Lisle 065,1000,1,3,7,0,11,2,7,11,0,20,6,17,52,0,75,11,29,56,0,96,2,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,207
Lisle 066,962,0,0,2,0,2,12,10,19,0,41,5,13,19,1,38,3,14,26,0,43,1,0,0,0,1,1,0,1,0,2,0,1,1,0,2,0,0,0,0,0,0,2,1,0,3,0,0,0,0,0,0,0,0,0,0,132
Lisle 067,1217,2,1,6,0,9,11,7,11,0,29,14,12,38,0,64,16,19,18,0,53,0,0,0,0,0,0,1,2,0,3,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,2,0,0,0,0,0,161
Lisle 068,1266,1,2,4,0,7,4,9,8,0,21,10,22,36,0,68,23,21,28,0,72,0,1,0,0,1,1,0,0,0,1,1,0,1,0,2,0,0,1,0,1,0,0,2,0,2,0,1,0,0,1,0,0,0,0,0,176
Lisle 069,1039,2,4,3,0,9,9,6,10,0,25,20,17,35,0,72,23,16,10,0,49,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,158
Lisle 070,1145,1,1,2,0,4,5,4,9,0,18,18,13,40,0,71,15,13,14,0,42,1,0,0,0,1,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,140
Lisle 071,988,1,8,8,0,17,14,6,14,0,34,27,27,62,0,116,16,21,20,0,57,0,0,0,0,0,0,1,1,0,2,0,3,0,0,3,2,0,1,0,3,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,236
Lisle 072,1032,1,1,1,0,3,11,14,10,0,35,17,23,45,0,85,12,31,26,0,69,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,196
Lisle 073,1269,1,2,7,0,10,3,4,11,0,18,12,18,75,0,105,21,36,44,0,101,0,0,0,0,0,0,0,2,0,2,0,2,2,0,4,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,242
Lisle 074,859,1,0,8,0,9,6,1,12,0,19,13,15,50,0,78,11,29,34,0,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,181
