FOR UNITED STATES SENATOR ( 1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,KEVIN RYAN,,,,,ROBIN KELLY,,,,,JULIANA STRATTON,,,,,RAJA KRISHNAMOORTHI,,,,,STEVE BOTSFORD JR.,,,,,BRYAN MAXWELL,,,,,JONATHAN DEAN,,,,,SEAN BROWN,,,,,AWISI A. BUSTOS,,,,,CHRISTOPHER SWANN,,,,,Adam Delgado,,,,,
Precinct,Registered Voters,Early,Vote by Mail,Polling,Provisional,Total Votes,Early,Vote by Mail,Polling,Provisional,Total Votes,Early,Vote by Mail,Polling,Provisional,Total Votes,Early,Vote by Mail,Polling,Provisional,Total Votes,Early,Vote by Mail,Polling,Provisional,Total Votes,Early,Vote by Mail,Polling,Provisional,Total Votes,Early,Vote by Mail,Polling,Provisional,Total Votes,Early,Vote by Mail,Polling,Provisional,Total Votes,Early,Vote by Mail,Polling,Provisional,Total Votes,Early,Vote by Mail,Polling,Provisional,Total Votes,Early,Vote by Mail,Polling,Provisional,Total Votes,Total
Addison 040,1138,0,1,4,0,5,5,2,6,0,13,1,11,38,0,50,15,23,47,0,85,0,0,0,0,0,0,2,0,0,2,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,3,0,4,0,0,0,0,0,161
Addison 041,878,2,0,0,0,2,2,0,2,0,4,5,8,6,0,19,18,8,14,0,40,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,68
Addison 042,1161,3,0,4,0,7,3,2,5,0,10,5,2,37,0,44,17,19,16,0,52,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114
Addison 043,944,0,1,2,0,3,0,1,7,0,8,4,1,19,0,24,9,22,18,0,49,0,0,1,0,1,0,3,0,0,3,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89
Addison 044,1059,2,4,7,0,13,10,1,14,0,25,4,10,27,0,41,16,25,10,0,51,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2,0,3,0,1,1,0,2,0,0,0,0,0,136
Addison 045,1233,2,1,1,0,4,7,3,17,0,27,18,9,31,0,58,25,21,38,0,84,1,0,0,0,1,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,3,0,0,0,0,0,179
Addison 046,1215,3,3,4,0,10,7,3,26,0,36,8,17,51,0,76,19,10,41,0,70,0,0,1,0,1,0,1,2,0,3,0,2,0,0,2,0,1,1,0,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,201
Addison 047,1311,4,0,0,0,4,4,3,2,0,9,9,10,32,0,51,19,18,13,0,50,0,0,1,0,1,0,2,2,0,4,0,0,0,0,0,0,0,0,0,0,0,2,1,0,3,1,0,0,0,1,0,0,0,0,0,123
Addison 048,917,0,1,7,0,8,10,1,16,0,27,16,6,11,0,33,20,17,15,0,52,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,124
Addison 049,636,1,0,1,0,2,4,6,6,0,16,8,5,13,0,26,24,19,23,0,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,112
Addison 050,1014,3,1,3,0,7,7,6,11,0,24,26,16,41,0,83,24,29,28,0,81,0,1,0,0,1,0,0,1,0,1,0,0,1,0,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,200
Addison 051,1159,2,4,1,0,7,22,3,12,0,37,28,21,40,0,89,37,38,39,0,114,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,3,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,253
Addison 052,1283,5,4,5,0,14,6,6,10,0,22,33,36,35,0,104,27,28,32,0,87,0,1,0,0,1,0,0,2,0,2,0,0,0,0,0,0,0,3,0,3,0,0,1,0,1,0,0,2,0,2,0,0,0,0,0,236
Addison 053,1023,1,5,5,0,11,11,4,5,0,20,15,15,36,0,66,14,24,40,0,78,0,0,0,0,0,0,0,2,0,2,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,2,0,2,0,0,0,0,0,181
Bloomingdale 001,656,0,1,0,0,1,4,0,6,0,10,7,8,20,0,35,6,10,9,0,25,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,75
Bloomingdale 002,1093,1,4,3,0,8,1,5,5,0,11,10,9,27,0,46,28,48,32,0,108,0,1,0,0,1,2,0,0,0,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,177
Bloomingdale 003,1086,2,4,5,0,11,6,0,6,0,12,9,12,17,0,38,23,33,37,0,93,0,0,0,0,0,1,0,0,0,1,1,1,0,0,2,0,0,0,0,0,0,0,1,0,1,1,1,0,0,2,0,0,0,0,0,160
Bloomingdale 004,774,1,3,1,0,5,2,0,7,0,9,7,9,23,0,39,23,23,42,0,88,0,0,3,0,3,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,146
Bloomingdale 005,820,4,2,3,0,9,8,2,7,0,17,4,10,18,0,32,23,26,24,0,73,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,133
Bloomingdale 006,1067,5,1,1,0,7,2,4,8,0,14,8,10,36,0,54,16,18,36,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,148
