FOR REPRESENTATIVE IN CONGRESS EIGHTH CONGRESSIONAL DISTRICT ( 1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,NEIL KHOT,,,,,YASMEEN BANKOLE,,,,,KEVIN B. MORRISON,,,,,DAN TULLY,,,,,RYAN VETTICAD,,,,,MELISSA L. BEAN,,,,,JUNAID AHMED,,,,,SANJYOT DUNUNG,,,,,
Precinct,Registered Voters,Early,Vote by Mail,Polling,Provisional,Total Votes,Early,Vote by Mail,Polling,Provisional,Total Votes,Early,Vote by Mail,Polling,Provisional,Total Votes,Early,Vote by Mail,Polling,Provisional,Total Votes,Early,Vote by Mail,Polling,Provisional,Total Votes,Early,Vote by Mail,Polling,Provisional,Total Votes,Early,Vote by Mail,Polling,Provisional,Total Votes,Early,Vote by Mail,Polling,Provisional,Total Votes,Total
Wayne 030,1194,7,1,10,0,18,2,10,9,0,21,2,4,6,0,12,7,11,17,0,35,1,0,0,0,1,15,22,29,0,66,14,17,22,0,53,0,1,6,0,7,213
Wayne 031,1079,2,2,8,0,12,2,3,9,0,14,2,3,2,0,7,8,14,15,0,37,0,0,2,0,2,3,25,26,0,54,28,8,16,0,52,0,2,1,0,3,181
Wayne 032,1028,4,3,8,0,15,6,6,11,0,23,0,3,1,0,4,5,10,7,0,22,0,3,0,0,3,5,17,15,0,37,8,2,26,0,36,1,3,1,0,5,145
Wayne 034,838,1,3,6,0,10,3,4,5,0,12,5,4,7,0,16,8,5,10,0,23,0,1,0,0,1,12,12,16,0,40,13,10,15,0,38,0,1,2,0,3,143
Wayne 035,702,3,1,3,0,7,3,2,1,0,6,2,1,2,0,5,2,4,6,0,12,0,0,1,0,1,18,10,13,0,41,6,10,11,0,27,0,1,1,0,2,101
Wayne 036,1123,2,2,3,0,7,3,4,11,0,18,0,6,5,0,11,12,22,32,0,66,1,1,0,0,2,13,22,30,0,65,11,19,30,0,60,0,0,0,0,0,229
Wayne 037,1117,2,4,7,0,13,2,4,6,0,12,0,1,4,0,5,6,3,12,0,21,0,0,0,0,0,18,7,14,0,39,6,8,27,0,41,0,3,2,0,5,136
Wayne 042,917,2,3,5,0,10,5,3,4,0,12,1,5,2,0,8,5,7,6,0,18,0,0,2,0,2,9,17,21,0,47,8,8,18,0,34,1,0,1,0,2,133
FEDERAL - F08,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,6
Total:,108972,249,231,503,0,983,439,449,930,0,1818,220,310,362,0,892,609,724,1062,0,2395,25,63,67,0,155,1174,1550,2155,1,4880,1458,913,2126,2,4499,91,89,190,0,370,15992
