FOR GOVERNOR AND LIEUTENANT GOVERNOR ( 1),,,,,,,,,,,,,,,,,,,,,,
,,TED DABROWSKI / CARRIE MENDOZA,,,,,JAMES MENDRICK / ROBERT RENTERIA,,,,,DARREN BAILEY / AARON B. DEL MAR,,,,,RICK HEIDNER / CHRISTINA NEITZKE-TROIKE,,,,,
Precinct,Registered Voters,Early,Vote by Mail,Polling,Provisional,Total Votes,Early,Vote by Mail,Polling,Provisional,Total Votes,Early,Vote by Mail,Polling,Provisional,Total Votes,Early,Vote by Mail,Polling,Provisional,Total Votes,Total
Bloomingdale 044,1146,4,5,7,0,16,5,4,15,0,24,10,7,15,0,32,1,4,11,0,16,88
Bloomingdale 045,1024,6,3,15,0,24,7,2,17,0,26,1,6,7,0,14,3,3,15,0,21,85
Bloomingdale 046,665,3,0,9,0,12,3,1,8,0,12,0,0,1,0,1,1,0,0,0,1,26
Bloomingdale 047,1155,4,2,11,0,17,8,0,6,0,14,2,2,10,0,14,5,2,4,0,11,56
Bloomingdale 048,795,8,4,9,0,21,5,1,6,0,12,6,0,1,0,7,0,2,0,0,2,42
Bloomingdale 049,658,1,2,0,0,3,0,0,2,0,2,0,1,3,0,4,1,0,0,0,1,10
Bloomingdale 050,956,5,3,11,0,19,12,5,19,0,36,5,1,9,0,15,1,0,7,0,8,78
Bloomingdale 051,1175,0,4,28,0,32,7,11,29,0,47,8,6,24,0,38,1,0,13,0,14,131
Bloomingdale 052,1132,0,2,9,0,11,3,1,30,0,34,6,6,14,0,26,0,1,5,0,6,77
Bloomingdale 053,839,2,3,9,0,14,0,3,6,0,9,0,3,9,0,12,2,0,1,0,3,38
Bloomingdale 054,1187,4,0,9,0,13,11,6,24,0,41,2,2,13,0,17,2,0,0,0,2,73
Bloomingdale 055,815,2,3,12,0,17,0,1,8,0,9,0,1,3,0,4,0,0,1,0,1,31
Bloomingdale 056,1042,3,4,7,0,14,7,0,9,0,16,2,1,4,0,7,0,0,1,0,1,38
Bloomingdale 057,705,1,0,4,0,5,4,2,7,0,13,2,0,3,0,5,0,0,2,0,2,25
Bloomingdale 058,1358,6,1,6,0,13,10,2,9,0,21,9,1,13,0,23,2,1,1,0,4,61
Bloomingdale 059,925,5,3,6,0,14,4,1,3,0,8,1,0,3,0,4,1,0,1,0,2,28
Bloomingdale 060,1095,2,0,6,0,8,6,0,14,0,20,3,3,11,0,17,2,1,5,0,8,53
Bloomingdale 061,1056,2,0,26,0,28,2,1,21,0,24,3,2,15,0,20,1,0,4,0,5,77
Bloomingdale 062,1047,1,2,18,0,21,5,5,32,0,42,4,2,19,0,25,2,2,7,0,11,99
Bloomingdale 063,1053,4,4,19,0,27,1,5,17,0,23,3,1,14,0,18,0,1,7,0,8,76
Bloomingdale 064,1395,5,3,10,0,18,7,2,11,1,21,4,3,10,0,17,1,0,5,0,6,62
Bloomingdale 065,1265,5,4,8,0,17,6,5,22,0,33,3,5,7,0,15,1,2,4,0,7,72
Bloomingdale 066,1091,4,1,6,0,11,4,1,4,0,9,1,0,4,0,5,4,1,2,0,7,32
Bloomingdale 067,686,1,5,17,0,23,3,3,20,0,26,4,52,52,0,108,0,5,12,0,17,174
Bloomingdale 068,1157,2,2,14,0,18,5,2,14,0,21,8,7,11,0,26,0,1,5,0,6,71
Bloomingdale 069,982,5,5,5,0,15,4,7,4,0,15,4,0,7,0,11,0,1,1,0,2,43
Bloomingdale 070,897,1,3,4,0,8,1,5,5,0,11,0,4,15,0,19,3,0,0,0,3,41
Bloomingdale 071,1295,5,3,13,0,21,4,0,12,0,16,4,1,12,0,17,0,1,5,0,6,60
Bloomingdale 072,993,2,1,12,0,15,7,1,8,0,16,2,1,13,0,16,3,3,4,0,10,57
Downers Grove 001,596,7,8,11,0,26,8,1,18,0,27,4,2,9,0,15,3,2,2,0,7,75
Downers Grove 002,1189,9,6,17,0,32,2,7,10,0,19,9,3,12,0,24,3,1,3,0,7,82
Downers Grove 003,1182,10,7,32,0,49,5,10,18,0,33,4,2,13,0,19,2,3,3,0,8,109
Downers Grove 004,1174,9,1,16,0,26,12,4,19,0,35,6,1,16,0,23,2,3,4,0,9,93
Downers Grove 005,1148,10,5,17,0,32,3,5,13,0,21,5,6,18,0,29,1,1,7,0,9,91
Downers Grove 006,1221,16,4,19,0,39,9,2,7,0,18,7,10,8,0,25,2,3,4,0,9,91
Downers Grove 007,1167,20,9,13,0,42,7,4,0,0,11,4,4,2,0,10,0,0,2,0,2,65
Downers Grove 008,1221,16,1,20,0,37,3,4,9,0,16,4,4,9,0,17,2,0,3,0,5,75
Downers Grove 009,1170,19,9,23,0,51,10,3,4,0,17,6,8,4,0,18,2,2,6,0,10,96
Downers Grove 010,1078,5,2,16,0,23,10,2,19,0,31,5,1,8,0,14,2,4,0,0,6,74
Downers Grove 011,1074,21,7,19,0,47,5,2,2,0,9,5,8,3,0,16,3,0,1,0,4,76
Downers Grove 012,1141,15,10,20,0,45,8,1,9,0,18,3,3,3,0,9,6,4,2,0,12,84
Downers Grove 013,1076,13,6,24,0,43,1,3,9,0,13,6,5,3,0,14,2,0,4,0,6,76
Downers Grove 014,1059,6,3,23,0,32,8,3,8,0,19,1,10,8,0,19,1,1,5,0,7,77
Downers Grove 015,1224,11,5,16,0,32,10,1,7,0,18,11,5,10,0,26,7,3,5,0,15,91
Downers Grove 016,1169,10,8,15,0,33,10,1,11,0,22,12,1,7,0,20,5,3,5,0,13,88
Downers Grove 017,952,15,5,7,0,27,11,4,4,0,19,5,0,10,0,15,3,1,3,0,7,68
Downers Grove 018,817,9,8,22,0,39,1,1,5,0,7,2,2,13,0,17,0,2,2,0,4,67
Downers Grove 019,902,11,7,8,0,26,1,1,1,0,3,3,3,7,0,13,1,1,2,0,4,46
Downers Grove 020,1143,6,9,22,0,37,1,3,8,0,12,3,7,8,0,18,1,2,1,0,4,71
Downers Grove 021,1162,29,6,21,0,56,8,4,2,0,14,8,4,6,0,18,1,1,1,0,3,91
Downers Grove 022,1058,10,6,13,0,29,1,3,1,0,5,6,4,1,0,11,1,0,3,0,4,49
Downers Grove 023,907,10,8,3,0,21,4,5,3,0,12,2,9,7,0,18,0,0,0,0,0,51
Downers Grove 024,982,19,3,23,0,45,5,3,7,0,15,2,6,6,0,14,3,1,3,0,7,81
Downers Grove 025,1099,12,7,17,0,36,7,6,9,0,22,3,3,10,0,16,2,1,4,0,7,81
