JoinField,JoinField_alt,Ted Dabrowski & Carrie Mendoza,James Mendrick & Robert Renteria,Darren Bailey & Aaron B. Del Mar,Rick Heidner & Christina Neitzke-Troike,Total Voters
COOK:7200028,COOK:Bremen Precinct 28,12,4,11,9,36
COOK:7200029,COOK:Bremen Precinct 29,1,0,1,3,5
COOK:7200030,COOK:Bremen Precinct 30,19,10,31,10,70
COOK:7200031,COOK:Bremen Precinct 31,0,0,0,2,2
COOK:7200032,COOK:Bremen Precinct 32,8,1,1,1,11
COOK:7200033,COOK:Bremen Precinct 33,27,1,25,9,62
COOK:7200034,COOK:Bremen Precinct 34,18,11,33,20,82
COOK:7200035,COOK:Bremen Precinct 35,3,2,2,0,7
COOK:7200036,COOK:Bremen Precinct 36,13,2,6,4,25
COOK:7200037,COOK:Bremen Precinct 37,2,1,3,1,7
COOK:7200038,COOK:Bremen Precinct 38,11,8,19,9,47
COOK:7200039,COOK:Bremen Precinct 39,1,0,3,0,4
COOK:7200040,COOK:Bremen Precinct 40,11,1,3,2,17
COOK:7200041,COOK:Bremen Precinct 41,16,6,27,9,58
COOK:7200042,COOK:Bremen Precinct 42,26,7,38,6,77
COOK:7200043,COOK:Bremen Precinct 43,1,2,10,4,17
COOK:7200044,COOK:Bremen Precinct 44,25,12,24,7,68
COOK:7200045,COOK:Bremen Precinct 45,2,1,0,0,3
COOK:7200046,COOK:Bremen Precinct 46,1,1,3,1,6
COOK:7200047,COOK:Bremen Precinct 47,1,1,2,0,4
COOK:7200048,COOK:Bremen Precinct 48,1,1,1,0,3
COOK:7200049,COOK:Bremen Precinct 49,2,1,1,0,4
COOK:7200050,COOK:Bremen Precinct 50,47,9,43,18,117
COOK:7200051,COOK:Bremen Precinct 51,1,0,3,3,7
COOK:7200052,COOK:Bremen Precinct 52,10,5,10,8,33
COOK:7200053,COOK:Bremen Precinct 53,15,8,20,6,49
COOK:7200054,COOK:Bremen Precinct 54,13,4,15,8,40
COOK:7200055,COOK:Bremen Precinct 55,6,4,10,1,21
COOK:7200056,COOK:Bremen Precinct 56,3,0,2,3,8
COOK:9400012,COOK:Bremen Precinct 57,20,3,27,8,58
COOK:7200058,COOK:Bremen Precinct 58,14,8,24,12,58
COOK:7200059,COOK:Bremen Precinct 59,12,2,23,6,43
COOK:7200060,COOK:Bremen Precinct 60,18,6,17,7,48
COOK:7200061,COOK:Bremen Precinct 61,17,6,26,14,63
COOK:7200062,COOK:Bremen Precinct 62,18,6,27,2,53
COOK:7200063,COOK:Bremen Precinct 63,1,0,5,0,6
COOK:7200064,COOK:Bremen Precinct 64,29,5,23,12,69
COOK:7200065,COOK:Bremen Precinct 65,31,3,39,11,84
COOK:7200066,COOK:Bremen Precinct 66,3,2,3,0,8
COOK:7300001,COOK:Calumet Precinct 1,5,1,1,1,8
COOK:7300002,COOK:Calumet Precinct 2,5,1,7,1,14
COOK:7300003,COOK:Calumet Precinct 3,5,2,0,0,7
