JoinField,Ward,Precinct,Ted Dabrowski & Carrie Mendoza,James Mendrick & Robert Renteria,Darren Bailey & Aaron B. Del Mar,Rick Heidner & Christina Neitzke-Troike,Total Voters
CITY OF CHICAGO:WARD 26 PRECINCT 18,26,18,3,0,5,1,9
CITY OF CHICAGO:WARD 26 PRECINCT 19,26,19,4,0,3,1,8
CITY OF CHICAGO:WARD 26 PRECINCT 20,26,20,2,0,3,0,5
CITY OF CHICAGO:WARD 26 PRECINCT 21,26,21,5,1,3,0,9
CITY OF CHICAGO:WARD 26 PRECINCT 22,26,22,3,2,7,1,13
CITY OF CHICAGO:WARD 26 PRECINCT 23,26,23,4,0,1,1,6
CITY OF CHICAGO:WARD 26 PRECINCT 24,26,24,2,0,3,0,5
CITY OF CHICAGO:WARD 26 PRECINCT 25,26,25,2,0,0,2,4
CITY OF CHICAGO:WARD 26 PRECINCT 26,26,26,7,1,2,0,10
CITY OF CHICAGO:WARD 26 PRECINCT 27,26,27,4,3,2,0,9
CITY OF CHICAGO:WARD 26 PRECINCT 28,26,28,5,1,1,0,7
CITY OF CHICAGO:WARD 26 PRECINCT 29,26,29,3,3,3,1,10
CITY OF CHICAGO:WARD 26 PRECINCT 30,26,30,2,0,0,0,2
CITY OF CHICAGO:WARD 26 PRECINCT 31,26,31,4,1,3,0,8
CITY OF CHICAGO:WARD 26 PRECINCT 32,26,32,0,1,0,0,1
CITY OF CHICAGO:WARD 27 PRECINCT 01,27,1,4,1,8,1,14
CITY OF CHICAGO:WARD 27 PRECINCT 02,27,2,14,1,5,1,21
CITY OF CHICAGO:WARD 27 PRECINCT 03,27,3,3,1,3,0,7
CITY OF CHICAGO:WARD 27 PRECINCT 04,27,4,3,1,2,1,7
CITY OF CHICAGO:WARD 27 PRECINCT 05,27,5,6,0,1,2,9
CITY OF CHICAGO:WARD 27 PRECINCT 06,27,6,11,4,7,1,23
CITY OF CHICAGO:WARD 27 PRECINCT 07,27,7,16,1,10,0,27
CITY OF CHICAGO:WARD 27 PRECINCT 08,27,8,3,0,1,1,5
CITY OF CHICAGO:WARD 27 PRECINCT 09,27,9,13,4,4,1,22
CITY OF CHICAGO:WARD 27 PRECINCT 10,27,10,4,1,5,0,10
CITY OF CHICAGO:WARD 27 PRECINCT 11,27,11,8,2,3,0,13
CITY OF CHICAGO:WARD 27 PRECINCT 12,27,12,11,2,4,3,20
CITY OF CHICAGO:WARD 27 PRECINCT 13,27,13,7,1,1,1,10
CITY OF CHICAGO:WARD 27 PRECINCT 14,27,14,3,0,2,1,6
CITY OF CHICAGO:WARD 27 PRECINCT 15,27,15,2,2,4,0,8
CITY OF CHICAGO:WARD 27 PRECINCT 16,27,16,10,3,9,4,26
CITY OF CHICAGO:WARD 27 PRECINCT 17,27,17,0,1,4,2,7
CITY OF CHICAGO:WARD 27 PRECINCT 18,27,18,5,0,7,1,13
CITY OF CHICAGO:WARD 27 PRECINCT 19,27,19,0,2,1,1,4
CITY OF CHICAGO:WARD 27 PRECINCT 20,27,20,2,0,6,1,9
CITY OF CHICAGO:WARD 27 PRECINCT 21,27,21,6,1,2,2,11
CITY OF CHICAGO:WARD 27 PRECINCT 22,27,22,4,1,2,1,8
CITY OF CHICAGO:WARD 27 PRECINCT 23,27,23,1,0,2,0,3
CITY OF CHICAGO:WARD 27 PRECINCT 24,27,24,1,0,2,2,5
CITY OF CHICAGO:WARD 27 PRECINCT 25,27,25,3,2,5,2,12
CITY OF CHICAGO:WARD 27 PRECINCT 26,27,26,2,1,5,1,9
CITY OF CHICAGO:WARD 27 PRECINCT 27,27,27,2,3,4,1,10
CITY OF CHICAGO:WARD 27 PRECINCT 28,27,28,9,0,5,5,19
CITY OF CHICAGO:WARD 27 PRECINCT 29,27,29,15,2,8,1,26
CITY OF CHICAGO:WARD 28 PRECINCT 01,28,1,4,2,0,0,6
CITY OF CHICAGO:WARD 28 PRECINCT 02,28,2,1,3,2,0,6
CITY OF CHICAGO:WARD 28 PRECINCT 03,28,3,0,0,0,0,0
CITY OF CHICAGO:WARD 28 PRECINCT 04,28,4,1,0,3,0,4
CITY OF CHICAGO:WARD 28 PRECINCT 05,28,5,1,1,1,0,3
CITY OF CHICAGO:WARD 28 PRECINCT 06,28,6,4,1,2,1,8
CITY OF CHICAGO:WARD 28 PRECINCT 07,28,7,4,1,1,0,6
CITY OF CHICAGO:WARD 28 PRECINCT 08,28,8,0,4,2,0,6
CITY OF CHICAGO:WARD 28 PRECINCT 09,28,9,1,0,1,0,2
CITY OF CHICAGO:WARD 28 PRECINCT 10,28,10,1,0,2,2,5
CITY OF CHICAGO:WARD 28 PRECINCT 11,28,11,6,2,4,0,12
CITY OF CHICAGO:WARD 28 PRECINCT 12,28,12,13,3,2,3,21
CITY OF CHICAGO:WARD 28 PRECINCT 13,28,13,11,6,6,3,26
CITY OF CHICAGO:WARD 28 PRECINCT 14,28,14,5,2,10,0,17
CITY OF CHICAGO:WARD 28 PRECINCT 15,28,15,1,4,2,1,8
CITY OF CHICAGO:WARD 28 PRECINCT 16,28,16,4,0,2,0,6
CITY OF CHICAGO:WARD 28 PRECINCT 17,28,17,4,1,1,1,7
CITY OF CHICAGO:WARD 28 PRECINCT 18,28,18,4,0,1,0,5
CITY OF CHICAGO:WARD 28 PRECINCT 19,28,19,0,1,0,0,1
CITY OF CHICAGO:WARD 28 PRECINCT 20,28,20,2,0,1,0,3
CITY OF CHICAGO:WARD 28 PRECINCT 21,28,21,1,1,3,1,6
CITY OF CHICAGO:WARD 28 PRECINCT 22,28,22,4,2,2,1,9
CITY OF CHICAGO:WARD 28 PRECINCT 23,28,23,3,0,2,0,5
CITY OF CHICAGO:WARD 28 PRECINCT 24,28,24,0,0,2,0,2
CITY OF CHICAGO:WARD 28 PRECINCT 25,28,25,2,0,3,1,6
CITY OF CHICAGO:WARD 28 PRECINCT 26,28,26,0,1,0,1,2
CITY OF CHICAGO:WARD 29 PRECINCT 01,29,1,33,2,11,4,50
CITY OF CHICAGO:WARD 29 PRECINCT 02,29,2,19,4,11,7,41
CITY OF CHICAGO:WARD 29 PRECINCT 03,29,3,19,2,5,4,30
CITY OF CHICAGO:WARD 29 PRECINCT 04,29,4,14,1,13,2,30
CITY OF CHICAGO:WARD 29 PRECINCT 05,29,5,5,3,12,0,20
CITY OF CHICAGO:WARD 29 PRECINCT 06,29,6,6,0,3,0,9
CITY OF CHICAGO:WARD 29 PRECINCT 07,29,7,10,4,7,5,26
CITY OF CHICAGO:WARD 29 PRECINCT 08,29,8,15,8,12,2,37
CITY OF CHICAGO:WARD 29 PRECINCT 09,29,9,2,1,1,0,4
CITY OF CHICAGO:WARD 29 PRECINCT 10,29,10,2,2,7,0,11
CITY OF CHICAGO:WARD 29 PRECINCT 11,29,11,3,1,6,2,12
CITY OF CHICAGO:WARD 29 PRECINCT 12,29,12,4,2,6,2,14
CITY OF CHICAGO:WARD 29 PRECINCT 13,29,13,3,1,1,0,5
CITY OF CHICAGO:WARD 29 PRECINCT 14,29,14,2,2,6,0,10
CITY OF CHICAGO:WARD 29 PRECINCT 15,29,15,5,3,3,0,11
CITY OF CHICAGO:WARD 29 PRECINCT 16,29,16,2,1,2,2,7
CITY OF CHICAGO:WARD 29 PRECINCT 17,29,17,1,0,2,1,4
CITY OF CHICAGO:WARD 29 PRECINCT 18,29,18,5,0,4,0,9
CITY OF CHICAGO:WARD 29 PRECINCT 19,29,19,2,4,2,1,9
CITY OF CHICAGO:WARD 29 PRECINCT 20,29,20,5,0,2,0,7
CITY OF CHICAGO:WARD 29 PRECINCT 21,29,21,5,4,9,2,20
CITY OF CHICAGO:WARD 29 PRECINCT 22,29,22,3,0,1,1,5
CITY OF CHICAGO:WARD 29 PRECINCT 23,29,23,1,0,0,1,2
CITY OF CHICAGO:WARD 29 PRECINCT 24,29,24,2,0,2,1,5
CITY OF CHICAGO:WARD 30 PRECINCT 01,30,1,19,7,7,4,37
CITY OF CHICAGO:WARD 30 PRECINCT 02,30,2,18,2,14,5,39
CITY OF CHICAGO:WARD 30 PRECINCT 03,30,3,4,0,3,2,9
CITY OF CHICAGO:WARD 30 PRECINCT 04,30,4,19,2,1,1,23
CITY OF CHICAGO:WARD 30 PRECINCT 05,30,5,7,3,8,0,18
CITY OF CHICAGO:WARD 30 PRECINCT 06,30,6,15,3,4,2,24
CITY OF CHICAGO:WARD 30 PRECINCT 07,30,7,9,0,8,2,19
CITY OF CHICAGO:WARD 30 PRECINCT 08,30,8,9,1,6,2,18
CITY OF CHICAGO:WARD 30 PRECINCT 09,30,9,18,1,5,2,26
CITY OF CHICAGO:WARD 30 PRECINCT 10,30,10,9,4,5,1,19
CITY OF CHICAGO:WARD 30 PRECINCT 11,30,11,11,1,6,1,19
CITY OF CHICAGO:WARD 30 PRECINCT 12,30,12,18,1,11,7,37
CITY OF CHICAGO:WARD 30 PRECINCT 13,30,13,15,2,10,7,34
CITY OF CHICAGO:WARD 30 PRECINCT 14,30,14,19,1,7,2,29
CITY OF CHICAGO:WARD 30 PRECINCT 15,30,15,13,3,1,1,18
CITY OF CHICAGO:WARD 30 PRECINCT 16,30,16,8,3,1,1,13
CITY OF CHICAGO:WARD 30 PRECINCT 17,30,17,9,2,10,4,25
CITY OF CHICAGO:WARD 30 PRECINCT 18,30,18,5,0,2,2,9
CITY OF CHICAGO:WARD 30 PRECINCT 19,30,19,5,2,10,1,18
CITY OF CHICAGO:WARD 30 PRECINCT 20,30,20,6,1,2,0,9
CITY OF CHICAGO:WARD 30 PRECINCT 21,30,21,18,3,8,3,32
CITY OF CHICAGO:WARD 30 PRECINCT 22,30,22,8,2,9,2,21
CITY OF CHICAGO:WARD 30 PRECINCT 23,30,23,8,3,4,1,16
CITY OF CHICAGO:WARD 30 PRECINCT 24,30,24,15,1,8,3,27
CITY OF CHICAGO:WARD 30 PRECINCT 25,30,25,7,0,4,2,13
CITY OF CHICAGO:WARD 30 PRECINCT 26,30,26,13,2,1,1,17
CITY OF CHICAGO:WARD 31 PRECINCT 01,31,1,7,1,4,0,12
CITY OF CHICAGO:WARD 31 PRECINCT 02,31,2,10,5,9,2,26
CITY OF CHICAGO:WARD 31 PRECINCT 03,31,3,17,2,6,0,25
CITY OF CHICAGO:WARD 31 PRECINCT 04,31,4,3,1,4,1,9
CITY OF CHICAGO:WARD 31 PRECINCT 05,31,5,5,1,2,1,9
CITY OF CHICAGO:WARD 31 PRECINCT 06,31,6,7,0,7,0,14
CITY OF CHICAGO:WARD 31 PRECINCT 07,31,7,7,1,6,1,15
CITY OF CHICAGO:WARD 31 PRECINCT 08,31,8,14,6,4,0,24
CITY OF CHICAGO:WARD 31 PRECINCT 09,31,9,7,3,1,2,13
CITY OF CHICAGO:WARD 31 PRECINCT 10,31,10,12,2,6,2,22
CITY OF CHICAGO:WARD 31 PRECINCT 11,31,11,7,2,7,4,20
CITY OF CHICAGO:WARD 31 PRECINCT 12,31,12,23,3,7,2,35
CITY OF CHICAGO:WARD 31 PRECINCT 13,31,13,5,5,1,3,14
CITY OF CHICAGO:WARD 31 PRECINCT 14,31,14,9,4,11,3,27
CITY OF CHICAGO:WARD 31 PRECINCT 15,31,15,1,1,7,2,11
CITY OF CHICAGO:WARD 31 PRECINCT 16,31,16,2,4,6,1,13
CITY OF CHICAGO:WARD 31 PRECINCT 17,31,17,15,3,2,4,24
CITY OF CHICAGO:WARD 31 PRECINCT 18,31,18,4,2,0,1,7
CITY OF CHICAGO:WARD 31 PRECINCT 19,31,19,10,1,4,1,16
CITY OF CHICAGO:WARD 31 PRECINCT 20,31,20,4,2,2,2,10
CITY OF CHICAGO:WARD 31 PRECINCT 21,31,21,9,2,8,1,20
CITY OF CHICAGO:WARD 31 PRECINCT 22,31,22,1,0,1,0,2
CITY OF CHICAGO:WARD 31 PRECINCT 23,31,23,1,1,3,1,6
CITY OF CHICAGO:WARD 32 PRECINCT 01,32,1,18,0,13,4,35
CITY OF CHICAGO:WARD 32 PRECINCT 02,32,2,12,3,4,1,20
CITY OF CHICAGO:WARD 32 PRECINCT 03,32,3,16,1,3,2,22
CITY OF CHICAGO:WARD 32 PRECINCT 04,32,4,8,2,4,0,14
CITY OF CHICAGO:WARD 32 PRECINCT 05,32,5,11,0,1,0,12
CITY OF CHICAGO:WARD 32 PRECINCT 06,32,6,2,0,2,3,7
CITY OF CHICAGO:WARD 32 PRECINCT 07,32,7,12,2,6,3,23
CITY OF CHICAGO:WARD 32 PRECINCT 08,32,8,7,0,4,2,13
CITY OF CHICAGO:WARD 32 PRECINCT 09,32,9,11,0,7,1,19
CITY OF CHICAGO:WARD 32 PRECINCT 10,32,10,11,2,9,1,23
CITY OF CHICAGO:WARD 32 PRECINCT 11,32,11,8,0,9,1,18
CITY OF CHICAGO:WARD 32 PRECINCT 12,32,12,7,0,4,2,13
CITY OF CHICAGO:WARD 32 PRECINCT 13,32,13,5,0,4,1,10
CITY OF CHICAGO:WARD 32 PRECINCT 14,32,14,10,2,6,0,18
CITY OF CHICAGO:WARD 32 PRECINCT 15,32,15,19,3,12,3,37
CITY OF CHICAGO:WARD 32 PRECINCT 16,32,16,10,2,5,1,18
CITY OF CHICAGO:WARD 32 PRECINCT 17,32,17,16,0,6,1,23
CITY OF CHICAGO:WARD 32 PRECINCT 18,32,18,10,0,3,0,13
CITY OF CHICAGO:WARD 32 PRECINCT 19,32,19,6,0,7,1,14
CITY OF CHICAGO:WARD 32 PRECINCT 20,32,20,22,2,9,0,33
CITY OF CHICAGO:WARD 32 PRECINCT 21,32,21,5,1,2,4,12
CITY OF CHICAGO:WARD 32 PRECINCT 22,32,22,7,2,1,2,12
CITY OF CHICAGO:WARD 32 PRECINCT 23,32,23,10,0,5,1,16
CITY OF CHICAGO:WARD 32 PRECINCT 24,32,24,9,0,4,3,16
CITY OF CHICAGO:WARD 32 PRECINCT 25,32,25,4,2,4,0,10
CITY OF CHICAGO:WARD 32 PRECINCT 26,32,26,10,2,4,0,16
CITY OF CHICAGO:WARD 32 PRECINCT 27,32,27,10,1,1,1,13
CITY OF CHICAGO:WARD 32 PRECINCT 28,32,28,4,0,0,0,4
CITY OF CHICAGO:WARD 32 PRECINCT 29,32,29,5,1,7,2,15
CITY OF CHICAGO:WARD 32 PRECINCT 30,32,30,5,1,3,1,10
CITY OF CHICAGO:WARD 33 PRECINCT 01,33,1,13,5,5,1,24
CITY OF CHICAGO:WARD 33 PRECINCT 02,33,2,8,0,8,0,16
CITY OF CHICAGO:WARD 33 PRECINCT 03,33,3,7,2,7,0,16
CITY OF CHICAGO:WARD 33 PRECINCT 04,33,4,13,1,9,0,23
CITY OF CHICAGO:WARD 33 PRECINCT 05,33,5,9,2,13,1,25
CITY OF CHICAGO:WARD 33 PRECINCT 06,33,6,10,1,10,2,23
CITY OF CHICAGO:WARD 33 PRECINCT 07,33,7,7,3,5,2,17
CITY OF CHICAGO:WARD 33 PRECINCT 08,33,8,6,1,4,0,11
CITY OF CHICAGO:WARD 33 PRECINCT 09,33,9,5,3,7,3,18
CITY OF CHICAGO:WARD 33 PRECINCT 10,33,10,8,1,6,3,18
CITY OF CHICAGO:WARD 33 PRECINCT 11,33,11,3,2,2,2,9
CITY OF CHICAGO:WARD 33 PRECINCT 12,33,12,7,4,11,1,23
CITY OF CHICAGO:WARD 33 PRECINCT 13,33,13,11,6,8,3,28
CITY OF CHICAGO:WARD 33 PRECINCT 14,33,14,5,1,2,0,8
CITY OF CHICAGO:WARD 33 PRECINCT 15,33,15,4,2,7,2,15
CITY OF CHICAGO:WARD 33 PRECINCT 16,33,16,8,1,1,2,12
CITY OF CHICAGO:WARD 33 PRECINCT 17,33,17,10,1,8,1,20
CITY OF CHICAGO:WARD 34 PRECINCT 01,34,1,6,3,4,2,15
CITY OF CHICAGO:WARD 34 PRECINCT 02,34,2,11,3,5,2,21
CITY OF CHICAGO:WARD 34 PRECINCT 03,34,3,18,1,4,5,28
CITY OF CHICAGO:WARD 34 PRECINCT 04,34,4,16,1,11,1,29
CITY OF CHICAGO:WARD 34 PRECINCT 05,34,5,10,2,6,4,22
CITY OF CHICAGO:WARD 34 PRECINCT 06,34,6,4,1,2,1,8
CITY OF CHICAGO:WARD 34 PRECINCT 07,34,7,8,0,3,4,15
CITY OF CHICAGO:WARD 34 PRECINCT 08,34,8,4,0,4,1,9
CITY OF CHICAGO:WARD 34 PRECINCT 09,34,9,12,1,5,2,20
CITY OF CHICAGO:WARD 34 PRECINCT 10,34,10,6,1,1,1,9
CITY OF CHICAGO:WARD 34 PRECINCT 11,34,11,11,3,12,6,32
CITY OF CHICAGO:WARD 34 PRECINCT 12,34,12,8,2,4,0,14
CITY OF CHICAGO:WARD 34 PRECINCT 13,34,13,14,2,4,4,24
CITY OF CHICAGO:WARD 34 PRECINCT 14,34,14,21,2,8,5,36
CITY OF CHICAGO:WARD 34 PRECINCT 15,34,15,15,2,6,0,23
CITY OF CHICAGO:WARD 34 PRECINCT 16,34,16,10,1,6,2,19
CITY OF CHICAGO:WARD 34 PRECINCT 17,34,17,5,2,3,0,10
CITY OF CHICAGO:WARD 34 PRECINCT 18,34,18,11,3,7,1,22
CITY OF CHICAGO:WARD 34 PRECINCT 19,34,19,5,0,6,1,12
CITY OF CHICAGO:WARD 34 PRECINCT 20,34,20,12,4,5,4,25
CITY OF CHICAGO:WARD 35 PRECINCT 01,35,1,2,1,5,2,10
CITY OF CHICAGO:WARD 35 PRECINCT 02,35,2,2,3,14,2,21
CITY OF CHICAGO:WARD 35 PRECINCT 03,35,3,2,0,1,1,4
CITY OF CHICAGO:WARD 35 PRECINCT 04,35,4,4,1,10,0,15
CITY OF CHICAGO:WARD 35 PRECINCT 05,35,5,0,0,3,0,3
CITY OF CHICAGO:WARD 35 PRECINCT 06,35,6,10,1,10,6,27
CITY OF CHICAGO:WARD 35 PRECINCT 07,35,7,2,1,3,5,11
CITY OF CHICAGO:WARD 35 PRECINCT 08,35,8,9,0,6,0,15
CITY OF CHICAGO:WARD 35 PRECINCT 09,35,9,8,1,7,1,17
CITY OF CHICAGO:WARD 35 PRECINCT 10,35,10,2,1,5,2,10
CITY OF CHICAGO:WARD 35 PRECINCT 11,35,11,11,1,6,0,18
CITY OF CHICAGO:WARD 35 PRECINCT 12,35,12,3,1,6,0,10
CITY OF CHICAGO:WARD 35 PRECINCT 13,35,13,10,0,1,0,11
CITY OF CHICAGO:WARD 35 PRECINCT 14,35,14,4,1,1,0,6
CITY OF CHICAGO:WARD 35 PRECINCT 15,35,15,4,3,5,0,12
CITY OF CHICAGO:WARD 35 PRECINCT 16,35,16,10,4,6,5,25
CITY OF CHICAGO:WARD 35 PRECINCT 17,35,17,12,0,2,2,16
CITY OF CHICAGO:WARD 35 PRECINCT 18,35,18,5,2,3,1,11
CITY OF CHICAGO:WARD 35 PRECINCT 19,35,19,7,0,2,0,9
CITY OF CHICAGO:WARD 35 PRECINCT 20,35,20,6,2,3,0,11
CITY OF CHICAGO:WARD 35 PRECINCT 21,35,21,11,2,7,0,20
CITY OF CHICAGO:WARD 35 PRECINCT 22,35,22,18,4,6,3,31
CITY OF CHICAGO:WARD 36 PRECINCT 01,36,1,19,4,16,0,39
CITY OF CHICAGO:WARD 36 PRECINCT 02,36,2,29,2,8,2,41
CITY OF CHICAGO:WARD 36 PRECINCT 03,36,3,14,2,5,7,28
CITY OF CHICAGO:WARD 36 PRECINCT 04,36,4,10,3,8,2,23
CITY OF CHICAGO:WARD 36 PRECINCT 05,36,5,11,1,4,5,21
CITY OF CHICAGO:WARD 36 PRECINCT 06,36,6,8,1,1,0,10
CITY OF CHICAGO:WARD 36 PRECINCT 07,36,7,4,0,3,0,7
CITY OF CHICAGO:WARD 36 PRECINCT 08,36,8,9,1,5,0,15
CITY OF CHICAGO:WARD 36 PRECINCT 09,36,9,6,1,7,2,16
CITY OF CHICAGO:WARD 36 PRECINCT 10,36,10,5,0,8,1,14
CITY OF CHICAGO:WARD 36 PRECINCT 11,36,11,4,4,3,1,12
CITY OF CHICAGO:WARD 36 PRECINCT 12,36,12,2,0,0,0,2
CITY OF CHICAGO:WARD 36 PRECINCT 13,36,13,4,1,3,1,9
CITY OF CHICAGO:WARD 36 PRECINCT 14,36,14,2,2,8,0,12
CITY OF CHICAGO:WARD 36 PRECINCT 15,36,15,3,1,2,0,6
CITY OF CHICAGO:WARD 36 PRECINCT 16,36,16,1,1,1,1,4
CITY OF CHICAGO:WARD 36 PRECINCT 17,36,17,3,0,2,1,6
CITY OF CHICAGO:WARD 36 PRECINCT 18,36,18,4,0,2,1,7
CITY OF CHICAGO:WARD 36 PRECINCT 19,36,19,2,0,2,0,4
CITY OF CHICAGO:WARD 36 PRECINCT 20,36,20,10,1,3,1,15
CITY OF CHICAGO:WARD 36 PRECINCT 21,36,21,13,0,11,4,28
CITY OF CHICAGO:WARD 36 PRECINCT 22,36,22,6,1,3,1,11
CITY OF CHICAGO:WARD 36 PRECINCT 23,36,23,9,1,10,2,22
CITY OF CHICAGO:WARD 36 PRECINCT 24,36,24,7,1,2,2,12
CITY OF CHICAGO:WARD 36 PRECINCT 25,36,25,7,3,10,2,22
CITY OF CHICAGO:WARD 36 PRECINCT 26,36,26,3,1,2,0,6
CITY OF CHICAGO:WARD 36 PRECINCT 27,36,27,4,0,4,0,8
CITY OF CHICAGO:WARD 37 PRECINCT 01,37,1,1,0,4,1,6
CITY OF CHICAGO:WARD 37 PRECINCT 02,37,2,1,1,6,1,9
CITY OF CHICAGO:WARD 37 PRECINCT 03,37,3,0,1,3,1,5
CITY OF CHICAGO:WARD 37 PRECINCT 04,37,4,0,1,5,1,7
CITY OF CHICAGO:WARD 37 PRECINCT 05,37,5,1,1,2,0,4
CITY OF CHICAGO:WARD 37 PRECINCT 06,37,6,2,2,3,1,8
CITY OF CHICAGO:WARD 37 PRECINCT 07,37,7,7,0,3,1,11
CITY OF CHICAGO:WARD 37 PRECINCT 08,37,8,3,1,1,5,10
CITY OF CHICAGO:WARD 37 PRECINCT 09,37,9,1,1,1,1,4
CITY OF CHICAGO:WARD 37 PRECINCT 10,37,10,0,0,3,0,3
CITY OF CHICAGO:WARD 37 PRECINCT 11,37,11,0,4,2,0,6
CITY OF CHICAGO:WARD 37 PRECINCT 12,37,12,5,2,3,0,10
CITY OF CHICAGO:WARD 37 PRECINCT 13,37,13,0,3,5,0,8
CITY OF CHICAGO:WARD 37 PRECINCT 14,37,14,0,1,6,4,11
CITY OF CHICAGO:WARD 37 PRECINCT 15,37,15,0,2,2,0,4
CITY OF CHICAGO:WARD 37 PRECINCT 16,37,16,3,0,6,2,11
CITY OF CHICAGO:WARD 37 PRECINCT 17,37,17,1,0,0,0,1
CITY OF CHICAGO:WARD 37 PRECINCT 18,37,18,6,2,7,1,16
CITY OF CHICAGO:WARD 37 PRECINCT 19,37,19,0,1,0,0,1
CITY OF CHICAGO:WARD 37 PRECINCT 20,37,20,4,1,3,2,10
CITY OF CHICAGO:WARD 37 PRECINCT 21,37,21,3,0,4,0,7
CITY OF CHICAGO:WARD 37 PRECINCT 22,37,22,0,2,5,0,7
CITY OF CHICAGO:WARD 38 PRECINCT 01,38,1,68,7,31,17,123
CITY OF CHICAGO:WARD 38 PRECINCT 02,38,2,29,6,29,5,69
CITY OF CHICAGO:WARD 38 PRECINCT 03,38,3,28,3,28,5,64
CITY OF CHICAGO:WARD 38 PRECINCT 04,38,4,32,3,13,8,56
CITY OF CHICAGO:WARD 38 PRECINCT 05,38,5,26,11,25,6,68
CITY OF CHICAGO:WARD 38 PRECINCT 06,38,6,14,3,14,7,38
CITY OF CHICAGO:WARD 38 PRECINCT 07,38,7,32,9,28,0,69
CITY OF CHICAGO:WARD 38 PRECINCT 08,38,8,17,6,22,4,49
CITY OF CHICAGO:WARD 38 PRECINCT 09,38,9,18,5,20,6,49
CITY OF CHICAGO:WARD 38 PRECINCT 10,38,10,21,7,8,3,39
CITY OF CHICAGO:WARD 38 PRECINCT 11,38,11,32,6,17,8,63
CITY OF CHICAGO:WARD 38 PRECINCT 12,38,12,34,3,27,14,78
CITY OF CHICAGO:WARD 38 PRECINCT 13,38,13,10,3,7,2,22
CITY OF CHICAGO:WARD 38 PRECINCT 14,38,14,19,6,11,9,45
CITY OF CHICAGO:WARD 38 PRECINCT 15,38,15,30,8,14,4,56
CITY OF CHICAGO:WARD 38 PRECINCT 16,38,16,33,7,27,5,72
CITY OF CHICAGO:WARD 38 PRECINCT 17,38,17,22,3,17,9,51
CITY OF CHICAGO:WARD 38 PRECINCT 18,38,18,23,4,13,3,43
CITY OF CHICAGO:WARD 38 PRECINCT 19,38,19,18,3,23,6,50
CITY OF CHICAGO:WARD 38 PRECINCT 20,38,20,18,5,12,7,42
CITY OF CHICAGO:WARD 38 PRECINCT 21,38,21,24,6,21,5,56
CITY OF CHICAGO:WARD 38 PRECINCT 22,38,22,18,4,5,2,29
CITY OF CHICAGO:WARD 38 PRECINCT 23,38,23,22,3,16,1,42
CITY OF CHICAGO:WARD 38 PRECINCT 24,38,24,23,5,19,7,54
CITY OF CHICAGO:WARD 38 PRECINCT 25,38,25,20,5,7,5,37
CITY OF CHICAGO:WARD 39 PRECINCT 01,39,1,19,4,6,1,30
CITY OF CHICAGO:WARD 39 PRECINCT 02,39,2,18,8,10,5,41
CITY OF CHICAGO:WARD 39 PRECINCT 03,39,3,3,2,3,0,8
CITY OF CHICAGO:WARD 39 PRECINCT 04,39,4,26,2,15,1,44
CITY OF CHICAGO:WARD 39 PRECINCT 05,39,5,13,3,11,1,28
CITY OF CHICAGO:WARD 39 PRECINCT 06,39,6,6,0,2,1,9
CITY OF CHICAGO:WARD 39 PRECINCT 07,39,7,8,0,4,2,14
CITY OF CHICAGO:WARD 39 PRECINCT 08,39,8,4,3,2,2,11
CITY OF CHICAGO:WARD 39 PRECINCT 09,39,9,8,5,7,5,25
CITY OF CHICAGO:WARD 39 PRECINCT 10,39,10,5,1,4,1,11
CITY OF CHICAGO:WARD 39 PRECINCT 11,39,11,4,2,5,2,13
CITY OF CHICAGO:WARD 39 PRECINCT 12,39,12,10,4,10,3,27
CITY OF CHICAGO:WARD 39 PRECINCT 13,39,13,14,4,20,1,39
CITY OF CHICAGO:WARD 39 PRECINCT 14,39,14,31,10,11,8,60
CITY OF CHICAGO:WARD 39 PRECINCT 15,39,15,10,1,5,1,17
CITY OF CHICAGO:WARD 39 PRECINCT 16,39,16,11,0,2,1,14
CITY OF CHICAGO:WARD 39 PRECINCT 17,39,17,61,5,24,8,98
CITY OF CHICAGO:WARD 39 PRECINCT 18,39,18,21,2,7,3,33
CITY OF CHICAGO:WARD 39 PRECINCT 19,39,19,6,4,7,5,22
CITY OF CHICAGO:WARD 39 PRECINCT 20,39,20,10,4,13,8,35
CITY OF CHICAGO:WARD 39 PRECINCT 21,39,21,17,3,15,5,40
CITY OF CHICAGO:WARD 39 PRECINCT 22,39,22,9,3,6,1,19
CITY OF CHICAGO:WARD 39 PRECINCT 23,39,23,2,0,1,0,3
CITY OF CHICAGO:WARD 39 PRECINCT 24,39,24,4,3,6,3,16
CITY OF CHICAGO:WARD 39 PRECINCT 25,39,25,4,1,4,2,11
CITY OF CHICAGO:WARD 39 PRECINCT 26,39,26,3,1,4,2,10
CITY OF CHICAGO:WARD 39 PRECINCT 27,39,27,10,3,7,2,22
CITY OF CHICAGO:WARD 39 PRECINCT 28,39,28,2,1,4,3,10
CITY OF CHICAGO:WARD 39 PRECINCT 29,39,29,11,1,6,2,20
CITY OF CHICAGO:WARD 39 PRECINCT 30,39,30,3,3,7,0,13
CITY OF CHICAGO:WARD 39 PRECINCT 31,39,31,11,0,12,2,25
CITY OF CHICAGO:WARD 39 PRECINCT 32,39,32,34,4,17,3,58
CITY OF CHICAGO:WARD 39 PRECINCT 33,39,33,18,0,7,0,25
