JoinField,Ward,Precinct,Ted Dabrowski & Carrie Mendoza,James Mendrick & Robert Renteria,Darren Bailey & Aaron B. Del Mar,Rick Heidner & Christina Neitzke-Troike,Total Voters
CITY OF CHICAGO:WARD 06 PRECINCT 10,6,10,2,1,0,1,4
CITY OF CHICAGO:WARD 06 PRECINCT 11,6,11,1,0,2,0,3
CITY OF CHICAGO:WARD 06 PRECINCT 12,6,12,2,1,3,0,6
CITY OF CHICAGO:WARD 06 PRECINCT 13,6,13,2,1,2,1,6
CITY OF CHICAGO:WARD 06 PRECINCT 14,6,14,6,0,1,1,8
CITY OF CHICAGO:WARD 06 PRECINCT 15,6,15,2,1,2,0,5
CITY OF CHICAGO:WARD 06 PRECINCT 16,6,16,0,2,3,0,5
CITY OF CHICAGO:WARD 06 PRECINCT 17,6,17,1,2,4,2,9
CITY OF CHICAGO:WARD 06 PRECINCT 18,6,18,2,1,3,4,10
CITY OF CHICAGO:WARD 06 PRECINCT 19,6,19,0,4,3,0,7
CITY OF CHICAGO:WARD 06 PRECINCT 20,6,20,0,1,5,1,7
CITY OF CHICAGO:WARD 06 PRECINCT 21,6,21,6,2,2,1,11
CITY OF CHICAGO:WARD 06 PRECINCT 22,6,22,3,0,4,0,7
CITY OF CHICAGO:WARD 06 PRECINCT 23,6,23,3,2,3,1,9
CITY OF CHICAGO:WARD 06 PRECINCT 24,6,24,2,2,6,2,12
CITY OF CHICAGO:WARD 06 PRECINCT 25,6,25,0,1,4,0,5
CITY OF CHICAGO:WARD 06 PRECINCT 26,6,26,5,1,6,0,12
CITY OF CHICAGO:WARD 06 PRECINCT 27,6,27,1,2,3,0,6
CITY OF CHICAGO:WARD 07 PRECINCT 01,7,1,1,2,6,2,11
CITY OF CHICAGO:WARD 07 PRECINCT 02,7,2,4,1,1,2,8
CITY OF CHICAGO:WARD 07 PRECINCT 03,7,3,1,1,3,1,6
CITY OF CHICAGO:WARD 07 PRECINCT 04,7,4,3,0,1,3,7
CITY OF CHICAGO:WARD 07 PRECINCT 05,7,5,1,1,7,0,9
CITY OF CHICAGO:WARD 07 PRECINCT 06,7,6,1,2,4,0,7
CITY OF CHICAGO:WARD 07 PRECINCT 07,7,7,3,4,4,3,14
CITY OF CHICAGO:WARD 07 PRECINCT 08,7,8,1,0,4,1,6
CITY OF CHICAGO:WARD 07 PRECINCT 09,7,9,2,3,4,1,10
CITY OF CHICAGO:WARD 07 PRECINCT 10,7,10,3,0,3,1,7
CITY OF CHICAGO:WARD 07 PRECINCT 11,7,11,0,0,2,0,2
CITY OF CHICAGO:WARD 07 PRECINCT 12,7,12,2,0,1,1,4
CITY OF CHICAGO:WARD 07 PRECINCT 13,7,13,7,2,2,2,13
CITY OF CHICAGO:WARD 07 PRECINCT 14,7,14,2,0,4,0,6
CITY OF CHICAGO:WARD 07 PRECINCT 15,7,15,1,0,4,1,6
CITY OF CHICAGO:WARD 07 PRECINCT 16,7,16,3,0,0,0,3
CITY OF CHICAGO:WARD 07 PRECINCT 17,7,17,0,0,0,0,0
CITY OF CHICAGO:WARD 07 PRECINCT 18,7,18,0,0,1,0,1
CITY OF CHICAGO:WARD 07 PRECINCT 19,7,19,2,1,5,1,9
CITY OF CHICAGO:WARD 07 PRECINCT 20,7,20,1,0,2,1,4
CITY OF CHICAGO:WARD 07 PRECINCT 21,7,21,0,0,3,1,4
CITY OF CHICAGO:WARD 07 PRECINCT 22,7,22,3,1,0,0,4
CITY OF CHICAGO:WARD 07 PRECINCT 23,7,23,0,2,2,1,5
CITY OF CHICAGO:WARD 07 PRECINCT 24,7,24,0,0,0,0,0
CITY OF CHICAGO:WARD 07 PRECINCT 25,7,25,1,0,3,0,4
CITY OF CHICAGO:WARD 07 PRECINCT 26,7,26,3,0,4,2,9
CITY OF CHICAGO:WARD 07 PRECINCT 27,7,27,2,0,2,1,5
CITY OF CHICAGO:WARD 07 PRECINCT 28,7,28,0,0,0,0,0
CITY OF CHICAGO:WARD 07 PRECINCT 29,7,29,2,1,2,0,5
CITY OF CHICAGO:WARD 07 PRECINCT 30,7,30,0,0,1,0,1
CITY OF CHICAGO:WARD 07 PRECINCT 31,7,31,0,0,0,0,0
CITY OF CHICAGO:WARD 08 PRECINCT 01,8,1,6,1,2,2,11
CITY OF CHICAGO:WARD 08 PRECINCT 02,8,2,0,0,2,1,3
CITY OF CHICAGO:WARD 08 PRECINCT 03,8,3,2,0,1,1,4
CITY OF CHICAGO:WARD 08 PRECINCT 04,8,4,3,2,3,0,8
CITY OF CHICAGO:WARD 08 PRECINCT 05,8,5,1,0,1,0,2
CITY OF CHICAGO:WARD 08 PRECINCT 06,8,6,5,1,5,0,11
CITY OF CHICAGO:WARD 08 PRECINCT 07,8,7,1,0,3,0,4
CITY OF CHICAGO:WARD 08 PRECINCT 08,8,8,4,2,4,1,11
CITY OF CHICAGO:WARD 08 PRECINCT 09,8,9,3,1,3,2,9
CITY OF CHICAGO:WARD 08 PRECINCT 10,8,10,5,6,5,1,17
CITY OF CHICAGO:WARD 08 PRECINCT 11,8,11,0,1,6,0,7
CITY OF CHICAGO:WARD 08 PRECINCT 12,8,12,3,0,1,1,5
CITY OF CHICAGO:WARD 08 PRECINCT 13,8,13,1,0,2,0,3
CITY OF CHICAGO:WARD 08 PRECINCT 14,8,14,5,0,3,0,8
CITY OF CHICAGO:WARD 08 PRECINCT 15,8,15,6,1,1,0,8
CITY OF CHICAGO:WARD 08 PRECINCT 16,8,16,2,0,2,0,4
CITY OF CHICAGO:WARD 08 PRECINCT 17,8,17,0,0,0,0,0
CITY OF CHICAGO:WARD 08 PRECINCT 18,8,18,6,0,0,2,8
CITY OF CHICAGO:WARD 08 PRECINCT 19,8,19,0,1,3,2,6
CITY OF CHICAGO:WARD 08 PRECINCT 20,8,20,1,0,2,2,5
CITY OF CHICAGO:WARD 08 PRECINCT 21,8,21,0,1,0,1,2
CITY OF CHICAGO:WARD 08 PRECINCT 22,8,22,2,0,0,0,2
CITY OF CHICAGO:WARD 08 PRECINCT 23,8,23,4,1,2,1,8
CITY OF CHICAGO:WARD 08 PRECINCT 24,8,24,2,0,1,0,3
CITY OF CHICAGO:WARD 08 PRECINCT 25,8,25,0,0,3,0,3
CITY OF CHICAGO:WARD 08 PRECINCT 26,8,26,1,2,3,0,6
CITY OF CHICAGO:WARD 08 PRECINCT 27,8,27,6,2,2,0,10
CITY OF CHICAGO:WARD 08 PRECINCT 28,8,28,1,0,0,1,2
CITY OF CHICAGO:WARD 08 PRECINCT 29,8,29,2,0,1,0,3
CITY OF CHICAGO:WARD 08 PRECINCT 30,8,30,1,2,1,0,4
CITY OF CHICAGO:WARD 09 PRECINCT 01,9,1,4,1,4,0,9
CITY OF CHICAGO:WARD 09 PRECINCT 02,9,2,2,3,4,1,10
CITY OF CHICAGO:WARD 09 PRECINCT 03,9,3,1,2,1,0,4
CITY OF CHICAGO:WARD 09 PRECINCT 04,9,4,1,0,4,1,6
CITY OF CHICAGO:WARD 09 PRECINCT 05,9,5,4,0,1,0,5
CITY OF CHICAGO:WARD 09 PRECINCT 06,9,6,2,0,1,1,4
CITY OF CHICAGO:WARD 09 PRECINCT 07,9,7,0,2,4,3,9
CITY OF CHICAGO:WARD 09 PRECINCT 08,9,8,3,1,6,0,10
CITY OF CHICAGO:WARD 09 PRECINCT 09,9,9,1,0,0,1,2
CITY OF CHICAGO:WARD 09 PRECINCT 10,9,10,0,0,1,0,1
CITY OF CHICAGO:WARD 09 PRECINCT 11,9,11,1,0,1,0,2
CITY OF CHICAGO:WARD 09 PRECINCT 12,9,12,1,2,5,0,8
CITY OF CHICAGO:WARD 09 PRECINCT 13,9,13,7,2,3,0,12
CITY OF CHICAGO:WARD 09 PRECINCT 14,9,14,1,0,0,0,1
CITY OF CHICAGO:WARD 09 PRECINCT 15,9,15,1,2,1,0,4
