JoinField,Ted Dabrowski / Carrie Mendoza,James Mendrick / Robert Renteria,Darren Bailey / Aaron B. Del Mar,Rick Heidner / Christina Neitzke-Troike,Total Voters
LAKE:WEST DEERFIELD 403,20,1,8,3,32
LAKE:WEST DEERFIELD 404,9,0,4,0,13
LAKE:WEST DEERFIELD 405,23,3,19,5,50
LAKE:WEST DEERFIELD 406,9,0,7,2,18
LAKE:WEST DEERFIELD 407,48,3,29,7,87
LAKE:WEST DEERFIELD 408,19,7,21,4,51
LAKE:WEST DEERFIELD 409,20,3,17,2,42
LAKE:WEST DEERFIELD 410,37,1,18,1,57
LAKE:WEST DEERFIELD 411,23,1,14,3,41
LAKE:WEST DEERFIELD 412,32,2,18,12,64
LAKE:WEST DEERFIELD 413,15,1,13,4,33
LAKE:WEST DEERFIELD 414,19,6,11,2,38
LAKE:WEST DEERFIELD 415,25,1,9,5,40
LAKE:WEST DEERFIELD 416,22,3,19,5,49
LAKE:WEST DEERFIELD 417,25,1,11,1,38
LAKE:WEST DEERFIELD 418,20,3,12,6,41
LAKE:ZION 419,8,2,3,2,15
LAKE:ZION 420,11,3,10,3,27
LAKE:ZION 421,5,0,11,4,20
LAKE:ZION 422,8,8,13,4,33
LAKE:ZION 423,6,3,6,1,16
LAKE:ZION 424,14,1,17,4,36
LAKE:ZION 425,17,7,20,7,51
LAKE:ZION 426,9,2,4,1,16
LAKE:ZION 427,9,3,16,3,31
LAKE:ZION 428,7,2,10,0,19
LAKE:ZION 429,21,0,15,1,37
LAKE:ZION 430,11,1,14,3,29
LAKE:ZION 431,13,1,9,5,28
LAKE:TOTAL:,9013,1329,6650,2230,19222
