JoinField,Karina Villa,Stephanie A. Kifowit,Holly Kim,Margaret Croke,Total Voters
LAKE:MORAINE 230,21,8,183,72,284
LAKE:MORAINE 231,34,10,149,60,253
LAKE:MORAINE 232,14,11,140,82,247
LAKE:NEWPORT 233,13,8,44,42,107
LAKE:NEWPORT 234,18,10,70,17,115
LAKE:NEWPORT 235,26,15,87,35,163
LAKE:NEWPORT 236,20,13,51,22,106
LAKE:NEWPORT 237,21,7,30,13,71
LAKE:SHIELDS 238,50,9,109,23,191
LAKE:SHIELDS 239,38,11,91,28,168
LAKE:SHIELDS 240,11,6,35,10,62
LAKE:SHIELDS 241,11,5,20,10,46
LAKE:SHIELDS 242,14,1,24,8,47
LAKE:SHIELDS 243,16,4,64,21,105
LAKE:SHIELDS 244,14,7,55,15,91
LAKE:SHIELDS 245,20,7,94,67,188
LAKE:SHIELDS 246,21,6,77,35,139
LAKE:SHIELDS 247,12,1,29,30,72
LAKE:SHIELDS 248,22,10,99,41,172
LAKE:SHIELDS 249,20,6,72,61,159
LAKE:SHIELDS 250,15,12,79,41,147
LAKE:SHIELDS 251,9,7,37,25,78
LAKE:SHIELDS 252,10,5,61,35,111
LAKE:SHIELDS 253,4,4,48,30,86
LAKE:SHIELDS 254,19,2,60,30,111
LAKE:SHIELDS 255,12,6,15,22,55
LAKE:VERNON 256,18,8,79,16,121
LAKE:VERNON 257,27,5,70,25,127
LAKE:VERNON 258,29,7,71,19,126
LAKE:VERNON 259,22,14,138,39,213
LAKE:VERNON 260,28,10,136,61,235
LAKE:VERNON 261,27,10,63,40,140
LAKE:VERNON 262,13,10,76,39,138
LAKE:VERNON 263,26,11,63,47,147
LAKE:VERNON 264,12,4,64,16,96
LAKE:VERNON 265,17,5,83,40,145
LAKE:VERNON 266,22,3,40,20,85
LAKE:VERNON 267,27,12,80,25,144
LAKE:VERNON 268,36,9,132,31,208
LAKE:VERNON 269,41,7,95,32,175
LAKE:VERNON 270,18,4,55,31,108
LAKE:VERNON 271,34,8,99,47,188
LAKE:VERNON 272,24,10,111,46,191
