JoinField,KARINA VILLA,STEPHANIE A. KIFOWIT,HOLLY KIM,MARGARET CROKE,Total Voters
WILL:PLAINFIELD PCT 032,50,15,46,45,156
WILL:PLAINFIELD PCT 033,50,15,53,45,163
WILL:PLAINFIELD PCT 034,54,17,26,57,154
WILL:PLAINFIELD PCT 035,65,21,43,44,173
WILL:REED PCT 001,25,9,20,34,88
WILL:REED PCT 002,17,9,22,33,81
WILL:REED PCT 003,17,13,24,27,81
WILL:TROY PCT 001,108,33,57,74,272
WILL:TROY PCT 002,73,14,43,46,176
WILL:TROY PCT 003,36,14,15,46,111
WILL:TROY PCT 004,42,14,37,42,135
WILL:TROY PCT 005,36,15,46,57,154
WILL:TROY PCT 006,40,10,32,37,119
WILL:TROY PCT 007,77,17,42,92,228
WILL:TROY PCT 008,81,28,69,89,267
WILL:TROY PCT 009,53,15,31,59,158
WILL:TROY PCT 010,51,19,37,62,169
WILL:TROY PCT 011,58,22,33,63,176
WILL:TROY PCT 012,38,8,21,49,116
WILL:TROY PCT 013,61,34,62,151,308
WILL:TROY PCT 014,71,23,51,70,215
WILL:TROY PCT 015,51,24,37,45,157
WILL:TROY PCT 016,79,33,51,99,262
WILL:TROY PCT 017,46,23,34,77,180
WILL:TROY PCT 018,83,13,47,57,200
WILL:TROY PCT 019,83,20,46,55,204
WILL:TROY PCT 020,49,20,40,64,173
WILL:TROY PCT 021,49,21,47,51,168
WILL:TROY PCT 022,19,5,15,28,67
WILL:WASHINGTON PCT 001,20,13,23,71,127
WILL:WASHINGTON PCT 002,42,12,23,84,161
WILL:WASHINGTON PCT 003,22,10,18,36,86
WILL:WESLEY PCT 001,20,14,28,33,95
WILL:WHEATLAND PCT 001,65,16,44,26,151
WILL:WHEATLAND PCT 002,93,243,66,127,529
WILL:WHEATLAND PCT 003,80,83,41,47,251
WILL:WHEATLAND PCT 004,74,110,31,36,251
WILL:WHEATLAND PCT 005,73,31,52,80,236
WILL:WHEATLAND PCT 006,72,39,52,68,231
WILL:WHEATLAND PCT 007,72,28,55,66,221
WILL:WHEATLAND PCT 008,65,42,66,91,264
WILL:WHEATLAND PCT 009,75,43,69,119,306
WILL:WHEATLAND PCT 010,63,39,52,53,207
WILL:WHEATLAND PCT 011,89,89,41,59,278
WILL:WHEATLAND PCT 012,96,73,42,42,253
WILL:WHEATLAND PCT 013,75,23,54,52,204
WILL:WHEATLAND PCT 014,81,47,50,74,252
WILL:WHEATLAND PCT 015,63,33,67,56,219
WILL:WHEATLAND PCT 016,47,24,38,56,165
WILL:WHEATLAND PCT 017,50,27,43,42,162
WILL:WHEATLAND PCT 018,49,41,63,76,229
WILL:WHEATLAND PCT 019,58,23,63,63,207
WILL:WHEATLAND PCT 020,41,19,43,61,164
WILL:WHEATLAND PCT 021,58,25,55,52,190
WILL:WHEATLAND PCT 022,98,38,82,62,280
WILL:WHEATLAND PCT 023,45,35,60,50,190
WILL:WHEATLAND PCT 024,101,38,71,78,288
WILL:WHEATLAND PCT 025,49,18,55,57,179
WILL:WHEATLAND PCT 026,78,30,61,94,263
WILL:WHEATLAND PCT 027,65,18,40,49,172
WILL:WHEATLAND PCT 028,60,22,49,49,180
WILL:WHEATLAND PCT 029,50,25,60,79,214
WILL:WHEATLAND PCT 030,53,24,29,60,166
WILL:WHEATLAND PCT 031,57,108,22,30,217
WILL:WHEATLAND PCT 032,67,175,13,30,285
WILL:WHEATLAND PCT 033,92,159,35,30,316
WILL:WHEATLAND PCT 034,52,130,22,28,232
WILL:WHEATLAND PCT 035,63,105,47,67,282
WILL:WHEATLAND PCT 036,78,20,36,57,191
WILL:WHEATLAND PCT 037,64,29,48,41,182
WILL:WHEATLAND PCT 038,90,15,45,73,223
WILL:WILL PCT 001,23,7,23,33,86
WILL:WILMINGTON PCT 001,21,27,25,47,120
WILL:WILMINGTON PCT 002,10,2,18,28,58
WILL:WILMINGTON PCT 003,27,12,24,30,93
WILL:WILTON PCT 001,11,3,13,13,40
WILL:Total:,17212,6845,12487,18019,54563
