JoinField,JoinField_alt,Karina Villa,Stephanie A. Kifowit,Holly Kim,Margaret Croke,Total Voters
COOK:8600020,COOK:Orland Precinct 20,48,9,38,99,194
COOK:8600021,COOK:Orland Precinct 21,65,7,24,87,183
COOK:8600022,COOK:Orland Precinct 22,47,13,30,93,183
COOK:8600023,COOK:Orland Precinct 23,56,9,46,117,228
COOK:8600024,COOK:Orland Precinct 24,71,19,22,115,227
COOK:8600025,COOK:Orland Precinct 25,68,19,23,98,208
COOK:8600026,COOK:Orland Precinct 26,65,14,33,99,211
COOK:8600027,COOK:Orland Precinct 27,51,15,20,75,161
COOK:8600028,COOK:Orland Precinct 28,20,11,18,63,112
COOK:8600029,COOK:Orland Precinct 29,144,13,37,81,275
COOK:8600030,COOK:Orland Precinct 30,37,8,9,49,103
COOK:8600031,COOK:Orland Precinct 31,22,9,14,39,84
COOK:8600032,COOK:Orland Precinct 32,69,16,30,97,212
COOK:8600033,COOK:Orland Precinct 33,51,22,50,88,211
COOK:8600034,COOK:Orland Precinct 34,34,19,23,58,134
COOK:8600035,COOK:Orland Precinct 35,69,14,42,117,242
COOK:8600036,COOK:Orland Precinct 36,38,5,13,35,91
COOK:8600037,COOK:Orland Precinct 37,39,8,20,80,147
COOK:8600038,COOK:Orland Precinct 38,19,4,11,20,54
COOK:8600039,COOK:Orland Precinct 39,32,11,15,45,103
COOK:8600040,COOK:Orland Precinct 40,50,4,26,72,152
COOK:8600041,COOK:Orland Precinct 41,34,11,17,44,106
COOK:8600042,COOK:Orland Precinct 42,52,17,31,127,227
COOK:8600043,COOK:Orland Precinct 43,28,5,13,45,91
COOK:8600044,COOK:Orland Precinct 44,39,10,24,55,128
COOK:8600045,COOK:Orland Precinct 45,50,12,31,120,213
COOK:8600046,COOK:Orland Precinct 46,19,5,11,57,92
COOK:8600047,COOK:Orland Precinct 47,50,9,29,89,177
COOK:8600048,COOK:Orland Precinct 48,37,8,26,61,132
COOK:8600049,COOK:Orland Precinct 49,60,12,35,89,196
COOK:8600050,COOK:Orland Precinct 50,32,10,24,32,98
COOK:8600051,COOK:Orland Precinct 51,41,20,30,84,175
COOK:8600052,COOK:Orland Precinct 52,31,9,23,54,117
COOK:8600053,COOK:Orland Precinct 53,56,7,23,63,149
COOK:8600054,COOK:Orland Precinct 54,39,6,28,66,139
COOK:8600055,COOK:Orland Precinct 55,25,5,21,57,108
COOK:8600056,COOK:Orland Precinct 56,25,5,17,61,108
COOK:8600057,COOK:Orland Precinct 57,38,5,27,64,134
COOK:8600058,COOK:Orland Precinct 58,28,6,20,64,118
