JoinField,JoinField_alt,Daniel Biss,Justin Ford,Mike Simmons,Bushra Amiwala,Patricia A. Brown,Jeff Cohen,Laura Fine,Phil Andrew,Nick Pyati,Kat Abughazaleh,Sam Polan,Bethany Johnson,Howard Rosenblum,Hoan Huynh,Mark Arnold Fredrickson,Total Voters
COOK:8100039,COOK:New Trier Precinct 39,69,1,1,2,1,0,73,30,0,31,0,2,0,0,0,210
COOK:8200001,COOK:Niles Precinct 1,86,1,4,11,2,8,68,24,2,49,3,1,0,6,2,267
COOK:8200002,COOK:Niles Precinct 2,68,1,14,18,5,0,41,7,2,46,2,3,3,3,2,215
COOK:8200003,COOK:Niles Precinct 3,92,3,6,33,2,3,125,39,2,44,2,1,0,2,0,354
COOK:8200004,COOK:Niles Precinct 4,33,1,0,27,1,1,64,11,0,46,0,0,1,3,0,188
COOK:8200005,COOK:Niles Precinct 5,48,1,3,9,0,0,114,2,0,24,1,0,0,0,0,202
COOK:8200006,COOK:Niles Precinct 6,122,1,4,32,1,1,66,22,0,81,6,1,1,0,0,338
COOK:8200007,COOK:Niles Precinct 7,109,5,5,27,5,3,93,21,0,69,1,2,0,3,1,344
COOK:8200008,COOK:Niles Precinct 8,67,0,3,11,0,1,88,5,0,34,1,1,0,0,0,211
COOK:8200009,COOK:Niles Precinct 9,67,2,0,1,3,3,45,13,0,18,1,1,0,3,0,157
COOK:8200010,COOK:Niles Precinct 10,65,4,8,77,3,2,27,15,0,49,2,2,3,6,0,263
COOK:8200011,COOK:Niles Precinct 11,37,1,5,1,0,3,50,11,0,17,1,1,0,0,0,127
COOK:8200012,COOK:Niles Precinct 12,59,1,3,29,1,2,30,2,0,39,2,1,0,10,0,179
COOK:8200013,COOK:Niles Precinct 13,57,2,10,12,7,1,46,9,1,50,2,1,0,7,0,205
COOK:8200014,COOK:Niles Precinct 14,130,3,13,15,2,3,138,15,1,73,0,4,0,0,0,397
COOK:8200015,COOK:Niles Precinct 15,127,1,16,26,2,2,46,10,1,74,1,0,0,4,0,310
COOK:8200016,COOK:Niles Precinct 16,128,1,15,44,2,6,82,10,0,68,1,2,2,9,1,371
COOK:8200017,COOK:Niles Precinct 17,128,4,22,66,5,0,58,20,0,76,0,1,2,4,0,386
COOK:8200018,COOK:Niles Precinct 18,212,4,9,43,4,8,216,31,0,80,5,0,1,3,1,617
COOK:8200019,COOK:Niles Precinct 19,87,0,5,7,1,0,399,6,0,19,0,0,1,3,0,528
COOK:8200020,COOK:Niles Precinct 20,79,0,5,18,1,2,33,11,2,53,0,1,1,5,0,211
COOK:8200021,COOK:Niles Precinct 21,194,0,23,24,3,3,280,15,0,107,2,0,0,2,0,653
COOK:8200022,COOK:Niles Precinct 22,69,0,2,17,4,2,47,4,1,44,0,0,0,2,0,192
COOK:8200023,COOK:Niles Precinct 23,129,0,6,28,0,2,189,9,0,27,0,0,0,2,0,392
COOK:8200024,COOK:Niles Precinct 24,86,2,11,46,7,4,42,21,0,62,2,2,0,7,1,293
COOK:8200025,COOK:Niles Precinct 25,59,0,3,9,2,1,21,11,1,16,0,1,1,12,0,137
COOK:8200026,COOK:Niles Precinct 26,66,2,6,20,2,1,61,14,1,55,2,1,0,6,3,240
COOK:8200027,COOK:Niles Precinct 27,54,2,4,22,1,1,25,3,1,36,0,1,0,1,0,151
COOK:8200028,COOK:Niles Precinct 28,129,0,14,6,1,1,212,62,1,41,0,0,0,0,0,467
COOK:8200029,COOK:Niles Precinct 29,121,2,4,17,4,4,100,7,1,25,3,0,3,1,1,293
COOK:8200030,COOK:Niles Precinct 30,48,1,0,36,3,3,28,12,0,36,0,1,0,4,0,172
COOK:8200031,COOK:Niles Precinct 31,125,2,4,47,2,1,144,24,0,47,0,1,0,2,0,399
COOK:8200032,COOK:Niles Precinct 32,50,1,2,7,1,2,45,5,0,19,0,0,0,4,0,136
COOK:8200033,COOK:Niles Precinct 33,133,1,8,45,3,3,92,8,0,71,1,0,1,9,0,375
COOK:8200034,COOK:Niles Precinct 34,79,0,6,16,2,1,67,6,0,44,0,4,0,5,0,230
COOK:8200035,COOK:Niles Precinct 35,87,0,3,121,2,2,33,15,0,74,0,1,0,2,1,341
COOK:8200036,COOK:Niles Precinct 36,58,2,5,28,2,1,23,4,0,54,1,1,1,2,0,182
COOK:8200037,COOK:Niles Precinct 37,89,0,5,28,5,0,53,5,1,65,0,1,0,5,0,257
COOK:8200038,COOK:Niles Precinct 38,133,4,11,64,3,17,104,22,1,75,0,1,2,7,2,446
COOK:8200039,COOK:Niles Precinct 39,124,0,13,44,0,0,44,31,0,48,0,3,1,3,0,311
COOK:8200040,COOK:Niles Precinct 40,154,2,24,87,4,1,58,49,0,79,1,1,2,4,2,468
COOK:8200041,COOK:Niles Precinct 41,120,0,7,54,4,5,49,9,0,65,1,0,0,7,0,321
COOK:8200042,COOK:Niles Precinct 42,85,2,6,37,5,2,33,14,0,45,3,0,0,5,1,238
COOK:8200043,COOK:Niles Precinct 43,75,2,13,27,7,3,54,19,0,53,1,1,0,0,2,257
COOK:8200044,COOK:Niles Precinct 44,118,0,14,48,2,2,42,17,0,63,1,0,0,8,2,317
COOK:8200045,COOK:Niles Precinct 45,97,2,6,31,1,0,78,12,0,41,1,1,0,3,0,273
COOK:8200046,COOK:Niles Precinct 46,109,0,4,38,3,5,97,7,0,49,4,0,0,7,0,323
COOK:8200047,COOK:Niles Precinct 47,49,0,1,13,1,2,129,1,0,33,0,0,0,1,0,230
COOK:8200048,COOK:Niles Precinct 48,61,0,2,23,2,0,47,8,0,39,2,0,0,1,0,185
COOK:8200049,COOK:Niles Precinct 49,213,2,25,8,4,3,150,45,0,76,5,0,0,5,0,536
COOK:8200050,COOK:Niles Precinct 50,103,1,8,37,2,1,40,20,0,44,1,2,0,11,1,271
COOK:8200051,COOK:Niles Precinct 51,47,1,4,14,2,3,32,1,0,39,0,0,0,2,0,145
COOK:8200052,COOK:Niles Precinct 52,51,1,1,29,1,1,33,6,1,54,0,0,0,3,0,181
COOK:8200053,COOK:Niles Precinct 53,138,3,14,52,4,3,94,26,1,58,1,4,0,5,2,405
COOK:8200054,COOK:Niles Precinct 54,54,1,10,12,2,0,33,5,0,33,0,2,0,4,1,157
COOK:8200055,COOK:Niles Precinct 55,78,1,3,30,1,0,37,13,0,33,0,0,0,3,0,199
COOK:8200056,COOK:Niles Precinct 56,107,0,1,26,2,3,79,33,1,80,1,4,1,2,0,340
COOK:8200057,COOK:Niles Precinct 57,88,0,9,34,3,2,49,17,0,79,0,0,0,5,1,287
COOK:8200058,COOK:Niles Precinct 58,111,1,12,59,1,3,55,18,0,49,1,2,3,4,0,319
COOK:8200059,COOK:Niles Precinct 59,121,1,4,48,3,1,89,14,0,94,0,3,0,9,1,388
COOK:8200060,COOK:Niles Precinct 60,123,2,6,39,9,7,112,9,2,65,1,2,3,2,0,382
COOK:8200061,COOK:Niles Precinct 61,85,1,10,60,1,2,62,16,0,85,3,1,1,1,1,329
COOK:8200062,COOK:Niles Precinct 62,53,1,5,14,1,1,28,8,0,30,0,0,1,2,0,144
COOK:8300004,COOK:Northfield Precinct 4,58,0,0,24,2,5,86,8,0,39,1,0,0,0,0,223
COOK:8300005,COOK:Northfield Precinct 5,55,0,4,4,1,1,51,9,0,26,0,0,0,1,0,152
COOK:8300006,COOK:Northfield Precinct 6,68,0,3,17,1,2,92,55,0,17,0,0,0,2,1,258
COOK:8300007,COOK:Northfield Precinct 7,106,1,7,5,0,4,186,32,1,34,0,1,2,3,1,383
COOK:8300008,COOK:Northfield Precinct 8,68,0,3,4,3,0,86,43,1,11,2,1,1,1,0,224
