UNITED STATES SENATOR (Vote For 1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Kevin Ryan,,,,,Robin Kelly,,,,,Juliana Stratton,,,,,Raja Krishnamoorthi,,,,,Steve Botsford Jr.,,,,,Bryan Maxwell,,,,,Jonathan Dean,,,,,Sean Brown,,,,,Awisi A. Bustos,,,,,Christopher Swann,,,,,WRITE-IN,,,,,
Precinct,Registered Voters,Election Day,Early Voting,Vote by Mail,Vote by Mail/Provisional,Total Votes,Election Day,Early Voting,Vote by Mail,Vote by Mail/Provisional,Total Votes,Election Day,Early Voting,Vote by Mail,Vote by Mail/Provisional,Total Votes,Election Day,Early Voting,Vote by Mail,Vote by Mail/Provisional,Total Votes,Election Day,Early Voting,Vote by Mail,Vote by Mail/Provisional,Total Votes,Election Day,Early Voting,Vote by Mail,Vote by Mail/Provisional,Total Votes,Election Day,Early Voting,Vote by Mail,Vote by Mail/Provisional,Total Votes,Election Day,Early Voting,Vote by Mail,Vote by Mail/Provisional,Total Votes,Election Day,Early Voting,Vote by Mail,Vote by Mail/Provisional,Total Votes,Election Day,Early Voting,Vote by Mail,Vote by Mail/Provisional,Total Votes,Election Day,Early Voting,Vote by Mail,Vote by Mail/Provisional,Total Votes,Total
Dorr 5,954,3,3,0,0,6,10,3,3,0,16,34,19,18,4,75,30,22,19,2,73,0,0,0,0,0,4,0,0,0,4,0,2,2,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,179
Dorr 6,1020,2,0,1,0,3,11,3,3,0,17,33,10,3,0,46,20,11,17,3,51,0,0,1,0,1,1,2,0,0,3,0,0,0,0,0,0,1,0,0,1,3,0,1,0,4,3,0,1,0,4,0,0,0,0,0,130
Dorr 7,966,2,0,2,1,5,9,6,4,2,21,41,24,6,1,72,13,23,18,1,55,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,155
Dorr 8,985,1,5,4,0,10,8,6,7,1,22,38,17,18,1,74,23,18,7,0,48,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,156
Dorr 9,1087,6,2,1,0,9,3,1,0,0,4,15,13,11,3,42,11,13,8,0,32,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,91
Dorr 10,1104,0,5,0,1,6,5,0,5,0,10,22,6,6,0,34,6,8,6,3,23,0,0,0,0,0,1,0,1,0,2,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77
Dorr 11,970,0,0,5,0,5,0,9,0,0,9,21,11,13,4,49,15,25,16,2,58,0,0,0,0,0,0,0,1,0,1,0,0,0,2,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,125
Dorr 12,1056,4,0,0,0,4,9,0,1,0,10,31,5,6,4,46,17,6,12,3,38,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99
Dorr 13,1226,5,1,2,1,9,7,1,2,0,10,24,13,15,3,55,20,12,29,3,64,1,2,0,0,3,0,0,0,2,2,1,0,2,0,3,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,148
Dorr 14,1057,0,2,0,0,2,10,4,3,0,17,32,14,18,6,70,18,9,15,3,45,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,0,3,2,0,2,0,4,0,0,0,0,0,142
