GOVERNOR AND LIEUTENANT GOVERNOR (Vote For 1),,,,,,,,,,,,,,,,,,,,,,,,,,,
,,(Ted Dabrowski / Carrie Mendoza,,,,,(James Mendrick / Robert Renteria,,,,,(Darren Bailey / Aaron B. Del Mar,,,,,(Rick Heidner / Christina Neitzke-,,,,,WRITE-IN,,,,,
Precinct,Registered Voters,Election Day,Early Voting,Vote by Mail,Vote by Mail/Provisional,Total Votes,Election Day,Early Voting,Vote by Mail,Vote by Mail/Provisional,Total Votes,Election Day,Early Voting,Vote by Mail,Vote by Mail/Provisional,Total Votes,Election Day,Early Voting,Vote by Mail,Vote by Mail/Provisional,Total Votes,Election Day,Early Voting,Vote by Mail,Vote by Mail/Provisional,Total Votes,Total
Chemung 2,970,18,1,2,0,21,5,0,2,0,7,15,3,3,0,21,4,0,2,0,6,0,0,0,0,0,55
Chemung 3,761,15,4,1,0,20,5,0,1,0,6,14,1,2,0,17,6,0,2,0,8,0,0,0,0,0,51
Chemung 4,811,14,2,1,0,17,9,1,2,0,12,30,1,0,0,31,7,4,0,0,11,0,0,0,0,0,71
Chemung 5,773,19,4,2,0,25,12,2,0,1,15,31,3,4,0,38,9,2,1,0,12,0,0,0,0,0,90
Coral 1,1007,37,9,7,0,53,11,3,2,0,16,38,6,8,0,52,8,1,3,0,12,0,0,0,0,0,133
Coral 2,910,39,0,3,3,45,8,1,2,0,11,37,5,6,1,49,6,3,0,1,10,0,0,0,0,0,115
Coral 3,928,17,6,4,0,27,12,2,3,0,17,23,5,9,1,38,5,1,3,0,9,0,0,0,0,0,91
Dorr 1,922,7,7,0,0,14,5,1,1,0,7,12,4,2,0,18,2,4,1,0,7,0,0,0,0,0,46
Dorr 2,962,10,5,3,0,18,4,1,0,0,5,15,1,3,1,20,2,4,2,0,8,0,0,0,0,0,51
Dorr 3,990,7,1,4,0,12,3,0,2,1,6,22,8,6,3,39,5,1,2,0,8,0,0,0,0,0,65
Dorr 4,976,11,5,6,0,22,4,0,3,0,7,20,7,6,0,33,2,2,5,0,9,0,0,0,0,0,71
Dorr 5,954,19,10,5,2,36,2,4,0,0,6,20,6,5,0,31,5,1,1,0,7,1,0,2,0,3,83
Dorr 6,1020,11,5,2,0,18,5,1,0,0,6,11,14,8,0,33,2,3,0,0,5,0,0,0,0,0,62
Dorr 7,966,8,8,2,0,18,4,2,1,0,7,16,4,3,0,23,4,0,0,0,4,0,0,0,0,0,52
Dorr 8,985,21,3,2,0,26,5,1,2,0,8,14,8,5,0,27,4,0,0,0,4,0,0,0,0,0,65
Dorr 9,1087,22,4,1,1,28,5,0,0,0,5,26,8,1,0,35,5,5,1,0,11,0,1,0,0,1,80
Dorr 10,1104,5,4,1,0,10,0,3,0,0,3,11,7,3,0,21,4,2,0,0,6,0,0,0,0,0,40
Dorr 11,970,13,4,0,1,18,2,3,1,0,6,7,9,2,0,18,6,5,4,0,15,0,0,0,0,0,57
Dorr 12,1056,26,1,1,1,29,7,0,0,0,7,24,8,2,0,34,5,1,0,0,6,0,0,0,0,0,76
Dorr 13,1226,23,5,2,2,32,2,1,0,1,4,15,13,9,1,38,7,3,2,1,13,0,0,0,0,0,87
Dorr 14,1057,8,4,2,2,16,4,0,1,0,5,11,3,2,0,16,5,5,1,0,11,0,0,0,0,0,48
Dunham 1,755,5,2,0,0,7,2,1,0,0,3,7,5,3,0,15,4,2,3,0,9,0,0,0,0,0,34
Dunham 2,720,30,1,0,0,31,7,1,0,0,8,32,8,6,0,46,12,4,2,0,18,0,1,0,0,1,104
Grafton 1,1059,14,11,3,0,28,5,4,0,1,10,13,8,0,0,21,5,0,1,0,6,0,0,0,0,0,65
Grafton 2,1122,28,5,6,2,41,7,0,1,0,8,26,6,8,0,40,5,0,3,1,9,0,0,0,0,0,98
