UNITED STATES SENATOR (Vote For 1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Casey Chlebek,,,,,Don Tracy,,,,,R. Cary Capparelli,,,,,Pamela Denise Long,,,,,"Jimmy Lee Tillman, II",,,,,Jeannie Evans,,,,,
Precinct,Registered Voters,Election Day,Early Voting,Vote by Mail,Vote by Mail/Provisional,Total Votes,Election Day,Early Voting,Vote by Mail,Vote by Mail/Provisional,Total Votes,Election Day,Early Voting,Vote by Mail,Vote by Mail/Provisional,Total Votes,Election Day,Early Voting,Vote by Mail,Vote by Mail/Provisional,Total Votes,Election Day,Early Voting,Vote by Mail,Vote by Mail/Provisional,Total Votes,Election Day,Early Voting,Vote by Mail,Vote by Mail/Provisional,Total Votes,Total
Algonquin 60,1136,5,7,2,0,14,23,6,2,0,31,5,3,7,0,15,4,3,3,0,10,4,0,2,0,6,12,3,2,2,19,95
Algonquin 61,995,3,0,3,0,6,10,6,1,0,17,4,2,2,0,8,1,2,3,0,6,1,0,1,0,2,8,3,1,0,12,51
Algonquin 62,1038,4,2,0,0,6,17,7,4,0,28,8,6,4,0,18,4,9,2,0,15,5,1,3,0,9,14,8,6,0,28,104
Algonquin 63,967,9,2,0,0,11,12,1,0,2,15,5,2,3,0,10,3,1,3,0,7,6,1,1,0,8,6,3,2,0,11,62
Burton 1,981,7,2,1,3,13,19,6,1,0,26,5,4,0,0,9,8,1,1,0,10,8,1,0,0,9,11,4,0,0,15,82
Burton 2,943,7,1,0,0,8,14,0,2,2,18,4,0,0,0,4,10,1,1,0,12,4,0,0,0,4,11,1,1,0,13,59
Burton 3,920,3,1,3,0,7,9,4,4,0,17,12,5,5,0,22,8,2,0,1,11,1,2,0,0,3,11,5,4,0,20,80
Burton 4,866,3,1,4,0,8,17,2,3,0,22,2,2,2,0,6,4,2,1,0,7,3,1,0,0,4,16,7,4,0,27,74
Chemung 1,845,6,2,1,0,9,10,2,2,0,14,7,2,1,0,10,6,1,3,0,10,7,0,0,1,8,12,2,0,0,14,65
Chemung 2,970,3,0,4,0,7,17,2,1,0,20,1,1,0,0,2,7,1,0,0,8,1,0,0,0,1,12,1,4,0,17,55
Chemung 3,761,3,0,0,0,3,10,2,4,0,16,3,0,2,0,5,3,1,0,0,4,4,0,0,0,4,14,2,1,0,17,49
Chemung 4,811,4,1,0,0,5,20,2,3,0,25,12,0,0,0,12,6,1,0,0,7,3,2,0,0,5,11,2,0,0,13,67
Chemung 5,773,9,3,0,0,12,19,2,4,1,26,7,1,2,0,10,8,0,0,0,8,3,0,0,0,3,24,4,1,0,29,88
Coral 1,1007,12,0,4,0,16,23,2,6,0,31,10,6,1,0,17,11,2,3,0,16,6,3,1,0,10,26,6,3,0,35,125
Coral 2,910,13,0,1,0,14,27,1,4,5,37,11,2,3,0,16,11,3,0,0,14,2,0,1,0,3,25,2,3,0,30,114
Coral 3,928,5,1,0,0,6,23,4,11,0,38,2,1,0,0,3,4,1,3,0,8,1,3,0,0,4,21,4,4,1,30,89
