COMPTROLLER (Vote For 1),,,,,,,,,,,,,,,,,,,,,,
,,Karina Villa,,,,,Stephanie A. Kifowit,,,,,Holly Kim,,,,,Margaret Croke,,,,,
Precinct,Registered Voters,Election Day,Early Voting,Vote by Mail,Vote by Mail/Provisional,Total Votes,Election Day,Early Voting,Vote by Mail,Vote by Mail/Provisional,Total Votes,Election Day,Early Voting,Vote by Mail,Vote by Mail/Provisional,Total Votes,Election Day,Early Voting,Vote by Mail,Vote by Mail/Provisional,Total Votes,Total
Algonquin 14,1001,16,11,5,1,33,7,4,5,0,16,24,14,15,0,53,30,12,7,1,50,152
Algonquin 15,955,5,13,4,0,22,1,5,3,0,9,6,4,6,1,17,15,11,15,0,41,89
Algonquin 16,1033,18,10,6,2,36,5,9,4,0,18,10,10,13,3,36,14,16,5,1,36,126
Algonquin 17,942,20,5,6,1,32,7,2,2,1,12,2,9,11,5,27,15,13,6,3,37,108
Algonquin 18,1159,14,12,6,1,33,5,6,4,0,15,18,16,12,3,49,33,21,12,6,72,169
Algonquin 19,861,16,6,3,0,25,9,0,0,0,9,11,3,1,2,17,17,17,2,3,39,90
Algonquin 20,978,18,12,11,3,44,12,2,4,0,18,18,10,9,0,37,17,10,5,1,33,132
Algonquin 21,1004,16,11,13,2,42,7,8,2,0,17,15,13,15,2,45,28,11,6,0,45,149
Algonquin 22,1016,27,3,9,6,45,4,6,2,0,12,30,21,10,0,61,29,10,11,0,50,168
Algonquin 23,767,10,11,7,0,28,2,6,1,0,9,15,13,6,0,34,10,9,6,1,26,97
Algonquin 24,773,12,5,6,0,23,5,2,0,1,8,11,10,3,2,26,9,8,1,1,19,76
Algonquin 25,909,15,10,6,0,31,6,6,1,0,13,12,11,3,1,27,11,6,5,0,22,93
Algonquin 26,921,14,8,3,0,25,3,2,2,0,7,12,5,5,1,23,10,10,6,1,27,82
Algonquin 27,962,21,7,5,2,35,4,5,2,0,11,12,6,11,1,30,22,6,6,2,36,112
Algonquin 28,1105,33,25,11,2,71,4,5,8,1,18,32,18,15,2,67,31,17,11,3,62,218
Algonquin 29,986,17,12,7,0,36,3,5,2,0,10,9,11,7,0,27,12,8,3,1,24,97
Algonquin 30,899,14,12,10,0,36,7,3,2,0,12,8,8,6,3,25,13,6,8,1,28,101
Algonquin 31,1298,29,15,4,2,50,10,1,2,0,13,18,6,12,0,36,19,10,3,3,35,134
Algonquin 32,939,25,9,7,0,41,3,2,5,0,10,7,10,5,0,22,25,17,8,2,52,125
Algonquin 33,1081,24,5,5,4,38,5,4,3,1,13,24,10,10,3,47,31,14,15,3,63,161
Algonquin 34,933,21,8,2,1,32,6,1,3,1,11,16,14,10,0,40,22,13,11,0,46,129
Algonquin 35,1015,20,11,6,1,38,7,2,1,0,10,12,4,13,0,29,12,11,7,2,32,109
Algonquin 36,858,18,3,4,0,25,7,1,2,0,10,30,9,9,0,48,17,5,9,0,31,114
Algonquin 37,933,15,1,3,0,19,4,3,1,0,8,18,3,3,2,26,22,14,7,0,43,96
Algonquin 38,1043,22,4,2,2,30,7,1,3,0,11,22,5,3,0,30,26,6,11,0,43,114
Algonquin 39,946,12,10,0,0,22,4,1,1,1,7,20,6,12,2,40,36,6,1,1,44,113
Algonquin 40,861,13,6,4,3,26,6,3,0,0,9,18,4,5,2,29,20,18,3,1,42,106
Algonquin 41,998,15,5,7,0,27,2,3,5,0,10,16,8,13,1,38,28,13,5,1,47,122
Algonquin 42,969,20,12,5,0,37,4,2,3,1,10,17,19,16,0,52,37,17,5,2,61,160
Algonquin 43,706,14,3,0,1,18,6,4,3,0,13,11,8,2,0,21,18,7,3,1,29,81
Algonquin 44,901,19,3,5,0,27,8,1,3,2,14,16,8,7,1,32,14,5,5,0,24,97
Algonquin 45,935,18,7,10,0,35,10,1,7,0,18,29,11,6,0,46,20,10,9,0,39,138
Algonquin 46,1085,29,10,7,6,52,3,3,7,0,13,24,8,13,1,46,29,8,14,5,56,167
Algonquin 47,992,13,7,15,0,35,11,6,1,0,18,19,7,10,0,36,21,14,4,4,43,132
Algonquin 48,938,23,10,7,0,40,6,4,2,0,12,32,8,7,3,50,27,12,6,2,47,149
