JoinField,JoinField_alt,Ward/Township,Precinct,La Shawn K. Ford,Jazmin J. Robinson,Melissa Conyears-Ervin,Jason Friedman,Rory Hoskins,Reed Showalter,Anabel Mendoza,"Anthony Driver, Jr.",Richard R. Boykin,Felix Tello,Kina Collins,David Ehrlich,Thomas Fisher,Total Voters
CITY OF CHICAGO:WARD 27 PRECINCT 11,CITY OF CHICAGO:WARD 27 PRECINCT 11,27,11,41,11,28,28,2,15,18,38,6,0,23,1,35,246
CITY OF CHICAGO:WARD 27 PRECINCT 12,CITY OF CHICAGO:WARD 27 PRECINCT 12,27,12,39,3,23,18,3,9,12,8,9,0,7,1,9,141
CITY OF CHICAGO:WARD 27 PRECINCT 13,CITY OF CHICAGO:WARD 27 PRECINCT 13,27,13,67,17,82,18,3,12,8,38,7,0,22,2,13,289
CITY OF CHICAGO:WARD 27 PRECINCT 14,CITY OF CHICAGO:WARD 27 PRECINCT 14,27,14,71,8,54,5,1,6,9,21,7,1,22,0,4,209
CITY OF CHICAGO:WARD 27 PRECINCT 15,CITY OF CHICAGO:WARD 27 PRECINCT 15,27,15,57,11,44,26,2,11,12,35,8,0,34,3,17,260
CITY OF CHICAGO:WARD 27 PRECINCT 16,CITY OF CHICAGO:WARD 27 PRECINCT 16,27,16,45,14,44,41,4,22,26,61,4,1,48,5,53,368
CITY OF CHICAGO:WARD 27 PRECINCT 17,CITY OF CHICAGO:WARD 27 PRECINCT 17,27,17,47,10,51,8,0,8,10,15,5,0,19,0,12,185
CITY OF CHICAGO:WARD 27 PRECINCT 18,CITY OF CHICAGO:WARD 27 PRECINCT 18,27,18,107,11,120,18,2,9,14,50,7,0,29,1,10,378
CITY OF CHICAGO:WARD 27 PRECINCT 19,CITY OF CHICAGO:WARD 27 PRECINCT 19,27,19,35,4,31,2,3,1,7,11,4,1,4,1,3,107
CITY OF CHICAGO:WARD 27 PRECINCT 20,CITY OF CHICAGO:WARD 27 PRECINCT 20,27,20,49,6,50,8,3,6,7,15,9,0,8,1,9,171
CITY OF CHICAGO:WARD 27 PRECINCT 21,CITY OF CHICAGO:WARD 27 PRECINCT 21,27,21,11,2,15,6,0,1,2,4,2,0,5,0,7,55
CITY OF CHICAGO:WARD 27 PRECINCT 22,CITY OF CHICAGO:WARD 27 PRECINCT 22,27,22,64,7,72,6,3,1,9,12,9,0,10,2,4,199
CITY OF CHICAGO:WARD 27 PRECINCT 23,CITY OF CHICAGO:WARD 27 PRECINCT 23,27,23,62,13,58,4,2,1,7,31,10,0,8,1,3,200
CITY OF CHICAGO:WARD 27 PRECINCT 25,CITY OF CHICAGO:WARD 27 PRECINCT 25,27,25,72,6,70,9,0,6,14,35,11,3,31,0,7,264
CITY OF CHICAGO:WARD 27 PRECINCT 26,CITY OF CHICAGO:WARD 27 PRECINCT 26,27,26,89,8,72,5,0,8,16,47,10,1,16,1,12,285
CITY OF CHICAGO:WARD 27 PRECINCT 27,CITY OF CHICAGO:WARD 27 PRECINCT 27,27,27,49,4,47,12,4,10,6,40,5,0,12,0,5,194
CITY OF CHICAGO:WARD 27 PRECINCT 28,CITY OF CHICAGO:WARD 27 PRECINCT 28,27,28,34,4,23,17,1,9,10,16,9,0,21,1,5,150
CITY OF CHICAGO:WARD 27 PRECINCT 29,CITY OF CHICAGO:WARD 27 PRECINCT 29,27,29,35,8,42,31,1,28,24,107,13,1,43,5,35,373
CITY OF CHICAGO:WARD 28 PRECINCT 01,CITY OF CHICAGO:WARD 28 PRECINCT 01,28,1,60,0,57,1,1,3,0,6,3,0,10,1,2,144
CITY OF CHICAGO:WARD 28 PRECINCT 02,CITY OF CHICAGO:WARD 28 PRECINCT 02,28,2,78,9,47,0,0,2,0,7,7,0,4,1,2,157
CITY OF CHICAGO:WARD 28 PRECINCT 03,CITY OF CHICAGO:WARD 28 PRECINCT 03,28,3,20,2,13,0,0,0,3,1,3,0,0,1,1,44
CITY OF CHICAGO:WARD 28 PRECINCT 04,CITY OF CHICAGO:WARD 28 PRECINCT 04,28,4,49,2,39,5,1,0,1,4,3,0,15,1,2,122
CITY OF CHICAGO:WARD 28 PRECINCT 05,CITY OF CHICAGO:WARD 28 PRECINCT 05,28,5,57,1,84,5,3,0,3,1,14,0,2,0,3,173
CITY OF CHICAGO:WARD 28 PRECINCT 06,CITY OF CHICAGO:WARD 28 PRECINCT 06,28,6,77,5,71,13,0,3,4,31,6,0,17,1,2,230
CITY OF CHICAGO:WARD 28 PRECINCT 07,CITY OF CHICAGO:WARD 28 PRECINCT 07,28,7,52,6,41,3,0,2,1,19,3,0,7,0,2,136
CITY OF CHICAGO:WARD 28 PRECINCT 08,CITY OF CHICAGO:WARD 28 PRECINCT 08,28,8,46,3,117,12,1,2,6,22,13,0,11,1,6,240
CITY OF CHICAGO:WARD 28 PRECINCT 09,CITY OF CHICAGO:WARD 28 PRECINCT 09,28,9,43,3,49,3,0,2,2,9,4,1,6,0,3,125
CITY OF CHICAGO:WARD 28 PRECINCT 10,CITY OF CHICAGO:WARD 28 PRECINCT 10,28,10,21,6,27,2,0,2,4,7,1,1,7,0,2,80
CITY OF CHICAGO:WARD 28 PRECINCT 11,CITY OF CHICAGO:WARD 28 PRECINCT 11,28,11,50,8,77,25,0,9,31,66,6,1,41,0,12,326
CITY OF CHICAGO:WARD 28 PRECINCT 12,CITY OF CHICAGO:WARD 28 PRECINCT 12,28,12,82,12,103,38,6,20,49,99,14,3,27,5,33,491
CITY OF CHICAGO:WARD 28 PRECINCT 13,CITY OF CHICAGO:WARD 28 PRECINCT 13,28,13,55,9,57,31,3,10,11,35,15,4,28,3,32,293
CITY OF CHICAGO:WARD 28 PRECINCT 14,CITY OF CHICAGO:WARD 28 PRECINCT 14,28,14,52,6,97,20,3,11,12,33,6,0,20,0,18,278
CITY OF CHICAGO:WARD 28 PRECINCT 15,CITY OF CHICAGO:WARD 28 PRECINCT 15,28,15,38,3,50,4,1,3,5,12,2,0,20,0,1,139
CITY OF CHICAGO:WARD 28 PRECINCT 16,CITY OF CHICAGO:WARD 28 PRECINCT 16,28,16,63,10,116,11,1,5,20,39,8,3,21,2,6,305
CITY OF CHICAGO:WARD 28 PRECINCT 17,CITY OF CHICAGO:WARD 28 PRECINCT 17,28,17,39,4,82,6,1,2,14,14,3,2,3,0,8,178
CITY OF CHICAGO:WARD 28 PRECINCT 18,CITY OF CHICAGO:WARD 28 PRECINCT 18,28,18,61,3,86,2,1,2,4,18,6,0,9,0,1,193
CITY OF CHICAGO:WARD 28 PRECINCT 19,CITY OF CHICAGO:WARD 28 PRECINCT 19,28,19,67,5,80,3,1,0,2,6,5,0,4,0,5,178
CITY OF CHICAGO:WARD 28 PRECINCT 20,CITY OF CHICAGO:WARD 28 PRECINCT 20,28,20,58,2,73,1,0,1,3,6,4,0,11,0,2,161
CITY OF CHICAGO:WARD 28 PRECINCT 21,CITY OF CHICAGO:WARD 28 PRECINCT 21,28,21,58,3,68,0,0,1,3,9,6,0,7,0,0,155
CITY OF CHICAGO:WARD 28 PRECINCT 22,CITY OF CHICAGO:WARD 28 PRECINCT 22,28,22,55,1,48,4,1,0,2,3,4,3,6,0,2,129
CITY OF CHICAGO:WARD 28 PRECINCT 23,CITY OF CHICAGO:WARD 28 PRECINCT 23,28,23,67,5,100,2,0,2,5,8,6,0,12,0,2,209
CITY OF CHICAGO:WARD 28 PRECINCT 24,CITY OF CHICAGO:WARD 28 PRECINCT 24,28,24,43,1,71,1,1,1,2,4,5,0,3,0,2,134
CITY OF CHICAGO:WARD 28 PRECINCT 25,CITY OF CHICAGO:WARD 28 PRECINCT 25,28,25,150,9,144,5,0,2,7,5,20,2,13,0,11,368
CITY OF CHICAGO:WARD 28 PRECINCT 26,CITY OF CHICAGO:WARD 28 PRECINCT 26,28,26,45,5,46,4,0,1,3,2,4,1,0,0,1,112
CITY OF CHICAGO:WARD 29 PRECINCT 04,CITY OF CHICAGO:WARD 29 PRECINCT 04,29,4,12,1,19,5,1,0,4,1,7,0,8,0,5,63
CITY OF CHICAGO:WARD 29 PRECINCT 05,CITY OF CHICAGO:WARD 29 PRECINCT 05,29,5,18,0,19,6,1,6,9,10,4,0,11,0,8,92
CITY OF CHICAGO:WARD 29 PRECINCT 07,CITY OF CHICAGO:WARD 29 PRECINCT 07,29,7,87,13,88,23,5,18,42,31,26,6,42,9,37,427
CITY OF CHICAGO:WARD 29 PRECINCT 08,CITY OF CHICAGO:WARD 29 PRECINCT 08,29,8,184,10,173,25,25,29,19,60,32,0,35,2,22,616
CITY OF CHICAGO:WARD 29 PRECINCT 09,CITY OF CHICAGO:WARD 29 PRECINCT 09,29,9,111,6,82,4,3,1,7,6,22,0,14,0,4,260
CITY OF CHICAGO:WARD 29 PRECINCT 10,CITY OF CHICAGO:WARD 29 PRECINCT 10,29,10,161,9,88,3,2,3,13,4,13,3,10,0,8,317
CITY OF CHICAGO:WARD 29 PRECINCT 11,CITY OF CHICAGO:WARD 29 PRECINCT 11,29,11,132,11,74,3,0,1,11,9,11,1,3,1,6,263
CITY OF CHICAGO:WARD 29 PRECINCT 12,CITY OF CHICAGO:WARD 29 PRECINCT 12,29,12,150,10,104,9,1,9,17,14,24,0,15,0,9,362
CITY OF CHICAGO:WARD 29 PRECINCT 13,CITY OF CHICAGO:WARD 29 PRECINCT 13,29,13,154,10,129,6,1,2,11,11,15,0,9,0,6,354
CITY OF CHICAGO:WARD 29 PRECINCT 14,CITY OF CHICAGO:WARD 29 PRECINCT 14,29,14,158,6,97,3,1,1,7,12,19,0,11,0,1,316
CITY OF CHICAGO:WARD 29 PRECINCT 15,CITY OF CHICAGO:WARD 29 PRECINCT 15,29,15,129,5,105,0,2,4,4,13,8,3,6,0,3,282
CITY OF CHICAGO:WARD 29 PRECINCT 16,CITY OF CHICAGO:WARD 29 PRECINCT 16,29,16,173,6,94,6,2,4,5,19,12,1,13,0,9,344
CITY OF CHICAGO:WARD 29 PRECINCT 17,CITY OF CHICAGO:WARD 29 PRECINCT 17,29,17,150,7,67,4,1,2,5,6,8,0,13,0,7,270
CITY OF CHICAGO:WARD 29 PRECINCT 18,CITY OF CHICAGO:WARD 29 PRECINCT 18,29,18,163,12,91,6,2,2,8,14,19,1,15,0,7,340
CITY OF CHICAGO:WARD 29 PRECINCT 19,CITY OF CHICAGO:WARD 29 PRECINCT 19,29,19,199,9,99,9,3,2,4,22,19,0,17,0,6,389
CITY OF CHICAGO:WARD 29 PRECINCT 20,CITY OF CHICAGO:WARD 29 PRECINCT 20,29,20,78,4,55,0,2,3,2,10,7,1,7,1,5,175
CITY OF CHICAGO:WARD 29 PRECINCT 21,CITY OF CHICAGO:WARD 29 PRECINCT 21,29,21,161,4,54,11,0,1,26,10,5,1,15,2,5,295
CITY OF CHICAGO:WARD 29 PRECINCT 22,CITY OF CHICAGO:WARD 29 PRECINCT 22,29,22,177,12,102,7,1,1,1,15,22,0,9,2,5,354
CITY OF CHICAGO:WARD 29 PRECINCT 23,CITY OF CHICAGO:WARD 29 PRECINCT 23,29,23,163,8,112,2,6,2,11,8,22,0,4,0,3,341
CITY OF CHICAGO:WARD 29 PRECINCT 24,CITY OF CHICAGO:WARD 29 PRECINCT 24,29,24,118,7,77,1,1,0,5,7,14,0,13,0,6,249
CITY OF CHICAGO:WARD 34 PRECINCT 01,CITY OF CHICAGO:WARD 34 PRECINCT 01,34,1,39,11,40,34,2,26,12,57,10,2,34,2,27,296
CITY OF CHICAGO:WARD 34 PRECINCT 02,CITY OF CHICAGO:WARD 34 PRECINCT 02,34,2,17,6,17,25,3,16,21,33,9,2,24,2,35,210
CITY OF CHICAGO:WARD 34 PRECINCT 03,CITY OF CHICAGO:WARD 34 PRECINCT 03,34,3,42,5,67,31,5,39,23,76,14,1,31,2,45,381
CITY OF CHICAGO:WARD 34 PRECINCT 04,CITY OF CHICAGO:WARD 34 PRECINCT 04,34,4,33,8,36,42,2,21,29,30,13,1,20,6,29,270
CITY OF CHICAGO:WARD 34 PRECINCT 05,CITY OF CHICAGO:WARD 34 PRECINCT 05,34,5,54,14,45,38,8,28,28,57,8,2,57,7,78,424
CITY OF CHICAGO:WARD 34 PRECINCT 06,CITY OF CHICAGO:WARD 34 PRECINCT 06,34,6,29,3,31,42,1,21,12,38,11,1,23,6,51,269
CITY OF CHICAGO:WARD 34 PRECINCT 07,CITY OF CHICAGO:WARD 34 PRECINCT 07,34,7,15,5,21,23,0,5,3,18,0,0,7,6,25,128
CITY OF CHICAGO:WARD 34 PRECINCT 08,CITY OF CHICAGO:WARD 34 PRECINCT 08,34,8,26,5,27,28,2,15,6,22,2,3,18,4,19,177
CITY OF CHICAGO:WARD 34 PRECINCT 09,CITY OF CHICAGO:WARD 34 PRECINCT 09,34,9,43,6,33,59,2,27,16,45,19,3,29,11,49,342
CITY OF CHICAGO:WARD 34 PRECINCT 10,CITY OF CHICAGO:WARD 34 PRECINCT 10,34,10,15,6,12,16,0,3,6,12,7,0,17,1,20,115
CITY OF CHICAGO:WARD 34 PRECINCT 11,CITY OF CHICAGO:WARD 34 PRECINCT 11,34,11,44,11,56,26,1,25,21,55,13,1,19,1,31,304
CITY OF CHICAGO:WARD 34 PRECINCT 12,CITY OF CHICAGO:WARD 34 PRECINCT 12,34,12,14,5,27,31,1,19,15,44,7,0,27,4,20,214
CITY OF CHICAGO:WARD 34 PRECINCT 13,CITY OF CHICAGO:WARD 34 PRECINCT 13,34,13,40,11,30,56,2,22,15,37,17,0,32,7,48,317
CITY OF CHICAGO:WARD 34 PRECINCT 14,CITY OF CHICAGO:WARD 34 PRECINCT 14,34,14,51,5,22,71,3,19,10,33,7,1,23,3,45,293
CITY OF CHICAGO:WARD 34 PRECINCT 15,CITY OF CHICAGO:WARD 34 PRECINCT 15,34,15,45,4,47,29,2,26,13,41,10,2,28,9,26,282
CITY OF CHICAGO:WARD 34 PRECINCT 16,CITY OF CHICAGO:WARD 34 PRECINCT 16,34,16,65,9,51,39,4,37,43,95,21,3,50,5,38,460
CITY OF CHICAGO:WARD 34 PRECINCT 17,CITY OF CHICAGO:WARD 34 PRECINCT 17,34,17,46,20,44,20,0,31,30,101,14,0,63,5,34,408
CITY OF CHICAGO:WARD 34 PRECINCT 18,CITY OF CHICAGO:WARD 34 PRECINCT 18,34,18,86,12,86,37,3,23,28,64,9,4,40,4,41,437
CITY OF CHICAGO:WARD 34 PRECINCT 19,CITY OF CHICAGO:WARD 34 PRECINCT 19,34,19,47,12,45,48,1,23,16,63,11,2,38,5,82,393
CITY OF CHICAGO:WARD 34 PRECINCT 20,CITY OF CHICAGO:WARD 34 PRECINCT 20,34,20,52,2,52,71,4,29,27,45,17,3,13,6,91,412
CITY OF CHICAGO:WARD 36 PRECINCT 17,CITY OF CHICAGO:WARD 36 PRECINCT 17,36,17,26,7,29,8,2,11,29,124,3,2,28,0,16,285
CITY OF CHICAGO:WARD 36 PRECINCT 21,CITY OF CHICAGO:WARD 36 PRECINCT 21,36,21,23,2,34,20,2,19,25,58,10,1,24,3,9,230
CITY OF CHICAGO:WARD 36 PRECINCT 22,CITY OF CHICAGO:WARD 36 PRECINCT 22,36,22,30,8,31,24,2,17,25,139,6,0,35,5,39,361
CITY OF CHICAGO:WARD 36 PRECINCT 23,CITY OF CHICAGO:WARD 36 PRECINCT 23,36,23,34,4,41,29,3,27,27,89,11,3,29,5,35,337
CITY OF CHICAGO:WARD 36 PRECINCT 24,CITY OF CHICAGO:WARD 36 PRECINCT 24,36,24,38,5,22,20,3,30,38,104,6,1,39,6,31,343
CITY OF CHICAGO:WARD 36 PRECINCT 25,CITY OF CHICAGO:WARD 36 PRECINCT 25,36,25,42,7,42,29,2,30,56,85,3,0,45,8,31,380
CITY OF CHICAGO:WARD 36 PRECINCT 26,CITY OF CHICAGO:WARD 36 PRECINCT 26,36,26,41,6,39,24,6,29,31,100,6,3,48,4,29,366
CITY OF CHICAGO:WARD 36 PRECINCT 27,CITY OF CHICAGO:WARD 36 PRECINCT 27,36,27,43,11,39,38,0,24,35,85,7,3,35,1,41,362
CITY OF CHICAGO:WARD 37 PRECINCT 01,CITY OF CHICAGO:WARD 37 PRECINCT 01,37,1,107,3,58,5,2,4,7,7,3,0,10,1,2,209
CITY OF CHICAGO:WARD 37 PRECINCT 03,CITY OF CHICAGO:WARD 37 PRECINCT 03,37,3,118,4,69,4,0,1,2,12,7,1,7,1,3,229
CITY OF CHICAGO:WARD 37 PRECINCT 04,CITY OF CHICAGO:WARD 37 PRECINCT 04,37,4,111,7,92,3,0,1,6,5,11,1,9,0,6,252
CITY OF CHICAGO:WARD 37 PRECINCT 05,CITY OF CHICAGO:WARD 37 PRECINCT 05,37,5,93,1,50,3,2,1,11,6,5,0,5,0,0,177
CITY OF CHICAGO:WARD 37 PRECINCT 06,CITY OF CHICAGO:WARD 37 PRECINCT 06,37,6,179,9,95,2,1,3,6,12,12,0,5,1,0,325
CITY OF CHICAGO:WARD 37 PRECINCT 08,CITY OF CHICAGO:WARD 37 PRECINCT 08,37,8,182,8,98,2,2,3,7,17,10,2,6,0,5,342
CITY OF CHICAGO:WARD 37 PRECINCT 09,CITY OF CHICAGO:WARD 37 PRECINCT 09,37,9,45,3,44,0,1,6,1,2,5,0,3,1,2,113
CITY OF CHICAGO:WARD 37 PRECINCT 10,CITY OF CHICAGO:WARD 37 PRECINCT 10,37,10,83,7,72,2,2,2,10,5,8,5,9,0,2,207
CITY OF CHICAGO:WARD 37 PRECINCT 11,CITY OF CHICAGO:WARD 37 PRECINCT 11,37,11,104,3,75,6,1,0,2,9,8,0,4,0,4,216
CITY OF CHICAGO:WARD 37 PRECINCT 12,CITY OF CHICAGO:WARD 37 PRECINCT 12,37,12,139,11,86,3,3,0,13,11,11,0,10,2,6,295
CITY OF CHICAGO:WARD 37 PRECINCT 13,CITY OF CHICAGO:WARD 37 PRECINCT 13,37,13,47,8,72,7,2,1,10,12,17,0,3,0,2,181
CITY OF CHICAGO:WARD 37 PRECINCT 14,CITY OF CHICAGO:WARD 37 PRECINCT 14,37,14,131,4,93,3,0,4,9,14,18,1,11,0,4,292
CITY OF CHICAGO:WARD 37 PRECINCT 15,CITY OF CHICAGO:WARD 37 PRECINCT 15,37,15,162,8,66,6,0,3,13,5,15,0,6,0,7,291
CITY OF CHICAGO:WARD 37 PRECINCT 16,CITY OF CHICAGO:WARD 37 PRECINCT 16,37,16,159,11,71,7,1,1,14,14,11,1,10,1,3,304
CITY OF CHICAGO:WARD 37 PRECINCT 17,CITY OF CHICAGO:WARD 37 PRECINCT 17,37,17,80,10,30,3,1,3,5,14,5,0,8,0,0,159
CITY OF CHICAGO:WARD 37 PRECINCT 18,CITY OF CHICAGO:WARD 37 PRECINCT 18,37,18,102,7,68,4,2,1,8,8,7,2,12,1,1,223
CITY OF CHICAGO:WARD 37 PRECINCT 20,CITY OF CHICAGO:WARD 37 PRECINCT 20,37,20,191,1,78,4,3,1,9,10,14,1,11,0,3,326
CITY OF CHICAGO:WARD 42 PRECINCT 01,CITY OF CHICAGO:WARD 42 PRECINCT 01,42,1,19,8,41,31,3,2,14,9,9,1,6,2,30,175
CITY OF CHICAGO:WARD 42 PRECINCT 02,CITY OF CHICAGO:WARD 42 PRECINCT 02,42,2,27,2,26,20,0,7,11,16,4,3,12,1,19,148
CITY OF CHICAGO:WARD 42 PRECINCT 03,CITY OF CHICAGO:WARD 42 PRECINCT 03,42,3,56,6,71,103,1,23,31,36,15,0,22,9,100,473
CITY OF CHICAGO:WARD 42 PRECINCT 04,CITY OF CHICAGO:WARD 42 PRECINCT 04,42,4,49,12,39,55,9,21,23,35,11,3,18,4,56,335
CITY OF CHICAGO:WARD 42 PRECINCT 05,CITY OF CHICAGO:WARD 42 PRECINCT 05,42,5,83,15,98,89,8,25,35,42,18,2,30,5,87,537
CITY OF CHICAGO:WARD 42 PRECINCT 06,CITY OF CHICAGO:WARD 42 PRECINCT 06,42,6,27,5,49,56,2,8,21,17,13,2,6,4,43,253
CITY OF CHICAGO:WARD 42 PRECINCT 07,CITY OF CHICAGO:WARD 42 PRECINCT 07,42,7,45,3,43,75,10,9,17,26,16,0,32,8,60,344
CITY OF CHICAGO:WARD 42 PRECINCT 08,CITY OF CHICAGO:WARD 42 PRECINCT 08,42,8,24,5,28,19,3,16,11,29,3,1,24,2,33,198
CITY OF CHICAGO:WARD 42 PRECINCT 09,CITY OF CHICAGO:WARD 42 PRECINCT 09,42,9,14,5,20,17,0,7,5,14,8,1,6,2,10,109
CITY OF CHICAGO:WARD 42 PRECINCT 10,CITY OF CHICAGO:WARD 42 PRECINCT 10,42,10,22,7,32,43,2,11,15,21,9,2,7,4,28,203
CITY OF CHICAGO:WARD 42 PRECINCT 11,CITY OF CHICAGO:WARD 42 PRECINCT 11,42,11,37,7,23,20,2,17,15,30,9,0,33,2,11,206
CITY OF CHICAGO:WARD 42 PRECINCT 12,CITY OF CHICAGO:WARD 42 PRECINCT 12,42,12,24,4,9,42,5,9,13,34,7,1,24,0,18,190
CITY OF CHICAGO:WARD 42 PRECINCT 13,CITY OF CHICAGO:WARD 42 PRECINCT 13,42,13,22,5,28,30,4,6,11,31,10,0,13,1,23,184
CITY OF CHICAGO:WARD 42 PRECINCT 14,CITY OF CHICAGO:WARD 42 PRECINCT 14,42,14,21,1,14,26,1,11,2,14,5,1,7,4,13,120
CITY OF CHICAGO:WARD 42 PRECINCT 15,CITY OF CHICAGO:WARD 42 PRECINCT 15,42,15,17,1,9,16,0,8,3,7,0,0,5,2,3,71
CITY OF CHICAGO:WARD 42 PRECINCT 16,CITY OF CHICAGO:WARD 42 PRECINCT 16,42,16,40,7,29,72,2,24,24,26,8,1,30,4,31,298
CITY OF CHICAGO:WARD 42 PRECINCT 17,CITY OF CHICAGO:WARD 42 PRECINCT 17,42,17,49,5,48,56,3,29,21,49,21,1,34,2,33,351
CITY OF CHICAGO:WARD 42 PRECINCT 18,CITY OF CHICAGO:WARD 42 PRECINCT 18,42,18,19,5,25,41,0,14,11,28,5,0,13,1,21,183
CITY OF CHICAGO:WARD 42 PRECINCT 19,CITY OF CHICAGO:WARD 42 PRECINCT 19,42,19,42,5,51,73,4,33,19,48,14,3,30,4,56,382
CITY OF CHICAGO:WARD 42 PRECINCT 20,CITY OF CHICAGO:WARD 42 PRECINCT 20,42,20,34,3,44,84,7,26,15,30,11,1,24,4,57,340
CITY OF CHICAGO:WARD 42 PRECINCT 21,CITY OF CHICAGO:WARD 42 PRECINCT 21,42,21,45,7,39,74,1,17,23,39,14,0,23,3,61,346
CITY OF CHICAGO:WARD 42 PRECINCT 22,CITY OF CHICAGO:WARD 42 PRECINCT 22,42,22,43,15,58,75,5,18,15,31,11,2,23,8,39,343
CITY OF CHICAGO:WARD 43 PRECINCT 15,CITY OF CHICAGO:WARD 43 PRECINCT 15,43,15,57,3,45,54,2,16,12,38,8,1,17,4,60,317
COOK:7800026,COOK:Leyden Precinct 26,Leyden,26,19,8,42,37,4,6,24,22,12,1,36,4,31,246
COOK:8500001,COOK:Oak Park Precinct 1,Oak Park,1,111,5,63,48,18,64,34,73,24,2,215,4,52,713
COOK:8500002,COOK:Oak Park Precinct 2,Oak Park,2,80,5,36,49,13,85,28,44,33,0,136,2,85,596
COOK:8500003,COOK:Oak Park Precinct 3,Oak Park,3,100,6,36,27,13,48,27,79,17,2,193,4,72,624
COOK:8500004,COOK:Oak Park Precinct 4,Oak Park,4,84,7,43,58,8,52,24,36,22,3,88,0,83,508
COOK:8500005,COOK:Oak Park Precinct 5,Oak Park,5,74,3,24,48,15,68,12,44,15,2,128,2,51,486
COOK:8500006,COOK:Oak Park Precinct 6,Oak Park,6,82,13,51,35,7,25,18,57,22,1,81,2,47,441
COOK:8500007,COOK:Oak Park Precinct 7,Oak Park,7,95,6,41,53,18,57,22,72,18,1,131,2,89,605
COOK:8500008,COOK:Oak Park Precinct 8,Oak Park,8,72,4,42,16,6,35,12,45,16,1,165,2,43,459
COOK:8500009,COOK:Oak Park Precinct 9,Oak Park,9,109,5,46,33,16,51,20,95,26,0,136,2,53,592
COOK:8500010,COOK:Oak Park Precinct 10,Oak Park,10,67,7,23,20,9,57,35,50,13,0,154,3,41,479
COOK:8500011,COOK:Oak Park Precinct 11,Oak Park,11,76,7,32,19,7,32,11,53,16,1,91,0,35,380
COOK:8500012,COOK:Oak Park Precinct 12,Oak Park,12,29,2,22,14,8,16,7,39,9,1,42,0,19,208
COOK:8500013,COOK:Oak Park Precinct 13,Oak Park,13,85,5,28,32,5,29,7,61,9,0,123,4,28,416
COOK:8500014,COOK:Oak Park Precinct 14,Oak Park,14,37,4,22,46,7,117,22,52,18,1,82,6,83,497
COOK:8500015,COOK:Oak Park Precinct 15,Oak Park,15,108,9,40,28,5,28,25,76,21,0,152,3,41,536
COOK:8500016,COOK:Oak Park Precinct 16,Oak Park,16,125,11,31,53,14,54,27,115,22,0,136,11,95,694
COOK:8500017,COOK:Oak Park Precinct 17,Oak Park,17,114,7,44,33,23,52,37,112,21,1,134,3,75,656
COOK:8500018,COOK:Oak Park Precinct 18,Oak Park,18,32,0,22,29,13,63,34,46,17,0,81,3,46,386
COOK:8500019,COOK:Oak Park Precinct 19,Oak Park,19,89,13,47,47,14,27,22,44,15,4,75,2,42,441
COOK:8500020,COOK:Oak Park Precinct 20,Oak Park,20,88,8,50,60,15,49,30,71,25,0,73,3,95,567
COOK:8500021,COOK:Oak Park Precinct 21,Oak Park,21,50,3,27,35,3,30,13,68,37,1,67,2,38,374
COOK:8500022,COOK:Oak Park Precinct 22,Oak Park,22,76,20,52,28,21,37,32,71,24,0,90,7,37,495
COOK:8500023,COOK:Oak Park Precinct 23,Oak Park,23,53,15,34,36,10,53,18,41,28,2,65,6,57,418
COOK:8500024,COOK:Oak Park Precinct 24,Oak Park,24,42,6,21,26,8,36,13,38,9,0,72,2,61,334
COOK:8500025,COOK:Oak Park Precinct 25,Oak Park,25,77,3,34,30,8,19,43,77,8,0,127,2,48,476
COOK:8500026,COOK:Oak Park Precinct 26,Oak Park,26,90,11,45,38,5,53,14,105,21,2,119,1,65,569
COOK:8500027,COOK:Oak Park Precinct 27,Oak Park,27,120,6,33,46,41,67,23,96,25,3,144,10,105,719
COOK:8500028,COOK:Oak Park Precinct 28,Oak Park,28,87,11,59,36,19,32,33,77,29,1,108,3,43,538
COOK:8500029,COOK:Oak Park Precinct 29,Oak Park,29,89,3,22,24,23,44,44,55,9,1,94,1,37,446
COOK:8500030,COOK:Oak Park Precinct 30,Oak Park,30,86,8,23,18,0,25,25,51,13,1,84,4,17,355
COOK:8500031,COOK:Oak Park Precinct 31,Oak Park,31,115,6,35,39,16,76,30,126,19,0,180,3,59,704
COOK:8500032,COOK:Oak Park Precinct 32,Oak Park,32,107,11,44,14,12,37,19,60,40,0,122,1,54,521
COOK:8900001,COOK:Proviso Precinct 1,Proviso,1,55,4,38,5,3,11,26,8,8,0,10,0,9,177
COOK:8900003,COOK:Proviso Precinct 3,Proviso,3,89,5,67,8,9,4,24,12,13,3,9,1,6,250
COOK:8900004,COOK:Proviso Precinct 4,Proviso,4,83,9,57,4,6,2,7,13,15,0,5,1,1,203
COOK:8900005,COOK:Proviso Precinct 5,Proviso,5,58,12,38,16,3,4,39,19,12,4,13,4,15,237
COOK:8900006,COOK:Proviso Precinct 6,Proviso,6,60,13,52,22,5,24,38,16,15,1,11,0,16,273
COOK:8900008,COOK:Proviso Precinct 8,Proviso,8,68,5,27,10,48,12,6,24,22,0,19,0,13,254
COOK:8900009,COOK:Proviso Precinct 9,Proviso,9,97,4,47,1,1,3,5,10,7,0,2,0,2,179
COOK:8900013,COOK:Proviso Precinct 13,Proviso,13,40,7,32,20,7,7,21,15,9,0,11,2,13,184
