JoinField,JoinField_alt,Ward/Township,Precinct,Donna Miller,Eric France,Robert Peters,Willie Preston,"Jesse Louis Jackson, Jr.",Yumeka Brown,"Patrick J. ""PJK"" Keating",Toni C. Brown,Sidney Moore,Adal Regis,Total Voters
CITY OF CHICAGO:WARD 10 PRECINCT 16,CITY OF CHICAGO:WARD 10 PRECINCT 16,10,16,81,6,82,1,64,8,8,2,3,1,256
CITY OF CHICAGO:WARD 10 PRECINCT 17,CITY OF CHICAGO:WARD 10 PRECINCT 17,10,17,90,0,57,5,23,5,13,0,2,0,195
CITY OF CHICAGO:WARD 10 PRECINCT 18,CITY OF CHICAGO:WARD 10 PRECINCT 18,10,18,89,9,65,8,47,14,15,5,11,4,267
CITY OF CHICAGO:WARD 10 PRECINCT 19,CITY OF CHICAGO:WARD 10 PRECINCT 19,10,19,59,4,32,3,24,6,21,3,2,2,156
CITY OF CHICAGO:WARD 10 PRECINCT 20,CITY OF CHICAGO:WARD 10 PRECINCT 20,10,20,44,1,27,1,30,4,3,0,0,2,112
CITY OF CHICAGO:WARD 10 PRECINCT 21,CITY OF CHICAGO:WARD 10 PRECINCT 21,10,21,55,0,32,1,25,3,5,0,1,3,125
CITY OF CHICAGO:WARD 10 PRECINCT 22,CITY OF CHICAGO:WARD 10 PRECINCT 22,10,22,72,3,49,1,38,6,7,1,3,3,183
CITY OF CHICAGO:WARD 10 PRECINCT 23,CITY OF CHICAGO:WARD 10 PRECINCT 23,10,23,68,6,15,6,54,5,8,2,1,6,171
CITY OF CHICAGO:WARD 10 PRECINCT 24,CITY OF CHICAGO:WARD 10 PRECINCT 24,10,24,27,1,4,0,43,1,1,0,2,0,79
CITY OF CHICAGO:WARD 10 PRECINCT 25,CITY OF CHICAGO:WARD 10 PRECINCT 25,10,25,43,0,8,1,51,6,0,2,1,0,112
COOK:7100001,COOK:Bloom Precinct 1,Bloom,1,175,2,51,10,53,33,16,1,1,4,346
COOK:7100002,COOK:Bloom Precinct 2,Bloom,2,121,0,45,7,42,34,10,1,2,1,263
COOK:7100003,COOK:Bloom Precinct 3,Bloom,3,40,1,12,8,22,16,1,1,1,1,103
COOK:7100004,COOK:Bloom Precinct 4,Bloom,4,55,2,21,18,35,9,6,0,2,2,150
COOK:7100005,COOK:Bloom Precinct 5,Bloom,5,107,4,36,19,75,26,6,5,4,2,284
COOK:7100006,COOK:Bloom Precinct 6,Bloom,6,23,0,0,1,23,2,1,1,0,0,51
