JoinField,JoinField_alt,Ward/Township,Precinct,Neil Khot,Yasmeen Bankole,Kevin B. Morrison,Dan Tully,Ryan Vetticad,Melissa L. Bean,Junaid Ahmed,Sanjyot Dunung,Total Voters
DUPAGE:BLOOMINGDALE 031,DUPAGE:BLOOMINGDALE 031,BLOOMINGDALE,31,3,30,6,18,1,39,40,3,140
DUPAGE:BLOOMINGDALE 032,DUPAGE:BLOOMINGDALE 032,BLOOMINGDALE,32,1,13,3,14,0,37,41,9,118
DUPAGE:BLOOMINGDALE 033,DUPAGE:BLOOMINGDALE 033,BLOOMINGDALE,33,9,7,11,26,1,48,86,4,192
DUPAGE:BLOOMINGDALE 034,DUPAGE:BLOOMINGDALE 034,BLOOMINGDALE,34,7,14,13,16,5,46,26,2,129
DUPAGE:BLOOMINGDALE 035,DUPAGE:BLOOMINGDALE 035,BLOOMINGDALE,35,4,15,10,45,0,48,42,3,167
DUPAGE:BLOOMINGDALE 036,DUPAGE:BLOOMINGDALE 036,BLOOMINGDALE,36,7,10,9,24,0,61,26,2,139
DUPAGE:BLOOMINGDALE 037,DUPAGE:BLOOMINGDALE 037,BLOOMINGDALE,37,14,10,6,13,0,44,67,0,154
DUPAGE:BLOOMINGDALE 038,DUPAGE:BLOOMINGDALE 038,BLOOMINGDALE,38,8,10,5,17,1,53,33,0,127
DUPAGE:BLOOMINGDALE 039,DUPAGE:BLOOMINGDALE 039,BLOOMINGDALE,39,5,10,7,34,2,57,36,2,153
DUPAGE:BLOOMINGDALE 040,DUPAGE:BLOOMINGDALE 040,BLOOMINGDALE,40,7,17,6,14,2,59,34,5,144
DUPAGE:BLOOMINGDALE 041,DUPAGE:BLOOMINGDALE 041,BLOOMINGDALE,41,14,10,3,8,3,33,92,16,179
DUPAGE:BLOOMINGDALE 042,DUPAGE:BLOOMINGDALE 042,BLOOMINGDALE,42,7,22,9,13,1,30,51,1,134
DUPAGE:BLOOMINGDALE 043,DUPAGE:BLOOMINGDALE 043,BLOOMINGDALE,43,10,12,3,11,5,35,17,1,94
DUPAGE:BLOOMINGDALE 044,DUPAGE:BLOOMINGDALE 044,BLOOMINGDALE,44,14,8,11,31,1,66,60,4,195
DUPAGE:BLOOMINGDALE 045,DUPAGE:BLOOMINGDALE 045,BLOOMINGDALE,45,9,25,4,23,1,51,36,2,151
DUPAGE:BLOOMINGDALE 046,DUPAGE:BLOOMINGDALE 046,BLOOMINGDALE,46,19,8,2,6,2,26,34,5,102
DUPAGE:BLOOMINGDALE 047,DUPAGE:BLOOMINGDALE 047,BLOOMINGDALE,47,12,16,7,9,2,32,82,2,162
DUPAGE:BLOOMINGDALE 048,DUPAGE:BLOOMINGDALE 048,BLOOMINGDALE,48,4,12,4,9,1,30,57,3,120
DUPAGE:BLOOMINGDALE 049,DUPAGE:BLOOMINGDALE 049,BLOOMINGDALE,49,5,10,3,4,1,15,25,0,63
DUPAGE:BLOOMINGDALE 051,DUPAGE:BLOOMINGDALE 051,BLOOMINGDALE,51,12,17,11,35,0,74,57,4,210
DUPAGE:BLOOMINGDALE 052,DUPAGE:BLOOMINGDALE 052,BLOOMINGDALE,52,20,17,10,32,6,63,53,6,207
DUPAGE:BLOOMINGDALE 053,DUPAGE:BLOOMINGDALE 053,BLOOMINGDALE,53,8,7,5,18,1,38,36,0,113
DUPAGE:BLOOMINGDALE 054,DUPAGE:BLOOMINGDALE 054,BLOOMINGDALE,54,14,18,10,16,4,56,140,0,258
DUPAGE:BLOOMINGDALE 055,DUPAGE:BLOOMINGDALE 055,BLOOMINGDALE,55,13,7,4,18,0,18,31,2,93
DUPAGE:BLOOMINGDALE 056,DUPAGE:BLOOMINGDALE 056,BLOOMINGDALE,56,20,18,10,19,5,39,64,2,177
DUPAGE:BLOOMINGDALE 059,DUPAGE:BLOOMINGDALE 059,BLOOMINGDALE,59,9,4,4,15,4,30,140,0,206
DUPAGE:BLOOMINGDALE 061,DUPAGE:BLOOMINGDALE 061,BLOOMINGDALE,61,9,21,14,44,2,66,55,2,213
DUPAGE:BLOOMINGDALE 062,DUPAGE:BLOOMINGDALE 062,BLOOMINGDALE,62,11,23,8,40,2,51,30,4,169
DUPAGE:BLOOMINGDALE 063,DUPAGE:BLOOMINGDALE 063,BLOOMINGDALE,63,5,11,13,46,2,40,37,5,159
DUPAGE:BLOOMINGDALE 068,DUPAGE:BLOOMINGDALE 068,BLOOMINGDALE,68,9,14,6,25,0,45,58,7,164
DUPAGE:BLOOMINGDALE 069,DUPAGE:BLOOMINGDALE 069,BLOOMINGDALE,69,9,18,6,22,0,42,39,1,137
DUPAGE:BLOOMINGDALE 070,DUPAGE:BLOOMINGDALE 070,BLOOMINGDALE,70,0,0,0,0,0,0,0,0,0
DUPAGE:MILTON 003,DUPAGE:MILTON 003,MILTON,03,4,14,10,9,2,31,25,0,95
DUPAGE:MILTON 004,DUPAGE:MILTON 004,MILTON,04,3,23,14,34,1,66,82,2,225
DUPAGE:MILTON 007,DUPAGE:MILTON 007,MILTON,07,14,22,12,17,1,93,37,1,197
DUPAGE:MILTON 008,DUPAGE:MILTON 008,MILTON,08,4,7,9,8,4,40,35,4,111
DUPAGE:WAYNE 003,DUPAGE:WAYNE 003,WAYNE,03,15,15,13,20,1,51,31,8,154
DUPAGE:WAYNE 004,DUPAGE:WAYNE 004,WAYNE,04,7,19,9,19,0,69,37,1,161
DUPAGE:WAYNE 005,DUPAGE:WAYNE 005,WAYNE,05,7,28,3,17,0,17,26,3,101
DUPAGE:WAYNE 006,DUPAGE:WAYNE 006,WAYNE,06,8,17,3,15,2,50,51,2,148
DUPAGE:WAYNE 008,DUPAGE:WAYNE 008,WAYNE,08,10,21,2,17,1,46,56,2,155
DUPAGE:WAYNE 009,DUPAGE:WAYNE 009,WAYNE,09,23,21,8,23,0,48,37,2,162
DUPAGE:WAYNE 010,DUPAGE:WAYNE 010,WAYNE,10,13,28,14,30,1,47,41,9,183
DUPAGE:WAYNE 011,DUPAGE:WAYNE 011,WAYNE,11,16,34,10,16,2,38,59,4,179
DUPAGE:WAYNE 015,DUPAGE:WAYNE 015,WAYNE,15,19,16,11,14,1,53,48,8,170
DUPAGE:WAYNE 016,DUPAGE:WAYNE 016,WAYNE,16,7,9,11,14,2,43,44,0,130
DUPAGE:WAYNE 017,DUPAGE:WAYNE 017,WAYNE,17,19,49,12,14,1,55,43,8,201
DUPAGE:WAYNE 018,DUPAGE:WAYNE 018,WAYNE,18,5,16,3,9,0,17,25,3,78
DUPAGE:WAYNE 022,DUPAGE:WAYNE 022,WAYNE,22,9,11,6,12,0,38,42,6,124
DUPAGE:WAYNE 023,DUPAGE:WAYNE 023,WAYNE,23,5,27,7,13,0,53,33,5,143
DUPAGE:WAYNE 024,DUPAGE:WAYNE 024,WAYNE,24,17,22,3,9,1,27,44,6,129
DUPAGE:WAYNE 025,DUPAGE:WAYNE 025,WAYNE,25,15,18,10,6,2,32,55,8,146
DUPAGE:WAYNE 027,DUPAGE:WAYNE 027,WAYNE,27,10,19,13,35,0,59,43,4,183
DUPAGE:WAYNE 028,DUPAGE:WAYNE 028,WAYNE,28,20,17,14,17,1,55,43,5,172
DUPAGE:WAYNE 029,DUPAGE:WAYNE 029,WAYNE,29,8,19,13,23,6,42,39,6,156
DUPAGE:WAYNE 030,DUPAGE:WAYNE 030,WAYNE,30,18,21,12,35,1,66,53,7,213
DUPAGE:WAYNE 031,DUPAGE:WAYNE 031,WAYNE,31,12,14,7,37,2,54,52,3,181
DUPAGE:WAYNE 032,DUPAGE:WAYNE 032,WAYNE,32,15,23,4,22,3,37,36,5,145
DUPAGE:WAYNE 034,DUPAGE:WAYNE 034,WAYNE,34,10,12,16,23,1,40,38,3,143
DUPAGE:WAYNE 035,DUPAGE:WAYNE 035,WAYNE,35,7,6,5,12,1,41,27,2,101
DUPAGE:WAYNE 036,DUPAGE:WAYNE 036,WAYNE,36,7,18,11,66,2,65,60,0,229
DUPAGE:WAYNE 037,DUPAGE:WAYNE 037,WAYNE,37,13,12,5,21,0,39,41,5,136
DUPAGE:WAYNE 042,DUPAGE:WAYNE 042,WAYNE,42,10,12,8,18,2,47,34,2,133
