JoinField,JoinField_alt,Ward/Township,Precinct,John Elleson,Paul Friedman,Rocio Cleveland,Dongbo Mark Su,Total Voters
COOK:7506006,COOK:Evanston Ward 6 Precinct 6,Evanston,Ward 6 Precinct 6,6,4,3,2,15
COOK:7507001,COOK:Evanston Ward 7 Precinct 1,Evanston,Ward 7 Precinct 1,5,3,1,1,10
COOK:7507002,COOK:Evanston Ward 7 Precinct 2,Evanston,Ward 7 Precinct 2,6,10,1,3,20
COOK:7507003,COOK:Evanston Ward 7 Precinct 3,Evanston,Ward 7 Precinct 3,0,0,0,0,0
COOK:7507004,COOK:Evanston Ward 7 Precinct 4,Evanston,Ward 7 Precinct 4,2,0,1,1,4
COOK:7507005,COOK:Evanston Ward 7 Precinct 5,Evanston,Ward 7 Precinct 5,4,2,2,3,11
COOK:7508001,COOK:Evanston Ward 8 Precinct 1,Evanston,Ward 8 Precinct 1,4,8,0,3,15
COOK:7508002,COOK:Evanston Ward 8 Precinct 2,Evanston,Ward 8 Precinct 2,6,6,1,1,14
COOK:7508003,COOK:Evanston Ward 8 Precinct 3,Evanston,Ward 8 Precinct 3,0,2,1,2,5
COOK:7508004,COOK:Evanston Ward 8 Precinct 4,Evanston,Ward 8 Precinct 4,6,1,2,3,12
COOK:7508005,COOK:Evanston Ward 8 Precinct 5,Evanston,Ward 8 Precinct 5,1,2,0,1,4
COOK:7509001,COOK:Evanston Ward 9 Precinct 1,Evanston,Ward 9 Precinct 1,2,3,0,0,5
COOK:7509002,COOK:Evanston Ward 9 Precinct 2,Evanston,Ward 9 Precinct 2,5,3,4,1,13
COOK:7509003,COOK:Evanston Ward 9 Precinct 3,Evanston,Ward 9 Precinct 3,4,4,1,1,10
COOK:7509004,COOK:Evanston Ward 9 Precinct 4,Evanston,Ward 9 Precinct 4,3,8,1,0,12
COOK:7509005,COOK:Evanston Ward 9 Precinct 5,Evanston,Ward 9 Precinct 5,7,0,0,3,10
COOK:8000008,COOK:Maine Precinct 8,Maine,8,39,16,4,6,65
COOK:8000011,COOK:Maine Precinct 11,Maine,11,9,4,1,1,15
COOK:8000015,COOK:Maine Precinct 15,Maine,15,14,11,6,2,33
COOK:8000020,COOK:Maine Precinct 20,Maine,20,15,11,4,3,33
COOK:8000029,COOK:Maine Precinct 29,Maine,29,39,21,10,6,76
COOK:8000030,COOK:Maine Precinct 30,Maine,30,44,32,7,2,85
COOK:8000031,COOK:Maine Precinct 31,Maine,31,28,11,7,5,51
COOK:8000032,COOK:Maine Precinct 32,Maine,32,36,27,3,4,70
COOK:8000039,COOK:Maine Precinct 39,Maine,39,40,14,2,3,59
COOK:8000040,COOK:Maine Precinct 40,Maine,40,12,8,4,6,30
COOK:8000043,COOK:Maine Precinct 43,Maine,43,42,17,2,8,69
COOK:8000044,COOK:Maine Precinct 44,Maine,44,18,10,1,0,29
COOK:8000046,COOK:Maine Precinct 46,Maine,46,34,19,6,2,61
COOK:8000051,COOK:Maine Precinct 51,Maine,51,23,8,5,7,43
COOK:8000052,COOK:Maine Precinct 52,Maine,52,16,19,2,1,38
COOK:8000055,COOK:Maine Precinct 55,Maine,55,33,21,3,4,61
COOK:8000058,COOK:Maine Precinct 58,Maine,58,37,37,7,3,84
COOK:8000059,COOK:Maine Precinct 59,Maine,59,28,22,6,6,62
COOK:8000060,COOK:Maine Precinct 60,Maine,60,42,28,8,5,83
COOK:8000063,COOK:Maine Precinct 63,Maine,63,9,8,5,3,25
COOK:8000069,COOK:Maine Precinct 69,Maine,69,17,15,3,5,40
COOK:8000072,COOK:Maine Precinct 72,Maine,72,34,30,11,2,77
COOK:8000073,COOK:Maine Precinct 73,Maine,73,29,12,1,7,49
COOK:8000074,COOK:Maine Precinct 74,Maine,74,16,12,2,1,31
COOK:8000075,COOK:Maine Precinct 75,Maine,75,23,15,5,3,46
COOK:8000076,COOK:Maine Precinct 76,Maine,76,8,10,0,2,20
COOK:8000083,COOK:Maine Precinct 83,Maine,83,22,12,1,2,37
COOK:8100003,COOK:New Trier Precinct 3,New Trier,3,18,9,7,6,40
COOK:8100013,COOK:New Trier Precinct 13,New Trier,13,36,16,5,5,62
COOK:8100017,COOK:New Trier Precinct 17,New Trier,17,15,11,4,4,34
COOK:8100018,COOK:New Trier Precinct 18,New Trier,18,1,0,0,1,2
COOK:8100021,COOK:New Trier Precinct 21,New Trier,21,10,17,6,9,42
COOK:8100024,COOK:New Trier Precinct 24,New Trier,24,19,14,6,5,44
COOK:8100026,COOK:New Trier Precinct 26,New Trier,26,27,23,8,6,64
COOK:8100027,COOK:New Trier Precinct 27,New Trier,27,9,6,1,4,20
COOK:8100031,COOK:New Trier Precinct 31,New Trier,31,9,3,2,1,15
COOK:8100032,COOK:New Trier Precinct 32,New Trier,32,6,3,1,0,10
COOK:8100033,COOK:New Trier Precinct 33,New Trier,33,12,9,0,3,24
