JoinField,JoinField_alt,Ward/Township,Precinct,Daniel Biss,Justin Ford,Mike Simmons,Bushra Amiwala,Patricia A. Brown,Jeff Cohen,Laura Fine,Phil Andrew,Nick Pyati,Kat Abughazaleh,Sam Polan,Bethany Johnson,Howard Rosenblum,Hoan Huynh,Mark Arnold Fredrickson,Total Voters
COOK:9600016,COOK:Wheeling Precinct 16,Wheeling, 16,10,0,3,4,5,0,7,2,1,28,1,1,0,2,0,64
COOK:9600017,COOK:Wheeling Precinct 17,Wheeling, 17,45,1,3,7,2,2,34,2,1,30,2,3,2,0,0,134
COOK:9600021,COOK:Wheeling Precinct 21,Wheeling, 21,57,1,3,4,6,4,39,7,2,27,1,0,1,0,0,152
COOK:9600027,COOK:Wheeling Precinct 27,Wheeling, 27,113,0,1,7,3,3,99,24,3,48,0,4,1,1,0,307
COOK:9600028,COOK:Wheeling Precinct 28,Wheeling, 28,80,2,8,4,9,3,78,15,1,48,1,6,3,2,1,261
COOK:9600030,COOK:Wheeling Precinct 30,Wheeling, 30,86,4,4,6,4,3,64,12,1,60,2,2,1,3,0,252
COOK:9600038,COOK:Wheeling Precinct 38,Wheeling, 38,65,3,4,0,6,6,67,3,1,67,0,2,1,4,0,229
COOK:9600040,COOK:Wheeling Precinct 40,Wheeling, 40,3,0,1,0,1,0,1,0,0,1,0,0,0,0,0,7
COOK:9600043,COOK:Wheeling Precinct 43,Wheeling, 43,50,1,2,7,7,2,31,2,0,38,0,2,0,0,0,142
COOK:9600044,COOK:Wheeling Precinct 44,Wheeling, 44,88,3,4,11,3,1,48,10,1,32,1,2,0,3,0,207
COOK:9600046,COOK:Wheeling Precinct 46,Wheeling, 46,29,1,1,3,3,0,16,2,0,9,0,1,0,1,0,66
COOK:9600047,COOK:Wheeling Precinct 47,Wheeling, 47,29,1,4,3,5,0,9,3,0,5,0,0,0,2,0,61
COOK:9600048,COOK:Wheeling Precinct 48,Wheeling, 48,7,0,1,3,0,1,2,1,0,2,0,0,0,0,0,17
COOK:9600051,COOK:Wheeling Precinct 51,Wheeling, 51,70,4,1,1,10,4,59,3,0,52,2,1,1,3,1,212
COOK:9600052,COOK:Wheeling Precinct 52,Wheeling, 52,133,1,6,6,5,9,113,14,1,59,0,2,3,6,1,359
COOK:9600053,COOK:Wheeling Precinct 53,Wheeling, 53,76,2,5,2,8,1,51,15,1,42,1,2,0,2,1,209
COOK:9600054,COOK:Wheeling Precinct 54,Wheeling, 54,46,1,2,5,5,1,62,20,0,37,0,0,1,0,0,180
COOK:9600056,COOK:Wheeling Precinct 56,Wheeling, 56,49,1,5,8,3,1,44,4,1,31,0,2,1,2,0,152
COOK:9600058,COOK:Wheeling Precinct 58,Wheeling, 58,58,2,1,2,2,0,57,5,1,45,0,1,0,0,0,174
COOK:9600060,COOK:Wheeling Precinct 60,Wheeling, 60,76,2,2,7,4,1,72,14,1,26,1,3,1,1,1,212
COOK:9600061,COOK:Wheeling Precinct 61,Wheeling, 61,82,0,3,7,4,4,70,25,0,48,0,4,0,3,0,250
COOK:9600063,COOK:Wheeling Precinct 63,Wheeling, 63,14,1,1,2,3,0,18,0,1,16,2,2,0,0,0,60
COOK:9600065,COOK:Wheeling Precinct 65,Wheeling, 65,88,3,5,9,2,3,66,9,1,67,0,3,1,1,0,258
COOK:9600066,COOK:Wheeling Precinct 66,Wheeling, 66,88,1,9,5,5,6,70,12,1,52,2,0,0,10,0,261
COOK:9600067,COOK:Wheeling Precinct 67,Wheeling, 67,48,1,3,12,1,1,44,5,0,27,0,2,1,1,0,146
COOK:9600068,COOK:Wheeling Precinct 68,Wheeling, 68,57,2,6,2,4,3,42,3,0,47,1,0,2,0,0,169
COOK:9600069,COOK:Wheeling Precinct 69,Wheeling, 69,120,2,4,2,1,4,123,46,1,33,2,0,0,2,0,340
COOK:9600070,COOK:Wheeling Precinct 70,Wheeling, 70,101,3,1,4,3,8,91,6,0,70,0,2,3,15,2,309
COOK:9600072,COOK:Wheeling Precinct 72,Wheeling, 72,45,1,2,2,4,4,46,5,0,36,0,0,0,1,0,146
COOK:9600075,COOK:Wheeling Precinct 75,Wheeling, 75,68,0,4,9,2,3,48,8,1,40,0,2,3,1,2,191
COOK:9600077,COOK:Wheeling Precinct 77,Wheeling, 77,28,1,1,5,6,0,9,3,0,24,1,3,0,0,0,81
COOK:9600079,COOK:Wheeling Precinct 79,Wheeling, 79,49,1,2,5,4,2,46,7,1,34,0,1,0,3,1,156
COOK:9600080,COOK:Wheeling Precinct 80,Wheeling, 80,32,1,3,3,10,2,25,7,0,33,0,2,0,0,0,118
LAKE:CUBA 66,LAKE:CUBA 66,CUBA,66,14,1,0,0,2,1,17,7,1,23,1,3,1,1,0,72
LAKE:CUBA 67,LAKE:CUBA 67,CUBA,67,36,0,1,4,2,1,52,15,1,50,0,2,1,2,0,167
LAKE:CUBA 68,LAKE:CUBA 68,CUBA,68,74,2,6,4,1,0,54,8,0,42,1,3,0,5,0,200
LAKE:CUBA 69,LAKE:CUBA 69,CUBA,69,38,0,1,7,0,0,32,2,0,37,0,0,0,2,0,119
LAKE:CUBA 70,LAKE:CUBA 70,CUBA,70,96,1,6,3,2,7,88,19,0,18,3,1,0,3,0,247
LAKE:CUBA 71,LAKE:CUBA 71,CUBA,71,108,3,2,2,4,0,85,16,1,19,2,3,0,6,0,251
LAKE:ELA 79,LAKE:ELA 79,ELA,79,43,1,1,6,3,1,35,6,1,28,1,1,0,3,0,130
LAKE:ELA 80,LAKE:ELA 80,ELA,80,80,1,3,5,3,1,35,6,1,36,3,0,1,1,1,177
LAKE:ELA 81,LAKE:ELA 81,ELA,81,49,1,4,1,4,1,31,7,0,27,1,0,0,2,0,128
LAKE:ELA 82,LAKE:ELA 82,ELA,82,51,1,6,9,1,5,40,6,2,43,3,2,0,6,1,176
LAKE:ELA 83,LAKE:ELA 83,ELA,83,71,0,0,2,4,6,40,9,0,45,1,0,0,1,1,180
LAKE:ELA 87,LAKE:ELA 87,ELA,87,53,2,1,0,1,1,47,14,0,27,2,1,0,1,0,150
LAKE:ELA 88,LAKE:ELA 88,ELA,88,54,1,0,4,1,2,29,9,0,40,0,1,1,1,0,143
LAKE:ELA 89,LAKE:ELA 89,ELA,89,43,1,1,12,4,1,31,5,0,34,3,1,0,3,0,139
LAKE:ELA 90,LAKE:ELA 90,ELA,90,51,4,2,7,1,1,55,6,1,38,4,0,1,0,1,172
LAKE:FREMONT 115,LAKE:FREMONT 115,FREMONT,115,41,0,4,7,3,1,44,13,0,32,0,0,1,2,1,149
LAKE:FREMONT 118,LAKE:FREMONT 118,FREMONT,118,64,2,2,1,4,2,49,6,4,56,1,1,1,3,0,196
LAKE:VERNON 270,LAKE:VERNON 270,VERNON,270,55,1,3,3,0,0,29,4,0,18,0,2,1,2,0,118
LAKE:VERNON 275,LAKE:VERNON 275,VERNON,275,29,0,2,2,2,1,18,9,0,13,0,1,0,2,1,80
LAKE:VERNON 276,LAKE:VERNON 276,VERNON,276,64,1,3,2,2,3,78,4,0,33,0,0,1,6,0,197
LAKE:VERNON 283,LAKE:VERNON 283,VERNON,283,75,1,1,3,1,2,67,7,0,41,0,0,5,3,0,206
LAKE:VERNON 284,LAKE:VERNON 284,VERNON,284,134,1,6,2,1,4,110,6,1,34,0,0,2,8,0,309
LAKE:VERNON 285,LAKE:VERNON 285,VERNON,285,96,0,1,4,2,2,66,4,1,31,0,3,2,0,0,212
