JoinField,Ward,Precinct,JB Pritzker & Christian Mitchell,Total Voters
CITY OF CHICAGO:WARD 01 PRECINCT 01,1,1,504,504
CITY OF CHICAGO:WARD 01 PRECINCT 02,1,2,534,534
CITY OF CHICAGO:WARD 01 PRECINCT 03,1,3,499,499
CITY OF CHICAGO:WARD 01 PRECINCT 04,1,4,507,507
CITY OF CHICAGO:WARD 01 PRECINCT 05,1,5,485,485
CITY OF CHICAGO:WARD 01 PRECINCT 06,1,6,414,414
CITY OF CHICAGO:WARD 01 PRECINCT 07,1,7,502,502
CITY OF CHICAGO:WARD 01 PRECINCT 08,1,8,376,376
CITY OF CHICAGO:WARD 01 PRECINCT 09,1,9,227,227
CITY OF CHICAGO:WARD 01 PRECINCT 10,1,10,483,483
CITY OF CHICAGO:WARD 01 PRECINCT 11,1,11,433,433
CITY OF CHICAGO:WARD 01 PRECINCT 12,1,12,228,228
CITY OF CHICAGO:WARD 01 PRECINCT 13,1,13,355,355
CITY OF CHICAGO:WARD 01 PRECINCT 14,1,14,278,278
CITY OF CHICAGO:WARD 01 PRECINCT 15,1,15,447,447
CITY OF CHICAGO:WARD 01 PRECINCT 16,1,16,465,465
CITY OF CHICAGO:WARD 01 PRECINCT 17,1,17,276,276
CITY OF CHICAGO:WARD 01 PRECINCT 18,1,18,377,377
CITY OF CHICAGO:WARD 01 PRECINCT 19,1,19,332,332
CITY OF CHICAGO:WARD 01 PRECINCT 20,1,20,333,333
CITY OF CHICAGO:WARD 01 PRECINCT 21,1,21,375,375
CITY OF CHICAGO:WARD 01 PRECINCT 22,1,22,470,470
CITY OF CHICAGO:WARD 01 PRECINCT 23,1,23,239,239
CITY OF CHICAGO:WARD 01 PRECINCT 24,1,24,496,496
CITY OF CHICAGO:WARD 01 PRECINCT 25,1,25,479,479
CITY OF CHICAGO:WARD 01 PRECINCT 26,1,26,410,410
CITY OF CHICAGO:WARD 02 PRECINCT 01,2,1,312,312
CITY OF CHICAGO:WARD 02 PRECINCT 02,2,2,534,534
CITY OF CHICAGO:WARD 02 PRECINCT 03,2,3,228,228
CITY OF CHICAGO:WARD 02 PRECINCT 04,2,4,265,265
CITY OF CHICAGO:WARD 02 PRECINCT 05,2,5,354,354
CITY OF CHICAGO:WARD 02 PRECINCT 06,2,6,511,511
CITY OF CHICAGO:WARD 02 PRECINCT 07,2,7,412,412
CITY OF CHICAGO:WARD 02 PRECINCT 08,2,8,351,351
CITY OF CHICAGO:WARD 02 PRECINCT 09,2,9,453,453
CITY OF CHICAGO:WARD 02 PRECINCT 10,2,10,175,175
CITY OF CHICAGO:WARD 02 PRECINCT 11,2,11,335,335
CITY OF CHICAGO:WARD 02 PRECINCT 12,2,12,263,263
CITY OF CHICAGO:WARD 02 PRECINCT 13,2,13,329,329
CITY OF CHICAGO:WARD 02 PRECINCT 14,2,14,225,225
CITY OF CHICAGO:WARD 02 PRECINCT 15,2,15,318,318
CITY OF CHICAGO:WARD 02 PRECINCT 16,2,16,389,389
CITY OF CHICAGO:WARD 02 PRECINCT 17,2,17,506,506
CITY OF CHICAGO:WARD 02 PRECINCT 18,2,18,224,224
CITY OF CHICAGO:WARD 02 PRECINCT 19,2,19,167,167
CITY OF CHICAGO:WARD 02 PRECINCT 20,2,20,217,217
CITY OF CHICAGO:WARD 02 PRECINCT 21,2,21,81,81
CITY OF CHICAGO:WARD 02 PRECINCT 22,2,22,268,268
CITY OF CHICAGO:WARD 02 PRECINCT 23,2,23,291,291
CITY OF CHICAGO:WARD 02 PRECINCT 24,2,24,249,249
CITY OF CHICAGO:WARD 02 PRECINCT 25,2,25,339,339
CITY OF CHICAGO:WARD 03 PRECINCT 01,3,1,408,408
CITY OF CHICAGO:WARD 03 PRECINCT 02,3,2,516,516
CITY OF CHICAGO:WARD 03 PRECINCT 03,3,3,286,286
CITY OF CHICAGO:WARD 03 PRECINCT 04,3,4,406,406
CITY OF CHICAGO:WARD 03 PRECINCT 05,3,5,81,81
CITY OF CHICAGO:WARD 03 PRECINCT 06,3,6,367,367
CITY OF CHICAGO:WARD 03 PRECINCT 07,3,7,233,233
CITY OF CHICAGO:WARD 03 PRECINCT 08,3,8,333,333
CITY OF CHICAGO:WARD 03 PRECINCT 09,3,9,217,217
CITY OF CHICAGO:WARD 03 PRECINCT 10,3,10,276,276
CITY OF CHICAGO:WARD 03 PRECINCT 11,3,11,553,553
CITY OF CHICAGO:WARD 03 PRECINCT 12,3,12,492,492
CITY OF CHICAGO:WARD 03 PRECINCT 13,3,13,527,527
CITY OF CHICAGO:WARD 03 PRECINCT 14,3,14,531,531
CITY OF CHICAGO:WARD 03 PRECINCT 15,3,15,365,365
CITY OF CHICAGO:WARD 03 PRECINCT 16,3,16,246,246
CITY OF CHICAGO:WARD 03 PRECINCT 17,3,17,107,107
CITY OF CHICAGO:WARD 03 PRECINCT 18,3,18,92,92
CITY OF CHICAGO:WARD 03 PRECINCT 19,3,19,530,530
CITY OF CHICAGO:WARD 03 PRECINCT 20,3,20,467,467
CITY OF CHICAGO:WARD 03 PRECINCT 21,3,21,357,357
CITY OF CHICAGO:WARD 03 PRECINCT 22,3,22,308,308
CITY OF CHICAGO:WARD 03 PRECINCT 23,3,23,197,197
CITY OF CHICAGO:WARD 03 PRECINCT 24,3,24,76,76
CITY OF CHICAGO:WARD 03 PRECINCT 25,3,25,483,483
CITY OF CHICAGO:WARD 03 PRECINCT 26,3,26,181,181
CITY OF CHICAGO:WARD 03 PRECINCT 27,3,27,407,407
CITY OF CHICAGO:WARD 04 PRECINCT 01,4,1,481,481
CITY OF CHICAGO:WARD 04 PRECINCT 02,4,2,221,221
CITY OF CHICAGO:WARD 04 PRECINCT 03,4,3,390,390
CITY OF CHICAGO:WARD 04 PRECINCT 04,4,4,439,439
CITY OF CHICAGO:WARD 04 PRECINCT 05,4,5,181,181
CITY OF CHICAGO:WARD 04 PRECINCT 06,4,6,295,295
CITY OF CHICAGO:WARD 04 PRECINCT 07,4,7,251,251
CITY OF CHICAGO:WARD 04 PRECINCT 08,4,8,355,355
CITY OF CHICAGO:WARD 04 PRECINCT 09,4,9,359,359
CITY OF CHICAGO:WARD 04 PRECINCT 10,4,10,329,329
CITY OF CHICAGO:WARD 04 PRECINCT 11,4,11,438,438
CITY OF CHICAGO:WARD 04 PRECINCT 12,4,12,288,288
CITY OF CHICAGO:WARD 04 PRECINCT 13,4,13,285,285
CITY OF CHICAGO:WARD 04 PRECINCT 14,4,14,280,280
CITY OF CHICAGO:WARD 04 PRECINCT 15,4,15,273,273
CITY OF CHICAGO:WARD 04 PRECINCT 16,4,16,330,330
CITY OF CHICAGO:WARD 04 PRECINCT 17,4,17,400,400
CITY OF CHICAGO:WARD 04 PRECINCT 18,4,18,113,113
CITY OF CHICAGO:WARD 04 PRECINCT 19,4,19,348,348
CITY OF CHICAGO:WARD 04 PRECINCT 20,4,20,382,382
CITY OF CHICAGO:WARD 04 PRECINCT 21,4,21,276,276
CITY OF CHICAGO:WARD 04 PRECINCT 22,4,22,177,177
CITY OF CHICAGO:WARD 04 PRECINCT 23,4,23,206,206
CITY OF CHICAGO:WARD 04 PRECINCT 24,4,24,520,520
CITY OF CHICAGO:WARD 04 PRECINCT 25,4,25,604,604
CITY OF CHICAGO:WARD 04 PRECINCT 26,4,26,526,526
CITY OF CHICAGO:WARD 04 PRECINCT 27,4,27,416,416
CITY OF CHICAGO:WARD 04 PRECINCT 28,4,28,585,585
CITY OF CHICAGO:WARD 05 PRECINCT 01,5,1,395,395
CITY OF CHICAGO:WARD 05 PRECINCT 02,5,2,531,531
CITY OF CHICAGO:WARD 05 PRECINCT 03,5,3,448,448
CITY OF CHICAGO:WARD 05 PRECINCT 04,5,4,335,335
CITY OF CHICAGO:WARD 05 PRECINCT 05,5,5,196,196
CITY OF CHICAGO:WARD 05 PRECINCT 06,5,6,179,179
CITY OF CHICAGO:WARD 05 PRECINCT 07,5,7,70,70
CITY OF CHICAGO:WARD 05 PRECINCT 08,5,8,131,131
CITY OF CHICAGO:WARD 05 PRECINCT 09,5,9,114,114
CITY OF CHICAGO:WARD 05 PRECINCT 10,5,10,182,182
CITY OF CHICAGO:WARD 05 PRECINCT 11,5,11,224,224
CITY OF CHICAGO:WARD 05 PRECINCT 12,5,12,555,555
CITY OF CHICAGO:WARD 05 PRECINCT 13,5,13,167,167
CITY OF CHICAGO:WARD 05 PRECINCT 14,5,14,222,222
CITY OF CHICAGO:WARD 05 PRECINCT 15,5,15,661,661
CITY OF CHICAGO:WARD 05 PRECINCT 16,5,16,418,418
CITY OF CHICAGO:WARD 05 PRECINCT 17,5,17,328,328
CITY OF CHICAGO:WARD 05 PRECINCT 18,5,18,726,726
CITY OF CHICAGO:WARD 05 PRECINCT 19,5,19,357,357
CITY OF CHICAGO:WARD 05 PRECINCT 20,5,20,485,485
CITY OF CHICAGO:WARD 05 PRECINCT 21,5,21,365,365
CITY OF CHICAGO:WARD 05 PRECINCT 22,5,22,488,488
CITY OF CHICAGO:WARD 05 PRECINCT 23,5,23,250,250
CITY OF CHICAGO:WARD 05 PRECINCT 24,5,24,168,168
CITY OF CHICAGO:WARD 05 PRECINCT 25,5,25,628,628
CITY OF CHICAGO:WARD 06 PRECINCT 01,6,1,121,121
CITY OF CHICAGO:WARD 06 PRECINCT 02,6,2,170,170
CITY OF CHICAGO:WARD 06 PRECINCT 03,6,3,41,41
CITY OF CHICAGO:WARD 06 PRECINCT 04,6,4,117,117
CITY OF CHICAGO:WARD 06 PRECINCT 05,6,5,180,180
CITY OF CHICAGO:WARD 06 PRECINCT 06,6,6,152,152
CITY OF CHICAGO:WARD 06 PRECINCT 07,6,7,223,223
CITY OF CHICAGO:WARD 06 PRECINCT 08,6,8,170,170
CITY OF CHICAGO:WARD 06 PRECINCT 09,6,9,351,351
CITY OF CHICAGO:WARD 06 PRECINCT 10,6,10,222,222
CITY OF CHICAGO:WARD 06 PRECINCT 11,6,11,77,77
CITY OF CHICAGO:WARD 06 PRECINCT 12,6,12,253,253
CITY OF CHICAGO:WARD 06 PRECINCT 13,6,13,341,341
CITY OF CHICAGO:WARD 06 PRECINCT 14,6,14,293,293
CITY OF CHICAGO:WARD 06 PRECINCT 15,6,15,334,334
CITY OF CHICAGO:WARD 06 PRECINCT 16,6,16,193,193
CITY OF CHICAGO:WARD 06 PRECINCT 17,6,17,448,448
CITY OF CHICAGO:WARD 06 PRECINCT 18,6,18,439,439
CITY OF CHICAGO:WARD 06 PRECINCT 19,6,19,262,262
CITY OF CHICAGO:WARD 06 PRECINCT 20,6,20,542,542
CITY OF CHICAGO:WARD 06 PRECINCT 21,6,21,373,373
CITY OF CHICAGO:WARD 06 PRECINCT 22,6,22,486,486
CITY OF CHICAGO:WARD 06 PRECINCT 23,6,23,429,429
CITY OF CHICAGO:WARD 06 PRECINCT 24,6,24,444,444
CITY OF CHICAGO:WARD 06 PRECINCT 25,6,25,372,372
CITY OF CHICAGO:WARD 06 PRECINCT 26,6,26,575,575
CITY OF CHICAGO:WARD 06 PRECINCT 27,6,27,510,510
CITY OF CHICAGO:WARD 07 PRECINCT 01,7,1,325,325
CITY OF CHICAGO:WARD 07 PRECINCT 02,7,2,465,465
CITY OF CHICAGO:WARD 07 PRECINCT 03,7,3,228,228
CITY OF CHICAGO:WARD 07 PRECINCT 04,7,4,313,313
CITY OF CHICAGO:WARD 07 PRECINCT 05,7,5,435,435
CITY OF CHICAGO:WARD 07 PRECINCT 06,7,6,88,88
CITY OF CHICAGO:WARD 07 PRECINCT 07,7,7,232,232
CITY OF CHICAGO:WARD 07 PRECINCT 08,7,8,168,168
CITY OF CHICAGO:WARD 07 PRECINCT 09,7,9,200,200
CITY OF CHICAGO:WARD 07 PRECINCT 10,7,10,374,374
CITY OF CHICAGO:WARD 07 PRECINCT 11,7,11,345,345
CITY OF CHICAGO:WARD 07 PRECINCT 12,7,12,395,395
CITY OF CHICAGO:WARD 07 PRECINCT 13,7,13,208,208
CITY OF CHICAGO:WARD 07 PRECINCT 14,7,14,215,215
CITY OF CHICAGO:WARD 07 PRECINCT 15,7,15,381,381
CITY OF CHICAGO:WARD 07 PRECINCT 16,7,16,132,132
CITY OF CHICAGO:WARD 07 PRECINCT 17,7,17,97,97
CITY OF CHICAGO:WARD 07 PRECINCT 18,7,18,70,70
CITY OF CHICAGO:WARD 07 PRECINCT 19,7,19,510,510
CITY OF CHICAGO:WARD 07 PRECINCT 20,7,20,276,276
CITY OF CHICAGO:WARD 07 PRECINCT 21,7,21,191,191
CITY OF CHICAGO:WARD 07 PRECINCT 22,7,22,219,219
CITY OF CHICAGO:WARD 07 PRECINCT 23,7,23,131,131
CITY OF CHICAGO:WARD 07 PRECINCT 24,7,24,52,52
CITY OF CHICAGO:WARD 07 PRECINCT 25,7,25,242,242
CITY OF CHICAGO:WARD 07 PRECINCT 26,7,26,339,339
CITY OF CHICAGO:WARD 07 PRECINCT 27,7,27,208,208
CITY OF CHICAGO:WARD 07 PRECINCT 28,7,28,119,119
CITY OF CHICAGO:WARD 07 PRECINCT 29,7,29,210,210
CITY OF CHICAGO:WARD 07 PRECINCT 30,7,30,167,167
CITY OF CHICAGO:WARD 07 PRECINCT 31,7,31,90,90
CITY OF CHICAGO:WARD 08 PRECINCT 01,8,1,372,372
CITY OF CHICAGO:WARD 08 PRECINCT 02,8,2,179,179
CITY OF CHICAGO:WARD 08 PRECINCT 03,8,3,186,186
CITY OF CHICAGO:WARD 08 PRECINCT 04,8,4,374,374
CITY OF CHICAGO:WARD 08 PRECINCT 05,8,5,252,252
CITY OF CHICAGO:WARD 08 PRECINCT 06,8,6,439,439
CITY OF CHICAGO:WARD 08 PRECINCT 07,8,7,253,253
CITY OF CHICAGO:WARD 08 PRECINCT 08,8,8,556,556
CITY OF CHICAGO:WARD 08 PRECINCT 09,8,9,339,339
CITY OF CHICAGO:WARD 08 PRECINCT 10,8,10,296,296
CITY OF CHICAGO:WARD 08 PRECINCT 11,8,11,313,313
CITY OF CHICAGO:WARD 08 PRECINCT 12,8,12,413,413
CITY OF CHICAGO:WARD 08 PRECINCT 13,8,13,358,358
CITY OF CHICAGO:WARD 08 PRECINCT 14,8,14,412,412
CITY OF CHICAGO:WARD 08 PRECINCT 15,8,15,292,292
CITY OF CHICAGO:WARD 08 PRECINCT 16,8,16,291,291
CITY OF CHICAGO:WARD 08 PRECINCT 17,8,17,481,481
CITY OF CHICAGO:WARD 08 PRECINCT 18,8,18,706,706
CITY OF CHICAGO:WARD 08 PRECINCT 19,8,19,468,468
CITY OF CHICAGO:WARD 08 PRECINCT 20,8,20,222,222
CITY OF CHICAGO:WARD 08 PRECINCT 21,8,21,244,244
CITY OF CHICAGO:WARD 08 PRECINCT 22,8,22,188,188
CITY OF CHICAGO:WARD 08 PRECINCT 23,8,23,531,531
CITY OF CHICAGO:WARD 08 PRECINCT 24,8,24,293,293
CITY OF CHICAGO:WARD 08 PRECINCT 25,8,25,149,149
CITY OF CHICAGO:WARD 08 PRECINCT 26,8,26,237,237
CITY OF CHICAGO:WARD 08 PRECINCT 27,8,27,364,364
CITY OF CHICAGO:WARD 08 PRECINCT 28,8,28,223,223
CITY OF CHICAGO:WARD 08 PRECINCT 29,8,29,331,331
CITY OF CHICAGO:WARD 08 PRECINCT 30,8,30,312,312
CITY OF CHICAGO:WARD 09 PRECINCT 01,9,1,346,346
CITY OF CHICAGO:WARD 09 PRECINCT 02,9,2,208,208
CITY OF CHICAGO:WARD 09 PRECINCT 03,9,3,134,134
CITY OF CHICAGO:WARD 09 PRECINCT 04,9,4,278,278
CITY OF CHICAGO:WARD 09 PRECINCT 05,9,5,274,274
CITY OF CHICAGO:WARD 09 PRECINCT 06,9,6,508,508
CITY OF CHICAGO:WARD 09 PRECINCT 07,9,7,339,339
CITY OF CHICAGO:WARD 09 PRECINCT 08,9,8,312,312
CITY OF CHICAGO:WARD 09 PRECINCT 09,9,9,194,194
CITY OF CHICAGO:WARD 09 PRECINCT 10,9,10,490,490
CITY OF CHICAGO:WARD 09 PRECINCT 11,9,11,127,127
CITY OF CHICAGO:WARD 09 PRECINCT 12,9,12,429,429
CITY OF CHICAGO:WARD 09 PRECINCT 13,9,13,405,405
CITY OF CHICAGO:WARD 09 PRECINCT 14,9,14,219,219
CITY OF CHICAGO:WARD 09 PRECINCT 15,9,15,296,296
CITY OF CHICAGO:WARD 09 PRECINCT 16,9,16,394,394
CITY OF CHICAGO:WARD 09 PRECINCT 17,9,17,101,101
CITY OF CHICAGO:WARD 09 PRECINCT 18,9,18,171,171
CITY OF CHICAGO:WARD 09 PRECINCT 19,9,19,152,152
CITY OF CHICAGO:WARD 09 PRECINCT 20,9,20,339,339
CITY OF CHICAGO:WARD 09 PRECINCT 21,9,21,301,301
CITY OF CHICAGO:WARD 09 PRECINCT 22,9,22,204,204
CITY OF CHICAGO:WARD 09 PRECINCT 23,9,23,179,179
CITY OF CHICAGO:WARD 09 PRECINCT 24,9,24,298,298
CITY OF CHICAGO:WARD 09 PRECINCT 25,9,25,236,236
CITY OF CHICAGO:WARD 09 PRECINCT 26,9,26,335,335
CITY OF CHICAGO:WARD 09 PRECINCT 27,9,27,185,185
CITY OF CHICAGO:WARD 09 PRECINCT 28,9,28,119,119
CITY OF CHICAGO:WARD 09 PRECINCT 29,9,29,457,457
CITY OF CHICAGO:WARD 09 PRECINCT 30,9,30,337,337
CITY OF CHICAGO:WARD 10 PRECINCT 01,10,1,74,74
CITY OF CHICAGO:WARD 10 PRECINCT 02,10,2,96,96
CITY OF CHICAGO:WARD 10 PRECINCT 03,10,3,138,138
CITY OF CHICAGO:WARD 10 PRECINCT 04,10,4,206,206
CITY OF CHICAGO:WARD 10 PRECINCT 05,10,5,58,58
CITY OF CHICAGO:WARD 10 PRECINCT 06,10,6,97,97
CITY OF CHICAGO:WARD 10 PRECINCT 07,10,7,176,176
CITY OF CHICAGO:WARD 10 PRECINCT 08,10,8,156,156
CITY OF CHICAGO:WARD 10 PRECINCT 09,10,9,173,173
CITY OF CHICAGO:WARD 10 PRECINCT 10,10,10,165,165
CITY OF CHICAGO:WARD 10 PRECINCT 11,10,11,69,69
CITY OF CHICAGO:WARD 10 PRECINCT 12,10,12,156,156
CITY OF CHICAGO:WARD 10 PRECINCT 13,10,13,233,233
CITY OF CHICAGO:WARD 10 PRECINCT 14,10,14,273,273
CITY OF CHICAGO:WARD 10 PRECINCT 15,10,15,194,194
CITY OF CHICAGO:WARD 10 PRECINCT 16,10,16,253,253
CITY OF CHICAGO:WARD 10 PRECINCT 17,10,17,195,195
CITY OF CHICAGO:WARD 10 PRECINCT 18,10,18,244,244
CITY OF CHICAGO:WARD 10 PRECINCT 19,10,19,151,151
CITY OF CHICAGO:WARD 10 PRECINCT 20,10,20,109,109
CITY OF CHICAGO:WARD 10 PRECINCT 21,10,21,120,120
CITY OF CHICAGO:WARD 10 PRECINCT 22,10,22,179,179
CITY OF CHICAGO:WARD 10 PRECINCT 23,10,23,169,169
CITY OF CHICAGO:WARD 10 PRECINCT 24,10,24,78,78
CITY OF CHICAGO:WARD 10 PRECINCT 25,10,25,112,112
CITY OF CHICAGO:WARD 11 PRECINCT 01,11,1,113,113
CITY OF CHICAGO:WARD 11 PRECINCT 02,11,2,44,44
CITY OF CHICAGO:WARD 11 PRECINCT 03,11,3,229,229
CITY OF CHICAGO:WARD 11 PRECINCT 04,11,4,195,195
CITY OF CHICAGO:WARD 11 PRECINCT 05,11,5,167,167
CITY OF CHICAGO:WARD 11 PRECINCT 06,11,6,246,246
CITY OF CHICAGO:WARD 11 PRECINCT 07,11,7,119,119
CITY OF CHICAGO:WARD 11 PRECINCT 08,11,8,217,217
CITY OF CHICAGO:WARD 11 PRECINCT 09,11,9,206,206
CITY OF CHICAGO:WARD 11 PRECINCT 10,11,10,41,41
CITY OF CHICAGO:WARD 11 PRECINCT 11,11,11,38,38
CITY OF CHICAGO:WARD 11 PRECINCT 12,11,12,70,70
CITY OF CHICAGO:WARD 11 PRECINCT 13,11,13,210,210
CITY OF CHICAGO:WARD 11 PRECINCT 14,11,14,391,391
CITY OF CHICAGO:WARD 11 PRECINCT 15,11,15,293,293
CITY OF CHICAGO:WARD 11 PRECINCT 16,11,16,380,380
CITY OF CHICAGO:WARD 11 PRECINCT 17,11,17,164,164
CITY OF CHICAGO:WARD 11 PRECINCT 18,11,18,221,221
CITY OF CHICAGO:WARD 11 PRECINCT 19,11,19,71,71
CITY OF CHICAGO:WARD 11 PRECINCT 20,11,20,243,243
CITY OF CHICAGO:WARD 11 PRECINCT 21,11,21,307,307
CITY OF CHICAGO:WARD 11 PRECINCT 22,11,22,185,185
CITY OF CHICAGO:WARD 11 PRECINCT 23,11,23,225,225
CITY OF CHICAGO:WARD 12 PRECINCT 01,12,1,144,144
CITY OF CHICAGO:WARD 12 PRECINCT 02,12,2,98,98
CITY OF CHICAGO:WARD 12 PRECINCT 03,12,3,228,228
CITY OF CHICAGO:WARD 12 PRECINCT 04,12,4,165,165
CITY OF CHICAGO:WARD 12 PRECINCT 05,12,5,163,163
CITY OF CHICAGO:WARD 12 PRECINCT 06,12,6,131,131
CITY OF CHICAGO:WARD 12 PRECINCT 07,12,7,138,138
CITY OF CHICAGO:WARD 12 PRECINCT 08,12,8,167,167
CITY OF CHICAGO:WARD 12 PRECINCT 09,12,9,86,86
CITY OF CHICAGO:WARD 12 PRECINCT 10,12,10,149,149
CITY OF CHICAGO:WARD 12 PRECINCT 11,12,11,116,116
CITY OF CHICAGO:WARD 12 PRECINCT 12,12,12,111,111
CITY OF CHICAGO:WARD 12 PRECINCT 13,12,13,116,116
CITY OF CHICAGO:WARD 12 PRECINCT 14,12,14,145,145
CITY OF CHICAGO:WARD 12 PRECINCT 15,12,15,147,147
CITY OF CHICAGO:WARD 12 PRECINCT 16,12,16,129,129
CITY OF CHICAGO:WARD 12 PRECINCT 17,12,17,115,115
CITY OF CHICAGO:WARD 12 PRECINCT 18,12,18,134,134
CITY OF CHICAGO:WARD 12 PRECINCT 19,12,19,104,104
CITY OF CHICAGO:WARD 12 PRECINCT 20,12,20,159,159
CITY OF CHICAGO:WARD 12 PRECINCT 21,12,21,146,146
CITY OF CHICAGO:WARD 12 PRECINCT 22,12,22,101,101
CITY OF CHICAGO:WARD 13 PRECINCT 01,13,1,131,131
CITY OF CHICAGO:WARD 13 PRECINCT 02,13,2,127,127
CITY OF CHICAGO:WARD 13 PRECINCT 03,13,3,151,151
CITY OF CHICAGO:WARD 13 PRECINCT 04,13,4,163,163
CITY OF CHICAGO:WARD 13 PRECINCT 05,13,5,127,127
CITY OF CHICAGO:WARD 13 PRECINCT 06,13,6,104,104
CITY OF CHICAGO:WARD 13 PRECINCT 07,13,7,119,119
CITY OF CHICAGO:WARD 13 PRECINCT 08,13,8,192,192
CITY OF CHICAGO:WARD 13 PRECINCT 09,13,9,177,177
CITY OF CHICAGO:WARD 13 PRECINCT 10,13,10,155,155
CITY OF CHICAGO:WARD 13 PRECINCT 11,13,11,88,88
CITY OF CHICAGO:WARD 13 PRECINCT 12,13,12,99,99
CITY OF CHICAGO:WARD 13 PRECINCT 13,13,13,75,75
CITY OF CHICAGO:WARD 13 PRECINCT 14,13,14,148,148
CITY OF CHICAGO:WARD 13 PRECINCT 15,13,15,98,98
CITY OF CHICAGO:WARD 13 PRECINCT 16,13,16,143,143
CITY OF CHICAGO:WARD 13 PRECINCT 17,13,17,170,170
CITY OF CHICAGO:WARD 13 PRECINCT 18,13,18,121,121
CITY OF CHICAGO:WARD 13 PRECINCT 19,13,19,88,88
CITY OF CHICAGO:WARD 13 PRECINCT 20,13,20,142,142
CITY OF CHICAGO:WARD 13 PRECINCT 21,13,21,110,110
CITY OF CHICAGO:WARD 13 PRECINCT 22,13,22,178,178
CITY OF CHICAGO:WARD 13 PRECINCT 23,13,23,120,120
CITY OF CHICAGO:WARD 13 PRECINCT 24,13,24,116,116
CITY OF CHICAGO:WARD 13 PRECINCT 25,13,25,141,141
CITY OF CHICAGO:WARD 13 PRECINCT 26,13,26,127,127
CITY OF CHICAGO:WARD 13 PRECINCT 27,13,27,121,121
CITY OF CHICAGO:WARD 13 PRECINCT 28,13,28,130,130
CITY OF CHICAGO:WARD 13 PRECINCT 29,13,29,106,106
CITY OF CHICAGO:WARD 13 PRECINCT 30,13,30,153,153
CITY OF CHICAGO:WARD 13 PRECINCT 31,13,31,85,85
CITY OF CHICAGO:WARD 13 PRECINCT 32,13,32,102,102
CITY OF CHICAGO:WARD 13 PRECINCT 33,13,33,115,115
CITY OF CHICAGO:WARD 13 PRECINCT 34,13,34,156,156
CITY OF CHICAGO:WARD 13 PRECINCT 35,13,35,201,201
CITY OF CHICAGO:WARD 13 PRECINCT 36,13,36,123,123
CITY OF CHICAGO:WARD 13 PRECINCT 37,13,37,120,120
CITY OF CHICAGO:WARD 13 PRECINCT 38,13,38,75,75
CITY OF CHICAGO:WARD 13 PRECINCT 39,13,39,128,128
CITY OF CHICAGO:WARD 13 PRECINCT 40,13,40,110,110
CITY OF CHICAGO:WARD 14 PRECINCT 01,14,1,230,230
CITY OF CHICAGO:WARD 14 PRECINCT 02,14,2,149,149
CITY OF CHICAGO:WARD 14 PRECINCT 03,14,3,126,126
CITY OF CHICAGO:WARD 14 PRECINCT 04,14,4,45,45
CITY OF CHICAGO:WARD 14 PRECINCT 05,14,5,180,180
CITY OF CHICAGO:WARD 14 PRECINCT 06,14,6,250,250
CITY OF CHICAGO:WARD 14 PRECINCT 07,14,7,223,223
CITY OF CHICAGO:WARD 14 PRECINCT 08,14,8,223,223
CITY OF CHICAGO:WARD 14 PRECINCT 09,14,9,239,239
CITY OF CHICAGO:WARD 14 PRECINCT 10,14,10,240,240
CITY OF CHICAGO:WARD 14 PRECINCT 11,14,11,261,261
CITY OF CHICAGO:WARD 14 PRECINCT 12,14,12,191,191
CITY OF CHICAGO:WARD 14 PRECINCT 13,14,13,225,225
CITY OF CHICAGO:WARD 14 PRECINCT 14,14,14,133,133
CITY OF CHICAGO:WARD 14 PRECINCT 15,14,15,149,149
CITY OF CHICAGO:WARD 15 PRECINCT 01,15,1,97,97
CITY OF CHICAGO:WARD 15 PRECINCT 02,15,2,101,101
CITY OF CHICAGO:WARD 15 PRECINCT 03,15,3,64,64
CITY OF CHICAGO:WARD 15 PRECINCT 04,15,4,119,119
CITY OF CHICAGO:WARD 15 PRECINCT 05,15,5,111,111
CITY OF CHICAGO:WARD 15 PRECINCT 06,15,6,154,154
CITY OF CHICAGO:WARD 15 PRECINCT 07,15,7,103,103
CITY OF CHICAGO:WARD 15 PRECINCT 08,15,8,147,147
CITY OF CHICAGO:WARD 15 PRECINCT 09,15,9,136,136
CITY OF CHICAGO:WARD 15 PRECINCT 10,15,10,129,129
CITY OF CHICAGO:WARD 15 PRECINCT 11,15,11,104,104
CITY OF CHICAGO:WARD 15 PRECINCT 12,15,12,156,156
CITY OF CHICAGO:WARD 15 PRECINCT 13,15,13,138,138
CITY OF CHICAGO:WARD 15 PRECINCT 14,15,14,107,107
CITY OF CHICAGO:WARD 15 PRECINCT 15,15,15,120,120
CITY OF CHICAGO:WARD 15 PRECINCT 16,15,16,187,187
CITY OF CHICAGO:WARD 15 PRECINCT 17,15,17,231,231
CITY OF CHICAGO:WARD 15 PRECINCT 18,15,18,175,175
CITY OF CHICAGO:WARD 15 PRECINCT 19,15,19,104,104
CITY OF CHICAGO:WARD 15 PRECINCT 20,15,20,143,143
CITY OF CHICAGO:WARD 16 PRECINCT 01,16,1,197,197
CITY OF CHICAGO:WARD 16 PRECINCT 02,16,2,132,132
CITY OF CHICAGO:WARD 16 PRECINCT 03,16,3,142,142
CITY OF CHICAGO:WARD 16 PRECINCT 04,16,4,112,112
