JoinField,JB Pritzker,Total Voters
DUPAGE:LISLE 037,257,257
DUPAGE:LISLE 038,146,146
DUPAGE:LISLE 039,182,182
DUPAGE:LISLE 040,230,230
DUPAGE:LISLE 041,224,224
DUPAGE:LISLE 042,196,196
DUPAGE:LISLE 043,143,143
DUPAGE:LISLE 044,175,175
DUPAGE:LISLE 045,205,205
DUPAGE:LISLE 046,87,87
DUPAGE:LISLE 047,195,195
DUPAGE:LISLE 048,164,164
DUPAGE:LISLE 049,173,173
DUPAGE:LISLE 050,170,170
DUPAGE:LISLE 051,145,145
DUPAGE:LISLE 052,185,185
DUPAGE:LISLE 053,200,200
DUPAGE:LISLE 054,216,216
DUPAGE:LISLE 055,259,259
DUPAGE:LISLE 056,142,142
DUPAGE:LISLE 057,254,254
DUPAGE:LISLE 058,163,163
DUPAGE:LISLE 059,209,209
DUPAGE:LISLE 060,126,126
DUPAGE:LISLE 061,137,137
DUPAGE:LISLE 062,175,175
DUPAGE:LISLE 063,280,280
DUPAGE:LISLE 064,215,215
DUPAGE:LISLE 065,197,197
DUPAGE:LISLE 066,125,125
DUPAGE:LISLE 067,157,157
DUPAGE:LISLE 068,176,176
DUPAGE:LISLE 069,156,156
DUPAGE:LISLE 070,139,139
DUPAGE:LISLE 071,230,230
DUPAGE:LISLE 072,190,190
DUPAGE:LISLE 073,239,239
DUPAGE:LISLE 074,171,171
DUPAGE:LISLE 075,191,191
DUPAGE:LISLE 076,174,174
DUPAGE:LISLE 077,211,211
DUPAGE:MILTON 001,102,102
DUPAGE:MILTON 002,184,184
DUPAGE:MILTON 003,87,87
DUPAGE:MILTON 004,204,204
DUPAGE:MILTON 005,138,138
DUPAGE:MILTON 006,174,174
DUPAGE:MILTON 007,192,192
DUPAGE:MILTON 008,104,104
DUPAGE:MILTON 009,205,205
DUPAGE:MILTON 010,141,141
DUPAGE:MILTON 011,98,98
DUPAGE:MILTON 012,164,164
DUPAGE:MILTON 013,118,118
DUPAGE:MILTON 014,164,164
DUPAGE:MILTON 015,208,208
DUPAGE:MILTON 016,207,207
DUPAGE:MILTON 017,165,165
