JoinField,JB Pritzker,Total Voters
WILL:PLAINFIELD PCT 023,125,125
WILL:PLAINFIELD PCT 024,161,161
WILL:PLAINFIELD PCT 025,185,185
WILL:PLAINFIELD PCT 026,223,223
WILL:PLAINFIELD PCT 027,166,166
WILL:PLAINFIELD PCT 028,170,170
WILL:PLAINFIELD PCT 029,133,133
WILL:PLAINFIELD PCT 030,124,124
WILL:PLAINFIELD PCT 031,162,162
WILL:PLAINFIELD PCT 032,156,156
WILL:PLAINFIELD PCT 033,161,161
WILL:PLAINFIELD PCT 034,160,160
WILL:PLAINFIELD PCT 035,174,174
WILL:REED PCT 001,85,85
WILL:REED PCT 002,84,84
WILL:REED PCT 003,85,85
WILL:TROY PCT 001,270,270
WILL:TROY PCT 002,180,180
WILL:TROY PCT 003,114,114
WILL:TROY PCT 004,141,141
WILL:TROY PCT 005,152,152
WILL:TROY PCT 006,124,124
WILL:TROY PCT 007,229,229
WILL:TROY PCT 008,272,272
WILL:TROY PCT 009,166,166
WILL:TROY PCT 010,165,165
WILL:TROY PCT 011,180,180
WILL:TROY PCT 012,114,114
WILL:TROY PCT 013,317,317
WILL:TROY PCT 014,213,213
WILL:TROY PCT 015,162,162
WILL:TROY PCT 016,271,271
WILL:TROY PCT 017,182,182
WILL:TROY PCT 018,200,200
WILL:TROY PCT 019,211,211
WILL:TROY PCT 020,176,176
WILL:TROY PCT 021,170,170
WILL:TROY PCT 022,69,69
WILL:WASHINGTON PCT 001,124,124
WILL:WASHINGTON PCT 002,164,164
WILL:WASHINGTON PCT 003,84,84
WILL:WESLEY PCT 001,97,97
WILL:WHEATLAND PCT 001,147,147
WILL:WHEATLAND PCT 002,526,526
WILL:WHEATLAND PCT 003,242,242
WILL:WHEATLAND PCT 004,254,254
WILL:WHEATLAND PCT 005,243,243
WILL:WHEATLAND PCT 006,240,240
WILL:WHEATLAND PCT 007,232,232
WILL:WHEATLAND PCT 008,283,283
WILL:WHEATLAND PCT 009,319,319
WILL:WHEATLAND PCT 010,215,215
WILL:WHEATLAND PCT 011,264,264
WILL:WHEATLAND PCT 012,252,252
WILL:WHEATLAND PCT 013,211,211
WILL:WHEATLAND PCT 014,262,262
WILL:WHEATLAND PCT 015,237,237
WILL:WHEATLAND PCT 016,163,163
WILL:WHEATLAND PCT 017,164,164
WILL:WHEATLAND PCT 018,239,239
WILL:WHEATLAND PCT 019,210,210
WILL:WHEATLAND PCT 020,162,162
WILL:WHEATLAND PCT 021,193,193
WILL:WHEATLAND PCT 022,288,288
WILL:WHEATLAND PCT 023,189,189
WILL:WHEATLAND PCT 024,293,293
WILL:WHEATLAND PCT 025,179,179
WILL:WHEATLAND PCT 026,260,260
WILL:WHEATLAND PCT 027,175,175
WILL:WHEATLAND PCT 028,180,180
WILL:WHEATLAND PCT 029,215,215
WILL:WHEATLAND PCT 030,170,170
WILL:WHEATLAND PCT 031,216,216
WILL:WHEATLAND PCT 032,276,276
