FOR COMPTROLLER (Vote For 1),,,,,,,,,,,,,,,,,,
,,KARINA VILLA,,,,STEPHANIE A. KIFOWIT,,,,HOLLY KIM,,,,MARGARET CROKE,,,,
Precinct,Registered Voters,Election Day,Early Voting,Vote by Mail,Total Votes,Election Day,Early Voting,Vote by Mail,Total Votes,Election Day,Early Voting,Vote by Mail,Total Votes,Election Day,Early Voting,Vote by Mail,Total Votes,Total
WHEATLAND PCT 009,1531,43,23,9,75,19,14,10,43,38,17,14,69,54,39,26,119,306
WHEATLAND PCT 010,1377,39,15,9,63,22,7,10,39,29,10,13,52,31,6,16,53,207
WHEATLAND PCT 011,1856,35,45,9,89,36,28,25,89,14,17,10,41,19,25,15,59,278
WHEATLAND PCT 012,1713,44,44,8,96,25,34,14,73,17,17,8,42,14,23,5,42,253
WHEATLAND PCT 013,1395,35,25,15,75,16,2,5,23,29,16,9,54,24,16,12,52,204
WHEATLAND PCT 014,1593,40,21,20,81,21,15,11,47,30,14,6,50,37,22,15,74,252
WHEATLAND PCT 015,1563,50,8,5,63,15,7,11,33,34,20,13,67,30,11,15,56,219
WHEATLAND PCT 016,1694,28,15,4,47,11,8,5,24,18,8,12,38,28,14,14,56,165
WHEATLAND PCT 017,1019,32,12,6,50,16,6,5,27,21,7,15,43,25,8,9,42,162
WHEATLAND PCT 018,1531,30,9,10,49,20,16,5,41,29,10,24,63,37,22,17,76,229
WHEATLAND PCT 019,1148,40,9,9,58,11,2,10,23,43,11,9,63,39,9,15,63,207
WHEATLAND PCT 020,1318,28,6,7,41,10,1,8,19,24,6,13,43,36,14,11,61,164
WHEATLAND PCT 021,1389,32,21,5,58,19,3,3,25,27,21,7,55,20,14,18,52,190
WHEATLAND PCT 022,2006,66,20,12,98,22,6,10,38,54,9,19,82,39,10,13,62,280
WHEATLAND PCT 023,1878,31,7,7,45,20,0,15,35,35,17,8,60,21,18,11,50,190
WHEATLAND PCT 024,2100,56,25,20,101,19,11,8,38,44,18,9,71,57,9,12,78,288
WHEATLAND PCT 025,1730,39,7,3,49,8,5,5,18,30,9,16,55,37,8,12,57,179
WHEATLAND PCT 026,2339,50,11,17,78,18,6,6,30,31,14,16,61,61,15,18,94,263
WHEATLAND PCT 027,1192,33,18,14,65,7,6,5,18,13,17,10,40,30,10,9,49,172
WHEATLAND PCT 028,2011,42,4,14,60,10,2,10,22,32,4,13,49,30,7,12,49,180
WHEATLAND PCT 029,1851,35,7,8,50,15,3,7,25,38,5,17,60,52,9,18,79,214
WHEATLAND PCT 030,1902,38,7,8,53,12,1,11,24,19,6,4,29,37,10,13,60,166
WHEATLAND PCT 031,1418,33,12,12,57,64,20,24,108,14,4,4,22,21,4,5,30,217
WHEATLAND PCT 032,1818,46,12,9,67,102,50,23,175,11,0,2,13,23,6,1,30,285
