FOR UNITED STATES SENATOR (Vote For 1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,KEVIN RYAN,,,,ROBIN KELLY,,,,JULIANA STRATTON,,,,RAJA KRISHNAMOORTHI,,,,STEVE BOTSFORD JR.,,,,BRYAN MAXWELL,,,,JONATHAN DEAN,,,,SEAN BROWN,,,,AWISI A. BUSTOS,,,,CHRISTOPHER SWANN,,,,ADAM DELGADO (WRITE-IN),,,,
Precinct,Registered Voters,Election Day,Early Voting,Vote by Mail,Total Votes,Election Day,Early Voting,Vote by Mail,Total Votes,Election Day,Early Voting,Vote by Mail,Total Votes,Election Day,Early Voting,Vote by Mail,Total Votes,Election Day,Early Voting,Vote by Mail,Total Votes,Election Day,Early Voting,Vote by Mail,Total Votes,Election Day,Early Voting,Vote by Mail,Total Votes,Election Day,Early Voting,Vote by Mail,Total Votes,Election Day,Early Voting,Vote by Mail,Total Votes,Election Day,Early Voting,Vote by Mail,Total Votes,Election Day,Early Voting,Vote by Mail,Total Votes,Total
PLAINFIELD PCT 027,1284,11,0,2,13,15,4,5,24,64,14,8,86,20,2,18,40,0,0,0,0,1,0,1,2,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,169
PLAINFIELD PCT 028,1559,9,0,1,10,11,0,4,15,69,2,14,85,42,3,11,56,0,0,0,0,1,0,2,3,1,0,0,1,1,0,0,1,2,0,0,2,0,0,0,0,0,0,0,0,173
PLAINFIELD PCT 029,1351,5,0,2,7,11,0,1,12,48,12,8,68,28,1,17,46,0,0,0,0,0,0,1,1,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,136
PLAINFIELD PCT 030,1342,2,1,0,3,12,0,3,15,41,10,8,59,19,5,24,48,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,1,0,0,1,0,0,0,0,128
PLAINFIELD PCT 031,1343,10,3,3,16,13,1,2,16,75,8,16,99,18,3,10,31,0,0,0,0,0,2,0,2,0,0,0,0,2,0,0,2,0,0,1,1,0,0,0,0,0,0,0,0,167
PLAINFIELD PCT 032,1338,7,1,0,8,10,3,6,19,51,14,10,75,23,7,16,46,0,0,0,0,1,1,0,2,1,0,0,1,0,0,0,0,1,1,0,2,2,1,0,3,0,0,0,0,156
PLAINFIELD PCT 033,1402,3,1,0,4,15,4,6,25,47,19,8,74,27,11,23,61,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,167
PLAINFIELD PCT 034,1498,7,2,2,11,22,2,0,24,41,7,20,68,32,6,11,49,3,0,0,3,1,1,0,2,1,1,0,2,1,0,0,1,0,0,0,0,2,0,0,2,0,0,0,0,162
PLAINFIELD PCT 035,1447,7,0,4,11,20,3,1,24,78,2,16,96,24,8,9,41,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,176
REED PCT 001,1554,1,1,1,3,7,0,4,11,16,9,5,30,26,6,9,41,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,2,0,0,0,0,89
REED PCT 002,1695,4,1,0,5,7,3,2,12,18,4,12,34,22,6,9,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,89
REED PCT 003,1571,3,1,2,6,7,1,3,11,24,2,4,30,16,3,17,36,1,1,0,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,2,0,0,2,0,0,0,0,88
TROY PCT 001,2909,6,2,4,12,35,5,7,47,98,28,19,145,26,10,26,62,0,1,0,1,2,1,0,3,2,0,0,2,1,2,2,5,0,0,0,0,0,0,1,1,0,0,0,0,278
TROY PCT 002,1823,8,0,1,9,14,4,9,27,64,11,10,85,24,13,16,53,2,0,1,3,1,0,0,1,2,0,0,2,2,0,1,3,0,1,1,2,0,0,0,0,0,0,0,0,185
TROY PCT 003,1286,1,0,0,1,19,1,2,22,31,2,8,41,24,4,23,51,1,1,0,2,1,0,1,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,121
TROY PCT 004,1241,5,1,2,8,10,3,3,16,40,10,15,65,32,9,8,49,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,2,0,0,2,0,0,0,0,143
TROY PCT 005,1104,1,2,2,5,16,3,12,31,34,11,15,60,26,11,22,59,1,0,0,1,0,1,0,1,2,1,0,3,1,0,2,3,1,0,0,1,0,0,0,0,0,0,0,0,164
TROY PCT 006,932,0,0,2,2,7,4,4,15,44,10,11,65,26,0,11,37,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,2,0,0,0,0,123
TROY PCT 007,2123,2,2,4,8,17,3,11,31,67,16,27,110,22,19,37,78,3,0,0,3,1,0,0,1,2,0,1,3,0,0,0,0,1,0,3,4,0,0,0,0,0,0,0,0,238
TROY PCT 008,2079,9,2,4,15,20,7,9,36,80,28,16,124,44,15,40,99,2,0,0,2,2,3,1,6,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,284
TROY PCT 009,1298,3,2,1,6,12,5,5,22,54,10,12,76,23,4,24,51,0,2,0,2,1,0,0,1,1,0,0,1,0,0,0,0,1,2,0,3,0,0,0,0,0,0,0,0,162
TROY PCT 010,1777,4,0,0,4,16,10,2,28,41,11,14,66,38,13,22,73,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,2,0,0,2,0,0,0,0,176
TROY PCT 011,1539,6,6,2,14,8,4,3,15,51,18,6,75,29,30,22,81,1,0,2,3,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,189
TROY PCT 012,877,3,1,0,4,11,5,0,16,25,10,9,44,25,18,6,49,2,0,0,2,0,0,0,0,1,0,0,1,1,0,0,1,2,0,0,2,0,0,0,0,0,0,0,0,119
TROY PCT 013,1823,7,4,4,15,22,11,3,36,70,18,16,104,78,29,57,164,1,0,0,1,1,0,1,2,0,0,0,0,1,0,0,1,1,0,1,2,0,0,0,0,0,0,0,0,325
TROY PCT 014,1990,4,2,5,11,16,5,2,23,59,13,16,88,49,18,34,101,0,0,0,0,0,0,1,1,4,0,0,4,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,230
TROY PCT 015,1322,5,0,2,7,11,8,6,25,38,11,6,55,40,12,24,76,0,1,0,1,1,0,0,1,0,0,0,0,0,0,2,2,0,0,0,0,0,0,1,1,0,0,0,0,168
TROY PCT 016,1914,13,4,1,18,13,9,7,29,59,33,28,120,34,36,29,99,0,1,0,1,2,0,0,2,0,2,0,2,2,0,0,2,1,0,0,1,1,2,0,3,0,0,0,0,277
TROY PCT 017,1669,3,1,7,11,10,5,4,19,46,13,7,66,36,28,21,85,0,0,0,0,1,0,2,3,1,2,0,3,0,0,1,1,1,0,0,1,1,0,0,1,0,0,0,0,190
TROY PCT 018,1567,5,3,1,9,24,6,1,31,73,20,10,103,24,13,15,52,0,1,1,2,1,1,1,3,1,0,0,1,1,0,0,1,2,0,0,2,1,0,0,1,0,0,0,0,205
TROY PCT 019,1868,2,2,1,5,19,8,3,30,80,34,5,119,26,14,10,50,0,0,0,0,2,1,0,3,1,0,0,1,1,2,0,3,2,0,0,2,1,0,0,1,0,0,0,0,214
TROY PCT 020,1676,4,1,1,6,14,16,1,31,41,14,14,69,32,20,19,71,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,2,2,0,0,2,1,0,0,1,0,0,0,0,183
TROY PCT 021,1769,4,0,0,4,22,6,6,34,59,6,6,71,29,9,23,61,1,0,0,1,2,0,0,2,1,0,0,1,2,0,0,2,1,0,0,1,3,0,0,3,0,0,0,0,180
TROY PCT 022,689,0,0,0,0,4,2,0,6,15,9,5,29,13,4,12,29,0,0,0,0,2,0,0,2,0,0,0,0,2,0,0,2,1,0,0,1,0,0,0,0,0,0,0,0,69
WASHINGTON PCT 001,1402,3,2,2,7,27,4,8,39,26,4,10,40,29,6,11,46,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,133
WASHINGTON PCT 002,1754,4,0,0,4,30,21,9,60,39,5,3,47,24,20,10,54,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,167
WASHINGTON PCT 003,1333,3,1,0,4,22,2,3,27,18,3,3,24,19,6,7,32,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88
WESLEY PCT 001,1493,3,0,0,3,11,1,2,14,15,4,4,23,30,1,30,61,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,2,0,0,2,0,0,0,0,105
WHEATLAND PCT 001,1321,3,2,0,5,22,3,4,29,59,6,9,74,25,2,13,40,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,2,0,1,3,2,0,0,2,0,0,0,0,155
WHEATLAND PCT 002,2112,7,2,3,12,28,41,9,78,64,66,43,173,67,103,99,269,0,1,0,1,0,1,0,1,1,2,0,3,3,0,0,3,0,2,0,2,1,0,3,4,0,0,0,0,546
WHEATLAND PCT 003,1781,5,1,2,8,22,22,4,48,56,31,8,95,47,34,14,95,1,1,0,2,2,1,0,3,1,1,0,2,1,0,0,1,2,2,0,4,1,0,0,1,0,0,0,0,259
WHEATLAND PCT 004,2015,10,4,2,16,23,15,4,42,52,33,18,103,44,21,16,81,2,0,0,2,2,2,1,5,2,3,0,5,1,0,1,2,1,0,0,1,3,0,0,3,0,0,0,0,260
WHEATLAND PCT 005,1879,8,1,2,11,22,8,8,38,67,11,9,87,59,22,15,96,2,0,1,3,1,3,0,4,0,0,1,1,2,0,0,2,1,0,0,1,2,1,0,3,0,0,0,0,246
WHEATLAND PCT 006,1333,4,1,0,5,27,11,4,42,71,16,26,113,53,14,15,82,0,0,1,1,2,0,0,2,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,247
WHEATLAND PCT 007,1377,1,3,2,6,15,8,8,31,54,27,24,105,46,28,17,91,2,0,0,2,0,1,0,1,0,0,0,0,1,0,0,1,0,1,0,1,1,0,0,1,0,0,0,0,239
WHEATLAND PCT 008,1332,5,4,1,10,20,12,17,49,80,19,23,122,58,24,22,104,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,286
WHEATLAND PCT 009,1531,8,1,2,11,17,8,9,34,92,51,27,170,37,34,21,92,3,0,0,3,2,2,0,4,2,0,0,2,2,0,0,2,1,1,0,2,2,0,0,2,0,0,0,0,322
WHEATLAND PCT 010,1377,6,1,1,8,22,5,3,30,51,14,17,82,48,18,31,97,1,0,0,1,2,0,1,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,222
WHEATLAND PCT 011,1856,2,3,1,6,21,29,13,63,34,35,13,82,54,47,29,130,1,2,0,3,0,0,0,0,0,0,2,2,0,1,0,1,1,0,0,1,1,1,0,2,0,0,0,0,290
WHEATLAND PCT 012,1713,10,7,0,17,25,29,6,60,31,46,14,91,42,36,15,93,0,0,0,0,1,1,0,2,1,0,0,1,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,266
WHEATLAND PCT 013,1395,6,1,0,7,19,7,9,35,46,37,7,90,31,16,29,76,0,0,0,0,1,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,214
WHEATLAND PCT 014,1593,7,1,2,10,15,14,4,33,49,33,23,105,66,28,23,117,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,269
WHEATLAND PCT 015,1563,10,1,2,13,26,6,4,36,63,22,10,95,42,18,29,89,0,0,1,1,0,0,0,0,1,0,0,1,3,0,0,3,1,0,0,1,2,3,0,5,0,0,0,0,244
WHEATLAND PCT 016,1694,5,2,2,9,11,4,3,18,50,24,18,92,22,12,13,47,3,1,0,4,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,172
WHEATLAND PCT 017,1019,0,3,2,5,18,9,1,28,38,17,17,72,40,5,12,57,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,2,0,0,2,0,0,0,0,169
WHEATLAND PCT 018,1531,7,0,0,7,12,8,4,24,59,20,26,105,45,32,28,105,0,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,1,0,0,1,247
WHEATLAND PCT 019,1148,7,0,0,7,14,4,7,25,70,23,18,111,42,7,17,66,2,0,1,3,1,0,0,1,0,0,1,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,216
WHEATLAND PCT 020,1318,3,0,3,6,22,8,4,34,45,13,23,81,30,8,11,49,0,0,1,1,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,175
WHEATLAND PCT 021,1389,7,2,2,11,13,8,6,27,33,32,10,75,49,20,16,85,1,0,0,1,0,0,1,1,1,0,0,1,1,0,0,1,1,0,0,1,0,1,0,1,0,0,0,0,204
WHEATLAND PCT 022,2006,4,1,3,8,37,14,2,53,76,18,24,118,72,16,24,112,1,0,0,1,0,0,0,0,0,1,0,1,3,1,0,4,2,1,3,6,1,1,0,2,0,0,0,0,305
WHEATLAND PCT 023,1878,7,0,0,7,16,17,1,34,41,14,17,72,39,10,24,73,0,1,0,1,2,0,0,2,0,0,1,1,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,192
WHEATLAND PCT 024,2100,7,1,3,11,26,18,4,48,90,31,25,146,63,11,16,90,0,1,1,2,1,0,0,1,1,0,0,1,2,4,0,6,1,0,0,1,1,0,0,1,0,0,0,0,307
WHEATLAND PCT 025,1730,5,3,1,9,25,5,5,35,52,10,17,79,33,11,14,58,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,184
WHEATLAND PCT 026,2339,4,3,4,11,25,8,5,38,80,22,19,121,56,13,32,101,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,2,0,0,0,0,0,1,0,1,0,0,0,0,275
WHEATLAND PCT 027,1192,1,0,2,3,19,17,6,42,44,23,11,78,23,15,23,61,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,187
WHEATLAND PCT 028,2011,5,0,2,7,23,1,3,27,64,3,22,89,21,16,18,55,0,0,1,1,1,0,0,1,0,0,0,0,1,0,4,5,1,0,0,1,1,0,0,1,0,0,0,0,187
WHEATLAND PCT 029,1851,7,0,2,9,14,3,2,19,65,7,24,96,53,12,26,91,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,217
WHEATLAND PCT 030,1902,1,1,2,4,13,2,2,17,53,14,19,86,39,8,13,60,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,168
WHEATLAND PCT 031,1418,4,0,3,7,19,13,7,39,71,17,23,111,32,8,12,52,1,0,1,2,0,0,0,0,4,0,0,4,2,1,0,3,0,1,0,1,1,0,0,1,0,0,0,0,220
WHEATLAND PCT 032,1818,11,1,3,15,33,13,0,46,77,23,16,116,55,27,14,96,0,1,0,1,0,1,0,1,1,0,1,2,0,0,0,0,3,0,0,3,0,1,0,1,0,0,0,0,281
WHEATLAND PCT 033,1717,5,2,3,10,22,7,10,39,111,22,30,163,44,25,21,90,0,0,0,0,1,0,0,1,4,2,0,6,2,0,0,2,1,0,0,1,2,0,1,3,0,0,0,0,315
WHEATLAND PCT 034,1415,7,3,0,10,27,6,5,38,58,20,15,93,57,13,17,87,0,0,0,0,1,1,1,3,1,0,0,1,2,0,1,3,1,0,0,1,0,0,0,0,0,0,0,0,236
WHEATLAND PCT 035,1358,3,6,1,10,13,23,8,44,41,36,23,100,52,31,39,122,0,0,0,0,1,3,2,6,0,1,0,1,1,0,0,1,5,0,0,5,0,0,0,0,0,0,0,0,289
WHEATLAND PCT 036,1511,6,0,0,6,25,4,4,33,54,18,24,96,25,8,25,58,0,0,2,2,0,0,2,2,0,0,0,0,0,0,0,0,1,1,0,2,0,0,0,0,0,0,0,0,199
WHEATLAND PCT 037,1484,2,0,1,3,21,9,9,39,52,19,15,86,40,11,10,61,0,0,2,2,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,193
WHEATLAND PCT 038,1207,3,2,2,7,31,8,12,51,71,15,24,110,23,5,27,55,0,0,0,0,0,0,0,0,1,0,0,1,2,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,228
WILL PCT 001,1162,3,0,1,4,15,1,10,26,14,6,1,21,19,4,11,34,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,87
WILMINGTON PCT 001,1403,6,0,2,8,18,4,3,25,21,5,6,32,32,0,18,50,0,0,1,1,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,3,0,0,0,0,121
WILMINGTON PCT 002,1102,2,0,1,3,11,1,1,13,18,3,4,25,8,1,9,18,0,0,1,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,62
WILMINGTON PCT 003,1383,4,1,3,8,16,5,1,22,20,3,2,25,34,2,12,48,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,105
WILTON PCT 001,597,4,0,1,5,4,2,2,8,10,0,2,12,9,3,4,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,42
Total:,458788,1579,444,489,2512,6226,2116,1574,9916,15352,4401,3931,23684,9261,3742,5937,18940,145,40,62,247,269,79,86,434,177,49,45,271,246,81,58,385,166,53,62,281,216,50,61,327,4,1,0,5,57002
