FOR UNITED STATES SENATOR (Vote For 1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,KEVIN RYAN,,,,ROBIN KELLY,,,,JULIANA STRATTON,,,,RAJA KRISHNAMOORTHI,,,,STEVE BOTSFORD JR.,,,,BRYAN MAXWELL,,,,JONATHAN DEAN,,,,SEAN BROWN,,,,AWISI A. BUSTOS,,,,CHRISTOPHER SWANN,,,,ADAM DELGADO (WRITE-IN),,,,
Precinct,Registered Voters,Election Day,Early Voting,Vote by Mail,Total Votes,Election Day,Early Voting,Vote by Mail,Total Votes,Election Day,Early Voting,Vote by Mail,Total Votes,Election Day,Early Voting,Vote by Mail,Total Votes,Election Day,Early Voting,Vote by Mail,Total Votes,Election Day,Early Voting,Vote by Mail,Total Votes,Election Day,Early Voting,Vote by Mail,Total Votes,Election Day,Early Voting,Vote by Mail,Total Votes,Election Day,Early Voting,Vote by Mail,Total Votes,Election Day,Early Voting,Vote by Mail,Total Votes,Election Day,Early Voting,Vote by Mail,Total Votes,Total
DUPAGE PCT 022,1708,5,1,0,6,27,14,2,43,83,41,13,137,38,10,12,60,0,0,1,1,2,1,0,3,0,0,0,0,1,0,0,1,1,4,2,7,2,0,0,2,0,0,0,0,260
DUPAGE PCT 023,1895,2,0,3,5,27,8,4,39,93,32,26,151,19,17,15,51,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,2,2,1,0,1,2,0,0,0,0,253
DUPAGE PCT 024,1464,2,3,2,7,20,11,5,36,49,33,17,99,32,33,23,88,1,0,0,1,1,3,0,4,2,1,2,5,1,0,0,1,1,0,0,1,0,0,1,1,0,0,0,0,243
DUPAGE PCT 025,1271,5,3,1,9,20,18,7,45,50,35,14,99,28,18,17,63,0,0,1,1,3,0,1,4,1,0,0,1,0,0,1,1,2,0,1,3,1,0,0,1,0,0,0,0,227
DUPAGE PCT 026,1312,5,2,1,8,20,8,2,30,43,20,6,69,29,19,8,56,3,0,0,3,2,0,0,2,0,0,2,2,1,0,0,1,1,0,0,1,0,2,0,2,0,0,0,0,174
DUPAGE PCT 027,1580,3,1,0,4,28,20,15,63,50,43,18,111,30,25,17,72,0,0,0,0,2,0,4,6,0,0,0,0,1,1,2,4,0,0,0,0,1,0,1,2,0,0,0,0,262
DUPAGE PCT 028,1679,4,1,2,7,12,13,6,31,69,31,10,110,22,14,23,59,2,0,1,3,0,0,0,0,1,0,0,1,2,2,0,4,2,1,1,4,4,0,1,5,0,0,0,0,224
DUPAGE PCT 029,1749,9,1,1,11,45,8,4,57,110,24,17,151,33,8,16,57,0,1,0,1,0,0,0,0,1,0,0,1,2,1,0,3,2,0,0,2,1,0,1,2,0,0,0,0,285
DUPAGE PCT 030,1367,4,1,3,8,24,27,8,59,60,40,11,111,29,19,14,62,1,1,0,2,3,1,0,4,0,4,1,5,3,2,0,5,0,1,0,1,2,0,0,2,0,0,0,0,259
DUPAGE PCT 031,880,2,1,0,3,7,8,2,17,47,19,6,72,17,5,9,31,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,125
DUPAGE PCT 032,1946,12,0,2,14,20,9,2,31,53,14,8,75,37,7,19,63,2,0,0,2,1,0,0,1,0,0,0,0,1,1,0,2,0,0,0,0,1,0,0,1,0,0,0,0,189
DUPAGE PCT 033,1520,5,1,1,7,14,5,2,21,50,16,12,78,30,12,18,60,2,0,1,3,1,1,0,2,1,0,1,2,2,0,0,2,2,0,1,3,1,0,0,1,0,0,0,0,179
DUPAGE PCT 034,996,12,3,1,16,16,3,7,26,47,6,12,65,85,10,48,143,2,0,0,2,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,254
