JoinField,JoinField_alt,Ward/Township,Precinct,Drake Warren,Bridget Gainer,Total Voters
CITY OF CHICAGO:WARD 46 PRECINCT 23,CITY OF CHICAGO:WARD 46 PRECINCT 23,46,23,244,113,357
CITY OF CHICAGO:WARD 47 PRECINCT 01,CITY OF CHICAGO:WARD 47 PRECINCT 01,47,1,299,168,467
CITY OF CHICAGO:WARD 47 PRECINCT 02,CITY OF CHICAGO:WARD 47 PRECINCT 02,47,2,297,186,483
CITY OF CHICAGO:WARD 47 PRECINCT 03,CITY OF CHICAGO:WARD 47 PRECINCT 03,47,3,379,145,524
CITY OF CHICAGO:WARD 47 PRECINCT 04,CITY OF CHICAGO:WARD 47 PRECINCT 04,47,4,415,226,641
CITY OF CHICAGO:WARD 47 PRECINCT 05,CITY OF CHICAGO:WARD 47 PRECINCT 05,47,5,584,181,765
CITY OF CHICAGO:WARD 47 PRECINCT 06,CITY OF CHICAGO:WARD 47 PRECINCT 06,47,6,483,214,697
CITY OF CHICAGO:WARD 47 PRECINCT 08,CITY OF CHICAGO:WARD 47 PRECINCT 08,47,8,321,165,486
CITY OF CHICAGO:WARD 47 PRECINCT 09,CITY OF CHICAGO:WARD 47 PRECINCT 09,47,9,362,287,649
CITY OF CHICAGO:WARD 47 PRECINCT 10,CITY OF CHICAGO:WARD 47 PRECINCT 10,47,10,431,195,626
CITY OF CHICAGO:WARD 47 PRECINCT 11,CITY OF CHICAGO:WARD 47 PRECINCT 11,47,11,335,187,522
CITY OF CHICAGO:WARD 47 PRECINCT 12,CITY OF CHICAGO:WARD 47 PRECINCT 12,47,12,262,154,416
CITY OF CHICAGO:WARD 47 PRECINCT 13,CITY OF CHICAGO:WARD 47 PRECINCT 13,47,13,256,168,424
CITY OF CHICAGO:WARD 47 PRECINCT 20,CITY OF CHICAGO:WARD 47 PRECINCT 20,47,20,255,232,487
CITY OF CHICAGO:WARD 47 PRECINCT 22,CITY OF CHICAGO:WARD 47 PRECINCT 22,47,22,197,182,379
CITY OF CHICAGO:WARD 48 PRECINCT 01,CITY OF CHICAGO:WARD 48 PRECINCT 01,48,1,460,196,656
CITY OF CHICAGO:WARD 48 PRECINCT 03,CITY OF CHICAGO:WARD 48 PRECINCT 03,48,3,194,118,312
CITY OF CHICAGO:WARD 48 PRECINCT 04,CITY OF CHICAGO:WARD 48 PRECINCT 04,48,4,252,177,429
CITY OF CHICAGO:WARD 48 PRECINCT 05,CITY OF CHICAGO:WARD 48 PRECINCT 05,48,5,130,123,253
CITY OF CHICAGO:WARD 48 PRECINCT 06,CITY OF CHICAGO:WARD 48 PRECINCT 06,48,6,343,164,507
CITY OF CHICAGO:WARD 48 PRECINCT 07,CITY OF CHICAGO:WARD 48 PRECINCT 07,48,7,365,128,493
CITY OF CHICAGO:WARD 48 PRECINCT 08,CITY OF CHICAGO:WARD 48 PRECINCT 08,48,8,159,140,299
CITY OF CHICAGO:WARD 48 PRECINCT 09,CITY OF CHICAGO:WARD 48 PRECINCT 09,48,9,103,95,198
CITY OF CHICAGO:WARD 48 PRECINCT 10,CITY OF CHICAGO:WARD 48 PRECINCT 10,48,10,413,163,576
CITY OF CHICAGO:WARD 48 PRECINCT 11,CITY OF CHICAGO:WARD 48 PRECINCT 11,48,11,242,171,413
CITY OF CHICAGO:WARD 48 PRECINCT 12,CITY OF CHICAGO:WARD 48 PRECINCT 12,48,12,315,199,514
CITY OF CHICAGO:WARD 48 PRECINCT 14,CITY OF CHICAGO:WARD 48 PRECINCT 14,48,14,284,158,442
CITY OF CHICAGO:WARD 48 PRECINCT 15,CITY OF CHICAGO:WARD 48 PRECINCT 15,48,15,220,122,342
CITY OF CHICAGO:WARD 48 PRECINCT 16,CITY OF CHICAGO:WARD 48 PRECINCT 16,48,16,201,102,303
CITY OF CHICAGO:WARD 48 PRECINCT 17,CITY OF CHICAGO:WARD 48 PRECINCT 17,48,17,70,72,142
