JoinField,JoinField_alt,Ward/Township,Precinct,Samantha Steele,"Elizabeth ""Liz"" Nicholson",Total Voters
CITY OF CHICAGO:WARD 27 PRECINCT 16,CITY OF CHICAGO:WARD 27 PRECINCT 16,27,16,90,123,213
CITY OF CHICAGO:WARD 27 PRECINCT 20,CITY OF CHICAGO:WARD 27 PRECINCT 20,27,20,90,56,146
CITY OF CHICAGO:WARD 27 PRECINCT 21,CITY OF CHICAGO:WARD 27 PRECINCT 21,27,21,41,53,94
CITY OF CHICAGO:WARD 27 PRECINCT 25,CITY OF CHICAGO:WARD 27 PRECINCT 25,27,25,6,8,14
CITY OF CHICAGO:WARD 27 PRECINCT 27,CITY OF CHICAGO:WARD 27 PRECINCT 27,27,27,19,31,50
CITY OF CHICAGO:WARD 27 PRECINCT 28,CITY OF CHICAGO:WARD 27 PRECINCT 28,27,28,67,60,127
CITY OF CHICAGO:WARD 27 PRECINCT 29,CITY OF CHICAGO:WARD 27 PRECINCT 29,27,29,89,197,286
CITY OF CHICAGO:WARD 29 PRECINCT 01,CITY OF CHICAGO:WARD 29 PRECINCT 01,29,1,97,137,234
CITY OF CHICAGO:WARD 29 PRECINCT 02,CITY OF CHICAGO:WARD 29 PRECINCT 02,29,2,72,94,166
CITY OF CHICAGO:WARD 29 PRECINCT 03,CITY OF CHICAGO:WARD 29 PRECINCT 03,29,3,8,20,28
CITY OF CHICAGO:WARD 30 PRECINCT 01,CITY OF CHICAGO:WARD 30 PRECINCT 01,30,1,102,112,214
CITY OF CHICAGO:WARD 30 PRECINCT 02,CITY OF CHICAGO:WARD 30 PRECINCT 02,30,2,76,69,145
CITY OF CHICAGO:WARD 30 PRECINCT 03,CITY OF CHICAGO:WARD 30 PRECINCT 03,30,3,91,195,286
CITY OF CHICAGO:WARD 30 PRECINCT 04,CITY OF CHICAGO:WARD 30 PRECINCT 04,30,4,74,106,180
CITY OF CHICAGO:WARD 30 PRECINCT 06,CITY OF CHICAGO:WARD 30 PRECINCT 06,30,6,89,155,244
CITY OF CHICAGO:WARD 30 PRECINCT 07,CITY OF CHICAGO:WARD 30 PRECINCT 07,30,7,64,70,134
CITY OF CHICAGO:WARD 30 PRECINCT 08,CITY OF CHICAGO:WARD 30 PRECINCT 08,30,8,48,69,117
CITY OF CHICAGO:WARD 30 PRECINCT 09,CITY OF CHICAGO:WARD 30 PRECINCT 09,30,9,88,126,214
CITY OF CHICAGO:WARD 30 PRECINCT 10,CITY OF CHICAGO:WARD 30 PRECINCT 10,30,10,60,96,156
CITY OF CHICAGO:WARD 30 PRECINCT 14,CITY OF CHICAGO:WARD 30 PRECINCT 14,30,14,80,108,188
CITY OF CHICAGO:WARD 30 PRECINCT 15,CITY OF CHICAGO:WARD 30 PRECINCT 15,30,15,132,231,363
CITY OF CHICAGO:WARD 30 PRECINCT 16,CITY OF CHICAGO:WARD 30 PRECINCT 16,30,16,55,69,124
CITY OF CHICAGO:WARD 30 PRECINCT 17,CITY OF CHICAGO:WARD 30 PRECINCT 17,30,17,99,117,216
CITY OF CHICAGO:WARD 30 PRECINCT 18,CITY OF CHICAGO:WARD 30 PRECINCT 18,30,18,99,136,235
CITY OF CHICAGO:WARD 30 PRECINCT 19,CITY OF CHICAGO:WARD 30 PRECINCT 19,30,19,56,84,140
CITY OF CHICAGO:WARD 30 PRECINCT 20,CITY OF CHICAGO:WARD 30 PRECINCT 20,30,20,62,111,173
CITY OF CHICAGO:WARD 30 PRECINCT 21,CITY OF CHICAGO:WARD 30 PRECINCT 21,30,21,105,130,235
CITY OF CHICAGO:WARD 30 PRECINCT 22,CITY OF CHICAGO:WARD 30 PRECINCT 22,30,22,86,210,296
CITY OF CHICAGO:WARD 30 PRECINCT 23,CITY OF CHICAGO:WARD 30 PRECINCT 23,30,23,111,195,306
CITY OF CHICAGO:WARD 30 PRECINCT 24,CITY OF CHICAGO:WARD 30 PRECINCT 24,30,24,113,146,259
CITY OF CHICAGO:WARD 30 PRECINCT 25,CITY OF CHICAGO:WARD 30 PRECINCT 25,30,25,54,91,145
CITY OF CHICAGO:WARD 30 PRECINCT 26,CITY OF CHICAGO:WARD 30 PRECINCT 26,30,26,103,220,323
CITY OF CHICAGO:WARD 31 PRECINCT 03,CITY OF CHICAGO:WARD 31 PRECINCT 03,31,3,32,27,59
CITY OF CHICAGO:WARD 31 PRECINCT 06,CITY OF CHICAGO:WARD 31 PRECINCT 06,31,6,36,39,75
CITY OF CHICAGO:WARD 31 PRECINCT 07,CITY OF CHICAGO:WARD 31 PRECINCT 07,31,7,19,29,48
CITY OF CHICAGO:WARD 31 PRECINCT 09,CITY OF CHICAGO:WARD 31 PRECINCT 09,31,9,25,32,57
CITY OF CHICAGO:WARD 31 PRECINCT 10,CITY OF CHICAGO:WARD 31 PRECINCT 10,31,10,39,70,109
CITY OF CHICAGO:WARD 31 PRECINCT 11,CITY OF CHICAGO:WARD 31 PRECINCT 11,31,11,87,100,187
CITY OF CHICAGO:WARD 31 PRECINCT 12,CITY OF CHICAGO:WARD 31 PRECINCT 12,31,12,95,125,220
CITY OF CHICAGO:WARD 31 PRECINCT 13,CITY OF CHICAGO:WARD 31 PRECINCT 13,31,13,74,67,141
CITY OF CHICAGO:WARD 31 PRECINCT 17,CITY OF CHICAGO:WARD 31 PRECINCT 17,31,17,27,13,40
CITY OF CHICAGO:WARD 31 PRECINCT 19,CITY OF CHICAGO:WARD 31 PRECINCT 19,31,19,40,42,82
CITY OF CHICAGO:WARD 32 PRECINCT 01,CITY OF CHICAGO:WARD 32 PRECINCT 01,32,1,151,360,511
CITY OF CHICAGO:WARD 32 PRECINCT 02,CITY OF CHICAGO:WARD 32 PRECINCT 02,32,2,132,281,413
CITY OF CHICAGO:WARD 32 PRECINCT 03,CITY OF CHICAGO:WARD 32 PRECINCT 03,32,3,96,195,291
CITY OF CHICAGO:WARD 32 PRECINCT 04,CITY OF CHICAGO:WARD 32 PRECINCT 04,32,4,101,187,288
CITY OF CHICAGO:WARD 32 PRECINCT 05,CITY OF CHICAGO:WARD 32 PRECINCT 05,32,5,74,147,221
CITY OF CHICAGO:WARD 32 PRECINCT 06,CITY OF CHICAGO:WARD 32 PRECINCT 06,32,6,56,88,144
