JoinField,JoinField_alt,Ward/Township,Precinct,Samantha Steele,"Elizabeth ""Liz"" Nicholson",Total Voters
CITY OF CHICAGO:WARD 47 PRECINCT 14,CITY OF CHICAGO:WARD 47 PRECINCT 14,47,14,125,288,413
CITY OF CHICAGO:WARD 47 PRECINCT 15,CITY OF CHICAGO:WARD 47 PRECINCT 15,47,15,143,290,433
CITY OF CHICAGO:WARD 47 PRECINCT 16,CITY OF CHICAGO:WARD 47 PRECINCT 16,47,16,119,294,413
CITY OF CHICAGO:WARD 47 PRECINCT 17,CITY OF CHICAGO:WARD 47 PRECINCT 17,47,17,117,270,387
CITY OF CHICAGO:WARD 47 PRECINCT 18,CITY OF CHICAGO:WARD 47 PRECINCT 18,47,18,153,308,461
CITY OF CHICAGO:WARD 47 PRECINCT 19,CITY OF CHICAGO:WARD 47 PRECINCT 19,47,19,149,321,470
CITY OF CHICAGO:WARD 47 PRECINCT 20,CITY OF CHICAGO:WARD 47 PRECINCT 20,47,20,131,275,406
CITY OF CHICAGO:WARD 47 PRECINCT 21,CITY OF CHICAGO:WARD 47 PRECINCT 21,47,21,138,310,448
CITY OF CHICAGO:WARD 47 PRECINCT 22,CITY OF CHICAGO:WARD 47 PRECINCT 22,47,22,103,240,343
CITY OF CHICAGO:WARD 47 PRECINCT 23,CITY OF CHICAGO:WARD 47 PRECINCT 23,47,23,119,320,439
CITY OF CHICAGO:WARD 47 PRECINCT 24,CITY OF CHICAGO:WARD 47 PRECINCT 24,47,24,150,331,481
CITY OF CHICAGO:WARD 47 PRECINCT 25,CITY OF CHICAGO:WARD 47 PRECINCT 25,47,25,126,242,368
CITY OF CHICAGO:WARD 47 PRECINCT 26,CITY OF CHICAGO:WARD 47 PRECINCT 26,47,26,163,327,490
CITY OF CHICAGO:WARD 47 PRECINCT 27,CITY OF CHICAGO:WARD 47 PRECINCT 27,47,27,152,318,470
CITY OF CHICAGO:WARD 47 PRECINCT 28,CITY OF CHICAGO:WARD 47 PRECINCT 28,47,28,110,221,331
CITY OF CHICAGO:WARD 48 PRECINCT 01,CITY OF CHICAGO:WARD 48 PRECINCT 01,48,1,153,364,517
CITY OF CHICAGO:WARD 48 PRECINCT 02,CITY OF CHICAGO:WARD 48 PRECINCT 02,48,2,87,97,184
CITY OF CHICAGO:WARD 48 PRECINCT 03,CITY OF CHICAGO:WARD 48 PRECINCT 03,48,3,116,166,282
CITY OF CHICAGO:WARD 48 PRECINCT 04,CITY OF CHICAGO:WARD 48 PRECINCT 04,48,4,129,233,362
CITY OF CHICAGO:WARD 48 PRECINCT 05,CITY OF CHICAGO:WARD 48 PRECINCT 05,48,5,78,153,231
CITY OF CHICAGO:WARD 48 PRECINCT 06,CITY OF CHICAGO:WARD 48 PRECINCT 06,48,6,147,278,425
CITY OF CHICAGO:WARD 48 PRECINCT 07,CITY OF CHICAGO:WARD 48 PRECINCT 07,48,7,129,253,382
CITY OF CHICAGO:WARD 48 PRECINCT 08,CITY OF CHICAGO:WARD 48 PRECINCT 08,48,8,96,174,270
CITY OF CHICAGO:WARD 48 PRECINCT 09,CITY OF CHICAGO:WARD 48 PRECINCT 09,48,9,88,87,175
CITY OF CHICAGO:WARD 48 PRECINCT 10,CITY OF CHICAGO:WARD 48 PRECINCT 10,48,10,142,306,448
CITY OF CHICAGO:WARD 48 PRECINCT 11,CITY OF CHICAGO:WARD 48 PRECINCT 11,48,11,109,214,323
CITY OF CHICAGO:WARD 48 PRECINCT 12,CITY OF CHICAGO:WARD 48 PRECINCT 12,48,12,187,258,445
CITY OF CHICAGO:WARD 48 PRECINCT 13,CITY OF CHICAGO:WARD 48 PRECINCT 13,48,13,153,197,350
CITY OF CHICAGO:WARD 48 PRECINCT 14,CITY OF CHICAGO:WARD 48 PRECINCT 14,48,14,150,233,383
CITY OF CHICAGO:WARD 48 PRECINCT 15,CITY OF CHICAGO:WARD 48 PRECINCT 15,48,15,122,170,292
CITY OF CHICAGO:WARD 48 PRECINCT 16,CITY OF CHICAGO:WARD 48 PRECINCT 16,48,16,113,146,259
CITY OF CHICAGO:WARD 48 PRECINCT 17,CITY OF CHICAGO:WARD 48 PRECINCT 17,48,17,56,76,132
CITY OF CHICAGO:WARD 48 PRECINCT 18,CITY OF CHICAGO:WARD 48 PRECINCT 18,48,18,161,204,365
CITY OF CHICAGO:WARD 48 PRECINCT 19,CITY OF CHICAGO:WARD 48 PRECINCT 19,48,19,68,132,200
CITY OF CHICAGO:WARD 48 PRECINCT 20,CITY OF CHICAGO:WARD 48 PRECINCT 20,48,20,59,88,147
CITY OF CHICAGO:WARD 48 PRECINCT 21,CITY OF CHICAGO:WARD 48 PRECINCT 21,48,21,175,214,389
CITY OF CHICAGO:WARD 48 PRECINCT 22,CITY OF CHICAGO:WARD 48 PRECINCT 22,48,22,122,138,260
CITY OF CHICAGO:WARD 48 PRECINCT 23,CITY OF CHICAGO:WARD 48 PRECINCT 23,48,23,128,203,331
CITY OF CHICAGO:WARD 48 PRECINCT 24,CITY OF CHICAGO:WARD 48 PRECINCT 24,48,24,189,284,473
CITY OF CHICAGO:WARD 48 PRECINCT 25,CITY OF CHICAGO:WARD 48 PRECINCT 25,48,25,153,274,427
CITY OF CHICAGO:WARD 48 PRECINCT 26,CITY OF CHICAGO:WARD 48 PRECINCT 26,48,26,86,140,226
CITY OF CHICAGO:WARD 48 PRECINCT 27,CITY OF CHICAGO:WARD 48 PRECINCT 27,48,27,122,163,285
CITY OF CHICAGO:WARD 48 PRECINCT 28,CITY OF CHICAGO:WARD 48 PRECINCT 28,48,28,104,226,330
CITY OF CHICAGO:WARD 48 PRECINCT 29,CITY OF CHICAGO:WARD 48 PRECINCT 29,48,29,96,95,191
CITY OF CHICAGO:WARD 48 PRECINCT 30,CITY OF CHICAGO:WARD 48 PRECINCT 30,48,30,125,264,389
CITY OF CHICAGO:WARD 48 PRECINCT 31,CITY OF CHICAGO:WARD 48 PRECINCT 31,48,31,117,259,376
CITY OF CHICAGO:WARD 48 PRECINCT 32,CITY OF CHICAGO:WARD 48 PRECINCT 32,48,32,112,155,267
CITY OF CHICAGO:WARD 48 PRECINCT 33,CITY OF CHICAGO:WARD 48 PRECINCT 33,48,33,56,98,154
CITY OF CHICAGO:WARD 48 PRECINCT 34,CITY OF CHICAGO:WARD 48 PRECINCT 34,48,34,105,200,305
CITY OF CHICAGO:WARD 48 PRECINCT 35,CITY OF CHICAGO:WARD 48 PRECINCT 35,48,35,170,314,484
CITY OF CHICAGO:WARD 49 PRECINCT 01,CITY OF CHICAGO:WARD 49 PRECINCT 01,49,1,192,236,428
CITY OF CHICAGO:WARD 49 PRECINCT 02,CITY OF CHICAGO:WARD 49 PRECINCT 02,49,2,156,254,410
CITY OF CHICAGO:WARD 49 PRECINCT 03,CITY OF CHICAGO:WARD 49 PRECINCT 03,49,3,209,295,504
CITY OF CHICAGO:WARD 49 PRECINCT 04,CITY OF CHICAGO:WARD 49 PRECINCT 04,49,4,222,312,534
CITY OF CHICAGO:WARD 49 PRECINCT 05,CITY OF CHICAGO:WARD 49 PRECINCT 05,49,5,203,313,516
CITY OF CHICAGO:WARD 49 PRECINCT 06,CITY OF CHICAGO:WARD 49 PRECINCT 06,49,6,20,19,39
CITY OF CHICAGO:WARD 49 PRECINCT 07,CITY OF CHICAGO:WARD 49 PRECINCT 07,49,7,223,350,573
CITY OF CHICAGO:WARD 49 PRECINCT 08,CITY OF CHICAGO:WARD 49 PRECINCT 08,49,8,234,435,669
CITY OF CHICAGO:WARD 49 PRECINCT 09,CITY OF CHICAGO:WARD 49 PRECINCT 09,49,9,220,322,542
CITY OF CHICAGO:WARD 49 PRECINCT 10,CITY OF CHICAGO:WARD 49 PRECINCT 10,49,10,167,247,414
CITY OF CHICAGO:WARD 49 PRECINCT 11,CITY OF CHICAGO:WARD 49 PRECINCT 11,49,11,201,222,423
CITY OF CHICAGO:WARD 49 PRECINCT 12,CITY OF CHICAGO:WARD 49 PRECINCT 12,49,12,135,201,336
CITY OF CHICAGO:WARD 49 PRECINCT 13,CITY OF CHICAGO:WARD 49 PRECINCT 13,49,13,238,285,523
CITY OF CHICAGO:WARD 49 PRECINCT 14,CITY OF CHICAGO:WARD 49 PRECINCT 14,49,14,249,358,607
CITY OF CHICAGO:WARD 49 PRECINCT 15,CITY OF CHICAGO:WARD 49 PRECINCT 15,49,15,204,342,546
CITY OF CHICAGO:WARD 49 PRECINCT 16,CITY OF CHICAGO:WARD 49 PRECINCT 16,49,16,188,307,495
CITY OF CHICAGO:WARD 49 PRECINCT 17,CITY OF CHICAGO:WARD 49 PRECINCT 17,49,17,210,348,558
CITY OF CHICAGO:WARD 50 PRECINCT 01,CITY OF CHICAGO:WARD 50 PRECINCT 01,50,1,73,318,391
CITY OF CHICAGO:WARD 50 PRECINCT 02,CITY OF CHICAGO:WARD 50 PRECINCT 02,50,2,88,228,316
CITY OF CHICAGO:WARD 50 PRECINCT 03,CITY OF CHICAGO:WARD 50 PRECINCT 03,50,3,45,183,228
CITY OF CHICAGO:WARD 50 PRECINCT 04,CITY OF CHICAGO:WARD 50 PRECINCT 04,50,4,87,120,207
CITY OF CHICAGO:WARD 50 PRECINCT 05,CITY OF CHICAGO:WARD 50 PRECINCT 05,50,5,127,289,416
CITY OF CHICAGO:WARD 50 PRECINCT 06,CITY OF CHICAGO:WARD 50 PRECINCT 06,50,6,71,98,169
CITY OF CHICAGO:WARD 50 PRECINCT 07,CITY OF CHICAGO:WARD 50 PRECINCT 07,50,7,191,240,431
CITY OF CHICAGO:WARD 50 PRECINCT 08,CITY OF CHICAGO:WARD 50 PRECINCT 08,50,8,104,162,266
CITY OF CHICAGO:WARD 50 PRECINCT 09,CITY OF CHICAGO:WARD 50 PRECINCT 09,50,9,36,52,88
CITY OF CHICAGO:WARD 50 PRECINCT 10,CITY OF CHICAGO:WARD 50 PRECINCT 10,50,10,56,164,220
CITY OF CHICAGO:WARD 50 PRECINCT 11,CITY OF CHICAGO:WARD 50 PRECINCT 11,50,11,69,376,445
CITY OF CHICAGO:WARD 50 PRECINCT 12,CITY OF CHICAGO:WARD 50 PRECINCT 12,50,12,29,46,75
CITY OF CHICAGO:WARD 50 PRECINCT 13,CITY OF CHICAGO:WARD 50 PRECINCT 13,50,13,133,173,306
CITY OF CHICAGO:WARD 50 PRECINCT 14,CITY OF CHICAGO:WARD 50 PRECINCT 14,50,14,31,37,68
CITY OF CHICAGO:WARD 50 PRECINCT 15,CITY OF CHICAGO:WARD 50 PRECINCT 15,50,15,128,176,304
CITY OF CHICAGO:WARD 50 PRECINCT 16,CITY OF CHICAGO:WARD 50 PRECINCT 16,50,16,20,45,65
CITY OF CHICAGO:WARD 50 PRECINCT 17,CITY OF CHICAGO:WARD 50 PRECINCT 17,50,17,56,50,106
CITY OF CHICAGO:WARD 50 PRECINCT 18,CITY OF CHICAGO:WARD 50 PRECINCT 18,50,18,16,44,60
CITY OF CHICAGO:WARD 50 PRECINCT 19,CITY OF CHICAGO:WARD 50 PRECINCT 19,50,19,45,58,103
CITY OF CHICAGO:WARD 50 PRECINCT 20,CITY OF CHICAGO:WARD 50 PRECINCT 20,50,20,51,60,111
CITY OF CHICAGO:WARD 50 PRECINCT 21,CITY OF CHICAGO:WARD 50 PRECINCT 21,50,21,121,119,240
CITY OF CHICAGO:WARD 50 PRECINCT 22,CITY OF CHICAGO:WARD 50 PRECINCT 22,50,22,65,273,338
CITY OF CHICAGO:WARD 50 PRECINCT 23,CITY OF CHICAGO:WARD 50 PRECINCT 23,50,23,82,133,215
CITY OF CHICAGO:WARD 50 PRECINCT 24,CITY OF CHICAGO:WARD 50 PRECINCT 24,50,24,58,360,418
CITY OF CHICAGO:WARD 50 PRECINCT 25,CITY OF CHICAGO:WARD 50 PRECINCT 25,50,25,16,35,51
CITY OF CHICAGO:WARD 50 PRECINCT 26,CITY OF CHICAGO:WARD 50 PRECINCT 26,50,26,37,74,111
CITY OF CHICAGO:WARD 50 PRECINCT 27,CITY OF CHICAGO:WARD 50 PRECINCT 27,50,27,25,37,62
CITY OF CHICAGO:WARD 50 PRECINCT 28,CITY OF CHICAGO:WARD 50 PRECINCT 28,50,28,105,201,306
COOK:7400001,COOK:Elk Grove Precinct 1,Elk Grove, 1,66,126,192
COOK:7400005,COOK:Elk Grove Precinct 5,Elk Grove, 5,70,180,250
COOK:7400006,COOK:Elk Grove Precinct 6,Elk Grove, 6,77,160,237
COOK:7400007,COOK:Elk Grove Precinct 7,Elk Grove, 7,84,149,233
COOK:7400010,COOK:Elk Grove Precinct 10,Elk Grove, 10,96,141,237
COOK:7400011,COOK:Elk Grove Precinct 11,Elk Grove, 11,75,112,187
COOK:7400013,COOK:Elk Grove Precinct 13,Elk Grove, 13,30,38,68
COOK:7400014,COOK:Elk Grove Precinct 14,Elk Grove, 14,56,75,131
COOK:7400015,COOK:Elk Grove Precinct 15,Elk Grove, 15,84,100,184
COOK:7400016,COOK:Elk Grove Precinct 16,Elk Grove, 16,65,124,189
COOK:7400019,COOK:Elk Grove Precinct 19,Elk Grove, 19,67,119,186
COOK:7400021,COOK:Elk Grove Precinct 21,Elk Grove, 21,47,74,121
COOK:7400022,COOK:Elk Grove Precinct 22,Elk Grove, 22,67,74,141
COOK:7400023,COOK:Elk Grove Precinct 23,Elk Grove, 23,75,158,233
COOK:7400024,COOK:Elk Grove Precinct 24,Elk Grove, 24,41,71,112
COOK:7400025,COOK:Elk Grove Precinct 25,Elk Grove, 25,55,66,121
COOK:7400026,COOK:Elk Grove Precinct 26,Elk Grove, 26,46,67,113
COOK:7400027,COOK:Elk Grove Precinct 27,Elk Grove, 27,78,90,168
COOK:7400030,COOK:Elk Grove Precinct 30,Elk Grove, 30,67,77,144
COOK:7400031,COOK:Elk Grove Precinct 31,Elk Grove, 31,59,76,135
COOK:7400032,COOK:Elk Grove Precinct 32,Elk Grove, 32,29,41,70
COOK:7400033,COOK:Elk Grove Precinct 33,Elk Grove, 33,66,110,176
COOK:7400034,COOK:Elk Grove Precinct 34,Elk Grove, 34,114,183,297
COOK:7400035,COOK:Elk Grove Precinct 35,Elk Grove, 35,46,61,107
COOK:7400036,COOK:Elk Grove Precinct 36,Elk Grove, 36,34,54,88
COOK:7400037,COOK:Elk Grove Precinct 37,Elk Grove, 37,59,95,154
COOK:7400038,COOK:Elk Grove Precinct 38,Elk Grove, 38,38,30,68
COOK:7400039,COOK:Elk Grove Precinct 39,Elk Grove, 39,69,100,169
COOK:7400041,COOK:Elk Grove Precinct 41,Elk Grove, 41,64,104,168
COOK:7400042,COOK:Elk Grove Precinct 42,Elk Grove, 42,46,55,101
COOK:7400044,COOK:Elk Grove Precinct 44,Elk Grove, 44,37,43,80
COOK:7501001,COOK:Evanston Ward 1 Precinct 1,Evanston,Ward 1 Precinct 1,42,68,110
COOK:7501002,COOK:Evanston Ward 1 Precinct 2,Evanston,Ward 1 Precinct 2,120,187,307
COOK:7501003,COOK:Evanston Ward 1 Precinct 3,Evanston,Ward 1 Precinct 3,101,184,285
COOK:7501004,COOK:Evanston Ward 1 Precinct 4,Evanston,Ward 1 Precinct 4,186,340,526
COOK:7502001,COOK:Evanston Ward 2 Precinct 1,Evanston,Ward 2 Precinct 1,225,377,602
COOK:7502002,COOK:Evanston Ward 2 Precinct 2,Evanston,Ward 2 Precinct 2,123,142,265
COOK:7502003,COOK:Evanston Ward 2 Precinct 3,Evanston,Ward 2 Precinct 3,137,147,284
COOK:7502004,COOK:Evanston Ward 2 Precinct 4,Evanston,Ward 2 Precinct 4,194,263,457
COOK:7502005,COOK:Evanston Ward 2 Precinct 5,Evanston,Ward 2 Precinct 5,67,102,169
COOK:7503001,COOK:Evanston Ward 3 Precinct 1,Evanston,Ward 3 Precinct 1,115,246,361
COOK:7503002,COOK:Evanston Ward 3 Precinct 2,Evanston,Ward 3 Precinct 2,155,263,418
COOK:7503003,COOK:Evanston Ward 3 Precinct 3,Evanston,Ward 3 Precinct 3,181,309,490
COOK:7503004,COOK:Evanston Ward 3 Precinct 4,Evanston,Ward 3 Precinct 4,190,325,515
COOK:7503005,COOK:Evanston Ward 3 Precinct 5,Evanston,Ward 3 Precinct 5,145,219,364
COOK:7504001,COOK:Evanston Ward 4 Precinct 1,Evanston,Ward 4 Precinct 1,84,115,199
COOK:7504002,COOK:Evanston Ward 4 Precinct 2,Evanston,Ward 4 Precinct 2,99,170,269
COOK:7504003,COOK:Evanston Ward 4 Precinct 3,Evanston,Ward 4 Precinct 3,64,122,186
COOK:7504004,COOK:Evanston Ward 4 Precinct 4,Evanston,Ward 4 Precinct 4,195,400,595
COOK:7504005,COOK:Evanston Ward 4 Precinct 5,Evanston,Ward 4 Precinct 5,78,121,199
COOK:7504006,COOK:Evanston Ward 4 Precinct 6,Evanston,Ward 4 Precinct 6,161,256,417
COOK:7504007,COOK:Evanston Ward 4 Precinct 7,Evanston,Ward 4 Precinct 7,73,94,167
COOK:7505001,COOK:Evanston Ward 5 Precinct 1,Evanston,Ward 5 Precinct 1,159,154,313
COOK:7505002,COOK:Evanston Ward 5 Precinct 2,Evanston,Ward 5 Precinct 2,125,194,319
COOK:7505003,COOK:Evanston Ward 5 Precinct 3,Evanston,Ward 5 Precinct 3,150,147,297
COOK:7506001,COOK:Evanston Ward 6 Precinct 1,Evanston,Ward 6 Precinct 1,246,325,571
COOK:7506002,COOK:Evanston Ward 6 Precinct 2,Evanston,Ward 6 Precinct 2,116,205,321
COOK:7506003,COOK:Evanston Ward 6 Precinct 3,Evanston,Ward 6 Precinct 3,102,188,290
COOK:7506004,COOK:Evanston Ward 6 Precinct 4,Evanston,Ward 6 Precinct 4,212,383,595
COOK:7506005,COOK:Evanston Ward 6 Precinct 5,Evanston,Ward 6 Precinct 5,171,304,475
COOK:7506006,COOK:Evanston Ward 6 Precinct 6,Evanston,Ward 6 Precinct 6,171,297,468
COOK:7507001,COOK:Evanston Ward 7 Precinct 1,Evanston,Ward 7 Precinct 1,204,325,529
COOK:7507002,COOK:Evanston Ward 7 Precinct 2,Evanston,Ward 7 Precinct 2,211,346,557
COOK:7507003,COOK:Evanston Ward 7 Precinct 3,Evanston,Ward 7 Precinct 3,2,5,7
COOK:7507004,COOK:Evanston Ward 7 Precinct 4,Evanston,Ward 7 Precinct 4,122,217,339
COOK:7507005,COOK:Evanston Ward 7 Precinct 5,Evanston,Ward 7 Precinct 5,151,312,463
COOK:7508001,COOK:Evanston Ward 8 Precinct 1,Evanston,Ward 8 Precinct 1,158,183,341
COOK:7508002,COOK:Evanston Ward 8 Precinct 2,Evanston,Ward 8 Precinct 2,115,128,243
COOK:7508003,COOK:Evanston Ward 8 Precinct 3,Evanston,Ward 8 Precinct 3,86,81,167
COOK:7508004,COOK:Evanston Ward 8 Precinct 4,Evanston,Ward 8 Precinct 4,127,208,335
COOK:7508005,COOK:Evanston Ward 8 Precinct 5,Evanston,Ward 8 Precinct 5,159,180,339
COOK:7509001,COOK:Evanston Ward 9 Precinct 1,Evanston,Ward 9 Precinct 1,76,163,239
COOK:7509002,COOK:Evanston Ward 9 Precinct 2,Evanston,Ward 9 Precinct 2,290,406,696
COOK:7509003,COOK:Evanston Ward 9 Precinct 3,Evanston,Ward 9 Precinct 3,199,300,499
COOK:7509004,COOK:Evanston Ward 9 Precinct 4,Evanston,Ward 9 Precinct 4,205,347,552
COOK:7509005,COOK:Evanston Ward 9 Precinct 5,Evanston,Ward 9 Precinct 5,110,163,273
COOK:7800001,COOK:Leyden Precinct 1,Leyden, 1,26,36,62
COOK:7800002,COOK:Leyden Precinct 2,Leyden, 2,37,31,68
COOK:7800004,COOK:Leyden Precinct 4,Leyden, 4,37,51,88
COOK:7800005,COOK:Leyden Precinct 5,Leyden, 5,68,54,122
COOK:7800006,COOK:Leyden Precinct 6,Leyden, 6,75,76,151
COOK:7800007,COOK:Leyden Precinct 7,Leyden, 7,29,30,59
COOK:7800008,COOK:Leyden Precinct 8,Leyden, 8,67,82,149
COOK:7800012,COOK:Leyden Precinct 12,Leyden, 12,17,21,38
COOK:7800017,COOK:Leyden Precinct 17,Leyden, 17,38,41,79
COOK:7800018,COOK:Leyden Precinct 18,Leyden, 18,32,43,75
COOK:7800019,COOK:Leyden Precinct 19,Leyden, 19,54,74,128
COOK:7800023,COOK:Leyden Precinct 23,Leyden, 23,72,138,210
COOK:7800025,COOK:Leyden Precinct 25,Leyden, 25,34,37,71
COOK:7800027,COOK:Leyden Precinct 27,Leyden, 27,13,10,23
COOK:7800028,COOK:Leyden Precinct 28,Leyden, 28,29,29,58
COOK:7800032,COOK:Leyden Precinct 32,Leyden, 32,54,77,131
COOK:7800034,COOK:Leyden Precinct 34,Leyden, 34,48,38,86
COOK:7800036,COOK:Leyden Precinct 36,Leyden, 36,51,60,111
COOK:7800037,COOK:Leyden Precinct 37,Leyden, 37,35,38,73
COOK:7800038,COOK:Leyden Precinct 38,Leyden, 38,17,26,43
COOK:7800039,COOK:Leyden Precinct 39,Leyden, 39,36,52,88
COOK:7800042,COOK:Leyden Precinct 42,Leyden, 42,47,69,116
COOK:7800044,COOK:Leyden Precinct 44,Leyden, 44,36,42,78
COOK:7800045,COOK:Leyden Precinct 45,Leyden, 45,36,35,71
COOK:7800046,COOK:Leyden Precinct 46,Leyden, 46,56,60,116
COOK:7800049,COOK:Leyden Precinct 49,Leyden, 49,72,92,164
COOK:7800050,COOK:Leyden Precinct 50,Leyden, 50,85,117,202
COOK:8000001,COOK:Maine Precinct 1,Maine, 1,33,36,69
COOK:8000002,COOK:Maine Precinct 2,Maine, 2,53,54,107
COOK:8000003,COOK:Maine Precinct 3,Maine, 3,27,12,39
COOK:8000004,COOK:Maine Precinct 4,Maine, 4,93,157,250
COOK:8000005,COOK:Maine Precinct 5,Maine, 5,65,86,151
COOK:8000006,COOK:Maine Precinct 6,Maine, 6,120,156,276
COOK:8000007,COOK:Maine Precinct 7,Maine, 7,51,74,125
COOK:8000008,COOK:Maine Precinct 8,Maine, 8,100,137,237
COOK:8000009,COOK:Maine Precinct 9,Maine, 9,115,159,274
COOK:8000010,COOK:Maine Precinct 10,Maine, 10,106,173,279
COOK:8000011,COOK:Maine Precinct 11,Maine, 11,35,43,78
COOK:8000012,COOK:Maine Precinct 12,Maine, 12,38,72,110
COOK:8000013,COOK:Maine Precinct 13,Maine, 13,63,79,142
COOK:8000014,COOK:Maine Precinct 14,Maine, 14,86,142,228
COOK:8000015,COOK:Maine Precinct 15,Maine, 15,70,79,149
COOK:8000016,COOK:Maine Precinct 16,Maine, 16,49,87,136
COOK:8000017,COOK:Maine Precinct 17,Maine, 17,64,91,155
COOK:8000018,COOK:Maine Precinct 18,Maine, 18,59,96,155
COOK:8000019,COOK:Maine Precinct 19,Maine, 19,32,39,71
COOK:8000020,COOK:Maine Precinct 20,Maine, 20,47,61,108
COOK:8000021,COOK:Maine Precinct 21,Maine, 21,71,118,189
COOK:8000022,COOK:Maine Precinct 22,Maine, 22,72,144,216
COOK:8000023,COOK:Maine Precinct 23,Maine, 23,35,53,88
COOK:8000024,COOK:Maine Precinct 24,Maine, 24,69,150,219
COOK:8000025,COOK:Maine Precinct 25,Maine, 25,126,186,312
COOK:8000026,COOK:Maine Precinct 26,Maine, 26,78,122,200
COOK:8000027,COOK:Maine Precinct 27,Maine, 27,32,42,74
COOK:8000028,COOK:Maine Precinct 28,Maine, 28,23,32,55
COOK:8000029,COOK:Maine Precinct 29,Maine, 29,70,142,212
COOK:8000030,COOK:Maine Precinct 30,Maine, 30,145,229,374
COOK:8000031,COOK:Maine Precinct 31,Maine, 31,47,76,123
COOK:8000032,COOK:Maine Precinct 32,Maine, 32,66,88,154
COOK:8000033,COOK:Maine Precinct 33,Maine, 33,46,48,94
COOK:8000034,COOK:Maine Precinct 34,Maine, 34,75,124,199
COOK:8000035,COOK:Maine Precinct 35,Maine, 35,61,118,179
COOK:8000036,COOK:Maine Precinct 36,Maine, 36,41,97,138
COOK:8000037,COOK:Maine Precinct 37,Maine, 37,58,82,140
COOK:8000038,COOK:Maine Precinct 38,Maine, 38,40,45,85
COOK:8000039,COOK:Maine Precinct 39,Maine, 39,47,118,165
COOK:8000040,COOK:Maine Precinct 40,Maine, 40,52,69,121
COOK:8000041,COOK:Maine Precinct 41,Maine, 41,49,68,117
COOK:8000042,COOK:Maine Precinct 42,Maine, 42,98,137,235
COOK:8000043,COOK:Maine Precinct 43,Maine, 43,43,77,120
COOK:8000044,COOK:Maine Precinct 44,Maine, 44,48,73,121
COOK:8000045,COOK:Maine Precinct 45,Maine, 45,52,82,134
COOK:8000046,COOK:Maine Precinct 46,Maine, 46,56,95,151
COOK:8000047,COOK:Maine Precinct 47,Maine, 47,44,87,131
COOK:8000048,COOK:Maine Precinct 48,Maine, 48,82,125,207
COOK:8000049,COOK:Maine Precinct 49,Maine, 49,63,61,124
COOK:8000050,COOK:Maine Precinct 50,Maine, 50,61,85,146
COOK:8000051,COOK:Maine Precinct 51,Maine, 51,67,54,121
COOK:8000052,COOK:Maine Precinct 52,Maine, 52,70,110,180
COOK:8000053,COOK:Maine Precinct 53,Maine, 53,49,76,125
COOK:8000054,COOK:Maine Precinct 54,Maine, 54,63,111,174
COOK:8000055,COOK:Maine Precinct 55,Maine, 55,73,72,145
COOK:8000056,COOK:Maine Precinct 56,Maine, 56,66,63,129
COOK:8000057,COOK:Maine Precinct 57,Maine, 57,32,28,60
COOK:8000058,COOK:Maine Precinct 58,Maine, 58,58,82,140
COOK:8000059,COOK:Maine Precinct 59,Maine, 59,64,78,142
COOK:8000060,COOK:Maine Precinct 60,Maine, 60,116,150,266
COOK:8000061,COOK:Maine Precinct 61,Maine, 61,39,57,96
COOK:8000062,COOK:Maine Precinct 62,Maine, 62,39,44,83
COOK:8000063,COOK:Maine Precinct 63,Maine, 63,44,70,114
COOK:8000064,COOK:Maine Precinct 64,Maine, 64,36,47,83
COOK:8000065,COOK:Maine Precinct 65,Maine, 65,40,52,92
COOK:8000066,COOK:Maine Precinct 66,Maine, 66,14,14,28
COOK:8000067,COOK:Maine Precinct 67,Maine, 67,87,140,227
COOK:8000068,COOK:Maine Precinct 68,Maine, 68,107,103,210
COOK:8000069,COOK:Maine Precinct 69,Maine, 69,60,59,119
COOK:8000070,COOK:Maine Precinct 70,Maine, 70,61,47,108
COOK:8000071,COOK:Maine Precinct 71,Maine, 71,43,45,88
COOK:8000072,COOK:Maine Precinct 72,Maine, 72,85,108,193
COOK:8000073,COOK:Maine Precinct 73,Maine, 73,45,57,102
COOK:8000074,COOK:Maine Precinct 74,Maine, 74,53,84,137
COOK:8000075,COOK:Maine Precinct 75,Maine, 75,50,73,123
COOK:8000076,COOK:Maine Precinct 76,Maine, 76,27,47,74
COOK:8000077,COOK:Maine Precinct 77,Maine, 77,107,126,233
COOK:8000078,COOK:Maine Precinct 78,Maine, 78,39,44,83
COOK:8000079,COOK:Maine Precinct 79,Maine, 79,64,112,176
COOK:8000080,COOK:Maine Precinct 80,Maine, 80,38,71,109
COOK:8000081,COOK:Maine Precinct 81,Maine, 81,26,32,58
COOK:8000082,COOK:Maine Precinct 82,Maine, 82,64,80,144
COOK:8000083,COOK:Maine Precinct 83,Maine, 83,49,69,118
COOK:8100001,COOK:New Trier Precinct 1,New Trier, 1,83,124,207
COOK:8100002,COOK:New Trier Precinct 2,New Trier, 2,118,177,295
COOK:8100003,COOK:New Trier Precinct 3,New Trier, 3,92,163,255
COOK:8100004,COOK:New Trier Precinct 4,New Trier, 4,84,148,232
COOK:8100005,COOK:New Trier Precinct 5,New Trier, 5,44,107,151
COOK:8100006,COOK:New Trier Precinct 6,New Trier, 6,66,67,133
COOK:8100007,COOK:New Trier Precinct 7,New Trier, 7,56,105,161
COOK:8100008,COOK:New Trier Precinct 8,New Trier, 8,41,69,110
