JoinField,Ward,Precinct,Mike Quigley,Matthew Conroy,Anthony Michael Tamez,Ellen A. Corley,Total Voters
CITY OF CHICAGO:WARD 43 PRECINCT 02,43,2,369,75,6,23,473
CITY OF CHICAGO:WARD 43 PRECINCT 03,43,3,166,19,2,11,198
CITY OF CHICAGO:WARD 43 PRECINCT 04,43,4,282,77,4,21,384
CITY OF CHICAGO:WARD 43 PRECINCT 05,43,5,413,108,4,19,544
CITY OF CHICAGO:WARD 43 PRECINCT 06,43,6,481,133,10,41,665
CITY OF CHICAGO:WARD 43 PRECINCT 07,43,7,324,165,16,39,544
CITY OF CHICAGO:WARD 43 PRECINCT 08,43,8,231,164,10,36,441
CITY OF CHICAGO:WARD 43 PRECINCT 09,43,9,396,145,16,37,594
CITY OF CHICAGO:WARD 43 PRECINCT 10,43,10,298,78,11,25,412
CITY OF CHICAGO:WARD 43 PRECINCT 11,43,11,172,59,6,15,252
CITY OF CHICAGO:WARD 43 PRECINCT 12,43,12,318,91,2,34,445
CITY OF CHICAGO:WARD 43 PRECINCT 13,43,13,320,59,2,18,399
CITY OF CHICAGO:WARD 43 PRECINCT 14,43,14,168,53,1,16,238
CITY OF CHICAGO:WARD 43 PRECINCT 15,43,15,189,42,2,18,251
CITY OF CHICAGO:WARD 43 PRECINCT 16,43,16,141,63,7,14,225
CITY OF CHICAGO:WARD 43 PRECINCT 17,43,17,269,119,8,31,427
CITY OF CHICAGO:WARD 43 PRECINCT 18,43,18,366,161,15,42,584
CITY OF CHICAGO:WARD 43 PRECINCT 19,43,19,313,98,9,19,439
CITY OF CHICAGO:WARD 43 PRECINCT 20,43,20,278,87,7,13,385
CITY OF CHICAGO:WARD 43 PRECINCT 21,43,21,136,59,7,4,206
CITY OF CHICAGO:WARD 43 PRECINCT 22,43,22,349,127,6,25,507
CITY OF CHICAGO:WARD 43 PRECINCT 23,43,23,270,71,4,22,367
CITY OF CHICAGO:WARD 44 PRECINCT 01,44,1,357,209,17,42,625
CITY OF CHICAGO:WARD 44 PRECINCT 02,44,2,248,137,6,24,415
CITY OF CHICAGO:WARD 44 PRECINCT 03,44,3,367,84,4,20,475
CITY OF CHICAGO:WARD 44 PRECINCT 04,44,4,403,183,8,50,644
CITY OF CHICAGO:WARD 44 PRECINCT 05,44,5,296,226,13,38,573
CITY OF CHICAGO:WARD 44 PRECINCT 06,44,6,236,182,12,32,462
CITY OF CHICAGO:WARD 44 PRECINCT 07,44,7,280,186,14,38,518
CITY OF CHICAGO:WARD 44 PRECINCT 08,44,8,449,160,15,49,673
CITY OF CHICAGO:WARD 44 PRECINCT 09,44,9,342,223,19,26,610
CITY OF CHICAGO:WARD 44 PRECINCT 10,44,10,308,245,12,31,596
CITY OF CHICAGO:WARD 44 PRECINCT 11,44,11,252,153,13,18,436
CITY OF CHICAGO:WARD 44 PRECINCT 12,44,12,496,183,10,35,724
CITY OF CHICAGO:WARD 44 PRECINCT 13,44,13,312,249,22,32,615
CITY OF CHICAGO:WARD 44 PRECINCT 14,44,14,278,238,21,32,569
CITY OF CHICAGO:WARD 44 PRECINCT 15,44,15,378,211,20,40,649
CITY OF CHICAGO:WARD 44 PRECINCT 16,44,16,367,218,16,35,636
CITY OF CHICAGO:WARD 44 PRECINCT 17,44,17,437,242,21,51,751
CITY OF CHICAGO:WARD 44 PRECINCT 18,44,18,240,154,10,32,436
CITY OF CHICAGO:WARD 44 PRECINCT 19,44,19,307,217,21,45,590
CITY OF CHICAGO:WARD 44 PRECINCT 20,44,20,183,187,9,20,399
CITY OF CHICAGO:WARD 44 PRECINCT 21,44,21,349,263,15,38,665
CITY OF CHICAGO:WARD 45 PRECINCT 01,45,1,316,75,13,28,432
CITY OF CHICAGO:WARD 45 PRECINCT 02,45,2,197,41,0,8,246
CITY OF CHICAGO:WARD 45 PRECINCT 03,45,3,78,17,2,7,104
CITY OF CHICAGO:WARD 45 PRECINCT 04,45,4,150,38,5,11,204
CITY OF CHICAGO:WARD 45 PRECINCT 05,45,5,195,64,6,22,287
CITY OF CHICAGO:WARD 45 PRECINCT 06,45,6,231,53,7,16,307
CITY OF CHICAGO:WARD 45 PRECINCT 07,45,7,223,58,7,26,314
CITY OF CHICAGO:WARD 45 PRECINCT 08,45,8,152,54,4,26,236
CITY OF CHICAGO:WARD 45 PRECINCT 09,45,9,193,58,9,19,279
CITY OF CHICAGO:WARD 45 PRECINCT 10,45,10,179,64,13,17,273
CITY OF CHICAGO:WARD 45 PRECINCT 11,45,11,184,51,8,18,261
CITY OF CHICAGO:WARD 45 PRECINCT 12,45,12,133,71,8,18,230
CITY OF CHICAGO:WARD 45 PRECINCT 13,45,13,259,83,17,32,391
CITY OF CHICAGO:WARD 45 PRECINCT 14,45,14,148,39,9,16,212
CITY OF CHICAGO:WARD 45 PRECINCT 15,45,15,184,59,11,22,276
CITY OF CHICAGO:WARD 45 PRECINCT 16,45,16,170,90,11,19,290
CITY OF CHICAGO:WARD 45 PRECINCT 17,45,17,215,81,13,25,334
CITY OF CHICAGO:WARD 45 PRECINCT 18,45,18,205,68,14,25,312
CITY OF CHICAGO:WARD 45 PRECINCT 19,45,19,132,57,13,19,221
CITY OF CHICAGO:WARD 45 PRECINCT 20,45,20,192,81,14,32,319
