JoinField,Ward,Precinct,Total Voters,Toni Preckwinkle,Brendan Reilly
CITY OF CHICAGO:WARD 35 PRECINCT 04,35,4,309,253,56
CITY OF CHICAGO:WARD 35 PRECINCT 05,35,5,431,357,74
CITY OF CHICAGO:WARD 35 PRECINCT 06,35,6,712,607,105
CITY OF CHICAGO:WARD 35 PRECINCT 07,35,7,482,405,77
CITY OF CHICAGO:WARD 35 PRECINCT 08,35,8,291,232,59
CITY OF CHICAGO:WARD 35 PRECINCT 09,35,9,584,499,85
CITY OF CHICAGO:WARD 35 PRECINCT 10,35,10,344,291,53
CITY OF CHICAGO:WARD 35 PRECINCT 11,35,11,442,353,89
CITY OF CHICAGO:WARD 35 PRECINCT 12,35,12,555,465,90
CITY OF CHICAGO:WARD 35 PRECINCT 13,35,13,406,346,60
CITY OF CHICAGO:WARD 35 PRECINCT 14,35,14,327,274,53
CITY OF CHICAGO:WARD 35 PRECINCT 15,35,15,474,387,87
CITY OF CHICAGO:WARD 35 PRECINCT 16,35,16,621,506,115
CITY OF CHICAGO:WARD 35 PRECINCT 17,35,17,431,326,105
CITY OF CHICAGO:WARD 35 PRECINCT 18,35,18,289,225,64
CITY OF CHICAGO:WARD 35 PRECINCT 19,35,19,367,295,72
CITY OF CHICAGO:WARD 35 PRECINCT 20,35,20,207,159,48
CITY OF CHICAGO:WARD 35 PRECINCT 21,35,21,384,271,113
CITY OF CHICAGO:WARD 35 PRECINCT 22,35,22,449,276,173
CITY OF CHICAGO:WARD 36 PRECINCT 01,36,1,141,84,57
CITY OF CHICAGO:WARD 36 PRECINCT 02,36,2,164,99,65
CITY OF CHICAGO:WARD 36 PRECINCT 03,36,3,142,82,60
CITY OF CHICAGO:WARD 36 PRECINCT 04,36,4,170,112,58
CITY OF CHICAGO:WARD 36 PRECINCT 05,36,5,145,101,44
CITY OF CHICAGO:WARD 36 PRECINCT 06,36,6,127,97,30
CITY OF CHICAGO:WARD 36 PRECINCT 07,36,7,85,56,29
CITY OF CHICAGO:WARD 36 PRECINCT 08,36,8,95,66,29
CITY OF CHICAGO:WARD 36 PRECINCT 09,36,9,233,162,71
CITY OF CHICAGO:WARD 36 PRECINCT 10,36,10,160,101,59
CITY OF CHICAGO:WARD 36 PRECINCT 11,36,11,124,85,39
CITY OF CHICAGO:WARD 36 PRECINCT 12,36,12,107,74,33
CITY OF CHICAGO:WARD 36 PRECINCT 13,36,13,43,27,16
CITY OF CHICAGO:WARD 36 PRECINCT 14,36,14,156,120,36
CITY OF CHICAGO:WARD 36 PRECINCT 15,36,15,77,58,19
CITY OF CHICAGO:WARD 36 PRECINCT 16,36,16,71,58,13
CITY OF CHICAGO:WARD 36 PRECINCT 17,36,17,273,234,39
CITY OF CHICAGO:WARD 36 PRECINCT 18,36,18,273,224,49
CITY OF CHICAGO:WARD 36 PRECINCT 19,36,19,398,319,79
CITY OF CHICAGO:WARD 36 PRECINCT 20,36,20,395,307,88
CITY OF CHICAGO:WARD 36 PRECINCT 21,36,21,237,166,71
CITY OF CHICAGO:WARD 36 PRECINCT 22,36,22,352,282,70
CITY OF CHICAGO:WARD 36 PRECINCT 23,36,23,329,229,100
CITY OF CHICAGO:WARD 36 PRECINCT 24,36,24,336,249,87
CITY OF CHICAGO:WARD 36 PRECINCT 25,36,25,373,272,101
CITY OF CHICAGO:WARD 36 PRECINCT 26,36,26,351,263,88
CITY OF CHICAGO:WARD 36 PRECINCT 27,36,27,353,228,125
CITY OF CHICAGO:WARD 37 PRECINCT 01,37,1,203,158,45
CITY OF CHICAGO:WARD 37 PRECINCT 02,37,2,207,154,53
CITY OF CHICAGO:WARD 37 PRECINCT 03,37,3,225,175,50
CITY OF CHICAGO:WARD 37 PRECINCT 04,37,4,260,216,44
CITY OF CHICAGO:WARD 37 PRECINCT 05,37,5,175,126,49
CITY OF CHICAGO:WARD 37 PRECINCT 06,37,6,321,261,60
CITY OF CHICAGO:WARD 37 PRECINCT 07,37,7,185,144,41
CITY OF CHICAGO:WARD 37 PRECINCT 08,37,8,334,269,65
CITY OF CHICAGO:WARD 37 PRECINCT 09,37,9,108,79,29
CITY OF CHICAGO:WARD 37 PRECINCT 10,37,10,203,163,40
CITY OF CHICAGO:WARD 37 PRECINCT 11,37,11,213,166,47
CITY OF CHICAGO:WARD 37 PRECINCT 12,37,12,303,243,60
CITY OF CHICAGO:WARD 37 PRECINCT 13,37,13,178,127,51
CITY OF CHICAGO:WARD 37 PRECINCT 14,37,14,288,221,67
CITY OF CHICAGO:WARD 37 PRECINCT 15,37,15,281,221,60
CITY OF CHICAGO:WARD 37 PRECINCT 16,37,16,304,241,63
CITY OF CHICAGO:WARD 37 PRECINCT 17,37,17,158,126,32
CITY OF CHICAGO:WARD 37 PRECINCT 18,37,18,220,171,49
CITY OF CHICAGO:WARD 37 PRECINCT 19,37,19,168,129,39
CITY OF CHICAGO:WARD 37 PRECINCT 20,37,20,319,250,69
CITY OF CHICAGO:WARD 37 PRECINCT 21,37,21,169,137,32
CITY OF CHICAGO:WARD 37 PRECINCT 22,37,22,208,157,51
CITY OF CHICAGO:WARD 38 PRECINCT 01,38,1,284,105,179
CITY OF CHICAGO:WARD 38 PRECINCT 02,38,2,130,69,61
CITY OF CHICAGO:WARD 38 PRECINCT 03,38,3,203,92,111
CITY OF CHICAGO:WARD 38 PRECINCT 04,38,4,144,70,74
CITY OF CHICAGO:WARD 38 PRECINCT 05,38,5,228,116,112
CITY OF CHICAGO:WARD 38 PRECINCT 06,38,6,185,96,89
CITY OF CHICAGO:WARD 38 PRECINCT 07,38,7,217,139,78
CITY OF CHICAGO:WARD 38 PRECINCT 08,38,8,171,103,68
CITY OF CHICAGO:WARD 38 PRECINCT 09,38,9,207,130,77
CITY OF CHICAGO:WARD 38 PRECINCT 10,38,10,172,92,80
CITY OF CHICAGO:WARD 38 PRECINCT 11,38,11,264,154,110
CITY OF CHICAGO:WARD 38 PRECINCT 12,38,12,277,156,121
CITY OF CHICAGO:WARD 38 PRECINCT 13,38,13,144,74,70
CITY OF CHICAGO:WARD 38 PRECINCT 14,38,14,191,102,89
CITY OF CHICAGO:WARD 38 PRECINCT 15,38,15,198,117,81
CITY OF CHICAGO:WARD 38 PRECINCT 16,38,16,284,182,102
CITY OF CHICAGO:WARD 38 PRECINCT 17,38,17,257,167,90
CITY OF CHICAGO:WARD 38 PRECINCT 18,38,18,342,235,107
CITY OF CHICAGO:WARD 38 PRECINCT 19,38,19,362,211,151
CITY OF CHICAGO:WARD 38 PRECINCT 20,38,20,316,224,92
CITY OF CHICAGO:WARD 38 PRECINCT 21,38,21,432,290,142
CITY OF CHICAGO:WARD 38 PRECINCT 22,38,22,239,160,79
CITY OF CHICAGO:WARD 38 PRECINCT 23,38,23,425,295,130
CITY OF CHICAGO:WARD 38 PRECINCT 24,38,24,361,222,139
CITY OF CHICAGO:WARD 38 PRECINCT 25,38,25,523,347,176
CITY OF CHICAGO:WARD 39 PRECINCT 01,39,1,322,152,170
CITY OF CHICAGO:WARD 39 PRECINCT 02,39,2,177,111,66
CITY OF CHICAGO:WARD 39 PRECINCT 03,39,3,251,171,80
CITY OF CHICAGO:WARD 39 PRECINCT 04,39,4,261,150,111
CITY OF CHICAGO:WARD 39 PRECINCT 05,39,5,244,175,69
CITY OF CHICAGO:WARD 39 PRECINCT 06,39,6,191,126,65
CITY OF CHICAGO:WARD 39 PRECINCT 07,39,7,199,141,58
CITY OF CHICAGO:WARD 39 PRECINCT 08,39,8,177,121,56
CITY OF CHICAGO:WARD 39 PRECINCT 09,39,9,151,105,46
CITY OF CHICAGO:WARD 39 PRECINCT 10,39,10,264,219,45
CITY OF CHICAGO:WARD 39 PRECINCT 11,39,11,181,117,64
CITY OF CHICAGO:WARD 39 PRECINCT 12,39,12,267,187,80
CITY OF CHICAGO:WARD 39 PRECINCT 13,39,13,448,309,139
CITY OF CHICAGO:WARD 39 PRECINCT 14,39,14,386,153,233
CITY OF CHICAGO:WARD 39 PRECINCT 15,39,15,365,264,101
CITY OF CHICAGO:WARD 39 PRECINCT 16,39,16,205,139,66
CITY OF CHICAGO:WARD 39 PRECINCT 17,39,17,413,219,194
CITY OF CHICAGO:WARD 39 PRECINCT 18,39,18,173,101,72
CITY OF CHICAGO:WARD 39 PRECINCT 19,39,19,450,346,104
CITY OF CHICAGO:WARD 39 PRECINCT 20,39,20,231,128,103
CITY OF CHICAGO:WARD 39 PRECINCT 21,39,21,386,298,88
CITY OF CHICAGO:WARD 39 PRECINCT 22,39,22,168,76,92
CITY OF CHICAGO:WARD 39 PRECINCT 23,39,23,46,19,27
CITY OF CHICAGO:WARD 39 PRECINCT 24,39,24,281,198,83
CITY OF CHICAGO:WARD 39 PRECINCT 25,39,25,215,174,41
CITY OF CHICAGO:WARD 39 PRECINCT 26,39,26,182,132,50
CITY OF CHICAGO:WARD 39 PRECINCT 27,39,27,175,110,65
CITY OF CHICAGO:WARD 39 PRECINCT 28,39,28,252,152,100
CITY OF CHICAGO:WARD 39 PRECINCT 29,39,29,156,87,69
CITY OF CHICAGO:WARD 39 PRECINCT 30,39,30,123,73,50
CITY OF CHICAGO:WARD 39 PRECINCT 31,39,31,177,82,95
CITY OF CHICAGO:WARD 39 PRECINCT 32,39,32,467,282,185
CITY OF CHICAGO:WARD 39 PRECINCT 33,39,33,178,97,81
CITY OF CHICAGO:WARD 39 PRECINCT 34,39,34,179,82,97
CITY OF CHICAGO:WARD 39 PRECINCT 35,39,35,390,279,111
CITY OF CHICAGO:WARD 40 PRECINCT 01,40,1,382,282,100
CITY OF CHICAGO:WARD 40 PRECINCT 02,40,2,434,330,104
CITY OF CHICAGO:WARD 40 PRECINCT 03,40,3,417,327,90
CITY OF CHICAGO:WARD 40 PRECINCT 04,40,4,313,220,93
CITY OF CHICAGO:WARD 40 PRECINCT 05,40,5,271,206,65
CITY OF CHICAGO:WARD 40 PRECINCT 06,40,6,341,254,87
CITY OF CHICAGO:WARD 40 PRECINCT 07,40,7,432,339,93
CITY OF CHICAGO:WARD 40 PRECINCT 08,40,8,231,177,54
CITY OF CHICAGO:WARD 40 PRECINCT 09,40,9,393,288,105
CITY OF CHICAGO:WARD 40 PRECINCT 10,40,10,800,639,161
CITY OF CHICAGO:WARD 40 PRECINCT 11,40,11,346,267,79
CITY OF CHICAGO:WARD 40 PRECINCT 12,40,12,484,363,121
CITY OF CHICAGO:WARD 40 PRECINCT 13,40,13,539,419,120
CITY OF CHICAGO:WARD 40 PRECINCT 14,40,14,749,603,146
CITY OF CHICAGO:WARD 40 PRECINCT 15,40,15,522,427,95
CITY OF CHICAGO:WARD 40 PRECINCT 16,40,16,476,371,105
CITY OF CHICAGO:WARD 40 PRECINCT 17,40,17,482,384,98
CITY OF CHICAGO:WARD 40 PRECINCT 18,40,18,503,402,101
CITY OF CHICAGO:WARD 40 PRECINCT 19,40,19,515,405,110
CITY OF CHICAGO:WARD 40 PRECINCT 20,40,20,577,428,149
CITY OF CHICAGO:WARD 40 PRECINCT 21,40,21,540,443,97
CITY OF CHICAGO:WARD 40 PRECINCT 22,40,22,693,551,142
CITY OF CHICAGO:WARD 40 PRECINCT 23,40,23,700,555,145
CITY OF CHICAGO:WARD 41 PRECINCT 01,41,1,118,64,54
CITY OF CHICAGO:WARD 41 PRECINCT 02,41,2,86,62,24
CITY OF CHICAGO:WARD 41 PRECINCT 03,41,3,92,53,39
CITY OF CHICAGO:WARD 41 PRECINCT 04,41,4,152,59,93
CITY OF CHICAGO:WARD 41 PRECINCT 05,41,5,187,75,112
CITY OF CHICAGO:WARD 41 PRECINCT 06,41,6,188,90,98
CITY OF CHICAGO:WARD 41 PRECINCT 07,41,7,196,98,98
CITY OF CHICAGO:WARD 41 PRECINCT 08,41,8,152,78,74
CITY OF CHICAGO:WARD 41 PRECINCT 09,41,9,338,178,160
CITY OF CHICAGO:WARD 41 PRECINCT 10,41,10,223,130,93
CITY OF CHICAGO:WARD 41 PRECINCT 11,41,11,196,105,91
CITY OF CHICAGO:WARD 41 PRECINCT 12,41,12,91,37,54
CITY OF CHICAGO:WARD 41 PRECINCT 13,41,13,303,170,133
CITY OF CHICAGO:WARD 41 PRECINCT 14,41,14,352,172,180
CITY OF CHICAGO:WARD 41 PRECINCT 15,41,15,388,186,202
CITY OF CHICAGO:WARD 41 PRECINCT 16,41,16,144,67,77
CITY OF CHICAGO:WARD 41 PRECINCT 17,41,17,76,49,27
CITY OF CHICAGO:WARD 41 PRECINCT 18,41,18,373,177,196
CITY OF CHICAGO:WARD 41 PRECINCT 19,41,19,167,67,100
CITY OF CHICAGO:WARD 41 PRECINCT 20,41,20,197,98,99
CITY OF CHICAGO:WARD 41 PRECINCT 21,41,21,182,93,89
CITY OF CHICAGO:WARD 41 PRECINCT 22,41,22,144,78,66
CITY OF CHICAGO:WARD 41 PRECINCT 23,41,23,196,81,115
CITY OF CHICAGO:WARD 41 PRECINCT 24,41,24,276,122,154
CITY OF CHICAGO:WARD 41 PRECINCT 25,41,25,221,99,122
CITY OF CHICAGO:WARD 41 PRECINCT 26,41,26,373,153,220
CITY OF CHICAGO:WARD 41 PRECINCT 27,41,27,219,100,119
CITY OF CHICAGO:WARD 41 PRECINCT 28,41,28,421,208,213
CITY OF CHICAGO:WARD 41 PRECINCT 29,41,29,447,182,265
CITY OF CHICAGO:WARD 41 PRECINCT 30,41,30,277,120,157
CITY OF CHICAGO:WARD 41 PRECINCT 31,41,31,276,109,167
CITY OF CHICAGO:WARD 42 PRECINCT 01,42,1,186,77,109
CITY OF CHICAGO:WARD 42 PRECINCT 02,42,2,151,89,62
CITY OF CHICAGO:WARD 42 PRECINCT 03,42,3,485,226,259
CITY OF CHICAGO:WARD 42 PRECINCT 04,42,4,333,172,161
CITY OF CHICAGO:WARD 42 PRECINCT 05,42,5,566,263,303
CITY OF CHICAGO:WARD 42 PRECINCT 06,42,6,272,98,174
CITY OF CHICAGO:WARD 42 PRECINCT 07,42,7,341,165,176
CITY OF CHICAGO:WARD 42 PRECINCT 08,42,8,206,125,81
CITY OF CHICAGO:WARD 42 PRECINCT 09,42,9,316,123,193
CITY OF CHICAGO:WARD 42 PRECINCT 10,42,10,207,88,119
CITY OF CHICAGO:WARD 42 PRECINCT 11,42,11,199,140,59
CITY OF CHICAGO:WARD 42 PRECINCT 12,42,12,179,92,87
CITY OF CHICAGO:WARD 42 PRECINCT 13,42,13,184,96,88
CITY OF CHICAGO:WARD 42 PRECINCT 14,42,14,122,51,71
CITY OF CHICAGO:WARD 42 PRECINCT 15,42,15,62,35,27
CITY OF CHICAGO:WARD 42 PRECINCT 16,42,16,297,154,143
CITY OF CHICAGO:WARD 42 PRECINCT 17,42,17,343,182,161
CITY OF CHICAGO:WARD 42 PRECINCT 18,42,18,184,87,97
CITY OF CHICAGO:WARD 42 PRECINCT 19,42,19,378,184,194
CITY OF CHICAGO:WARD 42 PRECINCT 20,42,20,348,127,221
CITY OF CHICAGO:WARD 42 PRECINCT 21,42,21,337,164,173
CITY OF CHICAGO:WARD 42 PRECINCT 22,42,22,388,206,182
CITY OF CHICAGO:WARD 42 PRECINCT 23,42,23,458,158,300
CITY OF CHICAGO:WARD 42 PRECINCT 24,42,24,475,176,299
CITY OF CHICAGO:WARD 43 PRECINCT 01,43,1,513,203,310
CITY OF CHICAGO:WARD 43 PRECINCT 02,43,2,476,243,233
CITY OF CHICAGO:WARD 43 PRECINCT 03,43,3,202,93,109
CITY OF CHICAGO:WARD 43 PRECINCT 04,43,4,370,209,161
CITY OF CHICAGO:WARD 43 PRECINCT 05,43,5,532,287,245
CITY OF CHICAGO:WARD 43 PRECINCT 06,43,6,649,385,264
CITY OF CHICAGO:WARD 43 PRECINCT 07,43,7,526,347,179
CITY OF CHICAGO:WARD 43 PRECINCT 08,43,8,422,310,112
CITY OF CHICAGO:WARD 43 PRECINCT 09,43,9,574,337,237
CITY OF CHICAGO:WARD 43 PRECINCT 10,43,10,404,219,185
CITY OF CHICAGO:WARD 43 PRECINCT 11,43,11,243,143,100
CITY OF CHICAGO:WARD 43 PRECINCT 12,43,12,434,219,215
CITY OF CHICAGO:WARD 43 PRECINCT 13,43,13,397,164,233
CITY OF CHICAGO:WARD 43 PRECINCT 14,43,14,228,133,95
CITY OF CHICAGO:WARD 43 PRECINCT 15,43,15,572,297,275
CITY OF CHICAGO:WARD 43 PRECINCT 16,43,16,223,145,78
CITY OF CHICAGO:WARD 43 PRECINCT 17,43,17,396,236,160
CITY OF CHICAGO:WARD 43 PRECINCT 18,43,18,580,365,215
CITY OF CHICAGO:WARD 43 PRECINCT 19,43,19,426,249,177
CITY OF CHICAGO:WARD 43 PRECINCT 20,43,20,368,176,192
CITY OF CHICAGO:WARD 43 PRECINCT 21,43,21,196,97,99
CITY OF CHICAGO:WARD 43 PRECINCT 22,43,22,491,260,231
CITY OF CHICAGO:WARD 43 PRECINCT 23,43,23,360,170,190
CITY OF CHICAGO:WARD 44 PRECINCT 01,44,1,595,396,199
CITY OF CHICAGO:WARD 44 PRECINCT 02,44,2,393,231,162
CITY OF CHICAGO:WARD 44 PRECINCT 03,44,3,475,276,199
CITY OF CHICAGO:WARD 44 PRECINCT 04,44,4,631,422,209
CITY OF CHICAGO:WARD 44 PRECINCT 05,44,5,545,392,153
CITY OF CHICAGO:WARD 44 PRECINCT 06,44,6,451,319,132
CITY OF CHICAGO:WARD 44 PRECINCT 07,44,7,496,373,123
CITY OF CHICAGO:WARD 44 PRECINCT 08,44,8,651,389,262
CITY OF CHICAGO:WARD 44 PRECINCT 09,44,9,586,390,196
CITY OF CHICAGO:WARD 44 PRECINCT 10,44,10,572,408,164
CITY OF CHICAGO:WARD 44 PRECINCT 11,44,11,431,263,168
CITY OF CHICAGO:WARD 44 PRECINCT 12,44,12,709,474,235
CITY OF CHICAGO:WARD 44 PRECINCT 13,44,13,600,432,168
CITY OF CHICAGO:WARD 44 PRECINCT 14,44,14,552,413,139
CITY OF CHICAGO:WARD 44 PRECINCT 15,44,15,619,425,194
CITY OF CHICAGO:WARD 44 PRECINCT 16,44,16,606,426,180
CITY OF CHICAGO:WARD 44 PRECINCT 17,44,17,729,514,215
CITY OF CHICAGO:WARD 44 PRECINCT 18,44,18,413,289,124
CITY OF CHICAGO:WARD 44 PRECINCT 19,44,19,564,376,188
CITY OF CHICAGO:WARD 44 PRECINCT 20,44,20,380,271,109
CITY OF CHICAGO:WARD 44 PRECINCT 21,44,21,638,441,197
CITY OF CHICAGO:WARD 45 PRECINCT 01,45,1,448,187,261
CITY OF CHICAGO:WARD 45 PRECINCT 02,45,2,253,107,146
CITY OF CHICAGO:WARD 45 PRECINCT 03,45,3,103,48,55
CITY OF CHICAGO:WARD 45 PRECINCT 04,45,4,209,110,99
CITY OF CHICAGO:WARD 45 PRECINCT 05,45,5,298,155,143
CITY OF CHICAGO:WARD 45 PRECINCT 06,45,6,306,161,145
CITY OF CHICAGO:WARD 45 PRECINCT 07,45,7,320,156,164
CITY OF CHICAGO:WARD 45 PRECINCT 08,45,8,242,128,114
CITY OF CHICAGO:WARD 45 PRECINCT 09,45,9,279,158,121
CITY OF CHICAGO:WARD 45 PRECINCT 10,45,10,272,148,124
CITY OF CHICAGO:WARD 45 PRECINCT 11,45,11,263,138,125
CITY OF CHICAGO:WARD 45 PRECINCT 12,45,12,231,131,100
CITY OF CHICAGO:WARD 45 PRECINCT 13,45,13,392,251,141
CITY OF CHICAGO:WARD 45 PRECINCT 14,45,14,208,131,77
CITY OF CHICAGO:WARD 45 PRECINCT 15,45,15,280,169,111
CITY OF CHICAGO:WARD 45 PRECINCT 16,45,16,290,186,104
CITY OF CHICAGO:WARD 45 PRECINCT 17,45,17,334,187,147
CITY OF CHICAGO:WARD 45 PRECINCT 18,45,18,312,183,129
CITY OF CHICAGO:WARD 45 PRECINCT 19,45,19,215,152,63
CITY OF CHICAGO:WARD 45 PRECINCT 20,45,20,310,204,106
CITY OF CHICAGO:WARD 45 PRECINCT 21,45,21,256,155,101
CITY OF CHICAGO:WARD 45 PRECINCT 22,45,22,323,240,83
CITY OF CHICAGO:WARD 45 PRECINCT 23,45,23,356,242,114
CITY OF CHICAGO:WARD 45 PRECINCT 24,45,24,323,215,108
CITY OF CHICAGO:WARD 45 PRECINCT 25,45,25,398,287,111
CITY OF CHICAGO:WARD 45 PRECINCT 26,45,26,315,238,77
CITY OF CHICAGO:WARD 45 PRECINCT 27,45,27,455,319,136
CITY OF CHICAGO:WARD 45 PRECINCT 28,45,28,417,289,128
CITY OF CHICAGO:WARD 45 PRECINCT 29,45,29,438,343,95
CITY OF CHICAGO:WARD 46 PRECINCT 01,46,1,400,252,148
CITY OF CHICAGO:WARD 46 PRECINCT 02,46,2,477,339,138
CITY OF CHICAGO:WARD 46 PRECINCT 03,46,3,483,397,86
CITY OF CHICAGO:WARD 46 PRECINCT 04,46,4,603,432,171
CITY OF CHICAGO:WARD 46 PRECINCT 05,46,5,473,337,136
CITY OF CHICAGO:WARD 46 PRECINCT 06,46,6,788,581,207
CITY OF CHICAGO:WARD 46 PRECINCT 07,46,7,443,324,119
CITY OF CHICAGO:WARD 46 PRECINCT 08,46,8,562,412,150
CITY OF CHICAGO:WARD 46 PRECINCT 09,46,9,573,382,191
CITY OF CHICAGO:WARD 46 PRECINCT 10,46,10,665,545,120
CITY OF CHICAGO:WARD 46 PRECINCT 11,46,11,645,483,162
CITY OF CHICAGO:WARD 46 PRECINCT 12,46,12,797,579,218
CITY OF CHICAGO:WARD 46 PRECINCT 13,46,13,735,587,148
CITY OF CHICAGO:WARD 46 PRECINCT 14,46,14,345,273,72
CITY OF CHICAGO:WARD 46 PRECINCT 15,46,15,789,559,230
CITY OF CHICAGO:WARD 46 PRECINCT 16,46,16,616,519,97
CITY OF CHICAGO:WARD 46 PRECINCT 17,46,17,748,626,122
CITY OF CHICAGO:WARD 46 PRECINCT 18,46,18,705,557,148
CITY OF CHICAGO:WARD 46 PRECINCT 19,46,19,592,465,127
CITY OF CHICAGO:WARD 46 PRECINCT 20,46,20,449,358,91
CITY OF CHICAGO:WARD 46 PRECINCT 21,46,21,385,284,101
CITY OF CHICAGO:WARD 46 PRECINCT 22,46,22,432,355,77
CITY OF CHICAGO:WARD 46 PRECINCT 23,46,23,379,283,96
CITY OF CHICAGO:WARD 47 PRECINCT 01,47,1,499,381,118
CITY OF CHICAGO:WARD 47 PRECINCT 02,47,2,519,411,108
CITY OF CHICAGO:WARD 47 PRECINCT 03,47,3,551,464,87
CITY OF CHICAGO:WARD 47 PRECINCT 04,47,4,688,542,146
CITY OF CHICAGO:WARD 47 PRECINCT 05,47,5,805,696,109
CITY OF CHICAGO:WARD 47 PRECINCT 06,47,6,715,581,134
CITY OF CHICAGO:WARD 47 PRECINCT 07,47,7,918,737,181
CITY OF CHICAGO:WARD 47 PRECINCT 08,47,8,569,474,95
CITY OF CHICAGO:WARD 47 PRECINCT 09,47,9,692,517,175
CITY OF CHICAGO:WARD 47 PRECINCT 10,47,10,652,552,100
CITY OF CHICAGO:WARD 47 PRECINCT 11,47,11,548,410,138
CITY OF CHICAGO:WARD 47 PRECINCT 12,47,12,432,353,79
CITY OF CHICAGO:WARD 47 PRECINCT 13,47,13,446,337,109
CITY OF CHICAGO:WARD 47 PRECINCT 14,47,14,527,368,159
CITY OF CHICAGO:WARD 47 PRECINCT 15,47,15,528,341,187
CITY OF CHICAGO:WARD 47 PRECINCT 16,47,16,519,335,184
CITY OF CHICAGO:WARD 47 PRECINCT 17,47,17,478,353,125
CITY OF CHICAGO:WARD 47 PRECINCT 18,47,18,627,476,151
CITY OF CHICAGO:WARD 47 PRECINCT 19,47,19,601,445,156
CITY OF CHICAGO:WARD 47 PRECINCT 20,47,20,513,353,160
CITY OF CHICAGO:WARD 47 PRECINCT 21,47,21,530,379,151
CITY OF CHICAGO:WARD 47 PRECINCT 22,47,22,420,291,129
CITY OF CHICAGO:WARD 47 PRECINCT 23,47,23,514,370,144
CITY OF CHICAGO:WARD 47 PRECINCT 24,47,24,603,419,184
CITY OF CHICAGO:WARD 47 PRECINCT 25,47,25,455,324,131
CITY OF CHICAGO:WARD 47 PRECINCT 26,47,26,627,406,221
CITY OF CHICAGO:WARD 47 PRECINCT 27,47,27,567,370,197
CITY OF CHICAGO:WARD 47 PRECINCT 28,47,28,399,254,145
CITY OF CHICAGO:WARD 48 PRECINCT 01,48,1,703,569,134
CITY OF CHICAGO:WARD 48 PRECINCT 02,48,2,223,165,58
CITY OF CHICAGO:WARD 48 PRECINCT 03,48,3,346,270,76
CITY OF CHICAGO:WARD 48 PRECINCT 04,48,4,453,362,91
CITY OF CHICAGO:WARD 48 PRECINCT 05,48,5,281,208,73
CITY OF CHICAGO:WARD 48 PRECINCT 06,48,6,531,431,100
CITY OF CHICAGO:WARD 48 PRECINCT 07,48,7,521,441,80
CITY OF CHICAGO:WARD 48 PRECINCT 08,48,8,334,249,85
CITY OF CHICAGO:WARD 48 PRECINCT 09,48,9,220,158,62
CITY OF CHICAGO:WARD 48 PRECINCT 10,48,10,613,497,116
CITY OF CHICAGO:WARD 48 PRECINCT 11,48,11,447,339,108
CITY OF CHICAGO:WARD 48 PRECINCT 12,48,12,549,426,123
CITY OF CHICAGO:WARD 48 PRECINCT 13,48,13,420,293,127
CITY OF CHICAGO:WARD 48 PRECINCT 14,48,14,474,381,93
CITY OF CHICAGO:WARD 48 PRECINCT 15,48,15,372,296,76
CITY OF CHICAGO:WARD 48 PRECINCT 16,48,16,316,250,66
CITY OF CHICAGO:WARD 48 PRECINCT 17,48,17,155,107,48
CITY OF CHICAGO:WARD 48 PRECINCT 18,48,18,469,378,91
CITY OF CHICAGO:WARD 48 PRECINCT 19,48,19,278,191,87
CITY OF CHICAGO:WARD 48 PRECINCT 20,48,20,192,136,56
CITY OF CHICAGO:WARD 48 PRECINCT 21,48,21,508,406,102
CITY OF CHICAGO:WARD 48 PRECINCT 22,48,22,297,204,93
CITY OF CHICAGO:WARD 48 PRECINCT 23,48,23,410,299,111
CITY OF CHICAGO:WARD 48 PRECINCT 24,48,24,588,422,166
CITY OF CHICAGO:WARD 48 PRECINCT 25,48,25,576,465,111
CITY OF CHICAGO:WARD 48 PRECINCT 26,48,26,278,181,97
CITY OF CHICAGO:WARD 48 PRECINCT 27,48,27,362,280,82
CITY OF CHICAGO:WARD 48 PRECINCT 28,48,28,412,342,70
CITY OF CHICAGO:WARD 48 PRECINCT 29,48,29,241,166,75
CITY OF CHICAGO:WARD 48 PRECINCT 30,48,30,514,387,127
CITY OF CHICAGO:WARD 48 PRECINCT 31,48,31,501,408,93
CITY OF CHICAGO:WARD 48 PRECINCT 32,48,32,324,260,64
CITY OF CHICAGO:WARD 48 PRECINCT 33,48,33,192,119,73
CITY OF CHICAGO:WARD 48 PRECINCT 34,48,34,386,317,69
CITY OF CHICAGO:WARD 48 PRECINCT 35,48,35,638,510,128
CITY OF CHICAGO:WARD 49 PRECINCT 01,49,1,501,405,96
CITY OF CHICAGO:WARD 49 PRECINCT 02,49,2,486,372,114
CITY OF CHICAGO:WARD 49 PRECINCT 03,49,3,648,506,142
CITY OF CHICAGO:WARD 49 PRECINCT 04,49,4,712,629,83
CITY OF CHICAGO:WARD 49 PRECINCT 05,49,5,683,561,122
CITY OF CHICAGO:WARD 49 PRECINCT 06,49,6,54,45,9
CITY OF CHICAGO:WARD 49 PRECINCT 07,49,7,729,611,118
CITY OF CHICAGO:WARD 49 PRECINCT 08,49,8,908,792,116
CITY OF CHICAGO:WARD 49 PRECINCT 09,49,9,708,594,114
CITY OF CHICAGO:WARD 49 PRECINCT 10,49,10,505,409,96
CITY OF CHICAGO:WARD 49 PRECINCT 11,49,11,511,413,98
CITY OF CHICAGO:WARD 49 PRECINCT 12,49,12,401,317,84
