JoinField,JoinField_alt,Toni Preckwinkle,Brendan Reilly,Total Voters
COOK:7900057,COOK:Lyons Precinct 57,84,70,154
COOK:7900058,COOK:Lyons Precinct 58,44,43,87
COOK:7900059,COOK:Lyons Precinct 59,62,51,113
COOK:7900060,COOK:Lyons Precinct 60,143,44,187
COOK:7900061,COOK:Lyons Precinct 61,105,107,212
COOK:7900062,COOK:Lyons Precinct 62,57,85,142
COOK:7900063,COOK:Lyons Precinct 63,95,90,185
COOK:7900064,COOK:Lyons Precinct 64,87,56,143
COOK:7900065,COOK:Lyons Precinct 65,83,91,174
COOK:7900066,COOK:Lyons Precinct 66,34,19,53
COOK:7900067,COOK:Lyons Precinct 67,89,60,149
COOK:7900068,COOK:Lyons Precinct 68,69,42,111
COOK:7900069,COOK:Lyons Precinct 69,114,138,252
COOK:8000001,COOK:Maine Precinct 1,53,27,80
COOK:8000002,COOK:Maine Precinct 2,73,39,112
COOK:8000003,COOK:Maine Precinct 3,30,17,47
COOK:8000004,COOK:Maine Precinct 4,168,109,277
COOK:8000005,COOK:Maine Precinct 5,96,73,169
COOK:8000006,COOK:Maine Precinct 6,197,120,317
COOK:8000007,COOK:Maine Precinct 7,88,53,141
COOK:8000008,COOK:Maine Precinct 8,150,119,269
COOK:8000009,COOK:Maine Precinct 9,183,113,296
COOK:8000010,COOK:Maine Precinct 10,227,97,324
COOK:8000011,COOK:Maine Precinct 11,44,37,81
COOK:8000012,COOK:Maine Precinct 12,63,61,124
COOK:8000013,COOK:Maine Precinct 13,94,63,157
COOK:8000014,COOK:Maine Precinct 14,166,92,258
COOK:8000015,COOK:Maine Precinct 15,100,68,168
COOK:8000016,COOK:Maine Precinct 16,95,48,143
COOK:8000017,COOK:Maine Precinct 17,115,59,174
COOK:8000018,COOK:Maine Precinct 18,106,57,163
COOK:8000019,COOK:Maine Precinct 19,44,32,76
COOK:8000020,COOK:Maine Precinct 20,79,51,130
COOK:8000021,COOK:Maine Precinct 21,123,100,223
COOK:8000022,COOK:Maine Precinct 22,118,119,237
COOK:8000023,COOK:Maine Precinct 23,52,41,93
COOK:8000024,COOK:Maine Precinct 24,151,118,269
COOK:8000025,COOK:Maine Precinct 25,221,150,371
COOK:8000026,COOK:Maine Precinct 26,139,85,224
COOK:8000027,COOK:Maine Precinct 27,59,27,86
COOK:8000028,COOK:Maine Precinct 28,37,18,55
COOK:8000029,COOK:Maine Precinct 29,121,122,243
COOK:8000030,COOK:Maine Precinct 30,249,223,472
COOK:8000031,COOK:Maine Precinct 31,77,62,139
COOK:8000032,COOK:Maine Precinct 32,101,78,179
COOK:8000033,COOK:Maine Precinct 33,67,34,101
COOK:8000034,COOK:Maine Precinct 34,122,88,210
COOK:8000035,COOK:Maine Precinct 35,147,58,205
COOK:8000036,COOK:Maine Precinct 36,93,72,165
COOK:8000037,COOK:Maine Precinct 37,104,54,158
COOK:8000038,COOK:Maine Precinct 38,53,39,92
COOK:8000039,COOK:Maine Precinct 39,104,82,186
COOK:8000040,COOK:Maine Precinct 40,77,59,136
COOK:8000041,COOK:Maine Precinct 41,68,48,116
COOK:8000042,COOK:Maine Precinct 42,153,123,276
COOK:8000043,COOK:Maine Precinct 43,70,76,146
COOK:8000044,COOK:Maine Precinct 44,96,55,151
COOK:8000045,COOK:Maine Precinct 45,80,59,139
COOK:8000046,COOK:Maine Precinct 46,103,63,166
COOK:8000047,COOK:Maine Precinct 47,87,64,151
COOK:8000048,COOK:Maine Precinct 48,156,72,228
COOK:8000049,COOK:Maine Precinct 49,81,57,138
COOK:8000050,COOK:Maine Precinct 50,101,63,164
COOK:8000051,COOK:Maine Precinct 51,80,53,133
COOK:8000052,COOK:Maine Precinct 52,138,65,203
COOK:8000053,COOK:Maine Precinct 53,87,55,142
COOK:8000054,COOK:Maine Precinct 54,110,92,202
COOK:8000055,COOK:Maine Precinct 55,83,72,155
COOK:8000056,COOK:Maine Precinct 56,83,53,136
COOK:8000057,COOK:Maine Precinct 57,48,20,68
COOK:8000058,COOK:Maine Precinct 58,77,79,156
COOK:8000059,COOK:Maine Precinct 59,94,65,159
COOK:8000060,COOK:Maine Precinct 60,155,147,302
COOK:8000061,COOK:Maine Precinct 61,60,43,103
COOK:8000062,COOK:Maine Precinct 62,66,24,90
COOK:8000063,COOK:Maine Precinct 63,79,55,134
COOK:8000064,COOK:Maine Precinct 64,52,42,94
COOK:8000065,COOK:Maine Precinct 65,65,46,111
COOK:8000066,COOK:Maine Precinct 66,17,15,32
COOK:8000067,COOK:Maine Precinct 67,137,127,264
COOK:8000068,COOK:Maine Precinct 68,131,95,226
COOK:8000069,COOK:Maine Precinct 69,77,54,131
COOK:8000070,COOK:Maine Precinct 70,72,44,116
COOK:8000071,COOK:Maine Precinct 71,55,45,100
COOK:8000072,COOK:Maine Precinct 72,128,86,214
COOK:8000073,COOK:Maine Precinct 73,58,49,107
COOK:8000074,COOK:Maine Precinct 74,101,60,161
COOK:8000075,COOK:Maine Precinct 75,85,58,143
COOK:8000076,COOK:Maine Precinct 76,53,37,90
COOK:8000077,COOK:Maine Precinct 77,169,89,258
COOK:8000078,COOK:Maine Precinct 78,62,37,99
COOK:8000079,COOK:Maine Precinct 79,112,67,179
COOK:8000080,COOK:Maine Precinct 80,69,46,115
COOK:8000081,COOK:Maine Precinct 81,40,24,64
COOK:8000082,COOK:Maine Precinct 82,91,66,157
COOK:8000083,COOK:Maine Precinct 83,82,52,134
COOK:8100001,COOK:New Trier Precinct 1,163,151,314
COOK:8100002,COOK:New Trier Precinct 2,204,162,366
COOK:8100003,COOK:New Trier Precinct 3,209,110,319
COOK:8100004,COOK:New Trier Precinct 4,147,156,303
COOK:8100005,COOK:New Trier Precinct 5,119,82,201
COOK:8100006,COOK:New Trier Precinct 6,77,81,158
COOK:8100007,COOK:New Trier Precinct 7,119,96,215
COOK:8100008,COOK:New Trier Precinct 8,77,66,143
COOK:8100009,COOK:New Trier Precinct 9,107,111,218
COOK:8100010,COOK:New Trier Precinct 10,114,92,206
COOK:8100011,COOK:New Trier Precinct 11,119,120,239
COOK:8100012,COOK:New Trier Precinct 12,127,88,215
COOK:8100013,COOK:New Trier Precinct 13,220,141,361
COOK:8100014,COOK:New Trier Precinct 14,135,93,228
COOK:8100015,COOK:New Trier Precinct 15,178,128,306
COOK:8100016,COOK:New Trier Precinct 16,124,99,223
COOK:8100017,COOK:New Trier Precinct 17,203,115,318
COOK:8100018,COOK:New Trier Precinct 18,109,91,200
COOK:8100019,COOK:New Trier Precinct 19,132,94,226
COOK:8100020,COOK:New Trier Precinct 20,196,129,325
COOK:8100021,COOK:New Trier Precinct 21,237,111,348
COOK:8100022,COOK:New Trier Precinct 22,84,76,160
COOK:8100023,COOK:New Trier Precinct 23,71,84,155
COOK:8100024,COOK:New Trier Precinct 24,205,95,300
COOK:8100025,COOK:New Trier Precinct 25,124,79,203
COOK:8100026,COOK:New Trier Precinct 26,320,181,501
COOK:8100027,COOK:New Trier Precinct 27,226,110,336
COOK:8100028,COOK:New Trier Precinct 28,63,67,130
COOK:8100029,COOK:New Trier Precinct 29,132,68,200
COOK:8100030,COOK:New Trier Precinct 30,159,121,280
COOK:8100031,COOK:New Trier Precinct 31,188,98,286
COOK:8100032,COOK:New Trier Precinct 32,190,125,315
COOK:8100033,COOK:New Trier Precinct 33,255,168,423
COOK:8100034,COOK:New Trier Precinct 34,133,90,223
COOK:8100035,COOK:New Trier Precinct 35,126,72,198
COOK:8100036,COOK:New Trier Precinct 36,286,182,468
COOK:8100037,COOK:New Trier Precinct 37,229,147,376
COOK:8100038,COOK:New Trier Precinct 38,234,154,388
COOK:8100039,COOK:New Trier Precinct 39,114,83,197
COOK:8200001,COOK:Niles Precinct 1,133,139,272
COOK:8200002,COOK:Niles Precinct 2,124,82,206
COOK:8200003,COOK:Niles Precinct 3,160,164,324
COOK:8200004,COOK:Niles Precinct 4,80,81,161
COOK:8200005,COOK:Niles Precinct 5,72,105,177
COOK:8200006,COOK:Niles Precinct 6,188,115,303
COOK:8200007,COOK:Niles Precinct 7,195,125,320
COOK:8200008,COOK:Niles Precinct 8,114,77,191
COOK:8200009,COOK:Niles Precinct 9,74,87,161
COOK:8200010,COOK:Niles Precinct 10,136,82,218
COOK:8200011,COOK:Niles Precinct 11,76,45,121
COOK:8200012,COOK:Niles Precinct 12,116,47,163
COOK:8200013,COOK:Niles Precinct 13,111,80,191
COOK:8200014,COOK:Niles Precinct 14,239,131,370
COOK:8200015,COOK:Niles Precinct 15,192,93,285
COOK:8200016,COOK:Niles Precinct 16,208,129,337
COOK:8200017,COOK:Niles Precinct 17,255,98,353
COOK:8200018,COOK:Niles Precinct 18,355,202,557
COOK:8200019,COOK:Niles Precinct 19,154,328,482
COOK:8200020,COOK:Niles Precinct 20,132,61,193
COOK:8200021,COOK:Niles Precinct 21,353,244,597
COOK:8200022,COOK:Niles Precinct 22,127,54,181
COOK:8200023,COOK:Niles Precinct 23,191,171,362
COOK:8200024,COOK:Niles Precinct 24,194,77,271
COOK:8200025,COOK:Niles Precinct 25,103,31,134
COOK:8200026,COOK:Niles Precinct 26,126,90,216
COOK:8200027,COOK:Niles Precinct 27,110,31,141
COOK:8200028,COOK:Niles Precinct 28,220,203,423
COOK:8200029,COOK:Niles Precinct 29,159,109,268
COOK:8200030,COOK:Niles Precinct 30,87,61,148
COOK:8200031,COOK:Niles Precinct 31,226,129,355
COOK:8200032,COOK:Niles Precinct 32,88,42,130
COOK:8200033,COOK:Niles Precinct 33,221,117,338
COOK:8200034,COOK:Niles Precinct 34,138,76,214
COOK:8200035,COOK:Niles Precinct 35,216,70,286
COOK:8200036,COOK:Niles Precinct 36,131,36,167
COOK:8200037,COOK:Niles Precinct 37,164,66,230
COOK:8200038,COOK:Niles Precinct 38,222,184,406
COOK:8200039,COOK:Niles Precinct 39,209,91,300
COOK:8200040,COOK:Niles Precinct 40,305,119,424
COOK:8200041,COOK:Niles Precinct 41,190,88,278
COOK:8200042,COOK:Niles Precinct 42,150,68,218
COOK:8200043,COOK:Niles Precinct 43,127,111,238
COOK:8200044,COOK:Niles Precinct 44,200,87,287
COOK:8200045,COOK:Niles Precinct 45,155,95,250
COOK:8200046,COOK:Niles Precinct 46,180,120,300
COOK:8200047,COOK:Niles Precinct 47,112,92,204
COOK:8200048,COOK:Niles Precinct 48,111,57,168
COOK:8200049,COOK:Niles Precinct 49,339,160,499
COOK:8200050,COOK:Niles Precinct 50,152,92,244
COOK:8200051,COOK:Niles Precinct 51,71,57,128
COOK:8200052,COOK:Niles Precinct 52,110,40,150
COOK:8200053,COOK:Niles Precinct 53,244,138,382
COOK:8200054,COOK:Niles Precinct 54,83,58,141
COOK:8200055,COOK:Niles Precinct 55,124,56,180
COOK:8200056,COOK:Niles Precinct 56,183,129,312
COOK:8200057,COOK:Niles Precinct 57,189,74,263
COOK:8200058,COOK:Niles Precinct 58,180,110,290
COOK:8200059,COOK:Niles Precinct 59,206,141,347
COOK:8200060,COOK:Niles Precinct 60,235,114,349
COOK:8200061,COOK:Niles Precinct 61,213,79,292
COOK:8200062,COOK:Niles Precinct 62,84,49,133
COOK:8300001,COOK:Northfield Precinct 1,107,41,148
COOK:8300002,COOK:Northfield Precinct 2,135,89,224
COOK:8300003,COOK:Northfield Precinct 3,190,120,310
COOK:8300004,COOK:Northfield Precinct 4,115,83,198
COOK:8300005,COOK:Northfield Precinct 5,95,48,143
COOK:8300006,COOK:Northfield Precinct 6,133,110,243
COOK:8300007,COOK:Northfield Precinct 7,201,147,348
COOK:8300008,COOK:Northfield Precinct 8,166,127,293
COOK:8300009,COOK:Northfield Precinct 9,121,77,198
COOK:8300010,COOK:Northfield Precinct 10,114,78,192
COOK:8300011,COOK:Northfield Precinct 11,146,125,271
COOK:8300012,COOK:Northfield Precinct 12,222,199,421
COOK:8300013,COOK:Northfield Precinct 13,117,66,183
COOK:8300014,COOK:Northfield Precinct 14,144,64,208
COOK:8300015,COOK:Northfield Precinct 15,258,164,422
COOK:8300016,COOK:Northfield Precinct 16,136,105,241
COOK:8300017,COOK:Northfield Precinct 17,149,125,274
COOK:8300018,COOK:Northfield Precinct 18,192,110,302
COOK:8300019,COOK:Northfield Precinct 19,167,125,292
COOK:8300020,COOK:Northfield Precinct 20,132,114,246
COOK:8300021,COOK:Northfield Precinct 21,184,179,363
COOK:8300022,COOK:Northfield Precinct 22,142,101,243
COOK:8300023,COOK:Northfield Precinct 23,86,86,172
COOK:8300024,COOK:Northfield Precinct 24,138,101,239
COOK:8300025,COOK:Northfield Precinct 25,127,69,196
COOK:8300026,COOK:Northfield Precinct 26,160,63,223
COOK:8300027,COOK:Northfield Precinct 27,133,65,198
COOK:8300028,COOK:Northfield Precinct 28,243,137,380
COOK:8300029,COOK:Northfield Precinct 29,128,69,197
COOK:8300030,COOK:Northfield Precinct 30,152,140,292
COOK:8300031,COOK:Northfield Precinct 31,140,115,255
COOK:8300032,COOK:Northfield Precinct 32,174,98,272
COOK:8300033,COOK:Northfield Precinct 33,51,40,91
COOK:8300034,COOK:Northfield Precinct 34,108,88,196
COOK:8300035,COOK:Northfield Precinct 35,121,93,214
COOK:8300036,COOK:Northfield Precinct 36,125,70,195
COOK:8300037,COOK:Northfield Precinct 37,210,139,349
COOK:8300038,COOK:Northfield Precinct 38,113,75,188
COOK:8300039,COOK:Northfield Precinct 39,70,49,119
COOK:8300040,COOK:Northfield Precinct 40,85,46,131
COOK:8300041,COOK:Northfield Precinct 41,136,106,242
COOK:8300042,COOK:Northfield Precinct 42,122,84,206
COOK:8300043,COOK:Northfield Precinct 43,153,73,226
COOK:8300044,COOK:Northfield Precinct 44,125,70,195
COOK:8300045,COOK:Northfield Precinct 45,94,77,171
COOK:8300046,COOK:Northfield Precinct 46,153,99,252
COOK:8300047,COOK:Northfield Precinct 47,234,142,376
COOK:8300048,COOK:Northfield Precinct 48,110,89,199
COOK:8300049,COOK:Northfield Precinct 49,80,65,145
COOK:8300050,COOK:Northfield Precinct 50,134,86,220
COOK:8300051,COOK:Northfield Precinct 51,370,234,604
COOK:8300052,COOK:Northfield Precinct 52,158,114,272
COOK:8300053,COOK:Northfield Precinct 53,144,115,259
COOK:8300054,COOK:Northfield Precinct 54,220,159,379
COOK:8300055,COOK:Northfield Precinct 55,177,99,276
COOK:8300056,COOK:Northfield Precinct 56,196,96,292
COOK:8300057,COOK:Northfield Precinct 57,93,67,160
COOK:8300058,COOK:Northfield Precinct 58,55,42,97
COOK:8400001,COOK:Norwood Park Precinct 1,94,71,165
COOK:8400002,COOK:Norwood Park Precinct 2,83,69,152
COOK:8400003,COOK:Norwood Park Precinct 3,111,101,212
COOK:8400004,COOK:Norwood Park Precinct 4,67,48,115
COOK:8400005,COOK:Norwood Park Precinct 5,125,92,217
COOK:8400006,COOK:Norwood Park Precinct 6,95,74,169
COOK:8400007,COOK:Norwood Park Precinct 7,66,45,111
COOK:8400008,COOK:Norwood Park Precinct 8,29,34,63
COOK:8400009,COOK:Norwood Park Precinct 9,90,81,171
COOK:8400010,COOK:Norwood Park Precinct 10,36,56,92
COOK:8400011,COOK:Norwood Park Precinct 11,153,98,251
COOK:8400012,COOK:Norwood Park Precinct 12,82,65,147
COOK:8400013,COOK:Norwood Park Precinct 13,74,45,119
COOK:8400014,COOK:Norwood Park Precinct 14,62,70,132
COOK:8500001,COOK:Oak Park Precinct 1,524,155,679
COOK:8500002,COOK:Oak Park Precinct 2,405,178,583
COOK:8500003,COOK:Oak Park Precinct 3,474,137,611
COOK:8500004,COOK:Oak Park Precinct 4,321,177,498
COOK:8500005,COOK:Oak Park Precinct 5,337,128,465
COOK:8500006,COOK:Oak Park Precinct 6,345,92,437
COOK:8500007,COOK:Oak Park Precinct 7,460,111,571
COOK:8500008,COOK:Oak Park Precinct 8,368,73,441
COOK:8500009,COOK:Oak Park Precinct 9,458,117,575
COOK:8500010,COOK:Oak Park Precinct 10,364,106,470
COOK:8500011,COOK:Oak Park Precinct 11,305,65,370
COOK:8500012,COOK:Oak Park Precinct 12,152,47,199
COOK:8500013,COOK:Oak Park Precinct 13,332,73,405
COOK:8500014,COOK:Oak Park Precinct 14,323,161,484
COOK:8500015,COOK:Oak Park Precinct 15,420,99,519
COOK:8500016,COOK:Oak Park Precinct 16,508,164,672
COOK:8500017,COOK:Oak Park Precinct 17,488,145,633
COOK:8500018,COOK:Oak Park Precinct 18,256,117,373
COOK:8500019,COOK:Oak Park Precinct 19,325,107,432
COOK:8500020,COOK:Oak Park Precinct 20,417,137,554
COOK:8500021,COOK:Oak Park Precinct 21,275,81,356
COOK:8500022,COOK:Oak Park Precinct 22,390,95,485
COOK:8500023,COOK:Oak Park Precinct 23,308,101,409
COOK:8500024,COOK:Oak Park Precinct 24,247,80,327
COOK:8500025,COOK:Oak Park Precinct 25,373,94,467
COOK:8500026,COOK:Oak Park Precinct 26,437,105,542
COOK:8500027,COOK:Oak Park Precinct 27,530,165,695
COOK:8500028,COOK:Oak Park Precinct 28,400,120,520
COOK:8500029,COOK:Oak Park Precinct 29,332,96,428
COOK:8500030,COOK:Oak Park Precinct 30,284,61,345
COOK:8500031,COOK:Oak Park Precinct 31,554,130,684
COOK:8500032,COOK:Oak Park Precinct 32,411,83,494
COOK:8600001,COOK:Orland Precinct 1,162,83,245
COOK:8600002,COOK:Orland Precinct 2,81,86,167
COOK:8600003,COOK:Orland Precinct 3,113,63,176
COOK:8600004,COOK:Orland Precinct 4,143,95,238
COOK:8600005,COOK:Orland Precinct 5,93,68,161
COOK:8600006,COOK:Orland Precinct 6,88,69,157
COOK:8600007,COOK:Orland Precinct 7,83,67,150
COOK:8600008,COOK:Orland Precinct 8,91,87,178
COOK:8600009,COOK:Orland Precinct 9,147,78,225
COOK:8600010,COOK:Orland Precinct 10,80,67,147
COOK:8600011,COOK:Orland Precinct 11,77,60,137
COOK:8600012,COOK:Orland Precinct 12,28,15,43
COOK:8600013,COOK:Orland Precinct 13,120,85,205
COOK:8600014,COOK:Orland Precinct 14,68,64,132
COOK:8600015,COOK:Orland Precinct 15,98,68,166
COOK:8600016,COOK:Orland Precinct 16,84,74,158
COOK:8600017,COOK:Orland Precinct 17,58,41,99
COOK:8600018,COOK:Orland Precinct 18,73,109,182
COOK:8600019,COOK:Orland Precinct 19,60,43,103
COOK:8600020,COOK:Orland Precinct 20,116,79,195
COOK:8600021,COOK:Orland Precinct 21,92,84,176
COOK:8600022,COOK:Orland Precinct 22,101,86,187
COOK:8600023,COOK:Orland Precinct 23,121,115,236
COOK:8600024,COOK:Orland Precinct 24,125,98,223
COOK:8600025,COOK:Orland Precinct 25,114,93,207
COOK:8600026,COOK:Orland Precinct 26,127,92,219
COOK:8600027,COOK:Orland Precinct 27,92,63,155
COOK:8600028,COOK:Orland Precinct 28,63,52,115
COOK:8600029,COOK:Orland Precinct 29,152,93,245
COOK:8600030,COOK:Orland Precinct 30,53,41,94
COOK:8600031,COOK:Orland Precinct 31,55,35,90
COOK:8600032,COOK:Orland Precinct 32,116,94,210
COOK:8600033,COOK:Orland Precinct 33,116,98,214
COOK:8600034,COOK:Orland Precinct 34,78,53,131
COOK:8600035,COOK:Orland Precinct 35,147,105,252
COOK:8600036,COOK:Orland Precinct 36,46,44,90
COOK:8600037,COOK:Orland Precinct 37,80,71,151
COOK:8600038,COOK:Orland Precinct 38,35,19,54
COOK:8600039,COOK:Orland Precinct 39,58,47,105
COOK:8600040,COOK:Orland Precinct 40,83,61,144
COOK:8600041,COOK:Orland Precinct 41,47,56,103
COOK:8600042,COOK:Orland Precinct 42,119,113,232
COOK:8600043,COOK:Orland Precinct 43,51,44,95
COOK:8600044,COOK:Orland Precinct 44,74,51,125
COOK:8600045,COOK:Orland Precinct 45,100,122,222
COOK:8600046,COOK:Orland Precinct 46,50,43,93
COOK:8600047,COOK:Orland Precinct 47,110,73,183
COOK:8600048,COOK:Orland Precinct 48,74,60,134
COOK:8600049,COOK:Orland Precinct 49,106,93,199
COOK:8600050,COOK:Orland Precinct 50,48,53,101
COOK:8600051,COOK:Orland Precinct 51,65,116,181
COOK:8600052,COOK:Orland Precinct 52,71,55,126
COOK:8600053,COOK:Orland Precinct 53,69,74,143
COOK:8600054,COOK:Orland Precinct 54,75,69,144
COOK:8600055,COOK:Orland Precinct 55,66,49,115
COOK:8600056,COOK:Orland Precinct 56,49,58,107
COOK:8600057,COOK:Orland Precinct 57,61,74,135
COOK:8600058,COOK:Orland Precinct 58,61,58,119
COOK:8600059,COOK:Orland Precinct 59,94,57,151
COOK:8600060,COOK:Orland Precinct 60,63,53,116
COOK:8600061,COOK:Orland Precinct 61,64,69,133
COOK:8600062,COOK:Orland Precinct 62,71,70,141
COOK:8700001,COOK:Palatine Precinct 1,104,44,148
COOK:8700002,COOK:Palatine Precinct 2,163,98,261
COOK:8700003,COOK:Palatine Precinct 3,65,40,105
COOK:8700004,COOK:Palatine Precinct 4,58,28,86
COOK:8700005,COOK:Palatine Precinct 5,161,102,263
COOK:8700006,COOK:Palatine Precinct 6,174,64,238
COOK:8700007,COOK:Palatine Precinct 7,77,41,118
COOK:8700008,COOK:Palatine Precinct 8,168,73,241
COOK:8700009,COOK:Palatine Precinct 9,109,37,146
COOK:8700010,COOK:Palatine Precinct 10,104,49,153
COOK:8700011,COOK:Palatine Precinct 11,64,58,122
COOK:8700012,COOK:Palatine Precinct 12,100,71,171
COOK:8700013,COOK:Palatine Precinct 13,83,59,142
COOK:8700014,COOK:Palatine Precinct 14,115,60,175
COOK:8700015,COOK:Palatine Precinct 15,142,60,202
COOK:8700016,COOK:Palatine Precinct 16,60,24,84
COOK:8700017,COOK:Palatine Precinct 17,153,50,203
COOK:8700018,COOK:Palatine Precinct 18,203,67,270
COOK:8700019,COOK:Palatine Precinct 19,116,72,188
COOK:8700020,COOK:Palatine Precinct 20,56,18,74
COOK:8700021,COOK:Palatine Precinct 21,137,96,233
COOK:8700022,COOK:Palatine Precinct 22,116,51,167
COOK:8700023,COOK:Palatine Precinct 23,48,44,92
COOK:8700024,COOK:Palatine Precinct 24,141,79,220
COOK:8700025,COOK:Palatine Precinct 25,135,70,205
COOK:8700026,COOK:Palatine Precinct 26,139,91,230
COOK:8700027,COOK:Palatine Precinct 27,172,57,229
COOK:8700028,COOK:Palatine Precinct 28,66,49,115
COOK:8700029,COOK:Palatine Precinct 29,145,87,232
COOK:8700030,COOK:Palatine Precinct 30,85,45,130
COOK:8700031,COOK:Palatine Precinct 31,95,46,141
COOK:8700032,COOK:Palatine Precinct 32,98,52,150
COOK:8700033,COOK:Palatine Precinct 33,50,22,72
COOK:8700034,COOK:Palatine Precinct 34,123,67,190
COOK:8700035,COOK:Palatine Precinct 35,139,86,225
COOK:8700036,COOK:Palatine Precinct 36,119,54,173
COOK:8700037,COOK:Palatine Precinct 37,138,64,202
COOK:8700038,COOK:Palatine Precinct 38,177,73,250
COOK:8700039,COOK:Palatine Precinct 39,141,80,221
COOK:8700040,COOK:Palatine Precinct 40,162,60,222
COOK:8700041,COOK:Palatine Precinct 41,147,77,224
COOK:8700042,COOK:Palatine Precinct 42,154,98,252
COOK:8700043,COOK:Palatine Precinct 43,110,51,161
COOK:8700044,COOK:Palatine Precinct 44,88,54,142
COOK:8700045,COOK:Palatine Precinct 45,113,47,160
COOK:8700046,COOK:Palatine Precinct 46,145,66,211
COOK:8700047,COOK:Palatine Precinct 47,120,80,200
COOK:8700048,COOK:Palatine Precinct 48,105,60,165
COOK:8700049,COOK:Palatine Precinct 49,63,34,97
COOK:8700050,COOK:Palatine Precinct 50,144,85,229
COOK:8700051,COOK:Palatine Precinct 51,54,31,85
COOK:8700052,COOK:Palatine Precinct 52,88,80,168
COOK:8700053,COOK:Palatine Precinct 53,103,46,149
COOK:8700054,COOK:Palatine Precinct 54,170,99,269
COOK:8700055,COOK:Palatine Precinct 55,129,96,225
COOK:8700056,COOK:Palatine Precinct 56,109,62,171
COOK:8700057,COOK:Palatine Precinct 57,186,80,266
COOK:8700058,COOK:Palatine Precinct 58,99,50,149
COOK:8700059,COOK:Palatine Precinct 59,186,99,285
COOK:8700060,COOK:Palatine Precinct 60,110,46,156
COOK:8700061,COOK:Palatine Precinct 61,60,31,91
COOK:8700062,COOK:Palatine Precinct 62,126,51,177
COOK:8700063,COOK:Palatine Precinct 63,128,56,184
COOK:8700064,COOK:Palatine Precinct 64,86,45,131
COOK:8700065,COOK:Palatine Precinct 65,122,53,175
COOK:8800001,COOK:Palos Precinct 1,44,44,88
COOK:8800002,COOK:Palos Precinct 2,59,40,99
COOK:8800003,COOK:Palos Precinct 3,67,63,130
COOK:8800004,COOK:Palos Precinct 4,58,39,97
COOK:8800005,COOK:Palos Precinct 5,56,43,99
COOK:8800006,COOK:Palos Precinct 6,23,17,40
COOK:8800007,COOK:Palos Precinct 7,69,75,144
COOK:8800008,COOK:Palos Precinct 8,106,56,162
COOK:8800009,COOK:Palos Precinct 9,92,127,219
COOK:8800010,COOK:Palos Precinct 10,99,86,185
COOK:8800011,COOK:Palos Precinct 11,46,83,129
COOK:8800012,COOK:Palos Precinct 12,50,69,119
COOK:8800013,COOK:Palos Precinct 13,109,75,184
COOK:8800014,COOK:Palos Precinct 14,60,48,108
COOK:8800015,COOK:Palos Precinct 15,138,162,300
COOK:8800016,COOK:Palos Precinct 16,99,119,218
COOK:8800017,COOK:Palos Precinct 17,81,65,146
COOK:8800018,COOK:Palos Precinct 18,85,67,152
COOK:8800019,COOK:Palos Precinct 19,101,67,168
COOK:8800020,COOK:Palos Precinct 20,90,61,151
COOK:8800021,COOK:Palos Precinct 21,65,34,99
COOK:8800022,COOK:Palos Precinct 22,29,23,52
COOK:8800023,COOK:Palos Precinct 23,62,41,103
COOK:8800024,COOK:Palos Precinct 24,122,166,288
COOK:8800025,COOK:Palos Precinct 25,110,29,139
COOK:8800026,COOK:Palos Precinct 26,47,35,82
COOK:8800027,COOK:Palos Precinct 27,91,68,159
COOK:8800028,COOK:Palos Precinct 28,62,18,80
COOK:8800029,COOK:Palos Precinct 29,84,64,148
COOK:8800030,COOK:Palos Precinct 30,92,95,187
COOK:8800031,COOK:Palos Precinct 31,83,52,135
COOK:8800032,COOK:Palos Precinct 32,40,16,56
COOK:8800033,COOK:Palos Precinct 33,77,75,152
COOK:8800034,COOK:Palos Precinct 34,44,36,80
COOK:8800035,COOK:Palos Precinct 35,125,69,194
COOK:8900001,COOK:Proviso Precinct 1,124,50,174
COOK:8900002,COOK:Proviso Precinct 2,102,36,138
COOK:8900003,COOK:Proviso Precinct 3,186,63,249
COOK:8900004,COOK:Proviso Precinct 4,162,34,196
COOK:8900005,COOK:Proviso Precinct 5,153,83,236
COOK:8900006,COOK:Proviso Precinct 6,179,96,275
COOK:8900007,COOK:Proviso Precinct 7,53,27,80
COOK:8900008,COOK:Proviso Precinct 8,181,68,249
COOK:8900009,COOK:Proviso Precinct 9,148,29,177
COOK:8900010,COOK:Proviso Precinct 10,47,49,96
COOK:8900011,COOK:Proviso Precinct 11,63,63,126
COOK:8900012,COOK:Proviso Precinct 12,103,89,192
COOK:8900013,COOK:Proviso Precinct 13,127,56,183
COOK:8900014,COOK:Proviso Precinct 14,56,28,84
COOK:8900015,COOK:Proviso Precinct 15,52,60,112
COOK:8900016,COOK:Proviso Precinct 16,125,50,175
COOK:8900017,COOK:Proviso Precinct 17,135,228,363
COOK:8900018,COOK:Proviso Precinct 18,217,59,276
COOK:8900019,COOK:Proviso Precinct 19,217,39,256
COOK:8900020,COOK:Proviso Precinct 20,224,62,286
COOK:8900021,COOK:Proviso Precinct 21,190,86,276
COOK:8900022,COOK:Proviso Precinct 22,130,33,163
COOK:8900023,COOK:Proviso Precinct 23,176,131,307
COOK:8900024,COOK:Proviso Precinct 24,192,138,330
