JoinField,JoinField_alt,Toni Preckwinkle,Brendan Reilly,Total Voters
COOK:9907001,COOK:Berwyn Ward 7 Precinct 1,96,41,137
COOK:9907002,COOK:Berwyn Ward 7 Precinct 2,109,51,160
COOK:9907003,COOK:Berwyn Ward 7 Precinct 3,139,79,218
COOK:9907004,COOK:Berwyn Ward 7 Precinct 4,125,46,171
COOK:9908001,COOK:Berwyn Ward 8 Precinct 1,202,85,287
COOK:9908002,COOK:Berwyn Ward 8 Precinct 2,127,74,201
COOK:9908003,COOK:Berwyn Ward 8 Precinct 3,81,28,109
COOK:7100001,COOK:Bloom Precinct 1,241,98,339
COOK:7100002,COOK:Bloom Precinct 2,173,83,256
COOK:7100003,COOK:Bloom Precinct 3,79,21,100
COOK:7100004,COOK:Bloom Precinct 4,103,48,151
COOK:7100005,COOK:Bloom Precinct 5,194,82,276
COOK:7100006,COOK:Bloom Precinct 6,41,8,49
COOK:7100007,COOK:Bloom Precinct 7,156,53,209
COOK:7100008,COOK:Bloom Precinct 8,74,45,119
COOK:7100009,COOK:Bloom Precinct 9,86,42,128
COOK:7100010,COOK:Bloom Precinct 10,49,6,55
COOK:7100011,COOK:Bloom Precinct 11,59,28,87
COOK:7100012,COOK:Bloom Precinct 12,176,42,218
COOK:7100013,COOK:Bloom Precinct 13,300,73,373
COOK:7100014,COOK:Bloom Precinct 14,189,73,262
COOK:7100015,COOK:Bloom Precinct 15,77,44,121
COOK:7100016,COOK:Bloom Precinct 16,201,58,259
COOK:7100017,COOK:Bloom Precinct 17,152,27,179
COOK:7100018,COOK:Bloom Precinct 18,99,38,137
COOK:7100019,COOK:Bloom Precinct 19,204,59,263
COOK:7100020,COOK:Bloom Precinct 20,131,60,191
COOK:7100021,COOK:Bloom Precinct 21,27,3,30
COOK:7100022,COOK:Bloom Precinct 22,74,25,99
COOK:7100023,COOK:Bloom Precinct 23,124,44,168
COOK:7100024,COOK:Bloom Precinct 24,213,73,286
COOK:7100025,COOK:Bloom Precinct 25,93,24,117
COOK:7100026,COOK:Bloom Precinct 26,136,28,164
COOK:7100027,COOK:Bloom Precinct 27,119,56,175
COOK:7100028,COOK:Bloom Precinct 28,116,52,168
COOK:7100029,COOK:Bloom Precinct 29,62,10,72
COOK:7100030,COOK:Bloom Precinct 30,205,81,286
COOK:7100031,COOK:Bloom Precinct 31,193,75,268
COOK:7100032,COOK:Bloom Precinct 32,122,41,163
COOK:7100033,COOK:Bloom Precinct 33,169,45,214
COOK:7100034,COOK:Bloom Precinct 34,257,92,349
COOK:7100035,COOK:Bloom Precinct 35,55,12,67
COOK:7100036,COOK:Bloom Precinct 36,255,55,310
COOK:7100037,COOK:Bloom Precinct 37,116,31,147
COOK:7100038,COOK:Bloom Precinct 38,509,144,653
COOK:7100039,COOK:Bloom Precinct 39,99,23,122
COOK:7100040,COOK:Bloom Precinct 40,349,123,472
COOK:7100041,COOK:Bloom Precinct 41,231,78,309
COOK:7100042,COOK:Bloom Precinct 42,262,64,326
COOK:7100043,COOK:Bloom Precinct 43,207,56,263
COOK:7100044,COOK:Bloom Precinct 44,164,65,229
COOK:7100045,COOK:Bloom Precinct 45,243,92,335
COOK:7100046,COOK:Bloom Precinct 46,73,19,92
COOK:7100047,COOK:Bloom Precinct 47,172,76,248
COOK:7100048,COOK:Bloom Precinct 48,143,38,181
COOK:7100049,COOK:Bloom Precinct 49,354,88,442
COOK:7100050,COOK:Bloom Precinct 50,211,47,258
COOK:7100051,COOK:Bloom Precinct 51,65,15,80
COOK:7100052,COOK:Bloom Precinct 52,111,27,138
COOK:7100053,COOK:Bloom Precinct 53,61,14,75
COOK:7100054,COOK:Bloom Precinct 54,103,33,136
COOK:7200001,COOK:Bremen Precinct 1,166,44,210
COOK:7200002,COOK:Bremen Precinct 2,177,48,225
COOK:7200003,COOK:Bremen Precinct 3,103,103,206
COOK:7200004,COOK:Bremen Precinct 4,119,41,160
COOK:7200005,COOK:Bremen Precinct 5,68,40,108
COOK:7200006,COOK:Bremen Precinct 6,94,62,156
COOK:7200007,COOK:Bremen Precinct 7,101,27,128
COOK:7200008,COOK:Bremen Precinct 8,109,34,143
COOK:7200009,COOK:Bremen Precinct 9,120,74,194
COOK:7200010,COOK:Bremen Precinct 10,84,73,157
COOK:7200011,COOK:Bremen Precinct 11,110,77,187
COOK:7200012,COOK:Bremen Precinct 12,250,52,302
COOK:7200013,COOK:Bremen Precinct 13,104,48,152
COOK:7200014,COOK:Bremen Precinct 14,76,42,118
COOK:7200015,COOK:Bremen Precinct 15,83,101,184
COOK:7200016,COOK:Bremen Precinct 16,74,61,135
COOK:7200017,COOK:Bremen Precinct 17,143,46,189
COOK:7200018,COOK:Bremen Precinct 18,98,65,163
COOK:7200019,COOK:Bremen Precinct 19,130,77,207
COOK:7200020,COOK:Bremen Precinct 20,94,71,165
COOK:7200021,COOK:Bremen Precinct 21,121,40,161
COOK:7200022,COOK:Bremen Precinct 22,59,31,90
COOK:7200023,COOK:Bremen Precinct 23,43,7,50
COOK:7200024,COOK:Bremen Precinct 24,50,51,101
COOK:7200025,COOK:Bremen Precinct 25,90,63,153
COOK:7200026,COOK:Bremen Precinct 26,219,61,280
COOK:7200027,COOK:Bremen Precinct 27,97,71,168
COOK:7200028,COOK:Bremen Precinct 28,37,26,63
COOK:7200029,COOK:Bremen Precinct 29,254,55,309
COOK:7200030,COOK:Bremen Precinct 30,84,56,140
