UNIQUE_ID,JurisName,COUNTYFP,CountyName,PrecinctName,Registration,NAME20,ContestName,Paul Schimpf,Richard C. Irvin,Jesse Sullivan,Darren Bailey,Max Solomon,Gary Rabine,Write-In,Keisha S. Smith
COOK-:-7900001,COOK,31,COOK,7900001,94,COOK:7900001,GOVERNOR AND LIEUTENANT GOVERNOR,0,1,0,7,0,0,0,0
COOK-:-7900002,COOK,31,COOK,7900002,1466,COOK:7900002,GOVERNOR AND LIEUTENANT GOVERNOR,2,20,12,49,0,11,0,0
COOK-:-7900003,COOK,31,COOK,7900003,986,COOK:7900003,GOVERNOR AND LIEUTENANT GOVERNOR,1,6,19,43,3,5,0,0
COOK-:-7900005,COOK,31,COOK,7900005,1136,COOK:7900005,GOVERNOR AND LIEUTENANT GOVERNOR,7,13,13,37,2,10,0,0
COOK-:-7900006,COOK,31,COOK,7900006,1474,COOK:7900006,GOVERNOR AND LIEUTENANT GOVERNOR,4,17,33,44,1,9,0,0
COOK-:-7900007,COOK,31,COOK,7900007,1424,COOK:7900007,GOVERNOR AND LIEUTENANT GOVERNOR,2,15,10,23,1,1,1,0
COOK-:-7900008,COOK,31,COOK,7900008,1617,COOK:7900008,GOVERNOR AND LIEUTENANT GOVERNOR,1,8,17,52,2,7,0,0
COOK-:-7900009,COOK,31,COOK,7900009,1011,COOK:7900009,GOVERNOR AND LIEUTENANT GOVERNOR,1,16,11,22,1,5,0,0
COOK-:-7900010,COOK,31,COOK,7900010,827,COOK:7900010,GOVERNOR AND LIEUTENANT GOVERNOR,1,15,6,30,1,6,0,0
COOK-:-7900011,COOK,31,COOK,7900011,675,COOK:7900011,GOVERNOR AND LIEUTENANT GOVERNOR,2,23,6,22,0,4,0,0
COOK-:-7900012,COOK,31,COOK,7900012,1603,COOK:7900012,GOVERNOR AND LIEUTENANT GOVERNOR,21,45,34,74,2,7,0,0
COOK-:-7900013,COOK,31,COOK,7900013,1415,COOK:7900013,GOVERNOR AND LIEUTENANT GOVERNOR,0,1,0,2,0,0,0,0
COOK-:-7900014,COOK,31,COOK,7900014,1158,COOK:7900014,GOVERNOR AND LIEUTENANT GOVERNOR,16,18,12,42,0,5,0,0
COOK-:-7900015,COOK,31,COOK,7900015,1028,COOK:7900015,GOVERNOR AND LIEUTENANT GOVERNOR,7,33,9,35,1,7,0,0
COOK-:-7900016,COOK,31,COOK,7900016,1651,COOK:7900016,GOVERNOR AND LIEUTENANT GOVERNOR,15,30,17,69,0,7,0,0
COOK-:-7900017,COOK,31,COOK,7900017,1057,COOK:7900017,GOVERNOR AND LIEUTENANT GOVERNOR,7,32,31,71,1,11,0,0
COOK-:-7900018,COOK,31,COOK,7900018,780,COOK:7900018,GOVERNOR AND LIEUTENANT GOVERNOR,4,31,11,34,0,5,0,0
COOK-:-7900019,COOK,31,COOK,7900019,1109,COOK:7900019,GOVERNOR AND LIEUTENANT GOVERNOR,0,12,8,32,0,9,0,0
COOK-:-7900020,COOK,31,COOK,7900020,1505,COOK:7900020,GOVERNOR AND LIEUTENANT GOVERNOR,10,39,19,64,0,18,0,0
COOK-:-7900021,COOK,31,COOK,7900021,1371,COOK:7900021,GOVERNOR AND LIEUTENANT GOVERNOR,9,53,19,71,0,8,0,0
COOK-:-7900022,COOK,31,COOK,7900022,731,COOK:7900022,GOVERNOR AND LIEUTENANT GOVERNOR,1,8,7,16,0,5,1,0
COOK-:-7900023,COOK,31,COOK,7900023,1224,COOK:7900023,GOVERNOR AND LIEUTENANT GOVERNOR,3,14,21,84,0,13,0,0
COOK-:-7900024,COOK,31,COOK,7900024,1637,COOK:7900024,GOVERNOR AND LIEUTENANT GOVERNOR,10,51,17,56,0,4,0,0
COOK-:-7900025,COOK,31,COOK,7900025,989,COOK:7900025,GOVERNOR AND LIEUTENANT GOVERNOR,8,6,24,43,0,10,0,0
COOK-:-7900026,COOK,31,COOK,7900026,1407,COOK:7900026,GOVERNOR AND LIEUTENANT GOVERNOR,6,35,11,34,0,3,0,0
COOK-:-7900028,COOK,31,COOK,7900028,1330,COOK:7900028,GOVERNOR AND LIEUTENANT GOVERNOR,10,30,22,69,2,8,0,0
COOK-:-7900029,COOK,31,COOK,7900029,1092,COOK:7900029,GOVERNOR AND LIEUTENANT GOVERNOR,4,18,24,75,3,4,0,0
COOK-:-7900030,COOK,31,COOK,7900030,159,COOK:7900030,GOVERNOR AND LIEUTENANT GOVERNOR,3,6,11,21,1,1,0,0
COOK-:-7900031,COOK,31,COOK,7900031,866,COOK:7900031,GOVERNOR AND LIEUTENANT GOVERNOR,6,32,14,48,0,9,1,0
COOK-:-7900032,COOK,31,COOK,7900032,406,COOK:7900032,GOVERNOR AND LIEUTENANT GOVERNOR,2,3,14,27,0,0,0,0
COOK-:-7900033,COOK,31,COOK,7900033,421,COOK:7900033,GOVERNOR AND LIEUTENANT GOVERNOR,1,3,5,28,0,2,0,0
COOK-:-7900034,COOK,31,COOK,7900034,452,COOK:7900034,GOVERNOR AND LIEUTENANT GOVERNOR,2,4,10,19,0,3,0,0
COOK-:-7900035,COOK,31,COOK,7900035,1070,COOK:7900035,GOVERNOR AND LIEUTENANT GOVERNOR,2,5,17,86,0,11,0,0
COOK-:-7900037,COOK,31,COOK,7900037,780,COOK:7900037,GOVERNOR AND LIEUTENANT GOVERNOR,1,7,12,20,0,4,0,0
COOK-:-7900038,COOK,31,COOK,7900038,763,COOK:7900038,GOVERNOR AND LIEUTENANT GOVERNOR,0,2,9,8,0,3,0,0
COOK-:-7900041,COOK,31,COOK,7900041,636,COOK:7900041,GOVERNOR AND LIEUTENANT GOVERNOR,1,7,16,58,0,3,0,0
COOK-:-7900042,COOK,31,COOK,7900042,871,COOK:7900042,GOVERNOR AND LIEUTENANT GOVERNOR,9,19,16,46,0,3,0,0
COOK-:-7900043,COOK,31,COOK,7900043,764,COOK:7900043,GOVERNOR AND LIEUTENANT GOVERNOR,4,23,12,23,1,3,0,0
COOK-:-7900044,COOK,31,COOK,7900044,1421,COOK:7900044,GOVERNOR AND LIEUTENANT GOVERNOR,13,34,34,78,1,8,0,0
COOK-:-7900045,COOK,31,COOK,7900045,1646,COOK:7900045,GOVERNOR AND LIEUTENANT GOVERNOR,3,18,17,69,2,6,0,0
COOK-:-7900046,COOK,31,COOK,7900046,838,COOK:7900046,GOVERNOR AND LIEUTENANT GOVERNOR,5,20,14,59,3,6,0,0
COOK-:-7900047,COOK,31,COOK,7900047,928,COOK:7900047,GOVERNOR AND LIEUTENANT GOVERNOR,7,14,8,46,1,5,0,0
COOK-:-7900048,COOK,31,COOK,7900048,1039,COOK:7900048,GOVERNOR AND LIEUTENANT GOVERNOR,2,8,11,46,2,10,0,0
COOK-:-7900049,COOK,31,COOK,7900049,649,COOK:7900049,GOVERNOR AND LIEUTENANT GOVERNOR,2,12,8,57,0,4,0,0
COOK-:-7900050,COOK,31,COOK,7900050,1090,COOK:7900050,GOVERNOR AND LIEUTENANT GOVERNOR,4,18,11,36,1,4,0,0
COOK-:-7900051,COOK,31,COOK,7900051,1008,COOK:7900051,GOVERNOR AND LIEUTENANT GOVERNOR,3,6,11,48,0,9,1,0
COOK-:-7900052,COOK,31,COOK,7900052,1125,COOK:7900052,GOVERNOR AND LIEUTENANT GOVERNOR,6,17,29,56,1,7,1,0
COOK-:-7900053,COOK,31,COOK,7900053,977,COOK:7900053,GOVERNOR AND LIEUTENANT GOVERNOR,2,24,21,60,0,3,0,0
COOK-:-7900054,COOK,31,COOK,7900054,512,COOK:7900054,GOVERNOR AND LIEUTENANT GOVERNOR,3,10,4,18,0,3,0,0
COOK-:-7900055,COOK,31,COOK,7900055,1034,COOK:7900055,GOVERNOR AND LIEUTENANT GOVERNOR,10,31,27,64,3,3,0,0
COOK-:-7900056,COOK,31,COOK,7900056,1737,COOK:7900056,GOVERNOR AND LIEUTENANT GOVERNOR,2,10,7,33,0,8,0,0
COOK-:-7900057,COOK,31,COOK,7900057,1348,COOK:7900057,GOVERNOR AND LIEUTENANT GOVERNOR,2,3,7,27,0,1,0,0
COOK-:-7900058,COOK,31,COOK,7900058,1164,COOK:7900058,GOVERNOR AND LIEUTENANT GOVERNOR,2,10,10,38,0,3,0,0
COOK-:-7900059,COOK,31,COOK,7900059,964,COOK:7900059,GOVERNOR AND LIEUTENANT GOVERNOR,0,8,17,22,0,4,0,0
COOK-:-7900060,COOK,31,COOK,7900060,1713,COOK:7900060,GOVERNOR AND LIEUTENANT GOVERNOR,0,2,9,8,0,1,0,0
COOK-:-7900061,COOK,31,COOK,7900061,932,COOK:7900061,GOVERNOR AND LIEUTENANT GOVERNOR,1,27,16,56,0,3,0,0
COOK-:-7900062,COOK,31,COOK,7900062,1071,COOK:7900062,GOVERNOR AND LIEUTENANT GOVERNOR,7,48,47,80,0,13,0,0
COOK-:-7900063,COOK,31,COOK,7900063,1418,COOK:7900063,GOVERNOR AND LIEUTENANT GOVERNOR,10,41,28,93,0,13,1,0
COOK-:-7900064,COOK,31,COOK,7900064,1060,COOK:7900064,GOVERNOR AND LIEUTENANT GOVERNOR,1,8,11,44,0,1,0,0
COOK-:-7900065,COOK,31,COOK,7900065,1494,COOK:7900065,GOVERNOR AND LIEUTENANT GOVERNOR,3,11,17,75,1,8,0,0
COOK-:-7900067,COOK,31,COOK,7900067,1193,COOK:7900067,GOVERNOR AND LIEUTENANT GOVERNOR,1,16,12,19,0,1,0,0
COOK-:-7900068,COOK,31,COOK,7900068,874,COOK:7900068,GOVERNOR AND LIEUTENANT GOVERNOR,4,8,10,23,2,4,0,0
COOK-:-7900069,COOK,31,COOK,7900069,1190,COOK:7900069,GOVERNOR AND LIEUTENANT GOVERNOR,4,33,23,64,0,7,0,0
