JoinField,CASEY CHLEBEK,DON TRACY,R. CARY CAPPARELLI,PAMELA DENISE LONG,"JIMMY LEE TILLMAN, II",JEANNIE EVANS,Total Voters
DUPAGE:WINFIELD 016,11,50,8,9,5,44,127
DUPAGE:WINFIELD 017,10,30,9,14,3,31,97
DUPAGE:WINFIELD 018,4,22,8,7,1,27,69
DUPAGE:WINFIELD 019,7,53,7,6,5,32,110
DUPAGE:WINFIELD 020,6,11,4,3,0,12,36
DUPAGE:WINFIELD 021,4,17,5,5,6,13,50
DUPAGE:WINFIELD 022,9,24,7,5,3,8,56
DUPAGE:WINFIELD 023,5,17,5,6,3,15,51
DUPAGE:WINFIELD 024,1,29,3,6,1,20,60
DUPAGE:WINFIELD 025,6,23,3,8,6,30,76
DUPAGE:WINFIELD 026,7,24,1,11,2,34,79
DUPAGE:WINFIELD 027,3,25,3,6,4,23,64
DUPAGE:YORK 001,5,14,6,5,4,23,57
DUPAGE:YORK 002,7,25,11,10,3,22,78
DUPAGE:YORK 003,17,32,14,6,3,37,109
DUPAGE:YORK 004,21,34,15,12,5,38,125
DUPAGE:YORK 005,3,8,3,2,3,12,31
DUPAGE:YORK 006,10,25,6,8,6,23,78
DUPAGE:YORK 007,9,22,8,2,2,11,54
DUPAGE:YORK 008,1,18,4,7,0,9,39
DUPAGE:YORK 009,1,25,7,7,1,24,65
DUPAGE:YORK 010,6,23,15,6,3,29,82
DUPAGE:YORK 011,5,25,5,5,5,19,64
DUPAGE:YORK 012,5,25,10,6,2,20,68
DUPAGE:YORK 013,17,28,11,7,4,28,95
DUPAGE:YORK 014,4,38,8,7,4,18,79
DUPAGE:YORK 015,10,16,9,3,2,24,64
DUPAGE:YORK 016,17,27,11,6,2,27,90
DUPAGE:YORK 017,14,31,7,5,6,31,94
DUPAGE:YORK 018,6,35,18,9,3,35,106
DUPAGE:YORK 019,11,45,12,2,4,34,108
DUPAGE:YORK 020,6,37,11,4,0,21,79
DUPAGE:YORK 021,6,14,8,4,4,22,58
DUPAGE:YORK 022,10,29,7,7,3,21,77
DUPAGE:YORK 023,10,28,16,12,3,32,101
DUPAGE:YORK 024,9,30,21,11,4,22,97
DUPAGE:YORK 025,12,36,13,11,3,24,99
DUPAGE:YORK 026,8,23,7,9,5,19,71
DUPAGE:YORK 027,4,18,10,5,5,19,61
DUPAGE:YORK 028,6,26,9,8,2,25,76
DUPAGE:YORK 029,7,21,9,4,1,16,58
DUPAGE:YORK 030,1,27,5,5,2,19,59
DUPAGE:YORK 031,14,26,6,3,5,25,79
DUPAGE:YORK 032,3,21,4,2,1,14,45
DUPAGE:YORK 033,11,23,7,7,5,25,78
DUPAGE:YORK 034,10,35,12,5,6,21,89
DUPAGE:YORK 035,13,19,16,6,4,25,83
DUPAGE:YORK 036,19,35,24,13,4,23,118
DUPAGE:YORK 037,10,35,13,13,4,35,110
DUPAGE:YORK 038,18,37,9,7,6,24,101
DUPAGE:YORK 039,12,35,18,6,3,20,94
DUPAGE:YORK 040,7,30,14,12,4,34,101
DUPAGE:YORK 041,11,37,21,10,14,26,119
DUPAGE:YORK 042,14,43,11,8,4,29,109
DUPAGE:YORK 043,8,35,5,8,4,23,83
DUPAGE:YORK 044,8,37,11,7,3,33,99
DUPAGE:YORK 045,10,39,15,6,2,32,104
DUPAGE:YORK 046,9,19,12,8,5,33,86
DUPAGE:YORK 047,14,37,15,11,2,32,111
DUPAGE:YORK 048,13,37,23,4,3,33,113
DUPAGE:YORK 049,9,37,9,5,4,20,84
DUPAGE:YORK 050,12,45,14,6,3,38,118
DUPAGE:YORK 051,6,22,6,6,0,21,61
DUPAGE:YORK 052,11,32,7,5,1,32,88
DUPAGE:YORK 053,8,29,14,3,1,19,74
DUPAGE:YORK 054,6,29,17,6,3,22,83
DUPAGE:YORK 055,4,38,12,6,6,17,83
DUPAGE:YORK 056,13,18,6,12,1,17,67
