JoinField,CASEY CHLEBEK,DON TRACY,R. CARY CAPPARELLI,PAMELA DENISE LONG,"JIMMY LEE TILLMAN, II",JEANNIE EVANS,Total Voters
WILL:TROY PCT 013,17,75,37,14,5,40,188
WILL:TROY PCT 014,15,56,10,15,5,33,134
WILL:TROY PCT 015,12,35,11,12,4,47,121
WILL:TROY PCT 016,15,31,19,9,5,15,94
WILL:TROY PCT 017,11,57,13,15,5,33,134
WILL:TROY PCT 018,9,33,16,5,10,21,94
WILL:TROY PCT 019,5,18,6,5,2,14,50
WILL:TROY PCT 020,16,34,12,10,10,32,114
WILL:TROY PCT 021,15,36,22,13,13,44,143
WILL:TROY PCT 022,6,44,9,12,1,36,108
WILL:WASHINGTON PCT 001,14,41,19,15,5,48,142
WILL:WASHINGTON PCT 002,11,44,29,14,2,50,150
WILL:WASHINGTON PCT 003,18,54,28,15,5,41,161
WILL:WESLEY PCT 001,13,43,9,30,12,39,146
WILL:WHEATLAND PCT 001,7,23,4,8,5,10,57
WILL:WHEATLAND PCT 002,15,136,10,17,7,45,230
WILL:WHEATLAND PCT 003,7,43,6,9,4,15,84
WILL:WHEATLAND PCT 004,14,33,7,4,5,18,81
WILL:WHEATLAND PCT 005,14,46,17,20,7,30,134
WILL:WHEATLAND PCT 006,16,29,14,12,5,34,110
WILL:WHEATLAND PCT 007,19,45,11,11,6,29,121
WILL:WHEATLAND PCT 008,10,33,9,13,4,34,103
WILL:WHEATLAND PCT 009,10,47,16,16,6,37,132
WILL:WHEATLAND PCT 010,14,55,11,11,5,29,125
WILL:WHEATLAND PCT 011,11,31,5,5,1,20,73
WILL:WHEATLAND PCT 012,8,25,4,4,2,23,66
WILL:WHEATLAND PCT 013,18,31,11,7,3,32,102
WILL:WHEATLAND PCT 014,7,66,8,14,6,37,138
WILL:WHEATLAND PCT 015,9,73,4,10,2,20,118
WILL:WHEATLAND PCT 016,10,36,15,17,1,32,111
WILL:WHEATLAND PCT 017,4,18,3,6,1,22,54
WILL:WHEATLAND PCT 018,11,84,12,12,0,22,141
WILL:WHEATLAND PCT 019,4,20,2,2,0,15,43
WILL:WHEATLAND PCT 020,12,37,8,6,1,21,85
WILL:WHEATLAND PCT 021,6,31,12,5,3,34,91
WILL:WHEATLAND PCT 022,3,28,7,5,7,16,66
WILL:WHEATLAND PCT 023,15,7,6,2,2,18,50
WILL:WHEATLAND PCT 024,10,47,21,12,8,24,122
WILL:WHEATLAND PCT 025,6,37,19,6,2,23,93
WILL:WHEATLAND PCT 026,19,68,13,16,7,49,172
WILL:WHEATLAND PCT 027,4,32,5,2,1,9,53
WILL:WHEATLAND PCT 028,17,47,13,8,11,36,132
WILL:WHEATLAND PCT 029,15,54,16,7,5,42,139
WILL:WHEATLAND PCT 030,11,67,11,8,2,25,124
WILL:WHEATLAND PCT 031,7,18,3,5,5,8,46
WILL:WHEATLAND PCT 032,4,28,5,5,4,19,65
WILL:WHEATLAND PCT 033,8,17,4,4,8,18,59
WILL:WHEATLAND PCT 034,4,21,5,10,4,16,60
WILL:WHEATLAND PCT 035,4,19,8,6,4,15,56
WILL:WHEATLAND PCT 036,10,25,9,7,2,17,70
WILL:WHEATLAND PCT 037,10,18,12,6,3,13,62
WILL:WHEATLAND PCT 038,3,20,8,7,3,13,54
WILL:WILL PCT 001,21,67,24,18,6,61,197
WILL:WILMINGTON PCT 001,8,34,12,21,9,22,106
WILL:WILMINGTON PCT 002,13,41,15,25,7,31,132
WILL:WILMINGTON PCT 003,17,40,27,18,12,27,141
WILL:WILTON PCT 001,11,63,9,12,4,43,142
WILL:Total:,3884,10954,3986,2691,1490,7941,30946
