JoinField,JoinField_alt,Casey Chlebek,Don Tracy,R. Cary Capparelli,Pamela Denise Long,"Jimmy Lee Tillman, II",Jeannie Evans,Total Voters
COOK:7800002,COOK:Leyden Precinct 2,9,5,3,4,0,9,30
COOK:7800003,COOK:Leyden Precinct 3,20,7,21,4,3,9,64
COOK:7800004,COOK:Leyden Precinct 4,14,7,7,0,1,3,32
COOK:7800005,COOK:Leyden Precinct 5,29,10,10,2,2,5,58
COOK:7800006,COOK:Leyden Precinct 6,14,18,11,2,1,7,53
COOK:7800007,COOK:Leyden Precinct 7,8,4,3,1,2,7,25
COOK:7800008,COOK:Leyden Precinct 8,17,20,10,2,3,9,61
COOK:7800009,COOK:Leyden Precinct 9,22,15,25,2,2,8,74
COOK:7800010,COOK:Leyden Precinct 10,14,7,23,6,3,9,62
COOK:7800011,COOK:Leyden Precinct 11,17,16,11,3,0,8,55
COOK:7800012,COOK:Leyden Precinct 12,12,266,57,1,5,17,358
COOK:7800013,COOK:Leyden Precinct 13,7,3,9,7,1,7,34
COOK:7800014,COOK:Leyden Precinct 14,10,14,12,3,1,7,47
COOK:7800015,COOK:Leyden Precinct 15,10,14,8,3,1,9,45
COOK:7800016,COOK:Leyden Precinct 16,15,7,10,6,6,9,53
COOK:7800017,COOK:Leyden Precinct 17,14,12,7,0,1,5,39
COOK:7800018,COOK:Leyden Precinct 18,14,7,7,0,3,3,34
COOK:7800019,COOK:Leyden Precinct 19,13,13,12,2,0,10,50
COOK:7800020,COOK:Leyden Precinct 20,8,3,2,1,0,4,18
COOK:7800021,COOK:Leyden Precinct 21,2,4,3,3,0,3,15
COOK:7800022,COOK:Leyden Precinct 22,6,17,15,0,0,20,58
COOK:7800023,COOK:Leyden Precinct 23,20,34,16,5,3,22,100
COOK:7800024,COOK:Leyden Precinct 24,10,4,4,4,3,13,38
COOK:7800025,COOK:Leyden Precinct 25,17,8,11,1,1,6,44
COOK:7800026,COOK:Leyden Precinct 26,12,21,23,2,1,12,71
COOK:7800027,COOK:Leyden Precinct 27,6,1,1,1,0,4,13
COOK:7800028,COOK:Leyden Precinct 28,13,1,3,0,2,4,23
COOK:7800029,COOK:Leyden Precinct 29,5,6,5,3,0,3,22
COOK:7800030,COOK:Leyden Precinct 30,19,23,13,2,2,10,69
COOK:7800031,COOK:Leyden Precinct 31,13,18,4,3,4,10,52
COOK:7800032,COOK:Leyden Precinct 32,19,8,5,2,0,9,43
COOK:7800033,COOK:Leyden Precinct 33,11,12,17,1,2,9,52
COOK:7800034,COOK:Leyden Precinct 34,13,10,7,0,2,3,35
COOK:7800035,COOK:Leyden Precinct 35,2,6,4,2,0,3,17
COOK:7800036,COOK:Leyden Precinct 36,16,9,10,1,0,4,40
COOK:7800037,COOK:Leyden Precinct 37,33,11,7,0,0,4,55
COOK:7800038,COOK:Leyden Precinct 38,4,28,5,1,0,1,39
COOK:7800039,COOK:Leyden Precinct 39,9,5,9,3,1,5,32
COOK:7800040,COOK:Leyden Precinct 40,11,20,8,4,2,12,57
COOK:7800041,COOK:Leyden Precinct 41,8,5,6,1,0,7,27
COOK:7800042,COOK:Leyden Precinct 42,35,24,16,1,1,11,88
COOK:7800043,COOK:Leyden Precinct 43,7,8,9,1,0,8,33
COOK:7800044,COOK:Leyden Precinct 44,15,6,20,3,1,6,51
COOK:7800045,COOK:Leyden Precinct 45,17,16,7,3,2,8,53
COOK:7800046,COOK:Leyden Precinct 46,20,9,8,3,2,3,45
COOK:7800047,COOK:Leyden Precinct 47,17,11,9,3,2,16,58
COOK:7800048,COOK:Leyden Precinct 48,12,11,15,5,6,5,54
COOK:7800049,COOK:Leyden Precinct 49,26,7,10,3,2,15,63
COOK:7800050,COOK:Leyden Precinct 50,16,10,16,1,2,5,50
COOK:7900001,COOK:Lyons Precinct 1,0,4,0,0,1,1,6
COOK:7900002,COOK:Lyons Precinct 2,9,7,17,7,4,13,57
COOK:7900003,COOK:Lyons Precinct 3,5,15,9,5,1,11,46
COOK:7900004,COOK:Lyons Precinct 4,7,16,6,6,0,14,49
COOK:7900005,COOK:Lyons Precinct 5,7,18,10,3,2,12,52
COOK:7900006,COOK:Lyons Precinct 6,15,16,10,5,1,13,60
COOK:7900007,COOK:Lyons Precinct 7,1,11,6,4,6,10,38
COOK:7900008,COOK:Lyons Precinct 8,24,3,3,2,1,8,41
COOK:7900009,COOK:Lyons Precinct 9,9,9,6,3,4,10,41
COOK:7900010,COOK:Lyons Precinct 10,2,10,3,3,2,11,31
COOK:7900011,COOK:Lyons Precinct 11,1,13,2,0,0,11,27
COOK:7900012,COOK:Lyons Precinct 12,14,39,20,5,7,27,112
COOK:7900013,COOK:Lyons Precinct 13,0,0,0,1,1,0,2
COOK:7900014,COOK:Lyons Precinct 14,0,21,5,2,0,14,42
COOK:7900015,COOK:Lyons Precinct 15,4,14,3,2,0,4,27
COOK:7900016,COOK:Lyons Precinct 16,8,19,8,8,3,14,60
COOK:7900017,COOK:Lyons Precinct 17,14,35,7,5,0,19,80
COOK:7900018,COOK:Lyons Precinct 18,3,12,1,2,2,12,32
COOK:7900019,COOK:Lyons Precinct 19,9,5,8,4,1,8,35
COOK:7900020,COOK:Lyons Precinct 20,2,24,5,10,0,13,54
COOK:7900021,COOK:Lyons Precinct 21,3,24,7,2,0,34,70
COOK:7900022,COOK:Lyons Precinct 22,5,4,2,2,1,8,22
COOK:7900023,COOK:Lyons Precinct 23,30,30,14,8,1,18,101
COOK:7900024,COOK:Lyons Precinct 24,9,14,7,1,4,16,51
COOK:7900025,COOK:Lyons Precinct 25,6,17,7,6,0,16,52
COOK:7900026,COOK:Lyons Precinct 26,10,18,9,5,4,15,61
COOK:7900027,COOK:Lyons Precinct 27,11,7,12,6,4,13,53
COOK:7900028,COOK:Lyons Precinct 28,13,16,14,5,2,22,72
COOK:7900029,COOK:Lyons Precinct 29,35,7,6,3,1,8,60
COOK:7900030,COOK:Lyons Precinct 30,4,4,5,1,1,7,22
COOK:7900031,COOK:Lyons Precinct 31,7,18,11,1,2,13,52
COOK:7900032,COOK:Lyons Precinct 32,3,7,5,1,3,10,29
COOK:7900033,COOK:Lyons Precinct 33,6,4,2,2,0,8,22
COOK:7900034,COOK:Lyons Precinct 34,5,7,6,1,1,4,24
COOK:7900035,COOK:Lyons Precinct 35,18,12,8,6,2,11,57
COOK:7900036,COOK:Lyons Precinct 36,32,14,6,6,3,11,72
COOK:7900037,COOK:Lyons Precinct 37,6,5,8,5,1,6,31
COOK:7900038,COOK:Lyons Precinct 38,4,2,4,1,1,1,13
COOK:7900039,COOK:Lyons Precinct 39,8,13,9,3,3,19,55
COOK:7900040,COOK:Lyons Precinct 40,8,15,3,7,2,26,61
COOK:7900041,COOK:Lyons Precinct 41,10,10,8,5,0,13,46
COOK:7900042,COOK:Lyons Precinct 42,3,11,9,9,1,18,51
COOK:7900043,COOK:Lyons Precinct 43,0,11,5,2,1,10,29
COOK:7900044,COOK:Lyons Precinct 44,7,22,5,8,3,11,56
COOK:7900045,COOK:Lyons Precinct 45,6,19,18,3,3,19,68
COOK:7900046,COOK:Lyons Precinct 46,12,11,13,10,3,12,61
COOK:7900047,COOK:Lyons Precinct 47,5,12,8,3,2,18,48
COOK:7900048,COOK:Lyons Precinct 48,22,9,8,4,1,6,50
COOK:7900049,COOK:Lyons Precinct 49,10,12,8,4,2,18,54
COOK:7900050,COOK:Lyons Precinct 50,5,10,5,3,1,7,31
COOK:7900051,COOK:Lyons Precinct 51,34,7,8,1,0,5,55
COOK:7900052,COOK:Lyons Precinct 52,17,15,16,8,1,18,75
COOK:7900053,COOK:Lyons Precinct 53,12,16,12,6,0,18,64
COOK:7900054,COOK:Lyons Precinct 54,5,9,3,0,1,7,25
COOK:7900055,COOK:Lyons Precinct 55,5,17,4,1,5,28,60
COOK:7900056,COOK:Lyons Precinct 56,5,12,7,4,3,7,38
COOK:7900057,COOK:Lyons Precinct 57,4,6,0,5,2,6,23
COOK:7900058,COOK:Lyons Precinct 58,11,9,4,4,3,17,48
COOK:7900059,COOK:Lyons Precinct 59,6,6,9,7,1,10,39
COOK:7900060,COOK:Lyons Precinct 60,5,3,0,3,1,1,13
COOK:7900061,COOK:Lyons Precinct 61,7,12,7,5,1,11,43
COOK:7900062,COOK:Lyons Precinct 62,9,36,17,2,2,19,85
COOK:7900063,COOK:Lyons Precinct 63,13,26,16,7,2,19,83
COOK:7900064,COOK:Lyons Precinct 64,7,20,11,2,3,6,49
COOK:7900065,COOK:Lyons Precinct 65,28,17,17,8,2,12,84
COOK:7900066,COOK:Lyons Precinct 66,11,1,1,0,1,1,15
COOK:7900067,COOK:Lyons Precinct 67,10,6,6,1,1,8,32
COOK:7900068,COOK:Lyons Precinct 68,4,9,5,7,2,6,33
COOK:7900069,COOK:Lyons Precinct 69,13,23,7,2,4,20,69
COOK:8000001,COOK:Maine Precinct 1,12,15,3,4,6,5,45
COOK:8000002,COOK:Maine Precinct 2,6,5,1,1,0,2,15
COOK:8000003,COOK:Maine Precinct 3,6,10,1,0,1,1,19
COOK:8000004,COOK:Maine Precinct 4,16,46,11,1,3,22,99
COOK:8000005,COOK:Maine Precinct 5,15,21,4,3,2,6,51
COOK:8000006,COOK:Maine Precinct 6,18,37,15,4,1,22,97
COOK:8000007,COOK:Maine Precinct 7,6,7,6,5,4,10,38
COOK:8000008,COOK:Maine Precinct 8,15,23,18,3,2,9,70
COOK:8000009,COOK:Maine Precinct 9,15,20,7,6,4,14,66
COOK:8000010,COOK:Maine Precinct 10,6,19,4,3,2,18,52
COOK:8000011,COOK:Maine Precinct 11,4,11,4,0,2,2,23
COOK:8000012,COOK:Maine Precinct 12,6,17,7,0,3,9,42
COOK:8000013,COOK:Maine Precinct 13,14,18,11,6,2,7,58
COOK:8000014,COOK:Maine Precinct 14,10,22,9,2,1,13,57
COOK:8000015,COOK:Maine Precinct 15,9,19,4,1,2,6,41
COOK:8000016,COOK:Maine Precinct 16,4,15,1,4,1,12,37
COOK:8000017,COOK:Maine Precinct 17,9,17,7,3,4,15,55
COOK:8000018,COOK:Maine Precinct 18,11,10,4,2,1,7,35
COOK:8000019,COOK:Maine Precinct 19,5,8,5,2,2,4,26
COOK:8000020,COOK:Maine Precinct 20,7,14,8,4,0,5,38
COOK:8000021,COOK:Maine Precinct 21,10,42,12,6,2,10,82
COOK:8000022,COOK:Maine Precinct 22,6,28,8,6,1,11,60
COOK:8000023,COOK:Maine Precinct 23,12,16,6,2,0,10,46
COOK:8000024,COOK:Maine Precinct 24,10,28,13,0,1,16,68
COOK:8000025,COOK:Maine Precinct 25,6,29,5,2,0,9,51
COOK:8000026,COOK:Maine Precinct 26,15,22,12,4,1,9,63
COOK:8000027,COOK:Maine Precinct 27,2,11,4,1,1,5,24
COOK:8000028,COOK:Maine Precinct 28,5,7,0,3,1,4,20
COOK:8000029,COOK:Maine Precinct 29,16,28,15,4,0,14,77
COOK:8000030,COOK:Maine Precinct 30,18,43,12,3,4,20,100
COOK:8000031,COOK:Maine Precinct 31,18,21,8,6,1,9,63
COOK:8000032,COOK:Maine Precinct 32,27,23,14,0,3,9,76
COOK:8000033,COOK:Maine Precinct 33,1,9,2,1,2,1,16
COOK:8000034,COOK:Maine Precinct 34,16,20,12,6,2,10,66
COOK:8000035,COOK:Maine Precinct 35,7,18,6,1,3,3,38
COOK:8000036,COOK:Maine Precinct 36,14,18,10,1,1,11,55
COOK:8000037,COOK:Maine Precinct 37,5,20,10,7,2,7,51
COOK:8000038,COOK:Maine Precinct 38,5,17,6,0,0,8,36
COOK:8000039,COOK:Maine Precinct 39,20,31,10,4,0,4,69
COOK:8000040,COOK:Maine Precinct 40,6,19,2,2,2,3,34
COOK:8000041,COOK:Maine Precinct 41,7,19,4,3,0,8,41
COOK:8000042,COOK:Maine Precinct 42,20,23,8,3,0,8,62
COOK:8000043,COOK:Maine Precinct 43,8,29,14,3,0,18,72
COOK:8000044,COOK:Maine Precinct 44,4,14,6,1,0,9,34
COOK:8000045,COOK:Maine Precinct 45,10,15,5,3,1,6,40
COOK:8000046,COOK:Maine Precinct 46,27,12,14,1,1,12,67
COOK:8000047,COOK:Maine Precinct 47,17,22,13,3,3,15,73
COOK:8000048,COOK:Maine Precinct 48,12,24,11,4,2,16,69
COOK:8000049,COOK:Maine Precinct 49,9,19,4,4,0,8,44
COOK:8000050,COOK:Maine Precinct 50,6,15,8,3,0,6,38
COOK:8000051,COOK:Maine Precinct 51,13,17,5,2,0,9,46
COOK:8000052,COOK:Maine Precinct 52,6,20,5,2,2,9,44
COOK:8000053,COOK:Maine Precinct 53,5,17,8,4,4,6,44
COOK:8000054,COOK:Maine Precinct 54,14,26,6,0,0,8,54
COOK:8000055,COOK:Maine Precinct 55,17,20,7,6,2,13,65
COOK:8000056,COOK:Maine Precinct 56,13,10,10,3,3,9,48
COOK:8000057,COOK:Maine Precinct 57,6,9,0,2,1,4,22
COOK:8000058,COOK:Maine Precinct 58,31,25,18,2,0,17,93
COOK:8000059,COOK:Maine Precinct 59,15,29,15,4,3,11,77
COOK:8000060,COOK:Maine Precinct 60,17,36,19,5,3,17,97
COOK:8000061,COOK:Maine Precinct 61,3,3,4,3,1,8,22
COOK:8000062,COOK:Maine Precinct 62,6,15,4,3,4,5,37
COOK:8000063,COOK:Maine Precinct 63,7,5,7,2,0,3,24
COOK:8000064,COOK:Maine Precinct 64,12,8,10,2,2,7,41
COOK:8000065,COOK:Maine Precinct 65,10,18,9,0,0,7,44
COOK:8000066,COOK:Maine Precinct 66,0,61,8,1,0,6,76
COOK:8000067,COOK:Maine Precinct 67,24,36,21,5,0,13,99
COOK:8000068,COOK:Maine Precinct 68,23,29,14,7,2,7,82
COOK:8000069,COOK:Maine Precinct 69,10,14,11,4,1,5,45
COOK:8000070,COOK:Maine Precinct 70,16,8,6,1,1,3,35
COOK:8000071,COOK:Maine Precinct 71,7,13,6,2,1,10,39
COOK:8000072,COOK:Maine Precinct 72,23,29,18,3,1,17,91
COOK:8000073,COOK:Maine Precinct 73,8,19,7,7,4,10,55
COOK:8000074,COOK:Maine Precinct 74,9,14,5,2,0,5,35
COOK:8000075,COOK:Maine Precinct 75,23,14,9,1,0,3,50
COOK:8000076,COOK:Maine Precinct 76,3,8,4,2,1,4,22
COOK:8000077,COOK:Maine Precinct 77,12,38,16,7,6,17,96
COOK:8000078,COOK:Maine Precinct 78,3,6,7,4,0,4,24
COOK:8000079,COOK:Maine Precinct 79,9,23,7,3,2,4,48
COOK:8000080,COOK:Maine Precinct 80,5,9,5,1,1,8,29
COOK:8000081,COOK:Maine Precinct 81,9,15,7,5,4,5,45
COOK:8000082,COOK:Maine Precinct 82,8,16,10,3,5,6,48
COOK:8000083,COOK:Maine Precinct 83,8,15,11,1,1,4,40
COOK:8100001,COOK:New Trier Precinct 1,6,18,2,2,1,12,41
COOK:8100002,COOK:New Trier Precinct 2,8,25,2,3,1,3,42
COOK:8100003,COOK:New Trier Precinct 3,3,22,4,1,3,12,45
COOK:8100004,COOK:New Trier Precinct 4,4,24,2,1,0,7,38
COOK:8100005,COOK:New Trier Precinct 5,8,7,0,3,1,2,21
COOK:8100006,COOK:New Trier Precinct 6,1,10,1,0,0,8,20
COOK:8100007,COOK:New Trier Precinct 7,2,15,1,0,0,9,27
COOK:8100008,COOK:New Trier Precinct 8,2,10,3,0,2,7,24
COOK:8100009,COOK:New Trier Precinct 9,1,25,1,2,0,6,35
COOK:8100010,COOK:New Trier Precinct 10,3,20,3,1,0,10,37
COOK:8100011,COOK:New Trier Precinct 11,5,38,6,0,0,8,57
COOK:8100012,COOK:New Trier Precinct 12,5,30,0,1,0,11,47
COOK:8100013,COOK:New Trier Precinct 13,5,40,5,2,0,16,68
COOK:8100014,COOK:New Trier Precinct 14,3,9,3,4,3,11,33
COOK:8100015,COOK:New Trier Precinct 15,4,28,6,4,2,19,63
COOK:8100016,COOK:New Trier Precinct 16,5,37,7,1,1,12,63
COOK:8100017,COOK:New Trier Precinct 17,4,18,2,1,3,9,37
COOK:8100018,COOK:New Trier Precinct 18,1,17,3,1,0,2,24
COOK:8100019,COOK:New Trier Precinct 19,7,45,4,1,2,17,76
COOK:8100020,COOK:New Trier Precinct 20,12,33,4,4,1,11,65
COOK:8100021,COOK:New Trier Precinct 21,7,20,6,4,2,6,45
COOK:8100022,COOK:New Trier Precinct 22,9,37,2,3,3,10,64
COOK:8100023,COOK:New Trier Precinct 23,5,28,5,2,1,13,54
COOK:8100024,COOK:New Trier Precinct 24,12,15,6,4,1,7,45
COOK:8100025,COOK:New Trier Precinct 25,7,13,3,1,3,8,35
COOK:8100026,COOK:New Trier Precinct 26,7,28,11,4,2,16,68
COOK:8100027,COOK:New Trier Precinct 27,0,21,4,1,1,1,28
COOK:8100028,COOK:New Trier Precinct 28,1,24,5,1,0,4,35
COOK:8100029,COOK:New Trier Precinct 29,2,22,4,1,4,5,38
COOK:8100030,COOK:New Trier Precinct 30,2,12,6,0,1,9,30
COOK:8100031,COOK:New Trier Precinct 31,6,19,3,1,2,9,40
COOK:8100032,COOK:New Trier Precinct 32,2,7,3,1,0,6,19
COOK:8100033,COOK:New Trier Precinct 33,3,17,0,2,0,5,27
COOK:8100034,COOK:New Trier Precinct 34,7,14,2,2,1,5,31
COOK:8100035,COOK:New Trier Precinct 35,0,9,8,1,3,7,28
COOK:8100036,COOK:New Trier Precinct 36,3,36,2,4,0,15,60
COOK:8100037,COOK:New Trier Precinct 37,2,19,3,2,0,10,36
COOK:8100038,COOK:New Trier Precinct 38,6,25,2,4,0,10,47
COOK:8100039,COOK:New Trier Precinct 39,3,20,4,1,3,9,40
COOK:8200001,COOK:Niles Precinct 1,16,19,15,4,2,15,71
COOK:8200002,COOK:Niles Precinct 2,9,16,15,3,2,6,51
COOK:8200003,COOK:Niles Precinct 3,9,30,9,5,1,18,72
COOK:8200004,COOK:Niles Precinct 4,5,12,2,0,1,3,23
COOK:8200005,COOK:Niles Precinct 5,5,7,3,1,4,1,21
COOK:8200006,COOK:Niles Precinct 6,3,38,11,1,2,9,64
COOK:8200007,COOK:Niles Precinct 7,3,15,7,2,3,6,36
COOK:8200008,COOK:Niles Precinct 8,1,4,1,0,0,2,8
COOK:8200009,COOK:Niles Precinct 9,22,19,16,5,0,11,73
COOK:8200010,COOK:Niles Precinct 10,6,17,4,1,1,13,42
COOK:8200011,COOK:Niles Precinct 11,3,14,2,2,0,2,23
COOK:8200012,COOK:Niles Precinct 12,6,3,2,3,2,4,20
COOK:8200013,COOK:Niles Precinct 13,20,26,13,5,2,15,81
COOK:8200014,COOK:Niles Precinct 14,4,11,3,1,2,6,27
COOK:8200015,COOK:Niles Precinct 15,11,14,5,3,4,7,44
COOK:8200016,COOK:Niles Precinct 16,9,15,4,4,1,6,39
COOK:8200017,COOK:Niles Precinct 17,6,21,4,4,1,3,39
COOK:8200018,COOK:Niles Precinct 18,7,17,5,5,3,3,40
COOK:8200019,COOK:Niles Precinct 19,1,8,4,3,0,0,16
COOK:8200020,COOK:Niles Precinct 20,11,9,6,5,1,12,44
COOK:8200021,COOK:Niles Precinct 21,2,3,2,1,0,2,10
COOK:8200022,COOK:Niles Precinct 22,2,9,3,2,1,6,23
COOK:8200023,COOK:Niles Precinct 23,8,4,3,0,1,6,22
COOK:8200024,COOK:Niles Precinct 24,4,14,5,1,2,8,34
COOK:8200025,COOK:Niles Precinct 25,2,1,3,2,1,2,11
COOK:8200026,COOK:Niles Precinct 26,7,6,5,3,3,3,27
COOK:8200027,COOK:Niles Precinct 27,4,12,1,2,1,2,22
COOK:8200028,COOK:Niles Precinct 28,3,8,0,1,0,4,16
COOK:8200029,COOK:Niles Precinct 29,5,3,2,2,1,3,16
COOK:8200030,COOK:Niles Precinct 30,4,6,6,0,1,0,17
COOK:8200031,COOK:Niles Precinct 31,5,13,2,3,0,5,28
COOK:8200032,COOK:Niles Precinct 32,3,8,1,2,3,2,19
COOK:8200033,COOK:Niles Precinct 33,6,13,7,1,1,2,30
COOK:8200034,COOK:Niles Precinct 34,8,20,4,7,1,5,45
COOK:8200035,COOK:Niles Precinct 35,5,15,9,3,2,14,48
COOK:8200036,COOK:Niles Precinct 36,1,6,2,0,1,2,12
COOK:8200037,COOK:Niles Precinct 37,6,20,3,2,2,5,38
COOK:8200038,COOK:Niles Precinct 38,16,27,8,10,6,8,75
COOK:8200039,COOK:Niles Precinct 39,3,16,4,2,1,6,32
COOK:8200040,COOK:Niles Precinct 40,8,11,1,2,4,1,27
COOK:8200041,COOK:Niles Precinct 41,6,16,8,4,4,2,40
COOK:8200042,COOK:Niles Precinct 42,5,10,1,3,1,7,27
COOK:8200043,COOK:Niles Precinct 43,28,25,12,4,1,17,87
COOK:8200044,COOK:Niles Precinct 44,7,5,4,2,1,3,22
COOK:8200045,COOK:Niles Precinct 45,1,16,1,1,0,2,21
COOK:8200046,COOK:Niles Precinct 46,3,8,3,1,2,3,20
COOK:8200047,COOK:Niles Precinct 47,1,7,0,1,1,1,11
COOK:8200048,COOK:Niles Precinct 48,3,7,3,2,0,1,16
COOK:8200049,COOK:Niles Precinct 49,4,7,1,2,0,3,17
COOK:8200050,COOK:Niles Precinct 50,9,16,6,2,1,8,42
COOK:8200051,COOK:Niles Precinct 51,1,12,1,1,1,4,20
COOK:8200052,COOK:Niles Precinct 52,4,6,8,5,1,8,32
COOK:8200053,COOK:Niles Precinct 53,10,19,7,4,1,14,55
COOK:8200054,COOK:Niles Precinct 54,6,13,7,3,1,4,34
COOK:8200055,COOK:Niles Precinct 55,1,6,2,0,1,5,15
COOK:8200056,COOK:Niles Precinct 56,3,14,6,2,0,7,32
COOK:8200057,COOK:Niles Precinct 57,11,18,4,2,0,7,42
COOK:8200058,COOK:Niles Precinct 58,6,12,6,4,1,7,36
COOK:8200059,COOK:Niles Precinct 59,18,17,7,3,2,9,56
COOK:8200060,COOK:Niles Precinct 60,8,23,6,9,8,16,70
COOK:8200061,COOK:Niles Precinct 61,5,18,7,3,2,4,39
COOK:8200062,COOK:Niles Precinct 62,1,8,1,3,0,12,25
COOK:8300001,COOK:Northfield Precinct 1,11,46,6,3,3,8,77
COOK:8300002,COOK:Northfield Precinct 2,3,35,4,1,2,10,55
COOK:8300003,COOK:Northfield Precinct 3,14,39,5,4,0,5,67
COOK:8300004,COOK:Northfield Precinct 4,8,33,3,2,5,8,59
COOK:8300005,COOK:Northfield Precinct 5,1,40,6,0,1,2,50
COOK:8300006,COOK:Northfield Precinct 6,1,43,5,5,1,10,65
COOK:8300007,COOK:Northfield Precinct 7,8,38,7,5,5,8,71
COOK:8300008,COOK:Northfield Precinct 8,8,76,10,4,0,13,111
COOK:8300009,COOK:Northfield Precinct 9,4,34,5,2,1,5,51
COOK:8300010,COOK:Northfield Precinct 10,4,26,3,0,0,7,40
COOK:8300011,COOK:Northfield Precinct 11,5,42,3,2,2,2,56
COOK:8300012,COOK:Northfield Precinct 12,15,59,5,6,3,11,99
COOK:8300013,COOK:Northfield Precinct 13,1,21,2,3,0,3,30
COOK:8300014,COOK:Northfield Precinct 14,4,27,3,5,1,9,49
COOK:8300015,COOK:Northfield Precinct 15,7,51,4,5,1,15,83
COOK:8300016,COOK:Northfield Precinct 16,9,36,3,1,0,6,55
COOK:8300017,COOK:Northfield Precinct 17,9,41,8,5,3,7,73
COOK:8300018,COOK:Northfield Precinct 18,6,34,3,4,1,3,51
COOK:8300019,COOK:Northfield Precinct 19,5,36,7,3,4,5,60
COOK:8300020,COOK:Northfield Precinct 20,1,36,7,1,0,8,53
COOK:8300021,COOK:Northfield Precinct 21,3,46,5,1,2,17,74
COOK:8300022,COOK:Northfield Precinct 22,7,26,6,3,1,6,49
COOK:8300023,COOK:Northfield Precinct 23,6,43,4,3,3,6,65
COOK:8300024,COOK:Northfield Precinct 24,1,29,2,3,1,8,44
COOK:8300025,COOK:Northfield Precinct 25,10,31,6,1,2,5,55
COOK:8300026,COOK:Northfield Precinct 26,7,20,3,1,2,3,36
COOK:8300027,COOK:Northfield Precinct 27,9,22,1,2,1,3,38
COOK:8300028,COOK:Northfield Precinct 28,6,33,4,1,0,5,49
COOK:8300029,COOK:Northfield Precinct 29,6,34,3,3,1,6,53
COOK:8300030,COOK:Northfield Precinct 30,3,32,2,0,0,2,39
COOK:8300031,COOK:Northfield Precinct 31,8,47,3,6,0,14,78
COOK:8300032,COOK:Northfield Precinct 32,7,50,4,2,4,6,73
COOK:8300033,COOK:Northfield Precinct 33,7,27,3,0,0,1,38
COOK:8300034,COOK:Northfield Precinct 34,5,29,4,3,0,7,48
COOK:8300035,COOK:Northfield Precinct 35,5,30,6,2,1,10,54
COOK:8300036,COOK:Northfield Precinct 36,4,34,2,2,1,4,47
COOK:8300037,COOK:Northfield Precinct 37,12,47,5,4,6,15,89
COOK:8300038,COOK:Northfield Precinct 38,7,27,3,2,2,4,45
COOK:8300039,COOK:Northfield Precinct 39,8,16,0,0,1,2,27
COOK:8300040,COOK:Northfield Precinct 40,1,14,1,1,0,5,22
COOK:8300041,COOK:Northfield Precinct 41,9,22,4,0,0,4,39
COOK:8300042,COOK:Northfield Precinct 42,3,50,7,2,4,11,77
COOK:8300043,COOK:Northfield Precinct 43,4,25,0,2,0,5,36
COOK:8300044,COOK:Northfield Precinct 44,3,19,2,2,2,5,33
COOK:8300045,COOK:Northfield Precinct 45,1,36,9,2,2,10,60
COOK:8300046,COOK:Northfield Precinct 46,3,47,5,4,1,7,67
COOK:8300047,COOK:Northfield Precinct 47,8,39,8,3,1,5,64
COOK:8300048,COOK:Northfield Precinct 48,7,17,2,3,2,8,39
COOK:8300049,COOK:Northfield Precinct 49,3,12,3,1,0,1,20
COOK:8300050,COOK:Northfield Precinct 50,13,50,0,4,1,5,73
COOK:8300051,COOK:Northfield Precinct 51,20,77,13,12,8,18,148
COOK:8300052,COOK:Northfield Precinct 52,3,24,6,4,0,7,44
COOK:8300053,COOK:Northfield Precinct 53,4,15,4,3,0,6,32
COOK:8300054,COOK:Northfield Precinct 54,5,42,9,6,1,7,70
COOK:8300055,COOK:Northfield Precinct 55,2,9,4,2,4,3,24
COOK:8300056,COOK:Northfield Precinct 56,5,61,7,4,2,9,88
COOK:8300057,COOK:Northfield Precinct 57,5,20,4,1,1,7,38
COOK:8300058,COOK:Northfield Precinct 58,1,19,6,0,1,2,29
COOK:8400001,COOK:Norwood Park Precinct 1,35,17,9,1,1,12,75
COOK:8400002,COOK:Norwood Park Precinct 2,13,7,8,1,2,6,37
COOK:8400003,COOK:Norwood Park Precinct 3,13,24,8,2,0,10,57
COOK:8400004,COOK:Norwood Park Precinct 4,19,10,15,3,3,13,63
COOK:8400005,COOK:Norwood Park Precinct 5,41,28,33,3,5,19,129
COOK:8400006,COOK:Norwood Park Precinct 6,27,23,18,3,3,11,85
COOK:8400007,COOK:Norwood Park Precinct 7,32,20,14,3,1,5,75
COOK:8400008,COOK:Norwood Park Precinct 8,14,6,7,0,0,2,29
COOK:8400009,COOK:Norwood Park Precinct 9,34,19,19,6,1,6,85
COOK:8400010,COOK:Norwood Park Precinct 10,23,11,18,4,1,11,68
COOK:8400011,COOK:Norwood Park Precinct 11,13,25,18,3,0,17,76
COOK:8400012,COOK:Norwood Park Precinct 12,39,10,13,4,2,4,72
COOK:8400013,COOK:Norwood Park Precinct 13,33,13,10,4,2,13,75
COOK:8400014,COOK:Norwood Park Precinct 14,18,7,5,1,0,5,36
COOK:8500001,COOK:Oak Park Precinct 1,4,11,2,0,1,6,24
COOK:8500002,COOK:Oak Park Precinct 2,1,4,1,0,0,9,15
COOK:8500003,COOK:Oak Park Precinct 3,2,10,1,1,1,5,20
COOK:8500004,COOK:Oak Park Precinct 4,5,10,4,6,0,3,28
COOK:8500005,COOK:Oak Park Precinct 5,4,10,3,0,0,4,21
