JoinField,JoinField_alt,Casey Chlebek,Don Tracy,R. Cary Capparelli,Pamela Denise Long,"Jimmy Lee Tillman, II",Jeannie Evans,Total Voters
COOK:7100048,COOK:Bloom Precinct 48,1,9,2,3,3,0,18
COOK:7100049,COOK:Bloom Precinct 49,1,8,0,1,1,0,11
COOK:7100050,COOK:Bloom Precinct 50,2,13,2,5,1,8,31
COOK:7100051,COOK:Bloom Precinct 51,0,3,0,0,0,0,3
COOK:7100052,COOK:Bloom Precinct 52,2,0,0,0,1,1,4
COOK:7100053,COOK:Bloom Precinct 53,3,8,0,0,0,3,14
COOK:7100054,COOK:Bloom Precinct 54,1,8,5,1,4,5,24
COOK:7200001,COOK:Bremen Precinct 1,1,1,0,1,0,2,5
COOK:7200002,COOK:Bremen Precinct 2,1,1,0,1,0,2,5
COOK:7200003,COOK:Bremen Precinct 3,17,28,9,7,2,18,81
COOK:7200004,COOK:Bremen Precinct 4,6,8,8,4,0,16,42
COOK:7200005,COOK:Bremen Precinct 5,3,13,3,0,0,10,29
COOK:7200006,COOK:Bremen Precinct 6,8,14,7,6,1,12,48
COOK:7200007,COOK:Bremen Precinct 7,0,3,0,0,0,0,3
COOK:7200008,COOK:Bremen Precinct 8,0,0,0,2,3,0,5
COOK:7200009,COOK:Bremen Precinct 9,14,15,6,5,1,9,50
COOK:7200010,COOK:Bremen Precinct 10,16,20,9,2,2,13,62
COOK:7200011,COOK:Bremen Precinct 11,14,14,13,5,3,19,68
COOK:7200012,COOK:Bremen Precinct 12,0,4,0,3,2,1,10
COOK:7200013,COOK:Bremen Precinct 13,5,15,7,1,2,12,42
COOK:7200014,COOK:Bremen Precinct 14,7,5,7,2,2,7,30
COOK:7200015,COOK:Bremen Precinct 15,17,28,20,6,1,19,91
COOK:7200016,COOK:Bremen Precinct 16,13,23,12,6,0,14,68
COOK:7200017,COOK:Bremen Precinct 17,1,1,0,2,0,1,5
COOK:7200018,COOK:Bremen Precinct 18,10,28,5,4,3,8,58
COOK:7200019,COOK:Bremen Precinct 19,8,15,7,5,1,22,58
COOK:7200020,COOK:Bremen Precinct 20,11,28,17,9,1,19,85
COOK:7200021,COOK:Bremen Precinct 21,4,9,5,2,0,3,23
COOK:7200022,COOK:Bremen Precinct 22,6,11,11,2,3,12,45
COOK:7200023,COOK:Bremen Precinct 23,0,0,0,0,1,0,1
COOK:7200024,COOK:Bremen Precinct 24,10,30,8,2,1,20,71
COOK:7200025,COOK:Bremen Precinct 25,3,22,13,2,3,15,58
COOK:7200026,COOK:Bremen Precinct 26,1,2,0,1,1,3,8
COOK:7200027,COOK:Bremen Precinct 27,9,19,17,6,3,10,64
COOK:7200028,COOK:Bremen Precinct 28,5,11,5,1,0,13,35
COOK:7200029,COOK:Bremen Precinct 29,0,2,0,0,0,3,5
COOK:7200030,COOK:Bremen Precinct 30,12,28,7,3,7,11,68
COOK:7200031,COOK:Bremen Precinct 31,0,0,0,0,0,2,2
COOK:7200032,COOK:Bremen Precinct 32,1,3,2,3,0,2,11
COOK:7200033,COOK:Bremen Precinct 33,10,11,8,8,2,19,58
COOK:7200034,COOK:Bremen Precinct 34,12,18,15,9,2,21,77
COOK:7200035,COOK:Bremen Precinct 35,2,0,1,3,0,1,7
COOK:7200036,COOK:Bremen Precinct 36,3,5,8,1,3,3,23
COOK:7200037,COOK:Bremen Precinct 37,1,1,3,1,1,1,8
COOK:7200038,COOK:Bremen Precinct 38,7,14,9,2,2,10,44
COOK:7200039,COOK:Bremen Precinct 39,0,0,3,0,0,0,3
COOK:7200040,COOK:Bremen Precinct 40,5,1,3,3,2,2,16
COOK:7200041,COOK:Bremen Precinct 41,10,14,6,5,2,15,52
COOK:7200042,COOK:Bremen Precinct 42,15,22,9,5,5,15,71
COOK:7200043,COOK:Bremen Precinct 43,4,3,5,1,1,2,16
COOK:7200044,COOK:Bremen Precinct 44,10,20,13,7,1,15,66
COOK:7200045,COOK:Bremen Precinct 45,0,0,0,1,0,1,2
COOK:7200046,COOK:Bremen Precinct 46,1,1,2,1,0,1,6
COOK:7200047,COOK:Bremen Precinct 47,1,0,3,0,0,0,4
COOK:7200048,COOK:Bremen Precinct 48,1,0,0,0,1,1,3
COOK:7200049,COOK:Bremen Precinct 49,0,2,0,2,0,0,4
COOK:7200050,COOK:Bremen Precinct 50,24,40,17,7,3,21,112
COOK:7200051,COOK:Bremen Precinct 51,1,3,1,0,0,1,6
COOK:7200052,COOK:Bremen Precinct 52,7,7,5,3,4,7,33
COOK:7200053,COOK:Bremen Precinct 53,8,18,6,4,1,10,47
COOK:7200054,COOK:Bremen Precinct 54,8,15,3,8,0,5,39
COOK:7200055,COOK:Bremen Precinct 55,9,5,3,0,0,4,21
COOK:7200056,COOK:Bremen Precinct 56,3,1,1,1,0,2,8
COOK:9400012,COOK:Bremen Precinct 57,11,13,10,4,1,15,54
