JoinField,JoinField_alt,John Elleson,Paul Friedman,Rocio Cleveland,Dongbo Mark Su,Total Voters
COOK:8300007,COOK:Northfield Precinct 7,40,13,3,4,60
COOK:8300008,COOK:Northfield Precinct 8,37,23,5,5,70
COOK:8300009,COOK:Northfield Precinct 9,20,12,6,2,40
COOK:8300010,COOK:Northfield Precinct 10,11,11,4,4,30
COOK:8300012,COOK:Northfield Precinct 12,49,19,8,3,79
COOK:8300013,COOK:Northfield Precinct 13,10,8,3,1,22
COOK:8300019,COOK:Northfield Precinct 19,28,14,3,1,46
COOK:8300020,COOK:Northfield Precinct 20,20,16,0,5,41
COOK:8300021,COOK:Northfield Precinct 21,25,23,7,4,59
COOK:8300023,COOK:Northfield Precinct 23,26,12,6,4,48
COOK:8300024,COOK:Northfield Precinct 24,9,14,4,7,34
COOK:8300025,COOK:Northfield Precinct 25,20,6,9,4,39
COOK:8300027,COOK:Northfield Precinct 27,11,14,4,1,30
COOK:8300030,COOK:Northfield Precinct 30,16,11,2,2,31
COOK:8300031,COOK:Northfield Precinct 31,48,10,3,2,63
COOK:8300033,COOK:Northfield Precinct 33,2,5,0,2,9
COOK:8300035,COOK:Northfield Precinct 35,26,11,3,5,45
COOK:8300037,COOK:Northfield Precinct 37,36,25,4,5,70
COOK:8300038,COOK:Northfield Precinct 38,15,10,2,4,31
COOK:8300039,COOK:Northfield Precinct 39,12,4,2,2,20
COOK:8300041,COOK:Northfield Precinct 41,11,14,1,3,29
COOK:8300042,COOK:Northfield Precinct 42,20,26,4,2,52
COOK:8300043,COOK:Northfield Precinct 43,0,0,0,0,0
COOK:8300044,COOK:Northfield Precinct 44,15,7,3,3,28
COOK:8300045,COOK:Northfield Precinct 45,32,7,4,7,50
COOK:8300048,COOK:Northfield Precinct 48,12,16,5,3,36
COOK:8300049,COOK:Northfield Precinct 49,8,6,3,2,19
COOK:8300051,COOK:Northfield Precinct 51,67,40,11,7,125
COOK:8300052,COOK:Northfield Precinct 52,23,8,3,2,36
COOK:8300053,COOK:Northfield Precinct 53,18,5,2,1,26
COOK:8300056,COOK:Northfield Precinct 56,37,21,5,1,64
COOK:8300057,COOK:Northfield Precinct 57,20,10,2,2,34
COOK:9600006,COOK:Wheeling Precinct 6,14,10,1,4,29
COOK:9600008,COOK:Wheeling Precinct 8,37,27,7,2,73
COOK:9600011,COOK:Wheeling Precinct 11,17,6,2,1,26
COOK:9600012,COOK:Wheeling Precinct 12,41,28,11,9,89
COOK:9600016,COOK:Wheeling Precinct 16,7,9,0,1,17
COOK:9600017,COOK:Wheeling Precinct 17,12,20,4,3,39
COOK:9600021,COOK:Wheeling Precinct 21,31,20,5,3,59
COOK:9600027,COOK:Wheeling Precinct 27,36,24,5,3,68
COOK:9600028,COOK:Wheeling Precinct 28,53,29,12,0,94
COOK:9600030,COOK:Wheeling Precinct 30,44,27,4,3,78
COOK:9600038,COOK:Wheeling Precinct 38,12,18,5,0,35
COOK:9600040,COOK:Wheeling Precinct 40,6,1,0,0,7
COOK:9600043,COOK:Wheeling Precinct 43,29,19,8,1,57
COOK:9600044,COOK:Wheeling Precinct 44,24,19,6,5,54
COOK:9600046,COOK:Wheeling Precinct 46,9,3,1,2,15
COOK:9600047,COOK:Wheeling Precinct 47,19,10,5,3,37
COOK:9600048,COOK:Wheeling Precinct 48,2,1,0,0,3
COOK:9600051,COOK:Wheeling Precinct 51,31,19,4,3,57
COOK:9600052,COOK:Wheeling Precinct 52,27,15,6,2,50
COOK:9600053,COOK:Wheeling Precinct 53,29,9,2,2,42
COOK:9600054,COOK:Wheeling Precinct 54,46,31,1,4,82
COOK:9600056,COOK:Wheeling Precinct 56,21,16,6,4,47
COOK:9600058,COOK:Wheeling Precinct 58,28,13,4,2,47
COOK:9600060,COOK:Wheeling Precinct 60,39,25,5,7,76
COOK:9600061,COOK:Wheeling Precinct 61,79,46,22,10,157
COOK:9600063,COOK:Wheeling Precinct 63,2,6,4,0,12
COOK:9600065,COOK:Wheeling Precinct 65,49,27,12,7,95
COOK:9600066,COOK:Wheeling Precinct 66,31,28,2,1,62
COOK:9600067,COOK:Wheeling Precinct 67,27,13,5,2,47
COOK:9600068,COOK:Wheeling Precinct 68,18,17,4,2,41
COOK:9600069,COOK:Wheeling Precinct 69,66,30,4,1,101
COOK:9600070,COOK:Wheeling Precinct 70,41,28,6,6,81
COOK:9600072,COOK:Wheeling Precinct 72,16,18,9,2,45
COOK:9600075,COOK:Wheeling Precinct 75,28,22,1,2,53
COOK:9600077,COOK:Wheeling Precinct 77,9,1,0,1,11
COOK:9600079,COOK:Wheeling Precinct 79,16,11,3,4,34
COOK:9600080,COOK:Wheeling Precinct 80,19,16,2,4,41
,COOK:Suburban Cook County,3809,2587,712,678,7786
