JoinField,Ward,Precinct,Total Voters,George A. Cardenas,Juanita Irizarry
CITY OF CHICAGO:WARD 22 PRECINCT 14,22,14,129,50,79
CITY OF CHICAGO:WARD 22 PRECINCT 15,22,15,87,30,57
CITY OF CHICAGO:WARD 22 PRECINCT 16,22,16,190,84,106
CITY OF CHICAGO:WARD 22 PRECINCT 17,22,17,71,30,41
CITY OF CHICAGO:WARD 22 PRECINCT 18,22,18,159,68,91
CITY OF CHICAGO:WARD 22 PRECINCT 19,22,19,234,106,128
CITY OF CHICAGO:WARD 23 PRECINCT 01,23,1,108,64,44
CITY OF CHICAGO:WARD 23 PRECINCT 02,23,2,188,119,69
CITY OF CHICAGO:WARD 23 PRECINCT 03,23,3,114,69,45
CITY OF CHICAGO:WARD 23 PRECINCT 04,23,4,79,41,38
CITY OF CHICAGO:WARD 23 PRECINCT 05,23,5,147,78,69
CITY OF CHICAGO:WARD 23 PRECINCT 06,23,6,90,55,35
CITY OF CHICAGO:WARD 23 PRECINCT 07,23,7,138,81,57
CITY OF CHICAGO:WARD 23 PRECINCT 08,23,8,116,64,52
CITY OF CHICAGO:WARD 23 PRECINCT 09,23,9,210,115,95
CITY OF CHICAGO:WARD 23 PRECINCT 10,23,10,219,101,118
CITY OF CHICAGO:WARD 23 PRECINCT 11,23,11,105,51,54
CITY OF CHICAGO:WARD 23 PRECINCT 12,23,12,134,76,58
CITY OF CHICAGO:WARD 23 PRECINCT 13,23,13,257,120,137
CITY OF CHICAGO:WARD 23 PRECINCT 14,23,14,166,84,82
CITY OF CHICAGO:WARD 23 PRECINCT 15,23,15,179,78,101
CITY OF CHICAGO:WARD 23 PRECINCT 16,23,16,111,45,66
CITY OF CHICAGO:WARD 23 PRECINCT 17,23,17,155,70,85
CITY OF CHICAGO:WARD 23 PRECINCT 18,23,18,130,64,66
CITY OF CHICAGO:WARD 23 PRECINCT 19,23,19,86,50,36
CITY OF CHICAGO:WARD 23 PRECINCT 20,23,20,108,52,56
CITY OF CHICAGO:WARD 23 PRECINCT 21,23,21,83,34,49
CITY OF CHICAGO:WARD 23 PRECINCT 22,23,22,101,55,46
CITY OF CHICAGO:WARD 23 PRECINCT 23,23,23,87,45,42
CITY OF CHICAGO:WARD 23 PRECINCT 24,23,24,77,34,43
CITY OF CHICAGO:WARD 23 PRECINCT 25,23,25,66,37,29
CITY OF CHICAGO:WARD 23 PRECINCT 26,23,26,60,31,29
CITY OF CHICAGO:WARD 23 PRECINCT 27,23,27,29,10,19
CITY OF CHICAGO:WARD 23 PRECINCT 28,23,28,110,55,55
CITY OF CHICAGO:WARD 23 PRECINCT 29,23,29,153,70,83
CITY OF CHICAGO:WARD 23 PRECINCT 30,23,30,106,51,55
CITY OF CHICAGO:WARD 23 PRECINCT 31,23,31,110,49,61
CITY OF CHICAGO:WARD 23 PRECINCT 32,23,32,83,40,43
CITY OF CHICAGO:WARD 23 PRECINCT 33,23,33,225,116,109
CITY OF CHICAGO:WARD 24 PRECINCT 12,24,12,299,161,138
CITY OF CHICAGO:WARD 24 PRECINCT 15,24,15,138,67,71
CITY OF CHICAGO:WARD 24 PRECINCT 16,24,16,80,40,40
CITY OF CHICAGO:WARD 24 PRECINCT 17,24,17,148,94,54
CITY OF CHICAGO:WARD 24 PRECINCT 18,24,18,308,128,180
CITY OF CHICAGO:WARD 24 PRECINCT 19,24,19,400,180,220
CITY OF CHICAGO:WARD 24 PRECINCT 20,24,20,226,103,123
CITY OF CHICAGO:WARD 25 PRECINCT 01,25,1,181,83,98
CITY OF CHICAGO:WARD 25 PRECINCT 02,25,2,135,47,88
CITY OF CHICAGO:WARD 25 PRECINCT 03,25,3,217,58,159
CITY OF CHICAGO:WARD 25 PRECINCT 04,25,4,183,56,127
CITY OF CHICAGO:WARD 25 PRECINCT 05,25,5,345,104,241
CITY OF CHICAGO:WARD 25 PRECINCT 06,25,6,292,115,177
CITY OF CHICAGO:WARD 25 PRECINCT 07,25,7,297,90,207
CITY OF CHICAGO:WARD 25 PRECINCT 08,25,8,310,84,226
CITY OF CHICAGO:WARD 25 PRECINCT 09,25,9,348,108,240
CITY OF CHICAGO:WARD 25 PRECINCT 10,25,10,413,123,290
CITY OF CHICAGO:WARD 25 PRECINCT 11,25,11,262,77,185
CITY OF CHICAGO:WARD 25 PRECINCT 12,25,12,295,91,204
CITY OF CHICAGO:WARD 25 PRECINCT 13,25,13,368,118,250
CITY OF CHICAGO:WARD 25 PRECINCT 14,25,14,471,138,333
CITY OF CHICAGO:WARD 25 PRECINCT 15,25,15,242,112,130
CITY OF CHICAGO:WARD 25 PRECINCT 16,25,16,357,108,249
CITY OF CHICAGO:WARD 25 PRECINCT 17,25,17,156,44,112
CITY OF CHICAGO:WARD 26 PRECINCT 01,26,1,108,36,72
CITY OF CHICAGO:WARD 26 PRECINCT 04,26,4,132,41,91
CITY OF CHICAGO:WARD 26 PRECINCT 06,26,6,122,26,96
CITY OF CHICAGO:WARD 26 PRECINCT 07,26,7,53,9,44
CITY OF CHICAGO:WARD 26 PRECINCT 08,26,8,155,40,115
CITY OF CHICAGO:WARD 26 PRECINCT 09,26,9,60,21,39
CITY OF CHICAGO:WARD 26 PRECINCT 14,26,14,97,31,66
CITY OF CHICAGO:WARD 26 PRECINCT 15,26,15,118,44,74
CITY OF CHICAGO:WARD 26 PRECINCT 18,26,18,88,38,50
CITY OF CHICAGO:WARD 26 PRECINCT 21,26,21,113,43,70
CITY OF CHICAGO:WARD 26 PRECINCT 22,26,22,112,48,64
CITY OF CHICAGO:WARD 26 PRECINCT 23,26,23,224,47,177
CITY OF CHICAGO:WARD 26 PRECINCT 24,26,24,89,24,65
CITY OF CHICAGO:WARD 26 PRECINCT 31,26,31,142,35,107
CITY OF CHICAGO:WARD 28 PRECINCT 12,28,12,31,15,16
CITY OF CHICAGO:WARD 28 PRECINCT 15,28,15,118,66,52
CITY OF CHICAGO:WARD 28 PRECINCT 16,28,16,272,117,155
CITY OF CHICAGO:WARD 28 PRECINCT 17,28,17,133,75,58
CITY OF CHICAGO:WARD 29 PRECINCT 03,29,3,128,63,65
CITY OF CHICAGO:WARD 29 PRECINCT 04,29,4,226,108,118
CITY OF CHICAGO:WARD 29 PRECINCT 05,29,5,230,109,121
CITY OF CHICAGO:WARD 29 PRECINCT 06,29,6,208,97,111
CITY OF CHICAGO:WARD 29 PRECINCT 07,29,7,394,169,225
