JoinField,JoinField_alt,Samantha Steele,"Elizabeth ""Liz"" Nicholson",Total Voters
COOK:8000016,COOK:Maine Precinct 16,49,87,136
COOK:8000017,COOK:Maine Precinct 17,64,91,155
COOK:8000018,COOK:Maine Precinct 18,59,96,155
COOK:8000019,COOK:Maine Precinct 19,32,39,71
COOK:8000020,COOK:Maine Precinct 20,47,61,108
COOK:8000021,COOK:Maine Precinct 21,71,118,189
COOK:8000022,COOK:Maine Precinct 22,72,144,216
COOK:8000023,COOK:Maine Precinct 23,35,53,88
COOK:8000024,COOK:Maine Precinct 24,69,150,219
COOK:8000025,COOK:Maine Precinct 25,126,186,312
COOK:8000026,COOK:Maine Precinct 26,78,122,200
COOK:8000027,COOK:Maine Precinct 27,32,42,74
COOK:8000028,COOK:Maine Precinct 28,23,32,55
COOK:8000029,COOK:Maine Precinct 29,70,142,212
COOK:8000030,COOK:Maine Precinct 30,145,229,374
COOK:8000031,COOK:Maine Precinct 31,47,76,123
COOK:8000032,COOK:Maine Precinct 32,66,88,154
COOK:8000033,COOK:Maine Precinct 33,46,48,94
COOK:8000034,COOK:Maine Precinct 34,75,124,199
COOK:8000035,COOK:Maine Precinct 35,61,118,179
COOK:8000036,COOK:Maine Precinct 36,41,97,138
COOK:8000037,COOK:Maine Precinct 37,58,82,140
COOK:8000038,COOK:Maine Precinct 38,40,45,85
COOK:8000039,COOK:Maine Precinct 39,47,118,165
COOK:8000040,COOK:Maine Precinct 40,52,69,121
COOK:8000041,COOK:Maine Precinct 41,49,68,117
COOK:8000042,COOK:Maine Precinct 42,98,137,235
COOK:8000043,COOK:Maine Precinct 43,43,77,120
COOK:8000044,COOK:Maine Precinct 44,48,73,121
COOK:8000045,COOK:Maine Precinct 45,52,82,134
COOK:8000046,COOK:Maine Precinct 46,56,95,151
COOK:8000047,COOK:Maine Precinct 47,44,87,131
COOK:8000048,COOK:Maine Precinct 48,82,125,207
COOK:8000049,COOK:Maine Precinct 49,63,61,124
COOK:8000050,COOK:Maine Precinct 50,61,85,146
COOK:8000051,COOK:Maine Precinct 51,67,54,121
COOK:8000052,COOK:Maine Precinct 52,70,110,180
COOK:8000053,COOK:Maine Precinct 53,49,76,125
COOK:8000054,COOK:Maine Precinct 54,63,111,174
COOK:8000055,COOK:Maine Precinct 55,73,72,145
COOK:8000056,COOK:Maine Precinct 56,66,63,129
COOK:8000057,COOK:Maine Precinct 57,32,28,60
COOK:8000058,COOK:Maine Precinct 58,58,82,140
COOK:8000059,COOK:Maine Precinct 59,64,78,142
COOK:8000060,COOK:Maine Precinct 60,116,150,266
COOK:8000061,COOK:Maine Precinct 61,39,57,96
COOK:8000062,COOK:Maine Precinct 62,39,44,83
COOK:8000063,COOK:Maine Precinct 63,44,70,114
COOK:8000064,COOK:Maine Precinct 64,36,47,83
COOK:8000065,COOK:Maine Precinct 65,40,52,92
COOK:8000066,COOK:Maine Precinct 66,14,14,28
COOK:8000067,COOK:Maine Precinct 67,87,140,227
COOK:8000068,COOK:Maine Precinct 68,107,103,210
COOK:8000069,COOK:Maine Precinct 69,60,59,119
COOK:8000070,COOK:Maine Precinct 70,61,47,108
COOK:8000071,COOK:Maine Precinct 71,43,45,88
COOK:8000072,COOK:Maine Precinct 72,85,108,193
COOK:8000073,COOK:Maine Precinct 73,45,57,102
COOK:8000074,COOK:Maine Precinct 74,53,84,137
COOK:8000075,COOK:Maine Precinct 75,50,73,123
COOK:8000076,COOK:Maine Precinct 76,27,47,74
COOK:8000077,COOK:Maine Precinct 77,107,126,233
COOK:8000078,COOK:Maine Precinct 78,39,44,83
COOK:8000079,COOK:Maine Precinct 79,64,112,176
COOK:8000080,COOK:Maine Precinct 80,38,71,109
COOK:8000081,COOK:Maine Precinct 81,26,32,58
COOK:8000082,COOK:Maine Precinct 82,64,80,144
COOK:8000083,COOK:Maine Precinct 83,49,69,118
COOK:8100001,COOK:New Trier Precinct 1,83,124,207
COOK:8100002,COOK:New Trier Precinct 2,118,177,295
COOK:8100003,COOK:New Trier Precinct 3,92,163,255
COOK:8100004,COOK:New Trier Precinct 4,84,148,232
COOK:8100005,COOK:New Trier Precinct 5,44,107,151
COOK:8100006,COOK:New Trier Precinct 6,66,67,133
COOK:8100007,COOK:New Trier Precinct 7,56,105,161
COOK:8100008,COOK:New Trier Precinct 8,41,69,110
COOK:8100009,COOK:New Trier Precinct 9,54,111,165
COOK:8100010,COOK:New Trier Precinct 10,60,91,151
COOK:8100011,COOK:New Trier Precinct 11,68,112,180
COOK:8100012,COOK:New Trier Precinct 12,70,106,176
COOK:8100013,COOK:New Trier Precinct 13,107,185,292
COOK:8100014,COOK:New Trier Precinct 14,67,108,175
COOK:8100015,COOK:New Trier Precinct 15,104,139,243
COOK:8100016,COOK:New Trier Precinct 16,57,115,172
COOK:8100017,COOK:New Trier Precinct 17,103,151,254
COOK:8100018,COOK:New Trier Precinct 18,58,100,158
COOK:8100019,COOK:New Trier Precinct 19,60,103,163
COOK:8100020,COOK:New Trier Precinct 20,111,170,281
COOK:8100021,COOK:New Trier Precinct 21,131,161,292
COOK:8100022,COOK:New Trier Precinct 22,43,83,126
COOK:8100023,COOK:New Trier Precinct 23,42,73,115
COOK:8100024,COOK:New Trier Precinct 24,116,148,264
COOK:8100025,COOK:New Trier Precinct 25,62,111,173
COOK:8100026,COOK:New Trier Precinct 26,167,255,422
COOK:8100027,COOK:New Trier Precinct 27,109,155,264
COOK:8100028,COOK:New Trier Precinct 28,39,69,108
COOK:8100029,COOK:New Trier Precinct 29,50,107,157
COOK:8100030,COOK:New Trier Precinct 30,77,123,200
COOK:8100031,COOK:New Trier Precinct 31,99,121,220
COOK:8100032,COOK:New Trier Precinct 32,84,160,244
COOK:8100033,COOK:New Trier Precinct 33,146,211,357
COOK:8100034,COOK:New Trier Precinct 34,99,86,185
