JoinField,Ward,Precinct,Total Voters,Samantha Steele,"Elizabeth ""Liz"" Nicholson"
CITY OF CHICAGO:WARD 40 PRECINCT 04,40,4,278,127,151
CITY OF CHICAGO:WARD 40 PRECINCT 05,40,5,219,87,132
CITY OF CHICAGO:WARD 40 PRECINCT 06,40,6,282,115,167
CITY OF CHICAGO:WARD 40 PRECINCT 07,40,7,347,129,218
CITY OF CHICAGO:WARD 40 PRECINCT 08,40,8,204,82,122
CITY OF CHICAGO:WARD 40 PRECINCT 09,40,9,326,129,197
CITY OF CHICAGO:WARD 40 PRECINCT 10,40,10,618,195,423
CITY OF CHICAGO:WARD 40 PRECINCT 11,40,11,294,122,172
CITY OF CHICAGO:WARD 40 PRECINCT 12,40,12,405,155,250
CITY OF CHICAGO:WARD 40 PRECINCT 13,40,13,434,139,295
CITY OF CHICAGO:WARD 40 PRECINCT 14,40,14,586,192,394
CITY OF CHICAGO:WARD 40 PRECINCT 15,40,15,405,125,280
CITY OF CHICAGO:WARD 40 PRECINCT 16,40,16,351,121,230
CITY OF CHICAGO:WARD 40 PRECINCT 17,40,17,384,134,250
CITY OF CHICAGO:WARD 40 PRECINCT 18,40,18,392,129,263
CITY OF CHICAGO:WARD 40 PRECINCT 19,40,19,401,123,278
CITY OF CHICAGO:WARD 40 PRECINCT 20,40,20,445,127,318
CITY OF CHICAGO:WARD 40 PRECINCT 21,40,21,400,133,267
CITY OF CHICAGO:WARD 40 PRECINCT 22,40,22,530,163,367
CITY OF CHICAGO:WARD 40 PRECINCT 23,40,23,558,163,395
CITY OF CHICAGO:WARD 41 PRECINCT 01,41,1,106,48,58
CITY OF CHICAGO:WARD 41 PRECINCT 02,41,2,78,52,26
CITY OF CHICAGO:WARD 41 PRECINCT 03,41,3,80,44,36
CITY OF CHICAGO:WARD 41 PRECINCT 04,41,4,126,56,70
CITY OF CHICAGO:WARD 41 PRECINCT 05,41,5,156,62,94
CITY OF CHICAGO:WARD 41 PRECINCT 06,41,6,157,57,100
CITY OF CHICAGO:WARD 41 PRECINCT 07,41,7,152,54,98
CITY OF CHICAGO:WARD 41 PRECINCT 08,41,8,127,52,75
CITY OF CHICAGO:WARD 41 PRECINCT 09,41,9,296,88,208
CITY OF CHICAGO:WARD 41 PRECINCT 10,41,10,198,79,119
CITY OF CHICAGO:WARD 41 PRECINCT 11,41,11,178,58,120
CITY OF CHICAGO:WARD 41 PRECINCT 12,41,12,79,35,44
CITY OF CHICAGO:WARD 41 PRECINCT 13,41,13,286,119,167
CITY OF CHICAGO:WARD 41 PRECINCT 14,41,14,296,110,186
CITY OF CHICAGO:WARD 41 PRECINCT 15,41,15,339,136,203
CITY OF CHICAGO:WARD 41 PRECINCT 16,41,16,131,45,86
CITY OF CHICAGO:WARD 41 PRECINCT 17,41,17,62,23,39
CITY OF CHICAGO:WARD 41 PRECINCT 18,41,18,320,114,206
CITY OF CHICAGO:WARD 41 PRECINCT 19,41,19,132,45,87
