JoinField,Ward,Precinct,Total Voters,Samantha Steele,"Elizabeth ""Liz"" Nicholson"
CITY OF CHICAGO:WARD 45 PRECINCT 08,45,8,199,69,130
CITY OF CHICAGO:WARD 45 PRECINCT 09,45,9,250,88,162
CITY OF CHICAGO:WARD 45 PRECINCT 10,45,10,235,96,139
CITY OF CHICAGO:WARD 45 PRECINCT 11,45,11,229,78,151
CITY OF CHICAGO:WARD 45 PRECINCT 12,45,12,198,77,121
CITY OF CHICAGO:WARD 45 PRECINCT 13,45,13,329,125,204
CITY OF CHICAGO:WARD 45 PRECINCT 14,45,14,180,63,117
CITY OF CHICAGO:WARD 45 PRECINCT 15,45,15,256,109,147
CITY OF CHICAGO:WARD 45 PRECINCT 16,45,16,230,96,134
CITY OF CHICAGO:WARD 45 PRECINCT 17,45,17,292,100,192
CITY OF CHICAGO:WARD 45 PRECINCT 18,45,18,264,105,159
CITY OF CHICAGO:WARD 45 PRECINCT 19,45,19,196,79,117
CITY OF CHICAGO:WARD 45 PRECINCT 20,45,20,256,82,174
CITY OF CHICAGO:WARD 45 PRECINCT 21,45,21,211,88,123
CITY OF CHICAGO:WARD 45 PRECINCT 22,45,22,265,100,165
CITY OF CHICAGO:WARD 45 PRECINCT 23,45,23,294,104,190
CITY OF CHICAGO:WARD 45 PRECINCT 24,45,24,271,88,183
CITY OF CHICAGO:WARD 45 PRECINCT 25,45,25,327,121,206
CITY OF CHICAGO:WARD 45 PRECINCT 26,45,26,260,101,159
CITY OF CHICAGO:WARD 45 PRECINCT 27,45,27,381,148,233
CITY OF CHICAGO:WARD 45 PRECINCT 28,45,28,346,126,220
CITY OF CHICAGO:WARD 45 PRECINCT 29,45,29,358,113,245
CITY OF CHICAGO:WARD 46 PRECINCT 01,46,1,336,117,219
CITY OF CHICAGO:WARD 46 PRECINCT 02,46,2,381,116,265
CITY OF CHICAGO:WARD 46 PRECINCT 03,46,3,406,137,269
CITY OF CHICAGO:WARD 46 PRECINCT 04,46,4,495,188,307
CITY OF CHICAGO:WARD 46 PRECINCT 05,46,5,388,169,219
CITY OF CHICAGO:WARD 46 PRECINCT 06,46,6,664,244,420
CITY OF CHICAGO:WARD 46 PRECINCT 07,46,7,363,133,230
CITY OF CHICAGO:WARD 46 PRECINCT 08,46,8,445,161,284
CITY OF CHICAGO:WARD 46 PRECINCT 09,46,9,470,190,280
CITY OF CHICAGO:WARD 46 PRECINCT 10,46,10,513,160,353
CITY OF CHICAGO:WARD 46 PRECINCT 11,46,11,504,182,322
CITY OF CHICAGO:WARD 46 PRECINCT 12,46,12,629,216,413
CITY OF CHICAGO:WARD 46 PRECINCT 13,46,13,579,216,363
CITY OF CHICAGO:WARD 46 PRECINCT 14,46,14,288,105,183
CITY OF CHICAGO:WARD 46 PRECINCT 15,46,15,656,243,413
CITY OF CHICAGO:WARD 46 PRECINCT 16,46,16,476,192,284
CITY OF CHICAGO:WARD 46 PRECINCT 17,46,17,569,210,359
CITY OF CHICAGO:WARD 46 PRECINCT 18,46,18,520,219,301
CITY OF CHICAGO:WARD 46 PRECINCT 19,46,19,482,185,297
CITY OF CHICAGO:WARD 46 PRECINCT 20,46,20,363,151,212
CITY OF CHICAGO:WARD 46 PRECINCT 21,46,21,306,117,189
CITY OF CHICAGO:WARD 46 PRECINCT 22,46,22,349,148,201
CITY OF CHICAGO:WARD 46 PRECINCT 23,46,23,305,108,197
CITY OF CHICAGO:WARD 47 PRECINCT 01,47,1,398,128,270
CITY OF CHICAGO:WARD 47 PRECINCT 02,47,2,398,136,262
CITY OF CHICAGO:WARD 47 PRECINCT 03,47,3,419,135,284
CITY OF CHICAGO:WARD 47 PRECINCT 04,47,4,521,172,349
CITY OF CHICAGO:WARD 47 PRECINCT 05,47,5,572,173,399
CITY OF CHICAGO:WARD 47 PRECINCT 06,47,6,540,195,345
CITY OF CHICAGO:WARD 47 PRECINCT 07,47,7,698,220,478
CITY OF CHICAGO:WARD 47 PRECINCT 08,47,8,435,135,300
CITY OF CHICAGO:WARD 47 PRECINCT 09,47,9,541,142,399
CITY OF CHICAGO:WARD 47 PRECINCT 10,47,10,479,150,329
CITY OF CHICAGO:WARD 47 PRECINCT 11,47,11,438,128,310
CITY OF CHICAGO:WARD 47 PRECINCT 12,47,12,342,108,234
CITY OF CHICAGO:WARD 47 PRECINCT 13,47,13,346,115,231
CITY OF CHICAGO:WARD 47 PRECINCT 14,47,14,413,125,288
CITY OF CHICAGO:WARD 47 PRECINCT 15,47,15,433,143,290
CITY OF CHICAGO:WARD 47 PRECINCT 16,47,16,413,119,294
CITY OF CHICAGO:WARD 47 PRECINCT 17,47,17,387,117,270
CITY OF CHICAGO:WARD 47 PRECINCT 18,47,18,461,153,308
CITY OF CHICAGO:WARD 47 PRECINCT 19,47,19,470,149,321
CITY OF CHICAGO:WARD 47 PRECINCT 20,47,20,406,131,275
CITY OF CHICAGO:WARD 47 PRECINCT 21,47,21,448,138,310
CITY OF CHICAGO:WARD 47 PRECINCT 22,47,22,343,103,240
CITY OF CHICAGO:WARD 47 PRECINCT 23,47,23,439,119,320
CITY OF CHICAGO:WARD 47 PRECINCT 24,47,24,481,150,331
CITY OF CHICAGO:WARD 47 PRECINCT 25,47,25,368,126,242
CITY OF CHICAGO:WARD 47 PRECINCT 26,47,26,490,163,327
CITY OF CHICAGO:WARD 47 PRECINCT 27,47,27,470,152,318
CITY OF CHICAGO:WARD 47 PRECINCT 28,47,28,331,110,221
CITY OF CHICAGO:WARD 48 PRECINCT 01,48,1,517,153,364
CITY OF CHICAGO:WARD 48 PRECINCT 02,48,2,184,87,97
CITY OF CHICAGO:WARD 48 PRECINCT 03,48,3,282,116,166
CITY OF CHICAGO:WARD 48 PRECINCT 04,48,4,362,129,233
CITY OF CHICAGO:WARD 48 PRECINCT 05,48,5,231,78,153
CITY OF CHICAGO:WARD 48 PRECINCT 06,48,6,425,147,278
CITY OF CHICAGO:WARD 48 PRECINCT 07,48,7,382,129,253
CITY OF CHICAGO:WARD 48 PRECINCT 08,48,8,270,96,174
CITY OF CHICAGO:WARD 48 PRECINCT 09,48,9,175,88,87
CITY OF CHICAGO:WARD 48 PRECINCT 10,48,10,448,142,306
CITY OF CHICAGO:WARD 48 PRECINCT 11,48,11,323,109,214
CITY OF CHICAGO:WARD 48 PRECINCT 12,48,12,445,187,258
CITY OF CHICAGO:WARD 48 PRECINCT 13,48,13,350,153,197
CITY OF CHICAGO:WARD 48 PRECINCT 14,48,14,383,150,233
CITY OF CHICAGO:WARD 48 PRECINCT 15,48,15,292,122,170
CITY OF CHICAGO:WARD 48 PRECINCT 16,48,16,259,113,146
CITY OF CHICAGO:WARD 48 PRECINCT 17,48,17,132,56,76
CITY OF CHICAGO:WARD 48 PRECINCT 18,48,18,365,161,204
CITY OF CHICAGO:WARD 48 PRECINCT 19,48,19,200,68,132
CITY OF CHICAGO:WARD 48 PRECINCT 20,48,20,147,59,88
CITY OF CHICAGO:WARD 48 PRECINCT 21,48,21,389,175,214
CITY OF CHICAGO:WARD 48 PRECINCT 22,48,22,260,122,138
CITY OF CHICAGO:WARD 48 PRECINCT 23,48,23,331,128,203
CITY OF CHICAGO:WARD 48 PRECINCT 24,48,24,473,189,284
CITY OF CHICAGO:WARD 48 PRECINCT 25,48,25,427,153,274
CITY OF CHICAGO:WARD 48 PRECINCT 26,48,26,226,86,140
CITY OF CHICAGO:WARD 48 PRECINCT 27,48,27,285,122,163
CITY OF CHICAGO:WARD 48 PRECINCT 28,48,28,330,104,226
CITY OF CHICAGO:WARD 48 PRECINCT 29,48,29,191,96,95
CITY OF CHICAGO:WARD 48 PRECINCT 30,48,30,389,125,264
CITY OF CHICAGO:WARD 48 PRECINCT 31,48,31,376,117,259
CITY OF CHICAGO:WARD 48 PRECINCT 32,48,32,267,112,155
CITY OF CHICAGO:WARD 48 PRECINCT 33,48,33,154,56,98
CITY OF CHICAGO:WARD 48 PRECINCT 34,48,34,305,105,200
CITY OF CHICAGO:WARD 48 PRECINCT 35,48,35,484,170,314
CITY OF CHICAGO:WARD 49 PRECINCT 01,49,1,428,192,236
CITY OF CHICAGO:WARD 49 PRECINCT 02,49,2,410,156,254
CITY OF CHICAGO:WARD 49 PRECINCT 03,49,3,504,209,295
CITY OF CHICAGO:WARD 49 PRECINCT 04,49,4,534,222,312
CITY OF CHICAGO:WARD 49 PRECINCT 05,49,5,516,203,313
CITY OF CHICAGO:WARD 49 PRECINCT 06,49,6,39,20,19
CITY OF CHICAGO:WARD 49 PRECINCT 07,49,7,573,223,350
CITY OF CHICAGO:WARD 49 PRECINCT 08,49,8,669,234,435
CITY OF CHICAGO:WARD 49 PRECINCT 09,49,9,542,220,322
CITY OF CHICAGO:WARD 49 PRECINCT 10,49,10,414,167,247
CITY OF CHICAGO:WARD 49 PRECINCT 11,49,11,423,201,222
CITY OF CHICAGO:WARD 49 PRECINCT 12,49,12,336,135,201
CITY OF CHICAGO:WARD 49 PRECINCT 13,49,13,523,238,285
CITY OF CHICAGO:WARD 49 PRECINCT 14,49,14,607,249,358
CITY OF CHICAGO:WARD 49 PRECINCT 15,49,15,546,204,342
CITY OF CHICAGO:WARD 49 PRECINCT 16,49,16,495,188,307
CITY OF CHICAGO:WARD 49 PRECINCT 17,49,17,558,210,348
CITY OF CHICAGO:WARD 50 PRECINCT 01,50,1,391,73,318
CITY OF CHICAGO:WARD 50 PRECINCT 02,50,2,316,88,228
CITY OF CHICAGO:WARD 50 PRECINCT 03,50,3,228,45,183
CITY OF CHICAGO:WARD 50 PRECINCT 04,50,4,207,87,120
CITY OF CHICAGO:WARD 50 PRECINCT 05,50,5,416,127,289
CITY OF CHICAGO:WARD 50 PRECINCT 06,50,6,169,71,98
CITY OF CHICAGO:WARD 50 PRECINCT 07,50,7,431,191,240
CITY OF CHICAGO:WARD 50 PRECINCT 08,50,8,266,104,162
CITY OF CHICAGO:WARD 50 PRECINCT 09,50,9,88,36,52
CITY OF CHICAGO:WARD 50 PRECINCT 10,50,10,220,56,164
CITY OF CHICAGO:WARD 50 PRECINCT 11,50,11,445,69,376
CITY OF CHICAGO:WARD 50 PRECINCT 12,50,12,75,29,46
CITY OF CHICAGO:WARD 50 PRECINCT 13,50,13,306,133,173
CITY OF CHICAGO:WARD 50 PRECINCT 14,50,14,68,31,37
CITY OF CHICAGO:WARD 50 PRECINCT 15,50,15,304,128,176
CITY OF CHICAGO:WARD 50 PRECINCT 16,50,16,65,20,45
CITY OF CHICAGO:WARD 50 PRECINCT 17,50,17,106,56,50
CITY OF CHICAGO:WARD 50 PRECINCT 18,50,18,60,16,44
CITY OF CHICAGO:WARD 50 PRECINCT 19,50,19,103,45,58
CITY OF CHICAGO:WARD 50 PRECINCT 20,50,20,111,51,60
CITY OF CHICAGO:WARD 50 PRECINCT 21,50,21,240,121,119
CITY OF CHICAGO:WARD 50 PRECINCT 22,50,22,338,65,273
CITY OF CHICAGO:WARD 50 PRECINCT 23,50,23,215,82,133
CITY OF CHICAGO:WARD 50 PRECINCT 24,50,24,418,58,360
CITY OF CHICAGO:WARD 50 PRECINCT 25,50,25,51,16,35
CITY OF CHICAGO:WARD 50 PRECINCT 26,50,26,111,37,74
CITY OF CHICAGO:WARD 50 PRECINCT 27,50,27,62,25,37
CITY OF CHICAGO:WARD 50 PRECINCT 28,50,28,306,105,201
