JoinField,Ward,Precinct,Total Voters,Drake Warren,Bridget Gainer
CITY OF CHICAGO:WARD 48 PRECINCT 09,48,9,198,103,95
CITY OF CHICAGO:WARD 48 PRECINCT 10,48,10,576,413,163
CITY OF CHICAGO:WARD 48 PRECINCT 11,48,11,413,242,171
CITY OF CHICAGO:WARD 48 PRECINCT 12,48,12,514,315,199
CITY OF CHICAGO:WARD 48 PRECINCT 14,48,14,442,284,158
CITY OF CHICAGO:WARD 48 PRECINCT 15,48,15,342,220,122
CITY OF CHICAGO:WARD 48 PRECINCT 16,48,16,303,201,102
CITY OF CHICAGO:WARD 48 PRECINCT 17,48,17,142,70,72
CITY OF CHICAGO:WARD 48 PRECINCT 18,48,18,438,309,129
CITY OF CHICAGO:WARD 48 PRECINCT 19,48,19,255,149,106
CITY OF CHICAGO:WARD 48 PRECINCT 20,48,20,174,81,93
CITY OF CHICAGO:WARD 48 PRECINCT 21,48,21,470,289,181
CITY OF CHICAGO:WARD 48 PRECINCT 22,48,22,273,131,142
CITY OF CHICAGO:WARD 48 PRECINCT 23,48,23,362,171,191
CITY OF CHICAGO:WARD 48 PRECINCT 24,48,24,543,311,232
CITY OF CHICAGO:WARD 48 PRECINCT 25,48,25,544,380,164
CITY OF CHICAGO:WARD 48 PRECINCT 26,48,26,251,128,123
CITY OF CHICAGO:WARD 48 PRECINCT 28,48,28,397,291,106
CITY OF CHICAGO:WARD 48 PRECINCT 29,48,29,200,73,127
CITY OF CHICAGO:WARD 48 PRECINCT 30,48,30,482,327,155
CITY OF CHICAGO:WARD 48 PRECINCT 31,48,31,474,354,120
CITY OF CHICAGO:WARD 48 PRECINCT 32,48,32,210,143,67
CITY OF CHICAGO:WARD 48 PRECINCT 33,48,33,175,87,88
CITY OF CHICAGO:WARD 48 PRECINCT 34,48,34,368,239,129
CITY OF CHICAGO:WARD 48 PRECINCT 35,48,35,595,351,244
CITY OF CHICAGO:WARD 50 PRECINCT 24,50,24,29,18,11
CITY OF CHICAGO:WARD 50 PRECINCT 28,50,28,325,171,154
