JoinField,Ward,Precinct,Kevin Ryan,Robin Kelly,Juliana Stratton,Raja Krishnamoorthi,Steve Botsford Jr.,Bryan Maxwell,Jonathan Dean,Sean Brown,Awisi A. Bustos,Christopher Swann,Total Voters
CITY OF CHICAGO:WARD 01 PRECINCT 01,1,1,17,189,249,81,0,3,2,1,2,2,546
CITY OF CHICAGO:WARD 01 PRECINCT 02,1,2,14,196,258,88,1,4,4,1,1,3,570
CITY OF CHICAGO:WARD 01 PRECINCT 03,1,3,17,165,252,86,2,3,3,1,3,4,536
CITY OF CHICAGO:WARD 01 PRECINCT 04,1,4,25,182,274,47,1,3,1,2,3,1,539
CITY OF CHICAGO:WARD 01 PRECINCT 05,1,5,17,167,241,69,2,4,2,2,0,1,505
CITY OF CHICAGO:WARD 01 PRECINCT 06,1,6,26,133,198,67,1,1,3,3,1,2,435
CITY OF CHICAGO:WARD 01 PRECINCT 07,1,7,15,155,289,55,1,6,1,0,4,1,527
CITY OF CHICAGO:WARD 01 PRECINCT 08,1,8,11,129,188,60,0,0,1,1,2,2,394
CITY OF CHICAGO:WARD 01 PRECINCT 09,1,9,18,70,111,42,0,1,0,1,4,4,251
CITY OF CHICAGO:WARD 01 PRECINCT 10,1,10,26,139,251,73,2,7,2,1,5,3,509
CITY OF CHICAGO:WARD 01 PRECINCT 11,1,11,26,153,208,53,2,6,2,0,2,5,457
CITY OF CHICAGO:WARD 01 PRECINCT 12,1,12,16,68,121,36,1,1,2,1,1,4,251
CITY OF CHICAGO:WARD 01 PRECINCT 13,1,13,16,134,156,60,1,2,2,0,1,0,372
CITY OF CHICAGO:WARD 01 PRECINCT 14,1,14,12,78,133,57,1,3,1,2,0,3,290
CITY OF CHICAGO:WARD 01 PRECINCT 15,1,15,25,118,239,72,0,6,3,3,5,5,476
CITY OF CHICAGO:WARD 01 PRECINCT 16,1,16,26,114,245,95,0,7,0,3,3,1,494
CITY OF CHICAGO:WARD 01 PRECINCT 17,1,17,18,68,148,55,1,2,1,2,0,1,296
CITY OF CHICAGO:WARD 01 PRECINCT 18,1,18,24,107,198,59,4,7,2,0,1,2,404
CITY OF CHICAGO:WARD 01 PRECINCT 19,1,19,16,103,179,38,3,1,1,1,0,2,344
CITY OF CHICAGO:WARD 01 PRECINCT 20,1,20,5,87,174,73,1,4,2,1,0,1,348
CITY OF CHICAGO:WARD 01 PRECINCT 21,1,21,18,130,200,51,0,4,1,4,2,2,412
CITY OF CHICAGO:WARD 01 PRECINCT 22,1,22,20,132,255,73,7,4,4,0,3,3,501
CITY OF CHICAGO:WARD 01 PRECINCT 23,1,23,12,70,122,40,0,2,3,1,0,0,250
CITY OF CHICAGO:WARD 01 PRECINCT 24,1,24,26,150,231,97,3,6,2,1,3,4,523
CITY OF CHICAGO:WARD 01 PRECINCT 25,1,25,25,128,252,77,6,2,2,3,2,4,501
CITY OF CHICAGO:WARD 01 PRECINCT 26,1,26,10,100,217,96,7,1,5,1,3,4,444
CITY OF CHICAGO:WARD 02 PRECINCT 01,2,1,9,62,133,128,3,2,1,2,1,1,342
CITY OF CHICAGO:WARD 02 PRECINCT 02,2,2,20,81,215,238,2,7,4,2,1,5,575
CITY OF CHICAGO:WARD 02 PRECINCT 03,2,3,11,46,110,74,0,1,2,1,0,0,245
CITY OF CHICAGO:WARD 02 PRECINCT 04,2,4,6,35,131,111,2,1,2,1,1,1,291
CITY OF CHICAGO:WARD 02 PRECINCT 05,2,5,10,53,146,158,4,1,3,1,2,4,382
CITY OF CHICAGO:WARD 02 PRECINCT 06,2,6,14,70,195,266,0,0,5,1,1,2,554
CITY OF CHICAGO:WARD 02 PRECINCT 07,2,7,22,45,185,187,3,2,4,0,1,4,453
CITY OF CHICAGO:WARD 02 PRECINCT 08,2,8,11,44,128,196,3,0,4,1,1,0,388
CITY OF CHICAGO:WARD 02 PRECINCT 09,2,9,10,72,186,214,0,6,1,1,0,2,492
CITY OF CHICAGO:WARD 02 PRECINCT 10,2,10,9,23,76,74,3,2,0,1,1,0,189
CITY OF CHICAGO:WARD 02 PRECINCT 11,2,11,13,38,142,155,1,5,0,1,2,3,360
CITY OF CHICAGO:WARD 02 PRECINCT 12,2,12,15,48,126,82,0,3,2,0,2,2,280
CITY OF CHICAGO:WARD 02 PRECINCT 13,2,13,15,47,148,134,2,3,2,3,1,3,358
CITY OF CHICAGO:WARD 02 PRECINCT 14,2,14,12,28,107,81,2,6,2,0,0,1,239
CITY OF CHICAGO:WARD 02 PRECINCT 15,2,15,21,51,140,128,2,1,1,0,1,1,346
CITY OF CHICAGO:WARD 02 PRECINCT 16,2,16,14,53,155,185,5,3,1,2,1,1,420
CITY OF CHICAGO:WARD 02 PRECINCT 17,2,17,17,74,210,220,4,6,1,2,4,1,539
CITY OF CHICAGO:WARD 02 PRECINCT 18,2,18,9,55,94,75,0,3,3,3,1,0,243
CITY OF CHICAGO:WARD 02 PRECINCT 19,2,19,7,31,80,61,3,1,0,0,3,0,186
CITY OF CHICAGO:WARD 02 PRECINCT 20,2,20,6,40,86,99,3,2,0,2,0,0,238
CITY OF CHICAGO:WARD 02 PRECINCT 21,2,21,3,18,34,37,1,1,1,0,0,1,96
CITY OF CHICAGO:WARD 02 PRECINCT 22,2,22,15,52,128,87,2,2,2,2,0,0,290
CITY OF CHICAGO:WARD 02 PRECINCT 23,2,23,7,57,151,92,0,4,1,1,1,2,316
CITY OF CHICAGO:WARD 02 PRECINCT 24,2,24,7,35,105,110,2,0,0,0,0,1,260
CITY OF CHICAGO:WARD 02 PRECINCT 25,2,25,15,40,152,145,2,1,0,0,2,3,360
CITY OF CHICAGO:WARD 03 PRECINCT 01,3,1,6,113,229,69,4,1,2,3,1,2,430
CITY OF CHICAGO:WARD 03 PRECINCT 02,3,2,5,115,301,90,2,4,1,3,1,2,524
CITY OF CHICAGO:WARD 03 PRECINCT 03,3,3,9,76,141,60,0,1,3,2,2,0,294
CITY OF CHICAGO:WARD 03 PRECINCT 04,3,4,4,139,206,48,0,2,0,1,3,5,408
CITY OF CHICAGO:WARD 03 PRECINCT 05,3,5,4,21,42,13,0,2,0,3,1,1,87
CITY OF CHICAGO:WARD 03 PRECINCT 06,3,6,11,84,209,59,1,5,2,3,0,1,375
CITY OF CHICAGO:WARD 03 PRECINCT 07,3,7,4,62,134,38,0,3,0,0,1,1,243
CITY OF CHICAGO:WARD 03 PRECINCT 08,3,8,5,102,175,48,2,4,0,3,1,2,342
CITY OF CHICAGO:WARD 03 PRECINCT 09,3,9,8,48,126,31,2,3,3,1,3,1,226
CITY OF CHICAGO:WARD 03 PRECINCT 10,3,10,8,63,120,89,1,1,2,2,3,0,289
CITY OF CHICAGO:WARD 03 PRECINCT 11,3,11,20,143,308,81,3,7,2,6,2,5,577
CITY OF CHICAGO:WARD 03 PRECINCT 12,3,12,10,138,272,55,0,1,3,7,7,4,497
CITY OF CHICAGO:WARD 03 PRECINCT 13,3,13,13,116,258,167,0,2,1,3,2,2,564
CITY OF CHICAGO:WARD 03 PRECINCT 14,3,14,25,138,267,112,2,3,2,3,5,7,564
CITY OF CHICAGO:WARD 03 PRECINCT 15,3,15,14,92,210,52,2,3,3,5,3,3,387
CITY OF CHICAGO:WARD 03 PRECINCT 16,3,16,12,52,137,52,0,2,0,0,1,1,257
CITY OF CHICAGO:WARD 03 PRECINCT 17,3,17,6,27,48,21,0,3,0,1,1,0,107
CITY OF CHICAGO:WARD 03 PRECINCT 18,3,18,1,21,51,23,0,2,0,0,0,0,98
CITY OF CHICAGO:WARD 03 PRECINCT 19,3,19,18,115,233,176,1,3,4,2,5,5,562
CITY OF CHICAGO:WARD 03 PRECINCT 20,3,20,7,106,285,75,1,5,2,2,1,3,487
CITY OF CHICAGO:WARD 03 PRECINCT 21,3,21,8,84,192,69,2,5,2,0,5,2,369
CITY OF CHICAGO:WARD 03 PRECINCT 22,3,22,11,74,185,39,0,1,2,2,2,1,317
CITY OF CHICAGO:WARD 03 PRECINCT 23,3,23,9,46,96,33,4,7,3,1,1,6,206
CITY OF CHICAGO:WARD 03 PRECINCT 24,3,24,3,17,37,13,1,0,0,2,0,1,74
CITY OF CHICAGO:WARD 03 PRECINCT 25,3,25,16,88,201,192,2,0,2,3,3,1,508
CITY OF CHICAGO:WARD 03 PRECINCT 26,3,26,3,54,93,33,3,3,0,1,0,2,192
CITY OF CHICAGO:WARD 03 PRECINCT 27,3,27,17,82,199,119,2,2,3,1,0,2,427
CITY OF CHICAGO:WARD 04 PRECINCT 01,4,1,10,176,248,73,0,5,0,0,0,1,513
CITY OF CHICAGO:WARD 04 PRECINCT 02,4,2,2,74,119,31,1,3,1,1,1,1,234
CITY OF CHICAGO:WARD 04 PRECINCT 03,4,3,1,109,222,63,0,4,1,2,2,1,405
CITY OF CHICAGO:WARD 04 PRECINCT 04,4,4,7,125,253,52,1,3,2,4,2,0,449
CITY OF CHICAGO:WARD 04 PRECINCT 05,4,5,2,60,99,23,0,1,0,0,0,1,186
CITY OF CHICAGO:WARD 04 PRECINCT 06,4,6,5,76,166,42,3,0,2,4,2,1,301
CITY OF CHICAGO:WARD 04 PRECINCT 07,4,7,8,78,122,45,0,3,0,3,1,0,260
CITY OF CHICAGO:WARD 04 PRECINCT 08,4,8,2,121,182,54,0,1,1,2,0,3,366
CITY OF CHICAGO:WARD 04 PRECINCT 09,4,9,7,98,205,42,2,1,2,2,1,4,364
CITY OF CHICAGO:WARD 04 PRECINCT 10,4,10,6,100,192,39,1,2,2,3,0,1,346
CITY OF CHICAGO:WARD 04 PRECINCT 11,4,11,9,139,246,47,0,2,2,5,0,2,452
CITY OF CHICAGO:WARD 04 PRECINCT 12,4,12,4,106,156,30,0,0,0,2,1,2,301
CITY OF CHICAGO:WARD 04 PRECINCT 13,4,13,11,92,147,38,0,2,1,0,1,1,293
CITY OF CHICAGO:WARD 04 PRECINCT 14,4,14,6,89,146,37,0,0,0,4,1,2,285
CITY OF CHICAGO:WARD 04 PRECINCT 15,4,15,4,76,170,27,0,0,0,0,0,0,277
CITY OF CHICAGO:WARD 04 PRECINCT 16,4,16,10,95,189,27,1,3,2,7,3,3,340
CITY OF CHICAGO:WARD 04 PRECINCT 17,4,17,9,112,225,59,1,2,2,1,0,3,414
CITY OF CHICAGO:WARD 04 PRECINCT 18,4,18,2,31,57,17,0,2,0,2,0,1,112
CITY OF CHICAGO:WARD 04 PRECINCT 19,4,19,3,93,206,53,0,0,2,1,0,1,359
CITY OF CHICAGO:WARD 04 PRECINCT 20,4,20,7,116,206,63,0,1,1,0,1,0,395
CITY OF CHICAGO:WARD 04 PRECINCT 21,4,21,1,73,161,43,2,2,0,5,0,2,289
CITY OF CHICAGO:WARD 04 PRECINCT 22,4,22,5,35,107,26,1,0,0,2,1,0,177
CITY OF CHICAGO:WARD 04 PRECINCT 23,4,23,0,61,106,38,0,0,0,1,3,2,211
CITY OF CHICAGO:WARD 04 PRECINCT 24,4,24,7,119,312,81,0,2,0,3,1,1,526
CITY OF CHICAGO:WARD 04 PRECINCT 25,4,25,17,111,306,178,1,1,3,0,5,3,625
CITY OF CHICAGO:WARD 04 PRECINCT 26,4,26,20,105,269,152,2,5,4,4,3,4,568
CITY OF CHICAGO:WARD 04 PRECINCT 27,4,27,22,97,232,63,0,1,2,3,7,3,430
CITY OF CHICAGO:WARD 04 PRECINCT 28,4,28,33,124,316,125,6,3,3,3,1,5,619
CITY OF CHICAGO:WARD 05 PRECINCT 01,5,1,7,131,226,38,2,4,0,0,0,0,408
CITY OF CHICAGO:WARD 05 PRECINCT 02,5,2,9,218,240,72,0,3,1,2,1,3,549
CITY OF CHICAGO:WARD 05 PRECINCT 03,5,3,7,185,204,61,0,2,0,3,4,2,468
CITY OF CHICAGO:WARD 05 PRECINCT 04,5,4,1,139,151,42,0,1,0,6,3,4,347
CITY OF CHICAGO:WARD 05 PRECINCT 05,5,5,6,82,83,26,0,1,0,2,0,0,200
CITY OF CHICAGO:WARD 05 PRECINCT 06,5,6,2,84,79,17,0,0,0,5,0,1,188
CITY OF CHICAGO:WARD 05 PRECINCT 07,5,7,1,26,40,5,0,1,0,0,1,0,74
CITY OF CHICAGO:WARD 05 PRECINCT 08,5,8,1,40,66,25,1,1,1,1,0,0,136
CITY OF CHICAGO:WARD 05 PRECINCT 09,5,9,3,47,50,15,0,0,0,1,0,1,117
CITY OF CHICAGO:WARD 05 PRECINCT 10,5,10,2,58,91,22,2,1,4,4,1,0,185
CITY OF CHICAGO:WARD 05 PRECINCT 11,5,11,4,64,122,37,0,1,3,2,0,4,237
CITY OF CHICAGO:WARD 05 PRECINCT 12,5,12,9,202,244,127,0,3,3,2,1,2,593
CITY OF CHICAGO:WARD 05 PRECINCT 13,5,13,4,52,96,17,1,1,0,0,0,1,172
CITY OF CHICAGO:WARD 05 PRECINCT 14,5,14,10,63,104,30,1,1,1,3,0,3,216
CITY OF CHICAGO:WARD 05 PRECINCT 15,5,15,11,259,313,118,1,3,1,1,1,5,713
CITY OF CHICAGO:WARD 05 PRECINCT 16,5,16,9,137,201,91,1,0,0,1,1,3,444
CITY OF CHICAGO:WARD 05 PRECINCT 17,5,17,9,96,165,64,1,0,1,0,0,1,337
CITY OF CHICAGO:WARD 05 PRECINCT 18,5,18,11,227,348,146,1,9,2,7,0,4,755
CITY OF CHICAGO:WARD 05 PRECINCT 19,5,19,4,106,195,59,0,3,0,3,0,1,371
CITY OF CHICAGO:WARD 05 PRECINCT 20,5,20,7,160,263,68,1,1,1,1,1,0,503
CITY OF CHICAGO:WARD 05 PRECINCT 21,5,21,9,134,180,65,0,6,0,1,1,1,397
CITY OF CHICAGO:WARD 05 PRECINCT 22,5,22,4,153,264,85,1,2,1,2,1,1,514
CITY OF CHICAGO:WARD 05 PRECINCT 23,5,23,2,63,126,62,1,3,1,0,0,0,258
CITY OF CHICAGO:WARD 05 PRECINCT 24,5,24,3,32,88,52,0,1,1,1,0,0,178
CITY OF CHICAGO:WARD 05 PRECINCT 25,5,25,17,137,327,175,2,3,1,0,0,2,664
CITY OF CHICAGO:WARD 06 PRECINCT 01,6,1,5,40,60,15,1,2,1,0,2,2,128
CITY OF CHICAGO:WARD 06 PRECINCT 02,6,2,7,49,97,19,1,1,0,1,2,1,178
CITY OF CHICAGO:WARD 06 PRECINCT 03,6,3,1,9,20,6,0,3,0,2,0,0,41
CITY OF CHICAGO:WARD 06 PRECINCT 04,6,4,5,25,57,24,0,1,1,4,1,1,119
CITY OF CHICAGO:WARD 06 PRECINCT 05,6,5,7,50,91,28,2,2,2,3,0,2,187
CITY OF CHICAGO:WARD 06 PRECINCT 06,6,6,2,39,79,26,2,1,1,3,1,1,155
CITY OF CHICAGO:WARD 06 PRECINCT 07,6,7,2,58,128,42,1,3,0,2,0,1,237
CITY OF CHICAGO:WARD 06 PRECINCT 08,6,8,2,50,87,34,0,2,0,2,0,1,178
CITY OF CHICAGO:WARD 06 PRECINCT 09,6,9,3,117,182,55,1,0,0,3,1,1,363
CITY OF CHICAGO:WARD 06 PRECINCT 10,6,10,5,48,125,35,1,2,3,4,0,1,224
CITY OF CHICAGO:WARD 06 PRECINCT 11,6,11,1,30,44,3,0,0,0,0,0,0,78
CITY OF CHICAGO:WARD 06 PRECINCT 12,6,12,4,89,120,39,0,3,1,3,1,1,261
CITY OF CHICAGO:WARD 06 PRECINCT 13,6,13,8,102,175,47,1,3,1,4,3,0,344
CITY OF CHICAGO:WARD 06 PRECINCT 14,6,14,4,89,150,52,0,0,2,1,0,0,298
CITY OF CHICAGO:WARD 06 PRECINCT 15,6,15,9,102,165,57,1,1,2,4,2,2,345
CITY OF CHICAGO:WARD 06 PRECINCT 16,6,16,4,60,95,29,0,1,2,4,0,0,195
CITY OF CHICAGO:WARD 06 PRECINCT 17,6,17,5,120,262,52,0,4,3,0,3,0,449
CITY OF CHICAGO:WARD 06 PRECINCT 18,6,18,5,117,249,69,1,2,0,4,0,2,449
CITY OF CHICAGO:WARD 06 PRECINCT 19,6,19,4,71,146,35,3,0,3,3,0,0,265
CITY OF CHICAGO:WARD 06 PRECINCT 20,6,20,9,168,295,64,4,0,1,4,1,5,551
CITY OF CHICAGO:WARD 06 PRECINCT 21,6,21,3,138,164,68,0,0,1,2,1,0,377
CITY OF CHICAGO:WARD 06 PRECINCT 22,6,22,12,153,249,68,0,1,1,5,0,1,490
CITY OF CHICAGO:WARD 06 PRECINCT 23,6,23,7,120,236,53,0,5,1,6,1,2,431
CITY OF CHICAGO:WARD 06 PRECINCT 24,6,24,5,141,225,66,3,5,1,4,0,3,453
CITY OF CHICAGO:WARD 06 PRECINCT 25,6,25,7,127,205,35,0,1,3,5,1,0,384
CITY OF CHICAGO:WARD 06 PRECINCT 26,6,26,7,161,337,74,1,2,2,8,1,5,598
CITY OF CHICAGO:WARD 06 PRECINCT 27,6,27,6,160,274,75,1,1,0,4,1,3,525
CITY OF CHICAGO:WARD 07 PRECINCT 01,7,1,10,113,163,37,1,2,2,7,1,1,337
CITY OF CHICAGO:WARD 07 PRECINCT 02,7,2,9,181,225,52,1,3,3,2,1,2,479
CITY OF CHICAGO:WARD 07 PRECINCT 03,7,3,2,81,113,24,2,1,0,6,0,1,230
CITY OF CHICAGO:WARD 07 PRECINCT 04,7,4,18,122,133,41,1,2,1,3,3,4,328
CITY OF CHICAGO:WARD 07 PRECINCT 05,7,5,8,167,192,62,0,4,2,2,2,2,441
CITY OF CHICAGO:WARD 07 PRECINCT 06,7,6,2,35,39,11,0,1,0,2,1,0,91
CITY OF CHICAGO:WARD 07 PRECINCT 07,7,7,10,84,93,47,1,1,0,2,1,0,239
CITY OF CHICAGO:WARD 07 PRECINCT 08,7,8,3,61,86,22,0,0,1,1,0,0,174
CITY OF CHICAGO:WARD 07 PRECINCT 09,7,9,6,74,80,27,3,2,0,3,0,3,198
CITY OF CHICAGO:WARD 07 PRECINCT 10,7,10,3,141,196,31,2,0,1,6,1,1,382
CITY OF CHICAGO:WARD 07 PRECINCT 11,7,11,4,143,152,47,3,0,0,2,0,2,353
CITY OF CHICAGO:WARD 07 PRECINCT 12,7,12,9,157,170,56,0,1,3,3,0,2,401
CITY OF CHICAGO:WARD 07 PRECINCT 13,7,13,3,75,95,32,0,1,0,2,0,2,210
CITY OF CHICAGO:WARD 07 PRECINCT 14,7,14,7,82,101,31,0,0,0,1,3,0,225
CITY OF CHICAGO:WARD 07 PRECINCT 15,7,15,8,153,166,45,2,1,2,3,4,0,384
CITY OF CHICAGO:WARD 07 PRECINCT 16,7,16,3,54,60,13,0,2,0,3,2,1,138
CITY OF CHICAGO:WARD 07 PRECINCT 17,7,17,1,29,47,14,0,1,1,3,3,0,99
CITY OF CHICAGO:WARD 07 PRECINCT 18,7,18,3,22,33,13,0,0,1,2,0,0,74
CITY OF CHICAGO:WARD 07 PRECINCT 19,7,19,4,183,256,68,2,4,1,2,0,4,524
CITY OF CHICAGO:WARD 07 PRECINCT 20,7,20,1,98,141,37,1,3,0,0,0,1,282
CITY OF CHICAGO:WARD 07 PRECINCT 21,7,21,3,63,103,26,0,0,1,1,0,0,197
CITY OF CHICAGO:WARD 07 PRECINCT 22,7,22,3,76,111,30,0,0,0,1,1,0,222
CITY OF CHICAGO:WARD 07 PRECINCT 23,7,23,5,41,66,19,0,0,0,1,1,1,134
CITY OF CHICAGO:WARD 07 PRECINCT 24,7,24,3,18,16,13,0,2,0,1,0,0,53
CITY OF CHICAGO:WARD 07 PRECINCT 25,7,25,8,112,95,29,1,5,2,2,1,1,256
CITY OF CHICAGO:WARD 07 PRECINCT 26,7,26,5,148,139,37,1,1,2,2,1,1,337
CITY OF CHICAGO:WARD 07 PRECINCT 27,7,27,2,76,101,28,0,0,0,7,0,2,216
CITY OF CHICAGO:WARD 07 PRECINCT 28,7,28,4,40,53,22,1,1,1,1,0,1,124
CITY OF CHICAGO:WARD 07 PRECINCT 29,7,29,3,74,97,28,0,1,1,2,1,1,208
CITY OF CHICAGO:WARD 07 PRECINCT 30,7,30,0,61,74,27,1,3,0,4,0,1,171
CITY OF CHICAGO:WARD 07 PRECINCT 31,7,31,5,29,43,12,0,0,0,1,1,0,91
CITY OF CHICAGO:WARD 08 PRECINCT 01,8,1,7,91,200,55,1,6,3,8,2,5,378
CITY OF CHICAGO:WARD 08 PRECINCT 02,8,2,3,43,97,31,0,3,0,5,0,0,182
CITY OF CHICAGO:WARD 08 PRECINCT 03,8,3,4,25,131,23,1,3,0,0,0,1,188
CITY OF CHICAGO:WARD 08 PRECINCT 04,8,4,7,118,213,46,0,1,1,3,2,0,391
CITY OF CHICAGO:WARD 08 PRECINCT 05,8,5,6,85,144,27,0,1,0,0,0,0,263
CITY OF CHICAGO:WARD 08 PRECINCT 06,8,6,7,164,220,52,2,1,0,0,1,0,447
CITY OF CHICAGO:WARD 08 PRECINCT 07,8,7,5,72,147,27,1,0,3,2,0,0,257
CITY OF CHICAGO:WARD 08 PRECINCT 08,8,8,9,160,328,57,2,1,3,6,1,8,575
CITY OF CHICAGO:WARD 08 PRECINCT 09,8,9,5,88,175,54,3,2,2,7,0,3,339
CITY OF CHICAGO:WARD 08 PRECINCT 10,8,10,9,86,145,51,1,1,2,3,3,4,305
CITY OF CHICAGO:WARD 08 PRECINCT 11,8,11,10,87,163,48,3,0,0,1,0,3,315
CITY OF CHICAGO:WARD 08 PRECINCT 12,8,12,2,137,213,60,0,0,0,3,2,1,418
CITY OF CHICAGO:WARD 08 PRECINCT 13,8,13,3,119,177,47,1,3,3,6,0,3,362
CITY OF CHICAGO:WARD 08 PRECINCT 14,8,14,6,118,238,53,0,1,1,7,0,0,424
CITY OF CHICAGO:WARD 08 PRECINCT 15,8,15,3,97,156,31,0,1,2,3,1,5,299
CITY OF CHICAGO:WARD 08 PRECINCT 16,8,16,2,95,154,37,0,0,1,3,0,1,293
CITY OF CHICAGO:WARD 08 PRECINCT 17,8,17,5,163,274,42,0,2,1,5,0,0,492
CITY OF CHICAGO:WARD 08 PRECINCT 18,8,18,7,223,392,76,1,3,2,2,2,2,710
CITY OF CHICAGO:WARD 08 PRECINCT 19,8,19,5,162,244,58,0,1,2,3,4,2,481
CITY OF CHICAGO:WARD 08 PRECINCT 20,8,20,4,58,111,42,0,3,2,2,1,3,226
CITY OF CHICAGO:WARD 08 PRECINCT 21,8,21,3,82,127,29,0,0,0,6,2,2,251
CITY OF CHICAGO:WARD 08 PRECINCT 22,8,22,5,44,114,22,0,0,0,4,0,1,190
CITY OF CHICAGO:WARD 08 PRECINCT 23,8,23,5,147,298,66,1,2,1,8,1,2,531
CITY OF CHICAGO:WARD 08 PRECINCT 24,8,24,4,106,149,34,0,2,1,0,2,1,299
CITY OF CHICAGO:WARD 08 PRECINCT 25,8,25,2,44,78,20,1,1,0,1,2,0,149
CITY OF CHICAGO:WARD 08 PRECINCT 26,8,26,4,75,122,29,1,3,1,3,1,0,239
CITY OF CHICAGO:WARD 08 PRECINCT 27,8,27,7,98,223,33,0,4,2,2,1,2,372
CITY OF CHICAGO:WARD 08 PRECINCT 28,8,28,7,62,120,23,0,1,1,2,2,1,219
CITY OF CHICAGO:WARD 08 PRECINCT 29,8,29,2,117,158,48,0,1,0,5,0,1,332
CITY OF CHICAGO:WARD 08 PRECINCT 30,8,30,4,104,174,28,1,2,2,2,2,1,320
CITY OF CHICAGO:WARD 09 PRECINCT 01,9,1,0,85,199,57,2,1,1,4,1,1,351
CITY OF CHICAGO:WARD 09 PRECINCT 02,9,2,3,57,112,33,5,1,0,1,1,2,215
CITY OF CHICAGO:WARD 09 PRECINCT 03,9,3,2,39,56,22,1,2,0,1,0,12,135
CITY OF CHICAGO:WARD 09 PRECINCT 04,9,4,6,76,144,47,0,1,0,2,0,2,278
CITY OF CHICAGO:WARD 09 PRECINCT 05,9,5,6,82,120,61,0,0,0,4,1,1,275
CITY OF CHICAGO:WARD 09 PRECINCT 06,9,6,9,166,255,69,3,4,1,8,2,5,522
CITY OF CHICAGO:WARD 09 PRECINCT 07,9,7,5,102,161,69,3,0,2,3,0,1,346
CITY OF CHICAGO:WARD 09 PRECINCT 08,9,8,15,117,145,40,1,1,0,3,0,2,324
CITY OF CHICAGO:WARD 09 PRECINCT 09,9,9,3,63,100,21,0,1,1,5,0,2,196
CITY OF CHICAGO:WARD 09 PRECINCT 10,9,10,6,179,225,72,0,3,0,7,3,1,496
CITY OF CHICAGO:WARD 09 PRECINCT 11,9,11,3,53,52,20,0,1,0,3,0,0,132
CITY OF CHICAGO:WARD 09 PRECINCT 12,9,12,6,180,202,46,1,2,1,4,0,0,442
CITY OF CHICAGO:WARD 09 PRECINCT 13,9,13,6,191,158,49,1,2,0,8,1,3,419
CITY OF CHICAGO:WARD 09 PRECINCT 14,9,14,2,106,84,22,1,0,1,3,0,1,220
CITY OF CHICAGO:WARD 09 PRECINCT 15,9,15,2,126,124,42,0,1,2,2,1,1,301
CITY OF CHICAGO:WARD 09 PRECINCT 16,9,16,13,148,170,45,2,6,2,9,0,2,397
CITY OF CHICAGO:WARD 09 PRECINCT 17,9,17,5,37,40,18,1,1,0,3,0,0,105
CITY OF CHICAGO:WARD 09 PRECINCT 18,9,18,3,78,68,30,0,0,0,2,0,1,182
CITY OF CHICAGO:WARD 09 PRECINCT 19,9,19,8,55,62,19,2,4,1,1,0,1,153
CITY OF CHICAGO:WARD 09 PRECINCT 20,9,20,11,153,114,66,0,2,0,2,1,2,351
CITY OF CHICAGO:WARD 09 PRECINCT 21,9,21,8,139,111,48,0,1,1,3,0,0,311
CITY OF CHICAGO:WARD 09 PRECINCT 22,9,22,4,67,100,32,0,1,1,3,0,0,208
CITY OF CHICAGO:WARD 09 PRECINCT 23,9,23,3,61,79,29,0,0,2,6,0,2,182
CITY OF CHICAGO:WARD 09 PRECINCT 24,9,24,6,118,115,53,0,0,3,1,0,3,299
CITY OF CHICAGO:WARD 09 PRECINCT 25,9,25,6,79,104,31,1,2,3,6,3,3,238
CITY OF CHICAGO:WARD 09 PRECINCT 26,9,26,8,144,139,43,0,4,0,1,0,1,340
CITY OF CHICAGO:WARD 09 PRECINCT 27,9,27,3,69,88,28,0,1,0,1,0,1,191
CITY OF CHICAGO:WARD 09 PRECINCT 28,9,28,1,45,50,24,0,0,1,2,1,0,124
CITY OF CHICAGO:WARD 09 PRECINCT 29,9,29,11,172,190,73,1,5,0,9,2,0,463
CITY OF CHICAGO:WARD 09 PRECINCT 30,9,30,2,109,175,50,0,1,0,5,0,2,344
CITY OF CHICAGO:WARD 10 PRECINCT 01,10,1,3,19,32,16,0,1,1,2,0,1,75
CITY OF CHICAGO:WARD 10 PRECINCT 02,10,2,2,29,31,32,0,0,1,0,2,2,99
CITY OF CHICAGO:WARD 10 PRECINCT 03,10,3,6,40,52,36,2,4,0,2,7,2,151
CITY OF CHICAGO:WARD 10 PRECINCT 04,10,4,4,60,87,47,2,1,0,4,0,1,206
CITY OF CHICAGO:WARD 10 PRECINCT 05,10,5,2,25,18,13,2,0,0,1,1,0,62
CITY OF CHICAGO:WARD 10 PRECINCT 06,10,6,7,25,39,24,0,0,0,1,1,1,98
CITY OF CHICAGO:WARD 10 PRECINCT 07,10,7,13,47,58,53,1,3,0,1,6,2,184
CITY OF CHICAGO:WARD 10 PRECINCT 08,10,8,18,40,54,46,3,3,0,0,2,2,168
CITY OF CHICAGO:WARD 10 PRECINCT 09,10,9,14,55,63,39,2,1,2,2,2,2,182
CITY OF CHICAGO:WARD 10 PRECINCT 10,10,10,8,49,68,39,1,1,0,0,1,3,170
CITY OF CHICAGO:WARD 10 PRECINCT 11,10,11,5,20,22,20,0,0,1,1,2,0,71
CITY OF CHICAGO:WARD 10 PRECINCT 12,10,12,11,52,40,49,2,3,1,0,1,0,159
