JoinField,KEVIN RYAN,ROBIN KELLY,JULIANA STRATTON,RAJA KRISHNAMOORTHI,STEVE BOTSFORD JR.,BRYAN MAXWELL,JONATHAN DEAN,SEAN BROWN,AWISI A. BUSTOS,CHRISTOPHER SWANN,Adam Delgado,Total Voters
DUPAGE:ADDISON 040,5,13,50,85,0,2,2,0,0,4,0,161
DUPAGE:ADDISON 041,2,4,19,40,0,1,0,0,0,2,0,68
DUPAGE:ADDISON 042,7,10,44,52,0,1,0,0,0,0,0,114
DUPAGE:ADDISON 043,3,8,24,49,1,3,0,1,0,0,0,89
DUPAGE:ADDISON 044,13,25,41,51,0,1,0,0,3,2,0,136
DUPAGE:ADDISON 045,4,27,58,84,1,2,0,0,0,3,0,179
DUPAGE:ADDISON 046,10,36,76,70,1,3,2,2,0,1,0,201
DUPAGE:ADDISON 047,4,9,51,50,1,4,0,0,3,1,0,123
DUPAGE:ADDISON 048,8,27,33,52,0,0,1,2,1,0,0,124
DUPAGE:ADDISON 049,2,16,26,66,0,0,0,0,2,0,0,112
DUPAGE:ADDISON 050,7,24,83,81,1,1,1,1,1,0,0,200
DUPAGE:ADDISON 051,7,37,89,114,1,0,0,3,2,0,0,253
DUPAGE:ADDISON 052,14,22,104,87,1,2,0,3,1,2,0,236
DUPAGE:ADDISON 053,11,20,66,78,0,2,1,0,1,2,0,181
DUPAGE:BLOOMINGDALE 001,1,10,35,25,0,0,1,2,1,0,0,75
DUPAGE:BLOOMINGDALE 002,8,11,46,108,1,2,1,0,0,0,0,177
DUPAGE:BLOOMINGDALE 003,11,12,38,93,0,1,2,0,1,2,0,160
DUPAGE:BLOOMINGDALE 004,5,9,39,88,3,0,1,1,0,0,0,146
DUPAGE:BLOOMINGDALE 005,9,17,32,73,0,1,0,1,0,0,0,133
DUPAGE:BLOOMINGDALE 006,7,14,54,70,0,0,0,1,1,1,0,148
DUPAGE:BLOOMINGDALE 007,7,11,31,59,1,2,1,1,0,1,0,114
DUPAGE:BLOOMINGDALE 008,9,13,47,71,0,1,0,4,3,0,0,148
DUPAGE:BLOOMINGDALE 009,4,14,38,94,0,1,2,1,1,0,0,155
DUPAGE:BLOOMINGDALE 010,1,10,28,111,1,0,1,0,2,1,0,155
DUPAGE:BLOOMINGDALE 011,4,24,62,166,0,1,1,0,0,1,0,259
DUPAGE:BLOOMINGDALE 012,10,17,47,112,0,3,1,1,1,3,0,195
DUPAGE:BLOOMINGDALE 013,4,16,35,102,0,1,2,0,3,0,0,163
DUPAGE:BLOOMINGDALE 014,9,26,45,67,1,1,1,0,2,0,0,152
DUPAGE:BLOOMINGDALE 015,11,12,33,83,0,2,2,1,0,0,0,144
DUPAGE:BLOOMINGDALE 016,3,10,32,80,1,1,0,1,1,0,0,129
DUPAGE:BLOOMINGDALE 017,7,11,40,105,1,3,1,0,4,0,0,172
DUPAGE:BLOOMINGDALE 018,7,15,22,102,1,0,1,0,0,0,0,148
DUPAGE:BLOOMINGDALE 019,6,16,29,100,0,0,0,0,3,0,0,154
DUPAGE:BLOOMINGDALE 020,3,7,26,70,0,1,0,0,0,0,0,107
DUPAGE:BLOOMINGDALE 021,5,13,26,64,0,0,0,1,0,1,0,110
DUPAGE:BLOOMINGDALE 022,7,9,26,76,0,0,0,0,0,0,0,118
DUPAGE:BLOOMINGDALE 023,12,7,69,116,2,0,0,0,0,1,0,207
DUPAGE:BLOOMINGDALE 024,9,16,34,128,1,3,1,0,1,0,0,193
DUPAGE:BLOOMINGDALE 025,9,13,39,127,1,0,1,0,0,1,0,191
DUPAGE:BLOOMINGDALE 026,5,5,30,83,0,1,0,0,0,0,0,124
DUPAGE:BLOOMINGDALE 027,2,9,9,52,1,0,0,0,0,0,0,73
DUPAGE:BLOOMINGDALE 028,2,31,35,51,0,2,1,1,2,1,0,126
DUPAGE:BLOOMINGDALE 029,4,20,26,51,2,2,0,1,0,0,0,106
DUPAGE:BLOOMINGDALE 030,1,22,21,67,0,0,1,0,1,0,0,113
DUPAGE:BLOOMINGDALE 031,12,11,51,62,0,1,3,0,2,0,0,142
DUPAGE:BLOOMINGDALE 032,1,27,21,64,0,1,0,0,1,0,0,115
DUPAGE:BLOOMINGDALE 033,9,46,24,93,1,4,2,4,6,0,0,189
DUPAGE:BLOOMINGDALE 034,6,11,30,81,1,0,0,2,0,0,0,131
DUPAGE:BLOOMINGDALE 035,7,21,42,97,0,0,0,1,2,1,0,171
DUPAGE:BLOOMINGDALE 036,7,10,34,82,0,1,1,0,0,1,0,136
DUPAGE:BLOOMINGDALE 037,7,25,45,62,0,1,3,2,4,2,0,151
