JoinField,Kevin Ryan,Robin Kelly,Juliana Stratton,Raja Krishnamoorthi,Steve Botsford Jr.,Bryan Maxwell,Jonathan Dean,Sean Brown,Awisi A. Bustos,Christopher Swann,Total Voters
LAKE:BENTON 60,4,6,31,34,0,2,0,2,1,1,81
LAKE:BENTON 61,5,22,72,63,1,1,0,2,0,1,167
LAKE:BENTON 62,3,7,54,48,1,1,0,3,1,2,120
LAKE:BENTON 63,2,5,53,46,0,0,0,0,0,0,106
LAKE:BENTON 64,2,1,13,18,0,0,0,0,1,0,35
LAKE:BENTON 65,3,8,25,39,0,0,0,0,3,0,78
LAKE:CUBA 66,3,11,23,33,1,0,0,0,0,0,71
LAKE:CUBA 67,5,19,60,78,1,1,1,0,3,1,169
LAKE:CUBA 68,11,18,64,94,2,3,2,2,1,2,199
LAKE:CUBA 69,3,14,55,48,0,0,0,0,0,0,120
LAKE:CUBA 70,5,12,74,152,1,1,0,0,0,3,248
LAKE:CUBA 71,9,20,81,142,0,0,1,1,0,0,254
LAKE:CUBA 72,7,14,30,77,0,2,0,1,0,1,132
LAKE:CUBA 73,7,19,45,83,0,0,0,0,0,0,154
LAKE:CUBA 74,14,7,63,97,1,1,0,4,1,2,190
LAKE:CUBA 75,5,8,50,51,1,0,0,0,0,0,115
LAKE:CUBA 76,4,8,41,74,3,0,2,0,2,4,138
LAKE:CUBA 77,9,20,63,87,1,1,2,0,2,2,187
LAKE:CUBA 78,8,9,64,121,0,0,1,1,0,0,204
LAKE:ELA 79,4,23,45,55,3,0,2,0,1,0,133
LAKE:ELA 80,5,15,70,83,0,2,2,0,0,0,177
LAKE:ELA 81,1,23,54,46,1,2,0,2,0,0,129
LAKE:ELA 82,7,19,68,81,0,0,1,0,1,3,180
LAKE:ELA 83,2,18,77,79,1,0,0,0,1,0,178
LAKE:ELA 84,3,12,42,55,0,0,0,1,0,1,114
LAKE:ELA 85,4,11,79,78,1,0,0,1,1,0,175
LAKE:ELA 86,9,7,46,56,0,0,0,0,0,0,118
LAKE:ELA 87,5,11,48,80,0,1,0,1,4,0,150
LAKE:ELA 88,9,18,50,64,0,0,0,0,1,0,142
LAKE:ELA 89,5,18,40,76,2,0,0,0,0,1,142
LAKE:ELA 90,6,24,47,97,0,0,0,0,1,0,175
LAKE:ELA 91,7,18,60,43,0,0,1,0,0,1,130
LAKE:ELA 92,6,16,66,98,2,1,1,0,0,0,190
LAKE:ELA 93,5,9,44,51,0,0,4,0,1,0,114
LAKE:ELA 94,5,10,47,48,2,0,1,0,0,1,114
LAKE:ELA 95,3,16,43,62,0,1,1,0,0,0,126
LAKE:ELA 96,7,10,61,55,1,1,1,3,0,0,139
LAKE:ELA 97,5,17,62,77,2,0,2,1,0,0,166
LAKE:ELA 98,9,22,59,63,1,3,0,0,0,0,157
LAKE:ELA 99,3,17,59,77,1,1,1,2,0,1,162
LAKE:ELA 100,2,11,44,55,1,0,0,0,0,0,113
LAKE:ELA 101,10,20,62,69,0,2,0,0,1,0,164
LAKE:ELA 102,6,13,31,51,0,1,4,0,0,0,106
LAKE:ELA 103,6,16,38,87,1,6,3,0,1,0,158
LAKE:ELA 104,7,11,47,77,0,1,1,0,0,0,144
LAKE:ELA 105,2,14,45,52,0,0,0,0,0,0,113
LAKE:ELA 106,2,16,55,101,0,0,0,0,1,0,175
LAKE:ELA 107,3,13,35,54,2,1,0,2,0,0,110
LAKE:FREMONT 108,5,17,41,44,0,1,0,0,2,1,111
LAKE:FREMONT 109,6,16,56,36,0,1,0,0,1,1,117
LAKE:FREMONT 110,6,29,67,194,1,2,0,0,0,1,300
LAKE:FREMONT 111,9,26,56,185,0,0,1,1,0,1,279
LAKE:FREMONT 112,8,14,59,48,0,0,0,1,0,0,130
LAKE:FREMONT 113,10,6,33,47,1,0,0,0,0,0,97
LAKE:FREMONT 114,2,7,101,85,0,3,3,2,3,0,206
LAKE:FREMONT 115,4,15,60,73,0,0,3,0,0,0,155
LAKE:FREMONT 116,5,25,77,139,1,0,0,1,0,1,249
LAKE:FREMONT 117,2,13,59,183,2,2,0,0,0,0,261
LAKE:FREMONT 118,17,17,70,86,0,2,0,0,1,2,195
LAKE:FREMONT 119,4,11,82,82,1,1,0,0,0,2,183
LAKE:FREMONT 120,7,14,64,70,0,1,1,0,0,0,157
LAKE:FREMONT 121,12,31,87,101,0,1,1,0,0,0,233
LAKE:FREMONT 122,17,37,64,120,2,3,0,3,2,1,249
LAKE:FREMONT 123,6,27,73,77,1,3,0,1,0,1,189
LAKE:FREMONT 124,5,32,75,67,0,2,0,0,2,2,185
LAKE:FREMONT 125,11,34,81,89,0,2,0,2,0,1,220
LAKE:FREMONT 126,11,22,68,56,1,3,0,0,0,0,161
LAKE:FREMONT 127,12,21,64,44,2,1,0,1,0,1,146
LAKE:FREMONT 128,10,20,82,88,1,0,4,1,0,3,209
LAKE:FREMONT 129,8,20,85,83,2,2,2,0,0,1,203
LAKE:GRANT 130,8,15,32,33,0,2,0,0,2,0,92
LAKE:GRANT 131,5,20,43,44,0,0,0,0,1,1,114
LAKE:GRANT 132,6,11,43,57,0,0,0,1,2,0,120
LAKE:GRANT 133,7,12,31,30,0,0,1,0,0,0,81
LAKE:GRANT 134,5,20,39,39,0,0,1,1,0,3,108
LAKE:GRANT 135,3,11,42,43,1,0,0,0,2,2,104
LAKE:GRANT 136,3,10,29,50,0,1,1,0,0,1,95
LAKE:GRANT 137,11,9,34,62,0,0,0,1,2,0,119
LAKE:GRANT 138,5,8,35,46,0,3,0,0,1,3,101
LAKE:GRANT 139,4,13,43,69,0,4,0,0,0,0,133
LAKE:GRANT 140,13,25,46,51,0,0,0,1,0,1,137
LAKE:GRANT 141,5,6,48,38,0,0,0,0,1,1,99
LAKE:GRANT 142,6,8,69,23,1,2,0,1,1,1,112
LAKE:GRANT 143,3,6,29,28,0,0,1,0,0,0,67
LAKE:GRANT 144,4,22,64,66,0,0,3,1,1,3,164
LAKE:GRANT 145,8,11,38,34,0,0,0,0,0,0,91
LAKE:GRANT 146,7,11,61,56,0,0,2,0,0,1,138
LAKE:GRANT 147,12,14,65,46,0,2,2,1,1,0,143
LAKE:LAKE VILLA 148,8,14,41,63,0,1,0,2,0,1,130
LAKE:LAKE VILLA 149,10,13,40,31,1,0,1,0,0,0,96
LAKE:LAKE VILLA 150,8,15,50,44,0,1,1,0,0,0,119
LAKE:LAKE VILLA 151,1,7,53,36,2,0,0,0,1,0,100
LAKE:LAKE VILLA 152,10,17,45,58,1,0,1,0,0,0,132
LAKE:LAKE VILLA 153,2,12,59,48,0,0,1,0,0,1,123
LAKE:LAKE VILLA 154,8,9,57,55,0,1,0,0,1,1,132
LAKE:LAKE VILLA 155,5,20,45,21,0,1,0,0,1,1,94
LAKE:LAKE VILLA 156,11,11,35,35,1,4,0,0,0,0,97
LAKE:LAKE VILLA 157,5,12,48,57,0,0,0,1,2,0,125
LAKE:LAKE VILLA 158,11,15,57,44,0,1,0,1,0,0,129
LAKE:LAKE VILLA 159,8,17,59,73,0,2,1,1,0,0,161
LAKE:LAKE VILLA 160,18,18,64,59,1,2,2,0,0,0,164
LAKE:LAKE VILLA 161,5,14,54,48,0,0,1,0,1,0,123
LAKE:LAKE VILLA 162,5,11,66,29,0,2,0,1,0,0,114
LAKE:LAKE VILLA 163,8,14,53,46,0,2,0,1,3,1,128
LAKE:LAKE VILLA 164,7,12,56,36,0,0,0,0,2,3,116
LAKE:LAKE VILLA 165,8,15,48,57,0,1,3,0,2,3,137
LAKE:LAKE VILLA 166,8,19,62,51,2,0,1,0,0,0,143
LAKE:LAKE VILLA 167,5,9,47,44,0,1,0,1,0,1,108
LAKE:LAKE VILLA 168,4,10,55,48,0,0,0,0,2,2,121
LAKE:LAKE VILLA 169,4,14,38,68,0,2,1,1,1,0,129
LAKE:LAKE VILLA 170,8,22,70,61,0,1,1,2,1,1,167
LAKE:LAKE VILLA 171,9,9,23,41,0,0,0,0,1,1,84
LAKE:LAKE VILLA 172,13,16,54,56,0,0,1,1,0,2,143
LAKE:LAKE VILLA 173,6,25,97,91,0,0,0,0,1,2,222
LAKE:LIBERTYVILLE 174,4,26,34,28,1,0,2,0,0,0,95
LAKE:LIBERTYVILLE 175,6,18,67,72,0,0,1,1,0,1,166
LAKE:LIBERTYVILLE 176,10,34,48,56,0,0,2,0,0,0,150
LAKE:LIBERTYVILLE 177,4,22,61,70,1,2,0,1,0,2,163
LAKE:LIBERTYVILLE 178,1,22,73,79,0,1,0,0,2,0,178
LAKE:LIBERTYVILLE 179,3,5,35,33,0,0,1,0,0,0,77
LAKE:LIBERTYVILLE 180,12,18,72,66,0,3,0,1,0,0,172
LAKE:LIBERTYVILLE 181,12,23,90,60,0,3,3,0,0,0,191
LAKE:LIBERTYVILLE 182,6,18,43,45,0,2,0,0,0,0,114
LAKE:LIBERTYVILLE 183,9,13,58,74,1,1,0,0,4,0,160
LAKE:LIBERTYVILLE 184,10,27,87,77,3,0,0,0,1,0,205
LAKE:LIBERTYVILLE 185,2,15,51,42,1,2,1,0,0,0,114
LAKE:LIBERTYVILLE 186,2,12,79,44,1,0,1,0,0,0,139
LAKE:LIBERTYVILLE 187,16,15,78,101,0,1,4,0,0,0,215
LAKE:LIBERTYVILLE 188,1,17,34,60,0,0,0,0,0,1,113
LAKE:LIBERTYVILLE 189,4,12,65,89,2,1,0,0,0,0,173
LAKE:LIBERTYVILLE 190,4,14,95,60,0,1,1,0,2,0,177
LAKE:LIBERTYVILLE 191,13,12,87,51,1,0,0,0,0,1,165
LAKE:LIBERTYVILLE 192,3,15,45,63,2,1,0,0,0,1,130
LAKE:LIBERTYVILLE 193,11,13,48,42,3,1,1,0,2,1,122
LAKE:LIBERTYVILLE 194,4,24,73,66,0,0,0,1,0,0,168
LAKE:LIBERTYVILLE 195,6,21,62,73,0,2,0,0,0,1,165
LAKE:LIBERTYVILLE 196,4,15,91,56,0,1,1,1,0,1,170
LAKE:LIBERTYVILLE 197,3,21,86,70,1,2,0,0,0,0,183
LAKE:LIBERTYVILLE 198,11,23,72,63,0,3,0,0,0,0,172
LAKE:LIBERTYVILLE 199,3,22,96,59,2,3,2,0,1,1,189
LAKE:LIBERTYVILLE 200,7,20,89,121,0,0,0,0,2,1,240
LAKE:LIBERTYVILLE 201,10,14,55,71,1,0,1,1,0,1,154
LAKE:LIBERTYVILLE 202,5,24,120,85,0,2,0,1,1,0,238
LAKE:LIBERTYVILLE 203,2,19,66,83,0,0,0,0,0,0,170
LAKE:LIBERTYVILLE 204,6,7,68,75,2,1,0,0,0,1,160
LAKE:LIBERTYVILLE 205,1,11,35,38,0,0,0,0,0,0,85
LAKE:LIBERTYVILLE 206,9,11,43,89,1,1,3,1,0,2,160
LAKE:LIBERTYVILLE 207,4,10,44,30,0,1,0,0,0,0,89
LAKE:LIBERTYVILLE 208,4,10,36,49,0,0,0,0,0,0,99
LAKE:LIBERTYVILLE 209,7,10,75,92,0,0,0,0,1,1,186
LAKE:MORAINE 210,1,16,50,55,0,0,0,0,1,2,125
LAKE:MORAINE 211,2,13,101,147,0,0,0,0,0,1,264
LAKE:MORAINE 212,6,19,77,33,0,0,1,5,0,1,142
LAKE:MORAINE 213,9,26,84,67,0,0,0,1,2,0,189
LAKE:MORAINE 214,1,31,158,136,2,3,1,2,0,0,334
LAKE:MORAINE 215,12,27,118,115,0,2,2,1,0,0,277
LAKE:MORAINE 216,13,16,102,92,1,1,0,0,1,1,227
LAKE:MORAINE 217,3,25,125,111,0,2,1,0,1,1,269
LAKE:MORAINE 218,11,21,143,181,0,1,4,0,0,0,361
LAKE:MORAINE 219,10,21,112,90,0,3,0,2,0,1,239
LAKE:MORAINE 220,4,21,77,76,0,1,1,1,1,2,184
LAKE:MORAINE 221,6,23,111,132,3,0,0,1,0,0,276
LAKE:MORAINE 222,5,14,122,132,0,0,0,0,0,0,273
LAKE:MORAINE 223,2,10,126,119,0,1,0,1,0,3,262
LAKE:MORAINE 224,2,16,106,148,0,0,1,0,0,1,274
LAKE:MORAINE 225,4,12,91,129,3,1,0,0,0,0,240
LAKE:MORAINE 226,4,15,78,97,1,0,0,2,0,0,197
LAKE:MORAINE 227,0,21,93,109,1,0,2,0,0,0,226
LAKE:MORAINE 228,7,27,141,120,0,2,1,0,0,2,300
LAKE:MORAINE 229,2,18,134,146,1,0,2,0,0,0,303
LAKE:MORAINE 230,6,25,147,145,0,0,1,0,1,1,326
LAKE:MORAINE 231,6,22,124,137,2,0,0,0,1,0,292
LAKE:MORAINE 232,4,21,125,120,1,0,0,0,0,0,271
LAKE:NEWPORT 233,3,7,53,51,0,0,0,0,0,0,114
LAKE:NEWPORT 234,9,14,35,60,0,0,0,1,1,0,120
LAKE:NEWPORT 235,6,22,54,79,2,3,0,1,0,3,170
LAKE:NEWPORT 236,6,18,52,33,2,0,0,0,0,1,112
LAKE:NEWPORT 237,3,5,39,22,1,0,0,1,0,0,71
LAKE:SHIELDS 238,8,27,94,49,2,1,1,2,2,1,187
LAKE:SHIELDS 239,4,26,94,34,0,0,1,3,2,1,165
LAKE:SHIELDS 240,3,9,33,15,0,0,1,1,1,0,63
LAKE:SHIELDS 241,1,9,26,10,0,0,0,0,0,0,46
LAKE:SHIELDS 242,2,9,16,20,0,0,0,1,0,0,48
LAKE:SHIELDS 243,1,9,46,50,3,2,1,0,0,1,113
LAKE:SHIELDS 244,8,5,49,35,0,0,1,0,0,1,99
LAKE:SHIELDS 245,3,10,103,84,1,0,2,0,0,0,203
LAKE:SHIELDS 246,4,7,74,59,0,2,0,0,2,0,148
LAKE:SHIELDS 247,1,15,34,26,0,1,0,0,1,0,78
LAKE:SHIELDS 248,1,22,93,73,0,1,1,2,0,0,193
LAKE:SHIELDS 249,7,16,90,67,0,0,0,0,3,0,183
LAKE:SHIELDS 250,6,16,74,84,0,1,0,0,1,1,183
LAKE:SHIELDS 251,0,2,38,49,1,1,0,0,0,0,91
LAKE:SHIELDS 252,2,10,47,57,0,3,0,0,0,0,119
LAKE:SHIELDS 253,1,9,35,52,0,0,0,1,0,0,98
LAKE:SHIELDS 254,8,10,42,63,0,0,1,0,0,0,124
LAKE:SHIELDS 255,0,9,24,31,0,0,0,1,0,0,65
LAKE:VERNON 256,2,11,37,78,1,0,2,1,0,0,132
LAKE:VERNON 257,14,17,57,44,1,0,2,1,0,2,138
LAKE:VERNON 258,9,9,49,57,0,1,2,1,1,2,131
LAKE:VERNON 259,6,19,78,110,1,3,3,0,0,0,220
LAKE:VERNON 260,6,28,91,118,3,2,1,0,0,0,249
LAKE:VERNON 261,10,17,52,59,1,0,1,0,3,5,148
LAKE:VERNON 262,3,16,63,72,0,0,0,0,0,1,155
LAKE:VERNON 263,12,16,45,86,2,1,1,1,0,2,166
LAKE:VERNON 264,10,5,38,47,0,0,0,1,0,0,101
LAKE:VERNON 265,3,8,57,74,1,1,1,0,1,1,147
LAKE:VERNON 266,6,10,46,26,0,0,1,1,1,1,92
LAKE:VERNON 267,9,12,69,62,0,3,0,2,0,0,157
LAKE:VERNON 268,9,20,86,93,2,1,1,0,0,0,212
LAKE:VERNON 269,6,15,55,118,0,2,0,0,0,2,198
LAKE:VERNON 270,2,10,41,67,2,1,0,0,1,1,125
LAKE:VERNON 271,4,16,63,114,1,0,1,1,1,0,201
LAKE:VERNON 272,2,21,61,110,1,0,0,0,0,0,195
LAKE:VERNON 273,2,7,37,57,0,0,1,0,1,2,107
LAKE:VERNON 274,4,13,79,104,0,2,1,0,0,0,203
LAKE:VERNON 275,7,12,20,43,0,0,0,0,0,0,82
LAKE:VERNON 276,4,10,72,108,2,1,0,0,0,0,197
LAKE:VERNON 277,1,19,54,116,3,1,1,0,0,0,195
LAKE:VERNON 278,1,8,34,68,0,1,0,1,0,0,113
LAKE:VERNON 279,14,17,89,199,1,0,0,1,0,5,326
LAKE:VERNON 280,5,11,45,51,0,1,0,1,2,1,117
LAKE:VERNON 281,7,17,84,110,1,0,1,3,1,0,224
LAKE:VERNON 282,5,10,58,52,0,2,0,0,0,0,127
LAKE:VERNON 283,5,21,75,100,2,0,0,0,0,1,204
LAKE:VERNON 284,4,27,129,141,1,0,0,0,1,3,306
LAKE:VERNON 285,2,13,97,94,0,1,0,0,0,1,208
LAKE:VERNON 286,3,16,75,107,0,2,0,0,0,1,204
LAKE:VERNON 287,5,18,69,94,0,1,1,0,0,1,189
LAKE:VERNON 288,8,23,104,118,1,2,2,2,0,2,262
LAKE:VERNON 289,6,15,66,83,0,2,0,0,3,1,176
LAKE:VERNON 290,5,13,73,97,0,0,1,0,0,2,191
LAKE:VERNON 291,7,10,67,100,3,1,0,0,1,1,190
LAKE:VERNON 292,2,13,82,171,2,0,1,1,2,1,275
LAKE:VERNON 293,1,15,57,82,0,0,1,0,0,1,157
LAKE:VERNON 294,10,15,51,50,1,0,1,0,1,2,131
LAKE:VERNON 295,3,11,85,84,0,2,2,0,0,0,187
LAKE:VERNON 296,4,16,65,51,0,0,1,0,0,1,138
LAKE:VERNON 297,3,18,52,77,0,1,1,0,1,0,153
LAKE:VERNON 298,12,27,100,126,0,4,2,2,1,3,277
LAKE:WARREN 299,3,6,47,54,0,0,0,0,0,0,110
LAKE:WARREN 300,2,11,52,39,0,0,0,2,0,0,106
LAKE:WARREN 301,2,8,62,60,0,0,1,1,0,1,135
LAKE:WARREN 302,4,14,55,60,0,1,2,0,1,0,137
LAKE:WARREN 303,7,20,97,62,1,4,0,1,0,1,193
LAKE:WARREN 304,4,31,73,47,0,0,0,0,0,0,155
LAKE:WARREN 305,15,28,113,89,1,1,0,0,0,1,248
LAKE:WARREN 306,6,32,82,65,0,0,0,4,1,0,190
LAKE:WARREN 307,6,24,47,40,1,1,0,1,1,0,121
LAKE:WARREN 308,4,20,48,28,0,0,0,0,2,1,103
LAKE:WARREN 309,5,18,61,44,1,1,0,0,2,1,133
LAKE:WARREN 310,7,32,54,56,1,2,4,0,0,0,156
LAKE:WARREN 311,3,20,67,57,0,1,2,0,2,0,152
LAKE:WARREN 312,5,18,53,54,0,0,0,0,2,0,132
LAKE:WARREN 313,10,20,53,54,0,2,1,0,0,1,141
LAKE:WARREN 314,2,15,66,73,0,1,1,0,0,1,159
LAKE:WARREN 315,2,18,59,76,0,1,0,1,1,0,158
LAKE:WARREN 316,2,11,65,76,1,1,0,1,0,0,157
LAKE:WARREN 317,2,24,53,65,1,0,0,1,0,0,146
LAKE:WARREN 318,5,19,65,49,1,1,0,1,0,3,144
LAKE:WARREN 319,6,25,56,62,0,1,2,0,0,0,152
LAKE:WARREN 320,6,18,68,45,0,1,0,0,1,0,139
LAKE:WARREN 321,18,20,68,52,1,0,0,0,2,3,164
LAKE:WARREN 322,10,15,79,76,1,1,1,0,0,0,183
LAKE:WARREN 323,1,21,82,65,0,2,1,0,0,2,174
LAKE:WARREN 324,3,30,89,84,1,1,1,0,3,1,213
LAKE:WARREN 325,4,9,40,41,0,2,3,0,0,0,99
LAKE:WARREN 326,8,15,64,61,2,0,2,0,1,1,154
LAKE:WARREN 327,8,15,79,70,0,0,2,1,1,1,177
LAKE:WARREN 328,9,8,29,36,0,0,0,0,0,2,84
LAKE:WARREN 329,4,25,81,105,3,4,1,2,2,1,228
LAKE:WARREN 330,9,23,74,100,2,0,2,1,0,3,214
LAKE:WARREN 331,7,10,52,70,0,4,1,0,0,0,144
LAKE:WARREN 332,2,18,50,57,0,2,2,1,0,1,133
LAKE:WARREN 333,11,20,73,68,0,1,0,0,2,0,175
LAKE:WARREN 334,4,8,72,53,0,0,0,0,0,0,137
LAKE:WARREN 335,4,9,50,29,2,2,0,2,1,1,100
LAKE:WARREN 336,2,22,54,36,1,0,1,1,2,0,119
LAKE:WARREN 337,10,23,51,28,0,2,3,0,0,1,118
LAKE:WARREN 338,4,18,77,26,3,2,2,1,1,0,134
LAKE:WAUCONDA 339,8,16,28,34,0,0,0,1,0,2,89
LAKE:WAUCONDA 340,8,14,44,28,1,1,2,0,1,0,99
LAKE:WAUCONDA 341,3,10,57,48,0,1,0,1,1,0,121
LAKE:WAUCONDA 342,9,12,55,66,0,1,0,0,0,1,144
LAKE:WAUCONDA 343,8,20,34,70,1,2,0,0,0,3,138
LAKE:WAUCONDA 344,4,15,52,70,0,0,0,0,1,0,142
LAKE:WAUCONDA 345,4,9,18,20,0,0,0,1,0,0,52
LAKE:WAUCONDA 346,5,12,33,66,3,0,2,3,1,0,125
LAKE:WAUCONDA 347,5,8,37,49,4,2,3,1,1,1,111
LAKE:WAUCONDA 348,3,8,26,29,0,3,0,0,0,0,69
LAKE:WAUCONDA 349,4,9,49,52,0,0,0,1,1,0,116
LAKE:WAUCONDA 350,6,19,32,66,0,1,0,3,2,4,133
LAKE:WAUCONDA 351,9,13,69,78,1,0,0,4,0,4,178
LAKE:WAUCONDA 352,6,9,52,51,0,0,1,0,1,1,121
LAKE:WAUCONDA 353,2,4,46,47,2,1,1,0,0,1,104
LAKE:WAUCONDA 354,4,12,58,88,1,4,0,0,0,1,168
LAKE:WAUKEGAN 355,3,3,20,24,0,0,0,0,1,0,51
LAKE:WAUKEGAN 356,10,17,60,50,0,1,2,2,2,1,145
LAKE:WAUKEGAN 357,3,12,39,31,1,0,0,1,1,0,88
LAKE:WAUKEGAN 358,5,13,38,39,0,0,1,0,0,0,96
LAKE:WAUKEGAN 359,3,21,65,46,1,1,1,0,0,1,139
LAKE:WAUKEGAN 360,9,17,73,42,0,1,1,0,3,0,146
LAKE:WAUKEGAN 361,4,13,29,15,0,0,1,1,0,0,63
LAKE:WAUKEGAN 362,6,35,69,51,0,0,1,0,1,1,164
LAKE:WAUKEGAN 363,1,12,59,39,0,3,0,2,1,2,119
LAKE:WAUKEGAN 364,4,4,39,35,2,1,0,1,1,0,87
LAKE:WAUKEGAN 365,8,19,48,30,1,1,2,2,1,0,112
LAKE:WAUKEGAN 366,11,29,72,59,0,2,0,1,2,0,176
LAKE:WAUKEGAN 367,3,14,42,29,0,0,1,0,0,1,90
LAKE:WAUKEGAN 368,6,17,61,44,0,1,0,0,3,0,132
LAKE:WAUKEGAN 369,0,11,32,28,0,1,0,0,1,0,73
LAKE:WAUKEGAN 370,6,15,38,32,0,1,2,0,0,0,94
LAKE:WAUKEGAN 371,4,13,46,36,0,1,0,0,2,1,103
LAKE:WAUKEGAN 372,1,16,54,20,0,1,0,1,0,0,93
LAKE:WAUKEGAN 373,4,17,34,38,1,7,0,1,0,0,102
LAKE:WAUKEGAN 374,8,26,64,43,0,1,1,0,0,1,144
LAKE:WAUKEGAN 375,4,21,75,35,1,2,0,1,3,0,142
LAKE:WAUKEGAN 376,11,26,71,46,0,0,1,0,4,0,159
LAKE:WAUKEGAN 377,4,14,36,37,0,0,0,0,1,0,92
LAKE:WAUKEGAN 378,10,13,51,34,1,1,0,3,3,1,117
LAKE:WAUKEGAN 379,14,27,54,32,0,3,3,1,0,0,134
LAKE:WAUKEGAN 380,4,9,27,16,0,2,1,1,1,0,61
LAKE:WAUKEGAN 381,2,8,56,53,0,2,0,2,3,1,127
LAKE:WAUKEGAN 382,3,10,54,31,0,0,0,2,0,1,101
LAKE:WAUKEGAN 383,7,13,37,24,0,1,0,0,2,0,84
LAKE:WAUKEGAN 384,1,6,30,29,1,4,2,0,0,1,74
LAKE:WAUKEGAN 385,3,9,39,16,1,1,0,1,1,0,71
LAKE:WAUKEGAN 386,2,33,64,25,0,2,3,4,0,0,133
LAKE:WAUKEGAN 387,9,10,42,24,1,1,0,1,3,1,92
LAKE:WAUKEGAN 388,3,5,23,12,2,0,1,1,3,0,50
